,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1050000,03/19/2019 06:45:00 AM,203,0.81,28,32,Chicago Carriage Cab Corp
1050001,03/19/2019 06:45:00 AM,534,1.92,8,32,Sun Taxi
1050002,03/19/2019 06:45:00 AM,478,1.48,28,32,Chicago Carriage Cab Corp
1050003,03/19/2019 06:45:00 AM,439,1.32,8,8,Sun Taxi
1050004,03/19/2019 06:45:00 AM,240,0.7,28,32,24 Seven Taxi
1050005,03/19/2019 06:45:00 AM,324,0.76,28,32,Chicago Carriage Cab Corp
1050006,03/19/2019 06:45:00 AM,264,0.72,32,28,Chicago Carriage Cab Corp
1050007,03/19/2019 06:45:00 AM,223,0.62,32,32,Sun Taxi
1050008,03/19/2019 06:45:00 AM,372,1.2,8,28,Medallion Leasin
1050009,03/19/2019 06:45:00 AM,289,0.69,32,32,Chicago Carriage Cab Corp
1050010,03/19/2019 06:45:00 AM,341,0.91,32,28,Flash Cab
1050011,03/19/2019 06:45:00 AM,420,1.2,8,8,Chicago Independents
1050012,03/19/2019 06:45:00 AM,401,1.2,8,8,Patriot Taxi Dba Peace Taxi Associat
1050013,03/19/2019 06:45:00 AM,274,0.9,32,8,Medallion Leasin
1050014,03/19/2019 06:45:00 AM,540,1.2,28,32,Chicago Carriage Cab Corp
1050015,03/19/2019 06:45:00 AM,386,0.9,32,32,City Service
1050016,03/19/2019 06:45:00 AM,357,1.24,32,32,Chicago Carriage Cab Corp
1050017,03/19/2019 06:45:00 AM,260,0.7,32,32,Chicago Taxicab
1050018,03/19/2019 06:45:00 AM,196,0.58,32,32,Chicago Carriage Cab Corp
1050019,03/19/2019 06:45:00 AM,365,1.01,28,32,Flash Cab
1050020,03/19/2019 06:45:00 AM,566,1.73,28,28,Sun Taxi
1050021,03/19/2019 06:45:00 AM,557,1.7,8,32,Nova Taxi Affiliation Llc
1050022,03/19/2019 06:45:00 AM,304,0.94,28,28,City Service
