,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1060000,03/19/2019 04:30:00 PM,420,1.0,8,32,Chicago Medallion Management
1060001,03/19/2019 04:30:00 PM,300,1.0,8,8,Taxi Affiliation Services
1060002,03/19/2019 04:30:00 PM,420,1.5,32,24,Taxi Affiliation Services
1060003,03/19/2019 04:30:00 PM,480,1.1,32,8,Taxi Affiliation Services
1060004,03/19/2019 04:30:00 PM,360,0.7,28,32,Taxi Affiliation Services
1060005,03/19/2019 04:30:00 PM,360,1.4,32,8,Choice Taxi Association
1060006,03/19/2019 04:30:00 PM,540,1.2,8,8,Star North Management LLC
1060007,03/19/2019 04:30:00 PM,420,1.3,7,8,Chicago Medallion Management
1060008,03/19/2019 04:30:00 PM,360,1.0,76,76,Star North Management LLC
1060009,03/19/2019 04:30:00 PM,480,1.0,28,32,Taxi Affiliation Services
1060010,03/19/2019 04:30:00 PM,360,1.0,28,8,Star North Management LLC
1060011,03/19/2019 04:30:00 PM,300,0.9,28,28,Star North Management LLC
1060012,03/19/2019 04:30:00 PM,420,0.9,32,32,Taxi Affiliation Services
1060013,03/19/2019 04:30:00 PM,360,1.6,8,32,Taxi Affiliation Services
1060014,03/19/2019 04:30:00 PM,3000,1.0,32,76,Taxi Affiliation Services
1060015,03/19/2019 04:30:00 PM,2820,10.6,28,56,Chicago Medallion Management
1060016,03/19/2019 04:30:00 PM,480,0.7,8,8,Taxi Affiliation Services
1060017,03/19/2019 04:30:00 PM,540,1.2,8,32,Top Cab Affiliation
1060018,03/19/2019 04:30:00 PM,480,1.9,8,7,Choice Taxi Association
1060019,03/19/2019 04:30:00 PM,240,1.0,28,32,Taxi Affiliation Services
1060020,03/19/2019 04:30:00 PM,2700,1.0,32,76,Blue Ribbon Taxi Association Inc.
1060021,03/19/2019 04:30:00 PM,480,1.8,8,28,Star North Management LLC
1060022,03/19/2019 04:30:00 PM,420,0.9,32,32,Star North Management LLC
1060023,03/19/2019 04:30:00 PM,300,0.8,8,8,Star North Management LLC
1060024,03/19/2019 04:30:00 PM,360,1.2,33,32,Top Cab Affiliation
1060025,03/19/2019 04:30:00 PM,420,1.6,28,32,Star North Management LLC
1060026,03/19/2019 04:30:00 PM,420,1.4,8,32,Choice Taxi Association
1060027,03/19/2019 04:30:00 PM,548,1.3,28,8,Setare Inc
1060028,03/19/2019 04:30:00 PM,243,0.58,32,32,City Service
1060029,03/19/2019 04:30:00 PM,208,0.53,28,32,Chicago Carriage Cab Corp
1060030,03/19/2019 04:30:00 PM,196,0.64,8,8,Sun Taxi
1060031,03/19/2019 04:30:00 PM,591,1.22,8,32,Sun Taxi
1060032,03/19/2019 04:30:00 PM,598,1.74,32,8,Flash Cab
1060033,03/19/2019 04:30:00 PM,360,0.9,8,8,24 Seven Taxi
1060034,03/19/2019 04:30:00 PM,502,1.13,8,32,Flash Cab
1060035,03/19/2019 04:30:00 PM,554,1.37,28,8,Chicago Carriage Cab Corp
1060036,03/19/2019 04:30:00 PM,476,1.57,44,47,Flash Cab
1060037,03/19/2019 04:30:00 PM,525,1.2,32,28,City Service
1060038,03/19/2019 04:30:00 PM,322,0.93,32,8,City Service
1060039,03/19/2019 04:30:00 PM,263,0.61,8,32,Nova Taxi Affiliation Llc
1060040,03/19/2019 04:30:00 PM,562,1.53,28,8,Chicago Carriage Cab Corp
1060041,03/19/2019 04:30:00 PM,536,0.61,32,8,Nova Taxi Affiliation Llc
1060042,03/19/2019 04:30:00 PM,573,1.1,32,28,Nova Taxi Affiliation Llc
1060043,03/19/2019 04:30:00 PM,292,0.82,32,32,Patriot Taxi Dba Peace Taxi Associat
1060044,03/19/2019 04:30:00 PM,397,0.99,4,5,Flash Cab
1060045,03/19/2019 04:30:00 PM,190,0.53,8,32,Sun Taxi
1060046,03/19/2019 04:30:00 PM,414,1.01,28,32,Flash Cab
1060047,03/19/2019 04:30:00 PM,273,0.81,32,28,Sun Taxi
1060048,03/19/2019 04:30:00 PM,300,1.1,8,8,Medallion Leasin
1060049,03/19/2019 04:30:00 PM,426,1.75,35,35,Chicago Carriage Cab Corp
1060050,03/19/2019 04:30:00 PM,410,1.18,32,32,Sun Taxi
1060051,03/19/2019 04:30:00 PM,540,1.9,28,8,Medallion Leasin
1060052,03/19/2019 04:30:00 PM,328,1.26,8,32,Chicago Carriage Cab Corp
1060053,03/19/2019 04:30:00 PM,420,1.0,8,28,Medallion Leasin
1060054,03/19/2019 04:30:00 PM,416,0.52,32,28,Flash Cab
1060055,03/19/2019 04:30:00 PM,419,0.7,8,32,Chicago Carriage Cab Corp
1060056,03/19/2019 04:30:00 PM,572,1.43,28,8,Sun Taxi
1060057,03/19/2019 04:30:00 PM,447,0.88,32,28,Nova Taxi Affiliation Llc
1060058,03/19/2019 04:30:00 PM,191,0.61,32,28,Sun Taxi
1060059,03/19/2019 04:30:00 PM,420,0.9,28,32,Medallion Leasin
1060060,03/19/2019 04:30:00 PM,300,0.7,32,28,Globe Taxi
1060061,03/19/2019 04:30:00 PM,515,1.24,28,32,Chicago Carriage Cab Corp
1060062,03/19/2019 04:30:00 PM,490,1.31,32,32,Chicago Carriage Cab Corp
1060063,03/19/2019 04:30:00 PM,498,0.89,8,32,Flash Cab
1060064,03/19/2019 04:30:00 PM,420,0.9,32,8,Globe Taxi
1060065,03/19/2019 04:30:00 PM,504,1.1,32,8,Medallion Leasin
1060066,03/19/2019 04:30:00 PM,528,1.78,32,8,Chicago Carriage Cab Corp
1060067,03/19/2019 04:30:00 PM,408,1.81,3,6,City Service
1060068,03/19/2019 04:30:00 PM,561,1.46,32,8,Flash Cab
1060069,03/19/2019 04:30:00 PM,562,1.47,8,8,Chicago Carriage Cab Corp
1060070,03/19/2019 04:30:00 PM,229,0.52,28,28,City Service
1060071,03/19/2019 04:30:00 PM,540,0.8,8,8,Globe Taxi
1060072,03/19/2019 04:30:00 PM,270,1.02,28,28,Sun Taxi
1060073,03/19/2019 04:30:00 PM,276,0.65,8,32,Chicago Carriage Cab Corp
1060074,03/19/2019 04:30:00 PM,323,1.05,32,8,Chicago Carriage Cab Corp
1060075,03/19/2019 04:30:00 PM,550,1.77,32,8,Chicago Carriage Cab Corp
1060076,03/19/2019 04:30:00 PM,480,1.35,32,28,Patriot Taxi Dba Peace Taxi Associat
1060077,03/19/2019 04:30:00 PM,592,1.43,32,28,Chicago Carriage Cab Corp
1060078,03/19/2019 04:30:00 PM,293,1.29,33,28,Chicago Carriage Cab Corp
1060079,03/19/2019 04:30:00 PM,241,0.67,8,32,City Service
1060080,03/19/2019 04:30:00 PM,433,0.94,8,8,24 Seven Taxi
1060081,03/19/2019 04:30:00 PM,282,0.62,32,8,Flash Cab
1060082,03/19/2019 04:30:00 PM,534,0.95,8,32,Flash Cab
1060083,03/19/2019 04:30:00 PM,420,1.1,32,32,Globe Taxi
1060084,03/19/2019 04:30:00 PM,304,1.03,32,8,Flash Cab
1060085,03/19/2019 04:30:00 PM,360,0.8,76,8,Medallion Leasin
1060086,03/19/2019 04:30:00 PM,401,0.85,32,32,Flash Cab
1060087,03/19/2019 04:30:00 PM,480,1.5,8,32,Chicago Independents
1060088,03/19/2019 04:30:00 PM,375,1.03,3,6,Flash Cab
1060089,03/19/2019 04:30:00 PM,397,0.9,32,32,Chicago Carriage Cab Corp
1060090,03/19/2019 04:30:00 PM,305,0.6,32,32,Medallion Leasin
1060091,03/19/2019 04:30:00 PM,304,0.57,32,32,Chicago Carriage Cab Corp
1060092,03/19/2019 04:30:00 PM,479,0.96,8,8,24 Seven Taxi
1060093,03/19/2019 04:30:00 PM,391,0.6,32,32,Chicago Taxicab
1060094,03/19/2019 04:30:00 PM,360,0.9,8,28,Medallion Leasin
1060095,03/19/2019 04:30:00 PM,383,0.86,32,8,Nova Taxi Affiliation Llc
1060096,03/19/2019 04:30:00 PM,580,1.59,8,32,Chicago Carriage Cab Corp
1060097,03/19/2019 04:30:00 PM,296,0.7,32,28,Chicago Taxicab
1060098,03/19/2019 04:30:00 PM,360,0.6,32,32,Medallion Leasin
1060099,03/19/2019 04:30:00 PM,360,1.0,32,28,Globe Taxi
1060100,03/19/2019 04:30:00 PM,513,0.97,32,32,Patriot Taxi Dba Peace Taxi Associat
1060101,03/19/2019 04:30:00 PM,315,1.0,8,8,City Service
1060102,03/19/2019 04:30:00 PM,508,0.84,8,32,Flash Cab
1060103,03/19/2019 04:30:00 PM,492,0.95,32,32,Sun Taxi
1060104,03/19/2019 04:30:00 PM,270,0.7,8,8,Medallion Leasin
1060105,03/19/2019 04:30:00 PM,360,1.1,6,32,Medallion Leasin
1060106,03/19/2019 04:30:00 PM,572,1.3,32,32,Chicago Taxicab
1060107,03/19/2019 04:30:00 PM,480,1.4,28,32,Medallion Leasin
1060108,03/19/2019 04:30:00 PM,300,1.0,32,32,Medallion Leasin
1060109,03/19/2019 04:30:00 PM,543,1.31,32,32,Sun Taxi
1060110,03/19/2019 04:30:00 PM,489,1.37,32,8,Sun Taxi
1060111,03/19/2019 04:30:00 PM,359,0.92,8,32,Flash Cab
1060112,03/19/2019 04:30:00 PM,417,0.8,32,28,Flash Cab
1060113,03/19/2019 04:30:00 PM,367,0.89,28,32,City Service
1060114,03/19/2019 04:30:00 PM,357,0.73,8,8,Nova Taxi Affiliation Llc
1060115,03/19/2019 04:30:00 PM,470,0.8,32,32,Medallion Leasin
1060116,03/19/2019 04:30:00 PM,333,1.4,32,33,Chicago Carriage Cab Corp
1060117,03/19/2019 04:30:00 PM,190,0.53,32,32,Chicago Carriage Cab Corp
1060118,03/19/2019 04:30:00 PM,420,0.7,32,8,Sun Taxi
1060119,03/19/2019 04:30:00 PM,420,1.5,28,28,Medallion Leasin
1060120,03/19/2019 04:30:00 PM,522,1.41,32,8,City Service
1060121,03/19/2019 04:30:00 PM,581,0.9,32,28,City Service
1060122,03/19/2019 04:30:00 PM,451,1.29,8,32,City Service
1060123,03/19/2019 04:30:00 PM,182,0.55,32,32,Sun Taxi
1060124,03/19/2019 04:30:00 PM,435,1.22,32,28,Chicago Carriage Cab Corp
1060125,03/19/2019 04:30:00 PM,428,1.15,8,32,Chicago Carriage Cab Corp
1060126,03/19/2019 04:30:00 PM,482,1.31,8,32,Sun Taxi
1060127,03/19/2019 04:30:00 PM,431,1.15,32,32,Sun Taxi
1060128,03/19/2019 04:30:00 PM,415,0.85,32,24,City Service
1060129,03/19/2019 04:30:00 PM,424,1.58,32,8,Chicago Carriage Cab Corp
1060130,03/19/2019 04:30:00 PM,430,0.87,28,28,Sun Taxi
1060131,03/19/2019 04:30:00 PM,498,0.86,32,32,City Service
1060132,03/19/2019 04:30:00 PM,365,0.79,8,32,Chicago Carriage Cab Corp
1060133,03/19/2019 04:30:00 PM,360,0.8,32,32,Medallion Leasin
1060134,03/19/2019 04:30:00 PM,419,1.14,32,8,Nova Taxi Affiliation Llc
1060135,03/19/2019 04:30:00 PM,289,0.65,32,32,Chicago Carriage Cab Corp
1060136,03/19/2019 04:30:00 PM,362,1.19,32,28,Chicago Carriage Cab Corp
1060137,03/19/2019 04:30:00 PM,465,1.0,8,32,Flash Cab
