,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1110000,03/22/2019 01:30:00 PM,584,1.84,8,8,Flash Cab
1110001,03/22/2019 01:30:00 PM,595,1.36,8,28,Chicago Carriage Cab Corp
1110002,03/22/2019 01:30:00 PM,271,0.56,8,8,Chicago Carriage Cab Corp
1110003,03/22/2019 01:30:00 PM,420,1.0,32,8,Globe Taxi
1110004,03/22/2019 01:30:00 PM,274,0.91,28,28,City Service
1110005,03/22/2019 01:30:00 PM,335,0.92,8,8,Chicago Carriage Cab Corp
1110006,03/22/2019 01:30:00 PM,426,0.93,32,8,Chicago Carriage Cab Corp
1110007,03/22/2019 01:30:00 PM,552,1.51,32,8,Chicago Carriage Cab Corp
1110008,03/22/2019 01:30:00 PM,399,0.87,76,76,24 Seven Taxi
1110009,03/22/2019 01:30:00 PM,337,1.14,8,32,Flash Cab
1110010,03/22/2019 01:30:00 PM,375,0.73,28,8,Chicago Carriage Cab Corp
1110011,03/22/2019 01:30:00 PM,466,1.2,8,32,City Service
1110012,03/22/2019 01:30:00 PM,340,1.19,28,28,Patriot Taxi Dba Peace Taxi Associat
1110013,03/22/2019 01:30:00 PM,244,0.72,77,3,24 Seven Taxi
1110014,03/22/2019 01:30:00 PM,421,1.1,32,28,City Service
1110015,03/22/2019 01:30:00 PM,264,0.85,8,8,Chicago Carriage Cab Corp
1110016,03/22/2019 01:30:00 PM,234,0.54,32,32,Sun Taxi
1110017,03/22/2019 01:30:00 PM,213,0.85,32,8,Chicago Carriage Cab Corp
1110018,03/22/2019 01:30:00 PM,480,1.0,32,8,Medallion Leasin
1110019,03/22/2019 01:30:00 PM,496,1.26,32,8,Chicago Carriage Cab Corp
1110020,03/22/2019 01:30:00 PM,219,0.52,32,32,Patriot Taxi Dba Peace Taxi Associat
1110021,03/22/2019 01:30:00 PM,387,0.7,8,32,Medallion Leasin
1110022,03/22/2019 01:30:00 PM,354,0.92,8,8,Chicago Carriage Cab Corp
1110023,03/22/2019 01:30:00 PM,348,0.92,8,32,Chicago Carriage Cab Corp
1110024,03/22/2019 01:30:00 PM,240,0.6,8,32,Medallion Leasin
1110025,03/22/2019 01:30:00 PM,431,1.14,8,8,Chicago Carriage Cab Corp
1110026,03/22/2019 01:30:00 PM,251,0.7,8,32,Chicago Carriage Cab Corp
1110027,03/22/2019 01:30:00 PM,480,1.1,8,32,Medallion Leasin
1110028,03/22/2019 01:30:00 PM,526,1.64,8,28,Chicago Carriage Cab Corp
1110029,03/22/2019 01:30:00 PM,326,0.69,8,8,Chicago Carriage Cab Corp
1110030,03/22/2019 01:30:00 PM,470,0.91,32,8,Flash Cab
1110031,03/22/2019 01:30:00 PM,449,1.24,32,8,Chicago Carriage Cab Corp
1110032,03/22/2019 01:30:00 PM,588,1.28,32,8,Sun Taxi
1110033,03/22/2019 01:30:00 PM,241,0.64,28,28,Flash Cab
1110034,03/22/2019 01:30:00 PM,240,0.7,28,8,24 Seven Taxi
1110035,03/22/2019 01:30:00 PM,300,0.7,8,28,Globe Taxi
1110036,03/22/2019 01:30:00 PM,429,1.65,28,32,Chicago Carriage Cab Corp
1110037,03/22/2019 01:30:00 PM,480,0.76,32,8,Flash Cab
1110038,03/22/2019 01:30:00 PM,453,0.92,8,8,Chicago Carriage Cab Corp
1110039,03/22/2019 01:30:00 PM,286,0.69,8,32,Chicago Carriage Cab Corp
1110040,03/22/2019 01:30:00 PM,353,1.29,32,8,Chicago Carriage Cab Corp
1110041,03/22/2019 01:30:00 PM,240,0.9,32,8,City Service
1110042,03/22/2019 01:30:00 PM,540,0.9,32,28,Medallion Leasin
1110043,03/22/2019 01:30:00 PM,329,0.71,28,32,Taxi Affiliation Service Yellow
1110044,03/22/2019 01:30:00 PM,504,1.24,28,8,Chicago Carriage Cab Corp
1110045,03/22/2019 01:30:00 PM,437,0.8,32,32,City Service
1110046,03/22/2019 01:30:00 PM,540,1.5,32,28,Globe Taxi
1110047,03/22/2019 01:30:00 PM,475,1.23,28,28,Nova Taxi Affiliation Llc
1110048,03/22/2019 01:30:00 PM,370,0.8,32,32,Checker Taxi Affiliation
1110049,03/22/2019 01:30:00 PM,540,1.4,8,8,Globe Taxi
1110050,03/22/2019 01:30:00 PM,240,0.7,8,8,Medallion Leasin
1110051,03/22/2019 01:30:00 PM,439,1.55,28,28,Chicago Carriage Cab Corp
1110052,03/22/2019 01:30:00 PM,392,0.92,8,32,Nova Taxi Affiliation Llc
1110053,03/22/2019 01:30:00 PM,540,1.2,8,8,Chicago Independents
1110054,03/22/2019 01:30:00 PM,480,1.2,8,32,Sun Taxi
1110055,03/22/2019 01:30:00 PM,539,1.43,28,8,Chicago Carriage Cab Corp
1110056,03/22/2019 01:30:00 PM,595,1.69,8,32,Chicago Carriage Cab Corp
1110057,03/22/2019 01:30:00 PM,402,0.8,8,32,Chicago Taxicab
1110058,03/22/2019 01:30:00 PM,540,1.6,8,32,Sun Taxi
1110059,03/22/2019 01:30:00 PM,463,1.2,32,8,City Service
1110060,03/22/2019 01:30:00 PM,577,1.38,32,8,Flash Cab
1110061,03/22/2019 01:30:00 PM,552,1.96,28,28,Flash Cab
1110062,03/22/2019 01:30:00 PM,435,0.9,8,8,Globe Taxi
1110063,03/22/2019 01:30:00 PM,186,0.55,28,28,Flash Cab
1110064,03/22/2019 01:30:00 PM,353,1.03,32,32,Sun Taxi
1110065,03/22/2019 01:30:00 PM,300,0.9,32,8,Chicago Independents
1110066,03/22/2019 01:30:00 PM,439,1.8,77,6,Patriot Taxi Dba Peace Taxi Associat
1110067,03/22/2019 01:30:00 PM,433,0.77,8,8,Patriot Taxi Dba Peace Taxi Associat
1110068,03/22/2019 01:30:00 PM,420,0.7,32,32,Medallion Leasin
1110069,03/22/2019 01:30:00 PM,331,0.51,8,32,Nova Taxi Affiliation Llc
1110070,03/22/2019 01:30:00 PM,271,0.59,56,62,City Service
1110071,03/22/2019 01:30:00 PM,520,1.6,32,8,Setare Inc
1110072,03/22/2019 01:30:00 PM,282,0.54,8,8,Chicago Carriage Cab Corp
1110073,03/22/2019 01:30:00 PM,480,1.4,3,3,Medallion Leasin
1110074,03/22/2019 01:30:00 PM,370,0.8,8,8,Flash Cab
1110075,03/22/2019 01:30:00 PM,480,0.9,28,32,Medallion Leasin
1110076,03/22/2019 01:30:00 PM,240,0.6,28,32,Medallion Leasin
1110077,03/22/2019 01:30:00 PM,401,0.9,8,8,Medallion Leasin
1110078,03/22/2019 01:30:00 PM,341,0.9,33,34,City Service
1110079,03/22/2019 01:30:00 PM,585,1.72,8,28,Chicago Carriage Cab Corp
1110080,03/22/2019 01:30:00 PM,494,1.48,28,8,24 Seven Taxi
1110081,03/22/2019 01:30:00 PM,360,1.0,32,32,Medallion Leasin
1110082,03/22/2019 01:30:00 PM,194,0.59,8,8,Chicago Carriage Cab Corp
1110083,03/22/2019 01:30:00 PM,540,1.5,8,8,Sun Taxi
1110084,03/22/2019 01:30:00 PM,300,0.6,8,8,Medallion Leasin
1110085,03/22/2019 01:30:00 PM,485,1.21,32,8,Chicago Carriage Cab Corp
1110086,03/22/2019 01:30:00 PM,454,0.81,8,8,Sun Taxi
1110087,03/22/2019 01:30:00 PM,2040,10.5,32,28,Globe Taxi
1110088,03/22/2019 01:30:00 PM,240,0.6,32,32,Medallion Leasin
1110089,03/22/2019 01:30:00 PM,389,1.14,8,8,Globe Taxi
1110090,03/22/2019 01:30:00 PM,360,1.1,32,8,Medallion Leasin
1110091,03/22/2019 01:30:00 PM,365,1.34,32,32,Nova Taxi Affiliation Llc
1110092,03/22/2019 01:30:00 PM,517,1.71,32,8,Sun Taxi
1110093,03/22/2019 01:30:00 PM,540,1.1,32,8,Medallion Leasin
1110094,03/22/2019 01:30:00 PM,293,0.63,32,28,Chicago Carriage Cab Corp
1110095,03/22/2019 01:30:00 PM,240,0.6,8,8,Chicago Independents
1110096,03/22/2019 01:30:00 PM,407,1.29,8,32,Chicago Carriage Cab Corp
1110097,03/22/2019 01:30:00 PM,540,1.3,8,8,Chicago Independents
1110098,03/22/2019 01:30:00 PM,465,1.7,24,7,Medallion Leasin
1110099,03/22/2019 01:30:00 PM,432,0.93,32,8,Taxi Affiliation Service Yellow
1110100,03/22/2019 01:30:00 PM,300,0.7,8,32,Medallion Leasin
1110101,03/22/2019 01:30:00 PM,494,1.18,32,32,24 Seven Taxi
1110102,03/22/2019 01:30:00 PM,283,0.7,32,32,Taxi Affiliation Service Yellow
1110103,03/22/2019 01:30:00 PM,272,0.76,32,8,City Service
1110104,03/22/2019 01:30:00 PM,540,1.3,32,8,Globe Taxi
1110105,03/22/2019 01:30:00 PM,363,0.7,32,32,Taxi Affiliation Service Yellow
1110106,03/22/2019 01:30:00 PM,209,0.54,7,6,Taxi Affiliation Service Yellow
1110107,03/22/2019 01:30:00 PM,216,0.88,28,28,Chicago Carriage Cab Corp
1110108,03/22/2019 01:30:00 PM,384,0.91,32,28,Chicago Carriage Cab Corp
1110109,03/22/2019 01:30:00 PM,350,0.99,28,32,Chicago Carriage Cab Corp
1110110,03/22/2019 01:30:00 PM,360,0.7,8,8,Sun Taxi
1110111,03/22/2019 01:30:00 PM,540,1.8,8,32,Medallion Leasin
1110112,03/22/2019 01:30:00 PM,445,1.49,32,8,Taxi Affiliation Service Yellow
1110113,03/22/2019 01:30:00 PM,578,1.29,28,8,Sun Taxi
1110114,03/22/2019 01:30:00 PM,474,1.14,32,8,Sun Taxi
1110115,03/22/2019 01:30:00 PM,491,1.1,8,8,Chicago Carriage Cab Corp
1110116,03/22/2019 01:30:00 PM,363,0.8,32,32,Taxi Affiliation Service Yellow
1110117,03/22/2019 01:30:00 PM,204,0.72,28,28,Sun Taxi
1110118,03/22/2019 01:30:00 PM,297,0.73,32,32,Taxi Affiliation Service Yellow
1110119,03/22/2019 01:30:00 PM,417,0.8,28,32,Taxi Affiliation Service Yellow
1110120,03/22/2019 01:30:00 PM,483,1.35,8,32,Taxi Affiliation Service Yellow
1110121,03/22/2019 01:30:00 PM,372,1.3,33,32,Taxi Affiliation Service Yellow
1110122,03/22/2019 01:30:00 PM,354,0.97,8,8,Flash Cab
1110123,03/22/2019 01:30:00 PM,484,0.8,32,28,Globe Taxi
1110124,03/22/2019 01:30:00 PM,355,0.94,8,32,Nova Taxi Affiliation Llc
1110125,03/22/2019 01:30:00 PM,369,0.8,8,32,Flash Cab
1110126,03/22/2019 01:30:00 PM,538,1.1,32,32,Flash Cab
1110127,03/22/2019 01:30:00 PM,520,1.2,8,32,Flash Cab
1110128,03/22/2019 01:30:00 PM,428,1.8,8,28,Flash Cab
1110129,03/22/2019 01:30:00 PM,470,0.9,8,32,Flash Cab
1110130,03/22/2019 01:30:00 PM,494,0.9,32,32,Flash Cab
1110131,03/22/2019 01:30:00 PM,292,0.6,32,32,Flash Cab
1110132,03/22/2019 01:45:00 PM,480,0.7,28,32,Star North Management LLC
1110133,03/22/2019 01:45:00 PM,300,0.9,32,24,"Taxicab Insurance Agency, LLC"
1110134,03/22/2019 01:45:00 PM,240,0.8,32,28,Star North Management LLC
1110135,03/22/2019 01:45:00 PM,480,1.3,28,28,Taxi Affiliation Services
1110136,03/22/2019 01:45:00 PM,420,0.6,8,8,Choice Taxi Association
1110137,03/22/2019 01:45:00 PM,420,1.2,8,32,Star North Management LLC
1110138,03/22/2019 01:45:00 PM,480,0.8,28,8,Choice Taxi Association
1110139,03/22/2019 01:45:00 PM,540,1.0,32,32,Chicago Independents
1110140,03/22/2019 01:45:00 PM,480,1.3,8,32,Taxi Affiliation Services
1110141,03/22/2019 01:45:00 PM,300,0.8,32,28,Taxi Affiliation Services
1110142,03/22/2019 01:45:00 PM,480,1.5,8,8,Taxi Affiliation Services
1110143,03/22/2019 01:45:00 PM,540,1.0,32,8,Taxi Affiliation Services
1110144,03/22/2019 01:45:00 PM,480,1.2,28,32,Chicago Medallion Management
1110145,03/22/2019 01:45:00 PM,420,0.9,32,32,Taxi Affiliation Services
1110146,03/22/2019 01:45:00 PM,480,0.8,8,32,Top Cab Affiliation
1110147,03/22/2019 01:45:00 PM,420,1.2,32,28,Taxi Affiliation Services
1110148,03/22/2019 01:45:00 PM,240,0.8,38,35,Taxi Affiliation Services
1110149,03/22/2019 01:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
1110150,03/22/2019 01:45:00 PM,540,1.6,8,32,Taxi Affiliation Services
1110151,03/22/2019 01:45:00 PM,300,0.9,32,32,Star North Management LLC
1110152,03/22/2019 01:45:00 PM,240,0.9,32,8,"Taxicab Insurance Agency, LLC"
1110153,03/22/2019 01:45:00 PM,240,0.6,32,8,Choice Taxi Association
1110154,03/22/2019 01:45:00 PM,480,0.7,32,8,"Taxicab Insurance Agency, LLC"
1110155,03/22/2019 01:45:00 PM,360,1.1,8,32,Star North Management LLC
1110156,03/22/2019 01:45:00 PM,480,0.9,28,8,Star North Management LLC
1110157,03/22/2019 01:45:00 PM,360,0.8,32,28,Chicago Medallion Management
1110158,03/22/2019 01:45:00 PM,540,1.4,8,8,Chicago Medallion Management
1110159,03/22/2019 01:45:00 PM,240,0.7,32,32,Star North Management LLC
1110160,03/22/2019 01:45:00 PM,360,1.3,8,8,Star North Management LLC
1110161,03/22/2019 01:45:00 PM,480,1.1,32,8,Top Cab Affiliation
1110162,03/22/2019 01:45:00 PM,480,1.0,8,28,Star North Management LLC
1110163,03/22/2019 01:45:00 PM,420,1.2,32,8,Taxi Affiliation Services
1110164,03/22/2019 01:45:00 PM,420,1.6,32,33,Taxi Affiliation Services
1110165,03/22/2019 01:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
1110166,03/22/2019 01:45:00 PM,240,0.9,32,32,Chicago Independents
1110167,03/22/2019 01:45:00 PM,300,0.7,28,8,Taxi Affiliation Services
1110168,03/22/2019 01:45:00 PM,360,0.7,8,32,Star North Management LLC
1110169,03/22/2019 01:45:00 PM,480,0.8,32,8,Star North Management LLC
1110170,03/22/2019 01:45:00 PM,420,0.9,8,32,Taxi Affiliation Services
1110171,03/22/2019 01:45:00 PM,420,1.7,32,8,Taxi Affiliation Services
1110172,03/22/2019 01:45:00 PM,360,1.0,8,32,KOAM Taxi Association
1110173,03/22/2019 01:45:00 PM,480,1.3,28,8,Star North Management LLC
1110174,03/22/2019 01:45:00 PM,240,0.9,32,8,Choice Taxi Association
1110175,03/22/2019 01:45:00 PM,420,1.2,32,8,Star North Management LLC
1110176,03/22/2019 01:45:00 PM,480,0.9,28,32,Taxi Affiliation Services
1110177,03/22/2019 01:45:00 PM,360,0.7,32,32,Choice Taxi Association
1110178,03/22/2019 01:45:00 PM,360,1.0,24,24,3094 - 24059 G.L.B. Cab Co
1110179,03/22/2019 01:45:00 PM,420,1.2,32,28,Taxi Affiliation Services
1110180,03/22/2019 01:45:00 PM,540,1.4,8,8,Taxi Affiliation Services
1110181,03/22/2019 01:45:00 PM,540,1.3,32,8,312 Medallion Management Corp
1110182,03/22/2019 01:45:00 PM,360,0.9,32,8,Taxi Affiliation Services
1110183,03/22/2019 01:45:00 PM,2040,1.0,76,28,Taxi Affiliation Services
1110184,03/22/2019 01:45:00 PM,480,1.4,32,28,Choice Taxi Association
1110185,03/22/2019 01:45:00 PM,480,0.7,32,32,Taxi Affiliation Services
1110186,03/22/2019 01:45:00 PM,540,1.4,8,32,Star North Management LLC
1110187,03/22/2019 01:45:00 PM,300,0.7,32,8,Taxi Affiliation Services
1110188,03/22/2019 01:45:00 PM,240,0.6,32,32,KOAM Taxi Association
1110189,03/22/2019 01:45:00 PM,360,1.2,32,28,Taxi Affiliation Services
1110190,03/22/2019 01:45:00 PM,300,1.0,32,8,Taxi Affiliation Services
1110191,03/22/2019 01:45:00 PM,300,0.7,32,32,Star North Management LLC
1110192,03/22/2019 01:45:00 PM,300,0.9,32,32,Star North Management LLC
1110193,03/22/2019 01:45:00 PM,540,1.1,32,32,Taxi Affiliation Services
1110194,03/22/2019 01:45:00 PM,300,0.8,8,8,Taxi Affiliation Services
1110195,03/22/2019 01:45:00 PM,300,0.8,8,8,Choice Taxi Association
1110196,03/22/2019 01:45:00 PM,300,0.9,32,28,Star North Management LLC
1110197,03/22/2019 01:45:00 PM,420,1.2,32,28,Taxi Affiliation Services
1110198,03/22/2019 01:45:00 PM,420,1.3,32,32,Taxi Affiliation Services
1110199,03/22/2019 01:45:00 PM,240,0.8,32,32,Choice Taxi Association
1110200,03/22/2019 01:45:00 PM,2580,1.1,32,76,Taxi Affiliation Services
1110201,03/22/2019 01:45:00 PM,300,0.7,8,32,Taxi Affiliation Services
1110202,03/22/2019 01:45:00 PM,360,0.8,8,8,Taxi Affiliation Services
1110203,03/22/2019 01:45:00 PM,480,1.5,32,8,Taxi Affiliation Services
1110204,03/22/2019 01:45:00 PM,480,1.1,32,32,Taxi Affiliation Services
1110205,03/22/2019 01:45:00 PM,2100,0.8,76,3,Blue Ribbon Taxi Association Inc.
1110206,03/22/2019 01:45:00 PM,360,0.6,28,32,"Taxicab Insurance Agency, LLC"
1110207,03/22/2019 01:45:00 PM,420,0.6,32,32,Taxi Affiliation Services
1110208,03/22/2019 01:45:00 PM,360,1.0,32,32,Taxi Affiliation Services
1110209,03/22/2019 01:45:00 PM,420,1.3,8,8,Taxi Affiliation Services
1110210,03/22/2019 01:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
1110211,03/22/2019 01:45:00 PM,300,0.7,8,8,Taxi Affiliation Services
1110212,03/22/2019 01:45:00 PM,420,1.0,8,8,Choice Taxi Association
1110213,03/22/2019 01:45:00 PM,360,0.9,32,8,Taxi Affiliation Services
1110214,03/22/2019 01:45:00 PM,360,1.6,8,8,Star North Management LLC
1110215,03/22/2019 01:45:00 PM,480,0.9,8,8,Taxi Affiliation Services
1110216,03/22/2019 01:45:00 PM,420,0.9,8,28,"Taxicab Insurance Agency, LLC"
1110217,03/22/2019 01:45:00 PM,480,1.0,32,8,Taxi Affiliation Services
1110218,03/22/2019 01:45:00 PM,240,0.8,8,32,Star North Management LLC
1110219,03/22/2019 01:45:00 PM,360,0.9,8,32,Chicago Independents
1110220,03/22/2019 01:45:00 PM,360,0.7,8,32,Globe Taxi
1110221,03/22/2019 01:45:00 PM,334,0.75,28,8,Sun Taxi
1110222,03/22/2019 01:45:00 PM,336,1.0,8,8,Medallion Leasin
1110223,03/22/2019 01:45:00 PM,480,1.0,28,8,Medallion Leasin
1110224,03/22/2019 01:45:00 PM,261,0.56,32,32,Chicago Carriage Cab Corp
1110225,03/22/2019 01:45:00 PM,540,1.8,28,28,Globe Taxi
1110226,03/22/2019 01:45:00 PM,359,0.65,8,8,Chicago Carriage Cab Corp
1110227,03/22/2019 01:45:00 PM,360,0.8,32,32,Sun Taxi
1110228,03/22/2019 01:45:00 PM,300,0.8,8,32,Chicago Independents
1110229,03/22/2019 01:45:00 PM,480,0.8,32,32,Sun Taxi
1110230,03/22/2019 01:45:00 PM,286,1.06,32,28,City Service
1110231,03/22/2019 01:45:00 PM,255,0.57,8,8,Nova Taxi Affiliation Llc
1110232,03/22/2019 01:45:00 PM,306,0.75,32,8,Patriot Taxi Dba Peace Taxi Associat
1110233,03/22/2019 01:45:00 PM,452,0.72,32,32,Flash Cab
1110234,03/22/2019 01:45:00 PM,480,1.4,32,8,Medallion Leasin
1110235,03/22/2019 01:45:00 PM,451,1.36,32,32,Nova Taxi Affiliation Llc
1110236,03/22/2019 01:45:00 PM,445,1.26,32,8,Chicago Carriage Cab Corp
1110237,03/22/2019 01:45:00 PM,365,1.11,32,8,Chicago Carriage Cab Corp
1110238,03/22/2019 01:45:00 PM,300,0.84,8,8,Chicago Carriage Cab Corp
1110239,03/22/2019 01:45:00 PM,568,1.66,28,28,Chicago Carriage Cab Corp
1110240,03/22/2019 01:45:00 PM,189,0.75,3,77,City Service
1110241,03/22/2019 01:45:00 PM,360,0.6,8,32,Medallion Leasin
1110242,03/22/2019 01:45:00 PM,369,0.8,32,32,Medallion Leasin
1110243,03/22/2019 01:45:00 PM,2471,10.96,28,27,Flash Cab
1110244,03/22/2019 01:45:00 PM,582,1.7,8,28,Medallion Leasin
1110245,03/22/2019 01:45:00 PM,432,1.02,8,32,Sun Taxi
1110246,03/22/2019 01:45:00 PM,420,1.3,32,8,Globe Taxi
1110247,03/22/2019 01:45:00 PM,552,1.25,32,8,City Service
1110248,03/22/2019 01:45:00 PM,294,0.8,32,8,Medallion Leasin
1110249,03/22/2019 01:45:00 PM,202,0.95,33,32,City Service
1110250,03/22/2019 01:45:00 PM,296,0.61,8,28,Flash Cab
1110251,03/22/2019 01:45:00 PM,360,1.1,8,8,Medallion Leasin
1110252,03/22/2019 01:45:00 PM,575,1.66,32,8,Chicago Carriage Cab Corp
1110253,03/22/2019 01:45:00 PM,182,0.68,28,28,Sun Taxi
1110254,03/22/2019 01:45:00 PM,386,1.2,28,8,City Service
1110255,03/22/2019 01:45:00 PM,478,1.29,32,8,City Service
1110256,03/22/2019 01:45:00 PM,500,1.71,8,8,Sun Taxi
1110257,03/22/2019 01:45:00 PM,365,1.17,32,8,Chicago Carriage Cab Corp
1110258,03/22/2019 01:45:00 PM,360,1.1,32,8,Medallion Leasin
1110259,03/22/2019 01:45:00 PM,428,0.85,28,32,Chicago Carriage Cab Corp
1110260,03/22/2019 01:45:00 PM,240,0.6,32,32,Sun Taxi
1110261,03/22/2019 01:45:00 PM,240,0.6,8,32,Medallion Leasin
1110262,03/22/2019 01:45:00 PM,534,1.23,32,8,Chicago Carriage Cab Corp
1110263,03/22/2019 01:45:00 PM,400,0.84,28,32,Chicago Carriage Cab Corp
1110264,03/22/2019 01:45:00 PM,245,0.75,8,8,Chicago Carriage Cab Corp
1110265,03/22/2019 01:45:00 PM,195,0.7,32,28,Chicago Carriage Cab Corp
1110266,03/22/2019 01:45:00 PM,379,0.53,32,32,Chicago Carriage Cab Corp
1110267,03/22/2019 01:45:00 PM,448,1.2,32,8,Medallion Leasin
1110268,03/22/2019 01:45:00 PM,448,1.22,8,32,City Service
1110269,03/22/2019 01:45:00 PM,298,0.73,28,32,Chicago Carriage Cab Corp
1110270,03/22/2019 01:45:00 PM,264,0.73,32,28,Chicago Carriage Cab Corp
1110271,03/22/2019 01:45:00 PM,360,0.9,8,32,Medallion Leasin
1110272,03/22/2019 01:45:00 PM,338,0.79,8,8,Sun Taxi
1110273,03/22/2019 01:45:00 PM,213,0.9,32,32,Sun Taxi
1110274,03/22/2019 01:45:00 PM,570,1.37,8,8,Chicago Carriage Cab Corp
1110275,03/22/2019 01:45:00 PM,250,1.22,76,76,City Service
1110276,03/22/2019 01:45:00 PM,280,1.0,32,28,Chicago Carriage Cab Corp
1110277,03/22/2019 01:45:00 PM,317,0.51,32,32,Chicago Carriage Cab Corp
1110278,03/22/2019 01:45:00 PM,304,1.54,32,8,Sun Taxi
1110279,03/22/2019 01:45:00 PM,440,0.86,32,32,Chicago Carriage Cab Corp
1110280,03/22/2019 01:45:00 PM,399,1.49,3,6,Sun Taxi
1110281,03/22/2019 01:45:00 PM,458,0.84,8,32,Flash Cab
1110282,03/22/2019 01:45:00 PM,292,0.9,32,8,Chicago Carriage Cab Corp
1110283,03/22/2019 01:45:00 PM,281,0.62,8,32,Chicago Carriage Cab Corp
