,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1140000,03/25/2019 08:00:00 AM,380,0.79,28,8,Sun Taxi
1140001,03/25/2019 08:00:00 AM,2640,10.6,56,32,24 Seven Taxi
1140002,03/25/2019 08:00:00 AM,540,1.1,32,32,Sun Taxi
1140003,03/25/2019 08:00:00 AM,344,0.63,28,32,Chicago Carriage Cab Corp
1140004,03/25/2019 08:00:00 AM,398,0.72,28,32,City Service
1140005,03/25/2019 08:00:00 AM,302,0.73,8,8,Chicago Carriage Cab Corp
1140006,03/25/2019 08:00:00 AM,378,1.05,28,32,Chicago Carriage Cab Corp
1140007,03/25/2019 08:00:00 AM,349,1.06,8,8,Flash Cab
1140008,03/25/2019 08:00:00 AM,486,1.19,8,28,Chicago Carriage Cab Corp
1140009,03/25/2019 08:00:00 AM,3651,10.48,3,32,Chicago Carriage Cab Corp
1140010,03/25/2019 08:00:00 AM,456,1.31,28,32,Patriot Taxi Dba Peace Taxi Associat
1140011,03/25/2019 08:00:00 AM,262,0.7,8,8,Sun Taxi
1140012,03/25/2019 08:00:00 AM,260,0.8,3,6,City Service
1140013,03/25/2019 08:00:00 AM,300,0.7,28,32,24 Seven Taxi
1140014,03/25/2019 08:00:00 AM,408,0.67,32,32,Chicago Carriage Cab Corp
1140015,03/25/2019 08:00:00 AM,529,1.2,32,32,Medallion Leasin
1140016,03/25/2019 08:00:00 AM,360,0.9,28,24,Chicago Independents
1140017,03/25/2019 08:00:00 AM,231,0.71,28,32,Patriot Taxi Dba Peace Taxi Associat
1140018,03/25/2019 08:00:00 AM,564,1.27,32,32,Chicago Carriage Cab Corp
1140019,03/25/2019 08:00:00 AM,426,0.98,28,32,Chicago Carriage Cab Corp
1140020,03/25/2019 08:00:00 AM,418,0.63,28,32,City Service
1140021,03/25/2019 08:00:00 AM,415,1.07,32,8,Chicago Carriage Cab Corp
1140022,03/25/2019 08:00:00 AM,542,1.26,32,8,Sun Taxi
1140023,03/25/2019 08:00:00 AM,183,0.53,28,28,Chicago Carriage Cab Corp
1140024,03/25/2019 08:00:00 AM,558,1.02,28,32,Chicago Carriage Cab Corp
1140025,03/25/2019 08:00:00 AM,300,0.8,8,8,Globe Taxi
1140026,03/25/2019 08:00:00 AM,452,1.16,32,32,Patriot Taxi Dba Peace Taxi Associat
