,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1150000,03/25/2019 06:30:00 PM,360,1.2,32,28,Medallion Leasin
1150001,03/25/2019 06:30:00 PM,420,1.1,32,8,Chicago Independents
1150002,03/25/2019 06:30:00 PM,431,1.8,32,8,City Service
1150003,03/25/2019 06:30:00 PM,540,1.9,8,24,Chicago Independents
1150004,03/25/2019 06:30:00 PM,396,1.0,32,28,Medallion Leasin
1150005,03/25/2019 06:30:00 PM,465,1.0,32,28,Sun Taxi
1150006,03/25/2019 06:30:00 PM,249,0.75,28,32,Chicago Carriage Cab Corp
1150007,03/25/2019 06:30:00 PM,418,1.03,32,28,Chicago Carriage Cab Corp
1150008,03/25/2019 06:30:00 PM,420,1.6,8,32,City Service
1150009,03/25/2019 06:30:00 PM,500,1.09,32,28,Flash Cab
1150010,03/25/2019 06:30:00 PM,420,1.0,32,28,Medallion Leasin
1150011,03/25/2019 06:30:00 PM,300,0.8,8,8,Globe Taxi
1150012,03/25/2019 06:30:00 PM,282,1.04,8,8,Chicago Carriage Cab Corp
1150013,03/25/2019 06:30:00 PM,350,0.66,8,8,Flash Cab
1150014,03/25/2019 06:30:00 PM,508,1.05,8,28,Flash Cab
1150015,03/25/2019 06:30:00 PM,422,1.42,32,32,Sun Taxi
1150016,03/25/2019 06:30:00 PM,331,0.93,32,28,Chicago Carriage Cab Corp
1150017,03/25/2019 06:30:00 PM,433,0.7,32,32,Sun Taxi
1150018,03/25/2019 06:30:00 PM,199,0.54,32,32,Chicago Carriage Cab Corp
1150019,03/25/2019 06:30:00 PM,444,1.0,32,28,Flash Cab
1150020,03/25/2019 06:30:00 PM,480,1.0,8,32,Flash Cab
1150021,03/25/2019 06:30:00 PM,276,0.7,32,8,Flash Cab
1150022,03/25/2019 06:30:00 PM,350,1.5,32,32,Flash Cab
1150023,03/25/2019 06:30:00 PM,245,0.6,28,8,Flash Cab
1150024,03/25/2019 06:30:00 PM,520,1.4,32,28,Flash Cab
1150025,03/25/2019 06:30:00 PM,429,1.0,32,28,Flash Cab
1150026,03/25/2019 06:45:00 PM,300,1.2,7,8,Taxi Affiliation Services
1150027,03/25/2019 06:45:00 PM,420,1.0,32,32,Taxi Affiliation Services
1150028,03/25/2019 06:45:00 PM,240,0.6,32,32,Taxi Affiliation Services
1150029,03/25/2019 06:45:00 PM,360,0.7,32,32,Star North Management LLC
1150030,03/25/2019 06:45:00 PM,540,1.1,8,32,Taxi Affiliation Services
1150031,03/25/2019 06:45:00 PM,480,1.5,32,33,Star North Management LLC
1150032,03/25/2019 06:45:00 PM,540,1.2,32,8,Taxi Affiliation Services
1150033,03/25/2019 06:45:00 PM,480,1.5,32,32,KOAM Taxi Association
1150034,03/25/2019 06:45:00 PM,240,0.6,24,8,Chicago Medallion Management
1150035,03/25/2019 06:45:00 PM,360,0.8,28,28,Taxi Affiliation Services
1150036,03/25/2019 06:45:00 PM,360,1.0,8,8,Choice Taxi Association
1150037,03/25/2019 06:45:00 PM,300,0.8,32,8,Star North Management LLC
1150038,03/25/2019 06:45:00 PM,420,1.0,32,32,Star North Management LLC
1150039,03/25/2019 06:45:00 PM,360,0.9,32,8,Star North Management LLC
1150040,03/25/2019 06:45:00 PM,300,0.8,8,8,Choice Taxi Association
1150041,03/25/2019 06:45:00 PM,300,0.8,32,8,Taxi Affiliation Services
1150042,03/25/2019 06:45:00 PM,420,1.0,32,32,Star North Management LLC
1150043,03/25/2019 06:45:00 PM,540,0.7,8,8,Chicago Medallion Management
1150044,03/25/2019 06:45:00 PM,480,0.7,8,8,Taxi Affiliation Services
1150045,03/25/2019 06:45:00 PM,360,0.8,32,8,Taxi Affiliation Services
1150046,03/25/2019 06:45:00 PM,540,1.3,8,8,Taxi Affiliation Services
1150047,03/25/2019 06:45:00 PM,420,1.5,28,8,Star North Management LLC
1150048,03/25/2019 06:45:00 PM,420,0.9,32,32,Star North Management LLC
1150049,03/25/2019 06:45:00 PM,240,0.7,8,32,Choice Taxi Association
1150050,03/25/2019 06:45:00 PM,2160,0.7,76,2,Blue Ribbon Taxi Association Inc.
