,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1160000,03/26/2019 02:00:00 PM,318,0.87,8,32,Chicago Carriage Cab Corp
1160001,03/26/2019 02:00:00 PM,507,1.43,8,32,Flash Cab
1160002,03/26/2019 02:00:00 PM,360,0.7,8,8,Globe Taxi
1160003,03/26/2019 02:00:00 PM,265,0.58,8,8,Flash Cab
1160004,03/26/2019 02:00:00 PM,423,0.72,32,32,Sun Taxi
1160005,03/26/2019 02:00:00 PM,230,0.8,8,8,Medallion Leasin
1160006,03/26/2019 02:00:00 PM,340,0.78,32,28,Chicago Carriage Cab Corp
1160007,03/26/2019 02:00:00 PM,300,0.9,32,32,Sun Taxi
1160008,03/26/2019 02:00:00 PM,404,1.21,28,28,Chicago Carriage Cab Corp
1160009,03/26/2019 02:00:00 PM,213,0.68,8,8,City Service
1160010,03/26/2019 02:00:00 PM,268,0.88,32,8,Chicago Carriage Cab Corp
1160011,03/26/2019 02:00:00 PM,237,0.6,32,32,Medallion Leasin
1160012,03/26/2019 02:00:00 PM,439,1.25,32,8,Chicago Carriage Cab Corp
1160013,03/26/2019 02:00:00 PM,444,1.09,28,32,Chicago Carriage Cab Corp
1160014,03/26/2019 02:00:00 PM,435,0.99,32,28,Chicago Carriage Cab Corp
1160015,03/26/2019 02:00:00 PM,485,1.05,8,32,Chicago Carriage Cab Corp
1160016,03/26/2019 02:00:00 PM,564,1.3,32,8,Flash Cab
1160017,03/26/2019 02:00:00 PM,285,0.68,8,8,Chicago Carriage Cab Corp
1160018,03/26/2019 02:00:00 PM,437,1.23,8,32,Chicago Carriage Cab Corp
1160019,03/26/2019 02:00:00 PM,338,0.99,8,8,Chicago Carriage Cab Corp
1160020,03/26/2019 02:00:00 PM,377,0.88,32,32,Chicago Carriage Cab Corp
1160021,03/26/2019 02:00:00 PM,513,1.1,8,8,Chicago Carriage Cab Corp
1160022,03/26/2019 02:00:00 PM,360,0.8,32,32,Chicago Independents
1160023,03/26/2019 02:00:00 PM,320,0.79,8,32,Flash Cab
1160024,03/26/2019 02:00:00 PM,261,0.7,32,8,City Service
1160025,03/26/2019 02:00:00 PM,510,1.23,32,8,Chicago Carriage Cab Corp
1160026,03/26/2019 02:00:00 PM,464,1.46,8,32,Nova Taxi Affiliation Llc
1160027,03/26/2019 02:00:00 PM,328,0.71,32,32,Chicago Carriage Cab Corp
1160028,03/26/2019 02:00:00 PM,422,1.15,28,28,City Service
1160029,03/26/2019 02:00:00 PM,426,0.9,8,8,Medallion Leasin
1160030,03/26/2019 02:00:00 PM,317,0.67,8,8,Flash Cab
1160031,03/26/2019 02:00:00 PM,480,1.4,8,8,Medallion Leasin
1160032,03/26/2019 02:00:00 PM,488,1.26,32,8,Flash Cab
1160033,03/26/2019 02:00:00 PM,527,1.06,8,32,Nova Taxi Affiliation Llc
1160034,03/26/2019 02:00:00 PM,360,0.91,8,32,City Service
