,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1170000,03/27/2019 08:15:00 AM,480,0.8,32,8,Medallion Leasin
1170001,03/27/2019 08:15:00 AM,533,1.48,8,8,Flash Cab
1170002,03/27/2019 08:15:00 AM,351,0.83,32,28,Chicago Carriage Cab Corp
1170003,03/27/2019 08:15:00 AM,520,1.13,28,32,Chicago Carriage Cab Corp
1170004,03/27/2019 08:15:00 AM,414,0.97,8,32,Flash Cab
1170005,03/27/2019 08:15:00 AM,471,0.56,28,32,Chicago Carriage Cab Corp
1170006,03/27/2019 08:15:00 AM,371,0.58,32,28,Sun Taxi
1170007,03/27/2019 08:15:00 AM,385,0.9,32,32,Sun Taxi
1170008,03/27/2019 08:15:00 AM,485,0.72,32,32,Flash Cab
1170009,03/27/2019 08:15:00 AM,451,1.11,32,32,Nova Taxi Affiliation Llc
1170010,03/27/2019 08:15:00 AM,480,0.9,32,28,Medallion Leasin
1170011,03/27/2019 08:15:00 AM,551,1.29,28,32,Chicago Carriage Cab Corp
1170012,03/27/2019 08:15:00 AM,335,0.6,32,28,Flash Cab
1170013,03/27/2019 08:15:00 AM,540,1.3,28,32,Nova Taxi Affiliation Llc
1170014,03/27/2019 08:15:00 AM,300,0.6,28,32,Globe Taxi
1170015,03/27/2019 08:15:00 AM,380,0.84,28,28,Nova Taxi Affiliation Llc
1170016,03/27/2019 08:15:00 AM,540,0.9,28,28,Medallion Leasin
1170017,03/27/2019 08:15:00 AM,329,0.52,28,28,Flash Cab
1170018,03/27/2019 08:15:00 AM,446,1.9,6,3,Nova Taxi Affiliation Llc
1170019,03/27/2019 08:15:00 AM,416,0.6,28,28,Chicago Carriage Cab Corp
1170020,03/27/2019 08:15:00 AM,584,1.61,8,28,Chicago Carriage Cab Corp
1170021,03/27/2019 08:15:00 AM,332,1.03,32,8,Sun Taxi
1170022,03/27/2019 08:15:00 AM,541,1.6,32,32,Flash Cab
1170023,03/27/2019 08:15:00 AM,401,0.81,32,32,Chicago Carriage Cab Corp
1170024,03/27/2019 08:15:00 AM,360,1.5,32,28,Globe Taxi
1170025,03/27/2019 08:15:00 AM,399,0.87,28,32,24 Seven Taxi
1170026,03/27/2019 08:15:00 AM,522,0.97,28,8,Chicago Carriage Cab Corp
1170027,03/27/2019 08:15:00 AM,282,0.6,8,8,Chicago Carriage Cab Corp
1170028,03/27/2019 08:15:00 AM,376,0.65,32,32,Chicago Carriage Cab Corp
1170029,03/27/2019 08:15:00 AM,488,0.85,28,8,Chicago Carriage Cab Corp
1170030,03/27/2019 08:15:00 AM,582,1.04,28,32,Chicago Carriage Cab Corp
1170031,03/27/2019 08:15:00 AM,198,0.67,32,32,Chicago Carriage Cab Corp
1170032,03/27/2019 08:15:00 AM,333,0.71,28,32,Nova Taxi Affiliation Llc
1170033,03/27/2019 08:15:00 AM,467,1.18,33,32,Chicago Carriage Cab Corp
1170034,03/27/2019 08:15:00 AM,549,0.9,8,28,Medallion Leasin
1170035,03/27/2019 08:15:00 AM,352,0.68,32,32,Sun Taxi
1170036,03/27/2019 08:15:00 AM,550,1.87,28,28,City Service
1170037,03/27/2019 08:15:00 AM,474,1.35,32,8,Flash Cab
1170038,03/27/2019 08:15:00 AM,536,0.6,28,32,Medallion Leasin
1170039,03/27/2019 08:15:00 AM,476,1.2,8,32,Medallion Leasin
1170040,03/27/2019 08:15:00 AM,480,0.7,32,8,Medallion Leasin
1170041,03/27/2019 08:15:00 AM,356,0.96,8,32,City Service
1170042,03/27/2019 08:15:00 AM,420,1.6,77,1,Chicago Independents
1170043,03/27/2019 08:15:00 AM,416,1.0,8,32,City Service
1170044,03/27/2019 08:15:00 AM,540,1.3,32,32,Chicago Independents
1170045,03/27/2019 08:15:00 AM,369,0.67,32,32,Nova Taxi Affiliation Llc
1170046,03/27/2019 08:15:00 AM,540,1.0,8,28,Medallion Leasin
1170047,03/27/2019 08:15:00 AM,360,0.6,28,32,24 Seven Taxi
1170048,03/27/2019 08:15:00 AM,240,0.8,28,32,Medallion Leasin
1170049,03/27/2019 08:15:00 AM,392,0.65,32,8,Flash Cab
1170050,03/27/2019 08:15:00 AM,322,0.57,32,32,Chicago Carriage Cab Corp
1170051,03/27/2019 08:15:00 AM,318,0.73,28,32,Sun Taxi
1170052,03/27/2019 08:15:00 AM,240,0.6,32,32,Medallion Leasin
1170053,03/27/2019 08:15:00 AM,413,0.73,32,32,Sun Taxi
1170054,03/27/2019 08:15:00 AM,398,0.7,8,32,City Service
1170055,03/27/2019 08:15:00 AM,540,0.9,8,8,Medallion Leasin
1170056,03/27/2019 08:15:00 AM,495,0.89,28,32,Chicago Carriage Cab Corp
1170057,03/27/2019 08:15:00 AM,316,0.77,28,32,Chicago Carriage Cab Corp
1170058,03/27/2019 08:15:00 AM,420,0.7,28,32,Medallion Leasin
1170059,03/27/2019 08:15:00 AM,508,1.13,28,28,Chicago Carriage Cab Corp
1170060,03/27/2019 08:15:00 AM,456,1.03,32,32,Chicago Carriage Cab Corp
1170061,03/27/2019 08:15:00 AM,550,0.63,32,32,Chicago Carriage Cab Corp
1170062,03/27/2019 08:15:00 AM,360,1.3,28,28,Medallion Leasin
1170063,03/27/2019 08:15:00 AM,499,1.3,8,8,City Service
1170064,03/27/2019 08:15:00 AM,540,1.1,32,32,Medallion Leasin
1170065,03/27/2019 08:15:00 AM,490,0.78,32,32,Gold Coast Taxi
1170066,03/27/2019 08:15:00 AM,351,0.67,8,8,Flash Cab
1170067,03/27/2019 08:15:00 AM,330,0.53,8,8,Nova Taxi Affiliation Llc
1170068,03/27/2019 08:15:00 AM,530,0.92,32,32,Sun Taxi
1170069,03/27/2019 08:15:00 AM,404,1.3,32,32,City Service
1170070,03/27/2019 08:15:00 AM,261,0.74,32,32,Sun Taxi
1170071,03/27/2019 08:15:00 AM,399,0.84,28,32,Chicago Carriage Cab Corp
1170072,03/27/2019 08:15:00 AM,420,0.7,28,32,Medallion Leasin
1170073,03/27/2019 08:15:00 AM,420,0.6,28,32,Globe Taxi
1170074,03/27/2019 08:15:00 AM,274,0.62,28,28,Chicago Carriage Cab Corp
1170075,03/27/2019 08:15:00 AM,263,0.65,8,32,Chicago Carriage Cab Corp
1170076,03/27/2019 08:15:00 AM,300,0.8,28,32,Medallion Leasin
1170077,03/27/2019 08:15:00 AM,249,0.58,32,32,Nova Taxi Affiliation Llc
1170078,03/27/2019 08:15:00 AM,411,0.82,28,32,Chicago Carriage Cab Corp
1170079,03/27/2019 08:15:00 AM,528,0.97,32,28,Chicago Carriage Cab Corp
1170080,03/27/2019 08:15:00 AM,595,1.18,28,8,Chicago Carriage Cab Corp
1170081,03/27/2019 08:15:00 AM,503,1.28,8,32,City Service
1170082,03/27/2019 08:15:00 AM,346,1.2,8,28,City Service
1170083,03/27/2019 08:15:00 AM,359,1.0,32,8,City Service
1170084,03/27/2019 08:15:00 AM,434,1.19,8,8,Chicago Carriage Cab Corp
1170085,03/27/2019 08:15:00 AM,480,1.0,8,32,Medallion Leasin
1170086,03/27/2019 08:15:00 AM,524,1.0,28,8,Medallion Leasin
1170087,03/27/2019 08:15:00 AM,480,1.3,28,8,Metro Jet Taxi A
1170088,03/27/2019 08:15:00 AM,518,1.47,32,32,Chicago Carriage Cab Corp
1170089,03/27/2019 08:15:00 AM,322,0.9,8,32,Medallion Leasin
1170090,03/27/2019 08:15:00 AM,351,0.99,8,32,Chicago Carriage Cab Corp
1170091,03/27/2019 08:15:00 AM,300,0.98,32,32,Chicago Carriage Cab Corp
1170092,03/27/2019 08:15:00 AM,420,0.61,28,32,Nova Taxi Affiliation Llc
1170093,03/27/2019 08:15:00 AM,411,0.55,32,32,Chicago Carriage Cab Corp
1170094,03/27/2019 08:15:00 AM,209,0.59,32,32,Chicago Carriage Cab Corp
1170095,03/27/2019 08:15:00 AM,520,1.09,28,8,Chicago Carriage Cab Corp
1170096,03/27/2019 08:15:00 AM,420,0.8,32,32,Globe Taxi
1170097,03/27/2019 08:15:00 AM,442,0.68,32,32,Flash Cab
1170098,03/27/2019 08:15:00 AM,586,0.98,32,28,Flash Cab
1170099,03/27/2019 08:15:00 AM,399,1.0,8,32,Chicago Carriage Cab Corp
1170100,03/27/2019 08:15:00 AM,276,0.65,32,8,Sun Taxi
1170101,03/27/2019 08:15:00 AM,318,0.59,8,32,City Service
1170102,03/27/2019 08:15:00 AM,303,0.6,8,32,Medallion Leasin
1170103,03/27/2019 08:15:00 AM,230,0.58,28,32,Chicago Carriage Cab Corp
1170104,03/27/2019 08:15:00 AM,443,1.0,32,8,Sun Taxi
1170105,03/27/2019 08:15:00 AM,426,1.08,8,32,Sun Taxi
1170106,03/27/2019 08:15:00 AM,281,0.64,32,32,Chicago Carriage Cab Corp
1170107,03/27/2019 08:15:00 AM,564,0.81,32,32,Chicago Carriage Cab Corp
