,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1180000,03/27/2019 06:15:00 PM,540,0.85,11,11,Sun Taxi
1180001,03/27/2019 06:15:00 PM,491,1.33,8,32,Sun Taxi
1180002,03/27/2019 06:15:00 PM,279,0.54,8,8,Sun Taxi
1180003,03/27/2019 06:15:00 PM,301,1.01,32,8,Chicago Carriage Cab Corp
1180004,03/27/2019 06:15:00 PM,359,1.2,32,8,City Service
1180005,03/27/2019 06:15:00 PM,406,0.97,32,28,City Service
1180006,03/27/2019 06:15:00 PM,520,1.4,8,8,City Service
1180007,03/27/2019 06:15:00 PM,361,0.92,32,32,City Service
1180008,03/27/2019 06:15:00 PM,360,1.2,8,32,Metro Jet Taxi A
1180009,03/27/2019 06:15:00 PM,475,0.94,8,8,Chicago Carriage Cab Corp
1180010,03/27/2019 06:15:00 PM,319,0.97,32,28,Flash Cab
1180011,03/27/2019 06:15:00 PM,360,0.6,32,8,Sun Taxi
1180012,03/27/2019 06:15:00 PM,412,0.9,8,8,Checker Taxi Affiliation
1180013,03/27/2019 06:15:00 PM,515,1.12,28,28,Sun Taxi
1180014,03/27/2019 06:15:00 PM,308,0.7,28,32,Taxi Affiliation Service Yellow
1180015,03/27/2019 06:15:00 PM,290,0.7,8,8,Taxi Affiliation Service Yellow
1180016,03/27/2019 06:15:00 PM,432,1.0,28,32,Taxi Affiliation Service Yellow
1180017,03/27/2019 06:15:00 PM,587,1.5,32,8,Blue Diamond
1180018,03/27/2019 06:15:00 PM,592,1.47,32,32,Taxi Affiliation Service Yellow
1180019,03/27/2019 06:15:00 PM,432,1.09,32,28,Sun Taxi
1180020,03/27/2019 06:15:00 PM,578,1.3,32,8,City Service
1180021,03/27/2019 06:15:00 PM,400,0.78,32,28,Taxi Affiliation Service Yellow
1180022,03/27/2019 06:15:00 PM,418,1.2,32,8,Blue Diamond
1180023,03/27/2019 06:15:00 PM,360,0.8,8,32,Medallion Leasin
1180024,03/27/2019 06:15:00 PM,375,1.0,24,28,Taxi Affiliation Service Yellow
1180025,03/27/2019 06:15:00 PM,277,0.67,28,32,Taxi Affiliation Service Yellow
1180026,03/27/2019 06:15:00 PM,323,0.6,32,8,Checker Taxi Affiliation
1180027,03/27/2019 06:15:00 PM,388,1.0,32,28,City Service
1180028,03/27/2019 06:15:00 PM,308,0.83,28,28,Taxi Affiliation Service Yellow
1180029,03/27/2019 06:15:00 PM,360,1.3,32,8,Medallion Leasin
1180030,03/27/2019 06:15:00 PM,244,0.65,8,32,City Service
1180031,03/27/2019 06:15:00 PM,492,1.2,32,8,Medallion Leasin
1180032,03/27/2019 06:15:00 PM,298,0.87,32,8,City Service
1180033,03/27/2019 06:15:00 PM,410,0.9,32,28,City Service
1180034,03/27/2019 06:15:00 PM,520,1.15,8,32,Flash Cab
1180035,03/27/2019 06:15:00 PM,186,0.7,32,28,Medallion Leasin
1180036,03/27/2019 06:15:00 PM,360,0.9,8,32,Sun Taxi
1180037,03/27/2019 06:15:00 PM,491,1.0,32,32,Medallion Leasin
1180038,03/27/2019 06:15:00 PM,203,0.8,33,33,Flash Cab
1180039,03/27/2019 06:15:00 PM,225,0.6,32,28,Taxi Affiliation Service Yellow
1180040,03/27/2019 06:15:00 PM,420,1.7,32,3,Medallion Leasin
1180041,03/27/2019 06:15:00 PM,598,1.54,32,8,City Service
1180042,03/27/2019 06:15:00 PM,434,1.25,8,32,Chicago Carriage Cab Corp
1180043,03/27/2019 06:15:00 PM,379,0.78,32,8,Chicago Carriage Cab Corp
1180044,03/27/2019 06:15:00 PM,524,1.99,32,33,Flash Cab
1180045,03/27/2019 06:15:00 PM,533,0.96,32,28,Flash Cab
1180046,03/27/2019 06:15:00 PM,428,1.13,32,28,Chicago Carriage Cab Corp
1180047,03/27/2019 06:15:00 PM,312,0.64,32,8,City Service
1180048,03/27/2019 06:15:00 PM,473,0.91,32,8,Sun Taxi
1180049,03/27/2019 06:15:00 PM,540,0.9,28,32,Medallion Leasin
1180050,03/27/2019 06:15:00 PM,493,1.03,8,32,Chicago Carriage Cab Corp
1180051,03/27/2019 06:15:00 PM,390,0.81,8,8,Sun Taxi
1180052,03/27/2019 06:15:00 PM,383,0.9,32,28,Globe Taxi
1180053,03/27/2019 06:15:00 PM,420,1.02,8,32,Chicago Carriage Cab Corp
1180054,03/27/2019 06:15:00 PM,455,1.1,32,8,Medallion Leasin
1180055,03/27/2019 06:15:00 PM,203,0.51,8,8,City Service
1180056,03/27/2019 06:15:00 PM,326,0.8,28,28,Checker Taxi Affiliation
1180057,03/27/2019 06:15:00 PM,322,1.2,32,28,Chicago Taxicab
1180058,03/27/2019 06:15:00 PM,446,0.88,32,8,City Service
1180059,03/27/2019 06:15:00 PM,352,1.01,28,8,Taxi Affiliation Service Yellow
1180060,03/27/2019 06:15:00 PM,219,0.57,33,35,Flash Cab
1180061,03/27/2019 06:15:00 PM,454,1.2,32,32,Taxi Affiliation Service Yellow
1180062,03/27/2019 06:15:00 PM,485,0.7,32,32,Blue Diamond
1180063,03/27/2019 06:15:00 PM,585,1.45,13,13,Flash Cab
1180064,03/27/2019 06:15:00 PM,317,0.56,8,8,City Service
1180065,03/27/2019 06:15:00 PM,428,0.93,32,32,Flash Cab
1180066,03/27/2019 06:15:00 PM,360,0.9,32,8,Sun Taxi
1180067,03/27/2019 06:15:00 PM,500,1.7,32,8,Gold Coast Taxi
1180068,03/27/2019 06:15:00 PM,592,1.2,32,8,Medallion Leasin
1180069,03/27/2019 06:15:00 PM,430,1.21,28,28,Sun Taxi
1180070,03/27/2019 06:15:00 PM,430,1.42,32,8,Patriot Taxi Dba Peace Taxi Associat
1180071,03/27/2019 06:15:00 PM,300,0.9,32,28,Globe Taxi
1180072,03/27/2019 06:15:00 PM,282,1.13,32,32,Chicago Carriage Cab Corp
1180073,03/27/2019 06:15:00 PM,502,0.8,8,8,Flash Cab
