,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1210000,03/29/2019 05:45:00 PM,540,1.1,28,8,Star North Management LLC
1210001,03/29/2019 05:45:00 PM,480,0.8,8,32,Taxi Affiliation Services
1210002,03/29/2019 05:45:00 PM,300,0.8,32,28,Chicago Medallion Management
1210003,03/29/2019 05:45:00 PM,540,1.2,8,28,Taxi Affiliation Services
1210004,03/29/2019 05:45:00 PM,540,1.1,32,28,Choice Taxi Association
1210005,03/29/2019 05:45:00 PM,360,1.2,32,8,Taxi Affiliation Services
1210006,03/29/2019 05:45:00 PM,240,0.6,8,8,Taxi Affiliation Services
1210007,03/29/2019 05:45:00 PM,420,1.0,28,32,Choice Taxi Association
1210008,03/29/2019 05:45:00 PM,480,0.8,8,32,Top Cab Affiliation
1210009,03/29/2019 05:45:00 PM,3480,0.9,76,3,Taxi Affiliation Services
1210010,03/29/2019 05:45:00 PM,420,1.1,32,32,Star North Management LLC
1210011,03/29/2019 05:45:00 PM,420,0.8,8,8,Chicago Medallion Management
1210012,03/29/2019 05:45:00 PM,3360,1.1,76,8,Blue Ribbon Taxi Association Inc.
1210013,03/29/2019 05:45:00 PM,540,1.4,32,8,Taxi Affiliation Services
1210014,03/29/2019 05:45:00 PM,420,1.1,32,8,Choice Taxi Association
1210015,03/29/2019 05:45:00 PM,3720,1.0,76,28,Taxi Affiliation Services
1210016,03/29/2019 05:45:00 PM,360,0.8,28,8,Star North Management LLC
1210017,03/29/2019 05:45:00 PM,360,0.6,32,32,Chicago Medallion Management
1210018,03/29/2019 05:45:00 PM,300,0.7,32,28,1085 - 72312 N and W Cab Co
1210019,03/29/2019 05:45:00 PM,240,0.7,32,32,Taxi Affiliation Services
1210020,03/29/2019 05:45:00 PM,420,0.9,32,32,Star North Management LLC
1210021,03/29/2019 05:45:00 PM,420,0.9,8,8,Taxi Affiliation Services
1210022,03/29/2019 05:45:00 PM,480,1.0,8,32,Taxi Affiliation Services
1210023,03/29/2019 05:45:00 PM,540,1.0,32,28,Choice Taxi Association
1210024,03/29/2019 05:45:00 PM,300,0.7,32,28,Taxi Affiliation Services
1210025,03/29/2019 05:45:00 PM,420,1.4,28,28,Taxi Affiliation Services
1210026,03/29/2019 05:45:00 PM,300,0.6,32,28,Taxi Affiliation Services
1210027,03/29/2019 05:45:00 PM,360,0.9,32,32,Choice Taxi Association
1210028,03/29/2019 05:45:00 PM,480,1.4,32,28,Taxi Affiliation Services
1210029,03/29/2019 05:45:00 PM,300,0.8,32,28,Star North Management LLC
1210030,03/29/2019 05:45:00 PM,480,1.3,32,8,Taxi Affiliation Services
1210031,03/29/2019 05:45:00 PM,420,1.1,28,8,Taxi Affiliation Services
1210032,03/29/2019 05:45:00 PM,300,0.6,8,8,Taxi Affiliation Services
1210033,03/29/2019 05:45:00 PM,360,0.8,32,32,Choice Taxi Association
1210034,03/29/2019 05:45:00 PM,420,1.2,28,28,"Taxicab Insurance Agency, LLC"
1210035,03/29/2019 05:45:00 PM,540,1.0,32,8,Chicago Medallion Management
1210036,03/29/2019 05:45:00 PM,420,0.8,32,8,Star North Management LLC
1210037,03/29/2019 05:45:00 PM,540,1.4,28,28,Taxi Affiliation Services
1210038,03/29/2019 05:45:00 PM,540,1.3,8,8,Taxi Affiliation Services
1210039,03/29/2019 05:45:00 PM,240,1.7,6,7,Choice Taxi Association
1210040,03/29/2019 05:45:00 PM,360,1.1,6,6,Choice Taxi Association
1210041,03/29/2019 05:45:00 PM,480,1.1,8,32,"Taxicab Insurance Agency, LLC"
1210042,03/29/2019 05:45:00 PM,300,0.7,32,8,Choice Taxi Association
1210043,03/29/2019 05:45:00 PM,360,0.6,8,32,Taxi Affiliation Services
1210044,03/29/2019 05:45:00 PM,540,1.3,8,32,2092 - 61288 Sbeih company
1210045,03/29/2019 05:45:00 PM,240,0.8,28,32,Taxi Affiliation Services
1210046,03/29/2019 05:45:00 PM,240,0.7,32,32,Star North Management LLC
1210047,03/29/2019 05:45:00 PM,240,0.7,32,28,Star North Management LLC
1210048,03/29/2019 05:45:00 PM,240,0.6,32,32,Taxi Affiliation Services
1210049,03/29/2019 05:45:00 PM,300,0.6,8,32,Star North Management LLC
1210050,03/29/2019 05:45:00 PM,360,0.7,8,8,Star North Management LLC
1210051,03/29/2019 05:45:00 PM,540,1.1,8,28,Chicago Medallion Management
