,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1240000,04/01/2019 01:45:00 PM,360,1.0,32,32,"Taxicab Insurance Agency, LLC"
1240001,04/01/2019 01:45:00 PM,240,0.7,8,32,Taxi Affiliation Services
1240002,04/01/2019 01:45:00 PM,420,1.9,8,32,Star North Management LLC
1240003,04/01/2019 01:45:00 PM,420,0.9,8,32,Taxi Affiliation Services
1240004,04/01/2019 01:45:00 PM,360,1.1,32,8,Star North Management LLC
1240005,04/01/2019 01:45:00 PM,480,0.9,32,32,Taxi Affiliation Services
1240006,04/01/2019 01:45:00 PM,240,0.8,28,8,Top Cab Affiliation
1240007,04/01/2019 01:45:00 PM,480,0.7,32,32,Star North Management LLC
1240008,04/01/2019 01:45:00 PM,360,0.7,32,32,Taxi Affiliation Services
1240009,04/01/2019 01:45:00 PM,300,0.8,8,8,Taxi Affiliation Services
1240010,04/01/2019 01:45:00 PM,420,1.1,32,8,Taxi Affiliation Services
1240011,04/01/2019 01:45:00 PM,300,0.9,28,32,"Taxicab Insurance Agency, LLC"
1240012,04/01/2019 01:45:00 PM,360,1.0,6,6,KOAM Taxi Association
1240013,04/01/2019 01:45:00 PM,420,1.0,32,32,Taxi Affiliation Services
1240014,04/01/2019 01:45:00 PM,540,1.7,32,8,Taxi Affiliation Services
1240015,04/01/2019 01:45:00 PM,480,0.9,8,32,6574 - Babylon Express Inc.
1240016,04/01/2019 01:45:00 PM,1920,10.1,76,28,Choice Taxi Association
1240017,04/01/2019 01:45:00 PM,480,1.2,32,8,Star North Management LLC
1240018,04/01/2019 01:45:00 PM,420,1.1,32,8,"Taxicab Insurance Agency, LLC"
1240019,04/01/2019 01:45:00 PM,360,1.2,8,8,Star North Management LLC
1240020,04/01/2019 01:45:00 PM,300,1.3,16,16,Taxi Affiliation Services
1240021,04/01/2019 01:45:00 PM,420,0.9,32,32,Taxi Affiliation Services
1240022,04/01/2019 01:45:00 PM,360,1.2,28,28,Top Cab Affiliation
1240023,04/01/2019 01:45:00 PM,540,1.3,32,8,Taxi Affiliation Services
1240024,04/01/2019 01:45:00 PM,480,1.1,32,28,Choice Taxi Association
1240025,04/01/2019 01:45:00 PM,2160,1.1,76,32,Taxi Affiliation Services
1240026,04/01/2019 01:45:00 PM,540,1.6,8,32,Taxi Affiliation Services
1240027,04/01/2019 01:45:00 PM,480,1.3,8,32,Choice Taxi Association
1240028,04/01/2019 01:45:00 PM,300,1.4,11,16,Choice Taxi Association
1240029,04/01/2019 01:45:00 PM,540,1.1,28,32,Chicago Medallion Management
1240030,04/01/2019 01:45:00 PM,420,1.0,32,8,Star North Management LLC
1240031,04/01/2019 01:45:00 PM,480,1.9,32,8,Taxi Affiliation Services
1240032,04/01/2019 01:45:00 PM,240,0.7,32,28,"Taxicab Insurance Agency, LLC"
1240033,04/01/2019 01:45:00 PM,300,0.9,32,28,Star North Management LLC
1240034,04/01/2019 01:45:00 PM,420,1.8,32,33,Taxi Affiliation Services
1240035,04/01/2019 01:45:00 PM,360,1.1,32,8,Star North Management LLC
1240036,04/01/2019 01:45:00 PM,240,0.7,32,28,Star North Management LLC
1240037,04/01/2019 01:45:00 PM,540,1.0,32,32,Taxi Affiliation Services
1240038,04/01/2019 01:45:00 PM,540,1.0,32,8,Taxi Affiliation Services
1240039,04/01/2019 01:45:00 PM,300,0.9,28,32,Taxi Affiliation Services
1240040,04/01/2019 01:45:00 PM,300,0.9,28,28,Choice Taxi Association
1240041,04/01/2019 01:45:00 PM,1860,1.1,76,8,Blue Ribbon Taxi Association Inc.
1240042,04/01/2019 01:45:00 PM,540,1.7,28,8,Taxi Affiliation Services
1240043,04/01/2019 01:45:00 PM,480,1.2,32,8,Taxi Affiliation Services
1240044,04/01/2019 01:45:00 PM,540,1.9,28,28,Taxi Affiliation Services
1240045,04/01/2019 01:45:00 PM,300,1.1,8,8,Star North Management LLC
1240046,04/01/2019 01:45:00 PM,360,1.1,32,8,Taxi Affiliation Services
1240047,04/01/2019 01:45:00 PM,300,1.2,32,28,"Taxicab Insurance Agency, LLC"
1240048,04/01/2019 01:45:00 PM,540,1.0,8,32,Chicago Medallion Management
1240049,04/01/2019 01:45:00 PM,300,1.1,6,3,Taxi Affiliation Services
1240050,04/01/2019 01:45:00 PM,480,0.9,32,8,Star North Management LLC
1240051,04/01/2019 01:45:00 PM,300,0.8,32,8,Taxi Affiliation Services
1240052,04/01/2019 01:45:00 PM,360,0.9,32,28,Star North Management LLC
1240053,04/01/2019 01:45:00 PM,1920,1.0,76,28,Taxi Affiliation Services
1240054,04/01/2019 01:45:00 PM,420,1.4,32,28,Star North Management LLC
1240055,04/01/2019 01:45:00 PM,480,1.3,32,8,Taxi Affiliation Services
1240056,04/01/2019 01:45:00 PM,480,1.3,32,32,Star North Management LLC
1240057,04/01/2019 01:45:00 PM,420,0.9,7,7,Choice Taxi Association
1240058,04/01/2019 01:45:00 PM,285,0.91,32,32,Chicago Carriage Cab Corp
1240059,04/01/2019 01:45:00 PM,337,0.88,28,8,Nova Taxi Affiliation Llc
1240060,04/01/2019 01:45:00 PM,292,1.06,32,28,Flash Cab
1240061,04/01/2019 01:45:00 PM,323,1.0,8,32,Medallion Leasin
1240062,04/01/2019 01:45:00 PM,332,0.62,8,8,City Service
1240063,04/01/2019 01:45:00 PM,328,0.75,8,8,City Service
1240064,04/01/2019 01:45:00 PM,474,1.1,32,8,Gold Coast Taxi
1240065,04/01/2019 01:45:00 PM,2481,0.63,77,3,City Service
1240066,04/01/2019 01:45:00 PM,379,1.15,32,32,24 Seven Taxi
1240067,04/01/2019 01:45:00 PM,459,0.9,8,32,Flash Cab
1240068,04/01/2019 01:45:00 PM,420,0.9,8,32,Sun Taxi
1240069,04/01/2019 01:45:00 PM,329,0.8,32,32,Chicago Carriage Cab Corp
1240070,04/01/2019 01:45:00 PM,508,1.37,25,26,Flash Cab
1240071,04/01/2019 01:45:00 PM,470,1.86,32,8,Gold Coast Taxi
1240072,04/01/2019 01:45:00 PM,480,1.0,8,32,Globe Taxi
1240073,04/01/2019 01:45:00 PM,257,0.75,32,8,Patriot Taxi Dba Peace Taxi Associat
1240074,04/01/2019 01:45:00 PM,528,1.19,32,8,Gold Coast Taxi
1240075,04/01/2019 01:45:00 PM,367,0.99,32,28,Chicago Carriage Cab Corp
1240076,04/01/2019 01:45:00 PM,434,0.94,8,8,City Service
1240077,04/01/2019 01:45:00 PM,591,1.91,32,8,Chicago Carriage Cab Corp
1240078,04/01/2019 01:45:00 PM,340,1.13,8,32,Flash Cab
1240079,04/01/2019 01:45:00 PM,326,0.51,8,8,City Service
1240080,04/01/2019 01:45:00 PM,360,0.8,8,8,Sun Taxi
1240081,04/01/2019 01:45:00 PM,487,1.2,28,8,Medallion Leasin
1240082,04/01/2019 01:45:00 PM,373,0.9,8,8,City Service
1240083,04/01/2019 01:45:00 PM,480,1.0,8,32,Medallion Leasin
1240084,04/01/2019 01:45:00 PM,355,0.8,28,28,Chicago Carriage Cab Corp
1240085,04/01/2019 01:45:00 PM,240,1.0,32,8,Chicago Independents
1240086,04/01/2019 01:45:00 PM,591,1.23,28,28,Chicago Carriage Cab Corp
1240087,04/01/2019 01:45:00 PM,229,0.69,32,32,Chicago Carriage Cab Corp
1240088,04/01/2019 01:45:00 PM,483,1.46,8,8,24 Seven Taxi
1240089,04/01/2019 01:45:00 PM,393,1.0,59,59,Flash Cab
1240090,04/01/2019 01:45:00 PM,584,1.5,8,8,Medallion Leasin
1240091,04/01/2019 01:45:00 PM,360,0.7,8,32,Medallion Leasin
1240092,04/01/2019 01:45:00 PM,540,1.6,8,28,Nova Taxi Affiliation Llc
1240093,04/01/2019 01:45:00 PM,341,0.8,8,32,Checker Taxi Affiliation
1240094,04/01/2019 01:45:00 PM,377,1.1,3,3,Flash Cab
1240095,04/01/2019 01:45:00 PM,485,1.2,28,32,Medallion Leasin
1240096,04/01/2019 01:45:00 PM,520,1.11,32,32,City Service
1240097,04/01/2019 01:45:00 PM,310,1.2,28,8,24 Seven Taxi
1240098,04/01/2019 01:45:00 PM,332,1.06,32,32,Chicago Carriage Cab Corp
1240099,04/01/2019 01:45:00 PM,240,0.7,32,8,Nova Taxi Affiliation Llc
1240100,04/01/2019 01:45:00 PM,375,1.07,32,33,Taxi Affiliation Service Yellow
1240101,04/01/2019 01:45:00 PM,480,0.9,8,8,Medallion Leasin
1240102,04/01/2019 01:45:00 PM,584,1.2,8,8,Chicago Taxicab
1240103,04/01/2019 01:45:00 PM,572,1.1,8,32,Medallion Leasin
1240104,04/01/2019 01:45:00 PM,300,1.6,32,33,Medallion Leasin
1240105,04/01/2019 01:45:00 PM,425,1.27,8,32,Chicago Carriage Cab Corp
1240106,04/01/2019 01:45:00 PM,420,1.2,32,8,Globe Taxi
1240107,04/01/2019 01:45:00 PM,234,0.6,32,32,Blue Diamond
1240108,04/01/2019 01:45:00 PM,250,0.71,32,8,Chicago Carriage Cab Corp
1240109,04/01/2019 01:45:00 PM,363,1.57,28,32,Chicago Carriage Cab Corp
1240110,04/01/2019 01:45:00 PM,405,1.36,32,8,Chicago Carriage Cab Corp
1240111,04/01/2019 01:45:00 PM,467,1.31,28,8,Taxi Affiliation Service Yellow
1240112,04/01/2019 01:45:00 PM,280,0.64,32,32,Chicago Carriage Cab Corp
1240113,04/01/2019 01:45:00 PM,282,0.65,8,8,Flash Cab
1240114,04/01/2019 01:45:00 PM,504,1.33,28,32,City Service
1240115,04/01/2019 01:45:00 PM,536,1.8,28,8,Sun Taxi
1240116,04/01/2019 01:45:00 PM,360,1.1,32,28,Chicago Independents
1240117,04/01/2019 01:45:00 PM,218,0.56,8,32,Sun Taxi
1240118,04/01/2019 01:45:00 PM,455,1.56,32,32,City Service
1240119,04/01/2019 01:45:00 PM,433,1.18,32,8,City Service
1240120,04/01/2019 01:45:00 PM,362,1.0,32,8,Sun Taxi
1240121,04/01/2019 01:45:00 PM,287,0.7,28,28,City Service
1240122,04/01/2019 01:45:00 PM,260,0.74,8,8,Flash Cab
1240123,04/01/2019 01:45:00 PM,455,1.82,32,8,Chicago Carriage Cab Corp
1240124,04/01/2019 01:45:00 PM,268,0.72,32,32,City Service
1240125,04/01/2019 01:45:00 PM,230,0.52,32,32,Chicago Carriage Cab Corp
1240126,04/01/2019 01:45:00 PM,558,1.01,8,8,Sun Taxi
