,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1270000,04/03/2019 11:30:00 AM,331,1.12,32,8,Sun Taxi
1270001,04/03/2019 11:30:00 AM,300,1.6,33,32,Globe Taxi
1270002,04/03/2019 11:30:00 AM,393,0.85,32,32,Chicago Carriage Cab Corp
1270003,04/03/2019 11:30:00 AM,392,1.01,3,3,Flash Cab
1270004,04/03/2019 11:30:00 AM,294,0.7,32,32,Chicago Taxicab
1270005,04/03/2019 11:30:00 AM,575,1.17,8,8,City Service
1270006,04/03/2019 11:30:00 AM,271,1.1,8,8,Flash Cab
1270007,04/03/2019 11:30:00 AM,304,0.8,32,32,City Service
1270008,04/03/2019 11:30:00 AM,579,1.12,32,28,Sun Taxi
1270009,04/03/2019 11:30:00 AM,408,1.13,8,8,Chicago Carriage Cab Corp
1270010,04/03/2019 11:30:00 AM,480,0.8,32,8,Medallion Leasin
1270011,04/03/2019 11:30:00 AM,432,0.9,32,8,Chicago Taxicab
1270012,04/03/2019 11:30:00 AM,411,1.03,32,8,Taxi Affiliation Service Yellow
1270013,04/03/2019 11:30:00 AM,300,0.67,32,32,Chicago Carriage Cab Corp
1270014,04/03/2019 11:30:00 AM,540,1.6,8,28,Medallion Leasin
1270015,04/03/2019 11:30:00 AM,235,1.22,33,32,Chicago Carriage Cab Corp
1270016,04/03/2019 11:30:00 AM,420,1.2,32,8,Medallion Leasin
1270017,04/03/2019 11:30:00 AM,350,0.96,8,8,Sun Taxi
1270018,04/03/2019 11:30:00 AM,244,1.14,32,32,Chicago Carriage Cab Corp
1270019,04/03/2019 11:30:00 AM,300,0.7,8,32,Medallion Leasin
1270020,04/03/2019 11:30:00 AM,546,1.08,8,32,Chicago Carriage Cab Corp
1270021,04/03/2019 11:30:00 AM,305,0.93,32,32,Sun Taxi
1270022,04/03/2019 11:30:00 AM,237,0.76,2,2,Flash Cab
1270023,04/03/2019 11:30:00 AM,407,0.87,32,32,Nova Taxi Affiliation Llc
1270024,04/03/2019 11:30:00 AM,398,1.22,32,32,Sun Taxi
1270025,04/03/2019 11:30:00 AM,350,1.09,8,8,Chicago Carriage Cab Corp
1270026,04/03/2019 11:30:00 AM,480,1.0,28,32,Medallion Leasin
1270027,04/03/2019 11:30:00 AM,506,1.4,28,32,Nova Taxi Affiliation Llc
1270028,04/03/2019 11:30:00 AM,316,1.06,8,8,City Service
1270029,04/03/2019 11:30:00 AM,464,1.06,28,32,Chicago Carriage Cab Corp
1270030,04/03/2019 11:30:00 AM,571,1.2,32,28,Sun Taxi
1270031,04/03/2019 11:30:00 AM,230,0.67,32,32,Chicago Carriage Cab Corp
1270032,04/03/2019 11:30:00 AM,444,1.43,8,32,Chicago Carriage Cab Corp
1270033,04/03/2019 11:30:00 AM,372,0.88,8,32,Nova Taxi Affiliation Llc
1270034,04/03/2019 11:30:00 AM,304,1.17,32,33,Chicago Carriage Cab Corp
1270035,04/03/2019 11:30:00 AM,462,1.76,2,4,Sun Taxi
1270036,04/03/2019 11:30:00 AM,262,1.43,22,24,Chicago Carriage Cab Corp
1270037,04/03/2019 11:30:00 AM,452,1.61,33,32,Chicago Carriage Cab Corp
1270038,04/03/2019 11:30:00 AM,540,1.1,8,8,Medallion Leasin
1270039,04/03/2019 11:30:00 AM,402,1.16,8,32,Chicago Carriage Cab Corp
1270040,04/03/2019 11:30:00 AM,370,0.64,32,8,Chicago Carriage Cab Corp
1270041,04/03/2019 11:30:00 AM,376,1.32,32,32,Chicago Carriage Cab Corp
1270042,04/03/2019 11:30:00 AM,250,0.6,3,6,Sun Taxi
1270043,04/03/2019 11:30:00 AM,355,0.76,32,8,Chicago Carriage Cab Corp
1270044,04/03/2019 11:30:00 AM,360,0.9,32,8,Medallion Leasin
1270045,04/03/2019 11:30:00 AM,475,1.8,32,8,Sun Taxi
1270046,04/03/2019 11:30:00 AM,273,0.61,32,8,City Service
1270047,04/03/2019 11:30:00 AM,501,0.74,8,32,Flash Cab
1270048,04/03/2019 11:30:00 AM,570,1.52,32,32,City Service
1270049,04/03/2019 11:30:00 AM,441,1.01,32,28,Chicago Carriage Cab Corp
1270050,04/03/2019 11:30:00 AM,540,1.8,32,8,Medallion Leasin
1270051,04/03/2019 11:30:00 AM,360,0.9,32,8,Globe Taxi
1270052,04/03/2019 11:30:00 AM,420,1.3,8,8,Globe Taxi
1270053,04/03/2019 11:30:00 AM,540,0.8,28,32,Sun Taxi
1270054,04/03/2019 11:30:00 AM,321,0.98,8,8,Chicago Carriage Cab Corp
1270055,04/03/2019 11:30:00 AM,524,1.22,32,24,Chicago Carriage Cab Corp
1270056,04/03/2019 11:30:00 AM,300,0.8,8,32,Chicago Independents
1270057,04/03/2019 11:30:00 AM,398,1.06,32,8,Chicago Carriage Cab Corp
1270058,04/03/2019 11:30:00 AM,477,1.77,32,8,Chicago Carriage Cab Corp
1270059,04/03/2019 11:30:00 AM,389,1.2,8,8,Flash Cab
1270060,04/03/2019 11:30:00 AM,425,0.83,32,32,Chicago Carriage Cab Corp
1270061,04/03/2019 11:30:00 AM,181,0.72,32,32,Sun Taxi
1270062,04/03/2019 11:30:00 AM,240,0.6,32,28,Medallion Leasin
1270063,04/03/2019 11:30:00 AM,372,0.7,32,8,Medallion Leasin
1270064,04/03/2019 11:30:00 AM,300,1.1,32,8,Sun Taxi
1270065,04/03/2019 11:30:00 AM,406,0.92,32,28,Sun Taxi
1270066,04/03/2019 11:30:00 AM,420,1.3,8,8,City Service
1270067,04/03/2019 11:30:00 AM,290,0.83,5,5,Flash Cab
1270068,04/03/2019 11:30:00 AM,401,0.76,8,32,Nova Taxi Affiliation Llc
1270069,04/03/2019 11:30:00 AM,281,0.64,32,28,Flash Cab
1270070,04/03/2019 11:30:00 AM,423,1.0,28,8,City Service
1270071,04/03/2019 11:30:00 AM,360,0.9,32,8,Medallion Leasin
1270072,04/03/2019 11:30:00 AM,540,1.5,32,32,Globe Taxi
1270073,04/03/2019 11:30:00 AM,565,1.51,32,28,Flash Cab
1270074,04/03/2019 11:30:00 AM,373,0.6,32,32,Flash Cab
1270075,04/03/2019 11:30:00 AM,409,1.0,8,32,Flash Cab
1270076,04/03/2019 11:30:00 AM,590,1.6,32,8,Flash Cab
1270077,04/03/2019 11:30:00 AM,434,1.5,32,33,Flash Cab
1270078,04/03/2019 11:30:00 AM,227,1.0,32,8,Flash Cab
1270079,04/03/2019 11:30:00 AM,414,1.0,32,28,Flash Cab
1270080,04/03/2019 11:30:00 AM,282,0.7,32,32,Flash Cab
1270081,04/03/2019 11:30:00 AM,406,0.8,32,8,Flash Cab
1270082,04/03/2019 11:30:00 AM,291,1.3,8,32,Flash Cab
1270083,04/03/2019 11:30:00 AM,394,0.8,8,8,Flash Cab
1270084,04/03/2019 11:30:00 AM,339,1.0,8,8,Flash Cab
1270085,04/03/2019 11:30:00 AM,316,0.7,8,32,Flash Cab
1270086,04/03/2019 11:30:00 AM,527,1.8,32,28,Flash Cab
1270087,04/03/2019 11:30:00 AM,382,0.9,32,28,Flash Cab
1270088,04/03/2019 11:30:00 AM,543,1.7,28,8,Flash Cab
1270089,04/03/2019 11:30:00 AM,409,1.7,1,77,Flash Cab
1270090,04/03/2019 11:30:00 AM,241,0.8,32,28,Flash Cab
1270091,04/03/2019 11:45:00 AM,240,0.8,8,32,Taxi Affiliation Services
1270092,04/03/2019 11:45:00 AM,360,0.7,32,8,Taxi Affiliation Services
1270093,04/03/2019 11:45:00 AM,480,1.6,28,8,Taxi Affiliation Services
1270094,04/03/2019 11:45:00 AM,360,0.9,32,32,Star North Management LLC
1270095,04/03/2019 11:45:00 AM,360,1.3,8,8,Taxi Affiliation Services
1270096,04/03/2019 11:45:00 AM,240,0.6,28,32,Star North Management LLC
1270097,04/03/2019 11:45:00 AM,300,0.7,32,8,Taxi Affiliation Services
1270098,04/03/2019 11:45:00 AM,420,1.1,32,8,Taxi Affiliation Services
1270099,04/03/2019 11:45:00 AM,360,0.9,32,32,Taxi Affiliation Services
1270100,04/03/2019 11:45:00 AM,540,1.3,8,24,"Taxicab Insurance Agency, LLC"
1270101,04/03/2019 11:45:00 AM,480,1.2,32,8,"Taxicab Insurance Agency, LLC"
1270102,04/03/2019 11:45:00 AM,420,1.2,32,8,Taxi Affiliation Services
1270103,04/03/2019 11:45:00 AM,420,0.8,8,32,Star North Management LLC
1270104,04/03/2019 11:45:00 AM,360,0.6,28,32,Star North Management LLC
1270105,04/03/2019 11:45:00 AM,2040,1.0,32,76,Blue Ribbon Taxi Association Inc.
1270106,04/03/2019 11:45:00 AM,480,1.4,8,32,Taxi Affiliation Services
1270107,04/03/2019 11:45:00 AM,420,0.8,32,32,Taxi Affiliation Services
1270108,04/03/2019 11:45:00 AM,240,0.8,32,8,Taxi Affiliation Services
1270109,04/03/2019 11:45:00 AM,300,0.6,32,32,Taxi Affiliation Services
1270110,04/03/2019 11:45:00 AM,360,0.9,32,8,Taxi Affiliation Services
1270111,04/03/2019 11:45:00 AM,360,1.2,32,8,Star North Management LLC
1270112,04/03/2019 11:45:00 AM,540,1.1,8,8,Taxi Affiliation Services
1270113,04/03/2019 11:45:00 AM,480,1.1,8,32,Star North Management LLC
1270114,04/03/2019 11:45:00 AM,540,1.5,8,28,Taxi Affiliation Services
1270115,04/03/2019 11:45:00 AM,240,0.8,32,8,Choice Taxi Association
1270116,04/03/2019 11:45:00 AM,540,1.1,8,32,Taxi Affiliation Services
1270117,04/03/2019 11:45:00 AM,300,0.7,8,32,Taxi Affiliation Services
1270118,04/03/2019 11:45:00 AM,480,0.9,32,8,Taxi Affiliation Services
1270119,04/03/2019 11:45:00 AM,300,0.7,32,32,"Taxicab Insurance Agency, LLC"
1270120,04/03/2019 11:45:00 AM,240,0.7,32,8,Star North Management LLC
1270121,04/03/2019 11:45:00 AM,300,0.7,32,32,Taxi Affiliation Services
1270122,04/03/2019 11:45:00 AM,300,0.9,32,8,Star North Management LLC
1270123,04/03/2019 11:45:00 AM,480,1.1,32,8,Taxi Affiliation Services
1270124,04/03/2019 11:45:00 AM,3840,1.1,32,76,Taxi Affiliation Services
1270125,04/03/2019 11:45:00 AM,360,1.0,32,32,Star North Management LLC
1270126,04/03/2019 11:45:00 AM,420,1.5,8,32,Taxi Affiliation Services
1270127,04/03/2019 11:45:00 AM,300,1.0,8,8,Star North Management LLC
1270128,04/03/2019 11:45:00 AM,420,1.0,32,8,Taxi Affiliation Services
1270129,04/03/2019 11:45:00 AM,480,1.3,8,32,Chicago Medallion Management
