,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1300000,04/04/2019 09:00:00 PM,302,0.8,33,33,Blue Diamond
1300001,04/04/2019 09:00:00 PM,496,0.96,8,8,Sun Taxi
1300002,04/04/2019 09:00:00 PM,354,1.14,32,8,City Service
1300003,04/04/2019 09:00:00 PM,300,0.63,32,8,Nova Taxi Affiliation Llc
1300004,04/04/2019 09:00:00 PM,397,1.07,8,8,Flash Cab
1300005,04/04/2019 09:00:00 PM,480,1.4,28,8,Globe Taxi
1300006,04/04/2019 09:00:00 PM,300,1.3,32,28,Medallion Leasin
1300007,04/04/2019 09:00:00 PM,385,1.0,32,8,City Service
1300008,04/04/2019 09:00:00 PM,360,1.0,8,8,Medallion Leasin
1300009,04/04/2019 09:00:00 PM,211,0.51,8,8,Sun Taxi
1300010,04/04/2019 09:00:00 PM,420,1.5,8,28,Nova Taxi Affiliation Llc
1300011,04/04/2019 09:00:00 PM,371,0.76,32,32,City Service
1300012,04/04/2019 09:00:00 PM,562,0.96,32,28,Flash Cab
1300013,04/04/2019 09:00:00 PM,334,0.73,32,28,Globe Taxi
1300014,04/04/2019 09:00:00 PM,496,1.24,8,8,24 Seven Taxi
1300015,04/04/2019 09:00:00 PM,507,1.2,8,8,Nova Taxi Affiliation Llc
1300016,04/04/2019 09:00:00 PM,591,1.84,8,24,Chicago Carriage Cab Corp
1300017,04/04/2019 09:00:00 PM,267,0.91,32,32,Chicago Carriage Cab Corp
1300018,04/04/2019 09:00:00 PM,314,0.59,32,32,Flash Cab
1300019,04/04/2019 09:00:00 PM,240,0.6,8,8,Medallion Leasin
1300020,04/04/2019 09:00:00 PM,300,0.8,8,8,Globe Taxi
1300021,04/04/2019 09:00:00 PM,586,1.26,32,32,Chicago Carriage Cab Corp
1300022,04/04/2019 09:00:00 PM,360,1.3,32,28,Medallion Leasin
1300023,04/04/2019 09:00:00 PM,500,1.1,8,32,Medallion Leasin
1300024,04/04/2019 09:00:00 PM,269,1.2,24,24,City Service
1300025,04/04/2019 09:00:00 PM,480,1.8,32,8,Medallion Leasin
1300026,04/04/2019 09:00:00 PM,239,0.71,33,33,Chicago Carriage Cab Corp
1300027,04/04/2019 09:00:00 PM,309,0.67,32,32,Sun Taxi
1300028,04/04/2019 09:00:00 PM,369,0.75,8,32,Sun Taxi
1300029,04/04/2019 09:00:00 PM,540,1.64,32,8,Nova Taxi Affiliation Llc
1300030,04/04/2019 09:00:00 PM,280,0.88,8,8,Flash Cab
1300031,04/04/2019 09:00:00 PM,429,0.96,8,32,Flash Cab
1300032,04/04/2019 09:00:00 PM,442,1.37,32,8,Sun Taxi
1300033,04/04/2019 09:00:00 PM,486,1.69,32,8,Chicago Carriage Cab Corp
1300034,04/04/2019 09:00:00 PM,390,1.13,8,8,Flash Cab
1300035,04/04/2019 09:00:00 PM,349,1.01,8,8,Chicago Carriage Cab Corp
1300036,04/04/2019 09:00:00 PM,327,0.52,8,8,Flash Cab
1300037,04/04/2019 09:00:00 PM,420,1.5,32,28,Medallion Leasin
1300038,04/04/2019 09:00:00 PM,360,1.5,32,28,Chicago Independents
1300039,04/04/2019 09:00:00 PM,393,0.89,8,28,Flash Cab
1300040,04/04/2019 09:00:00 PM,277,0.63,32,8,Chicago Carriage Cab Corp
1300041,04/04/2019 09:00:00 PM,446,1.54,32,32,Sun Taxi
1300042,04/04/2019 09:00:00 PM,321,1.04,32,32,24 Seven Taxi
1300043,04/04/2019 09:00:00 PM,300,0.9,8,8,Globe Taxi
1300044,04/04/2019 09:00:00 PM,384,0.99,8,8,Chicago Carriage Cab Corp
1300045,04/04/2019 09:00:00 PM,382,1.38,32,32,Chicago Carriage Cab Corp
1300046,04/04/2019 09:00:00 PM,300,0.8,8,32,Chicago Independents
1300047,04/04/2019 09:00:00 PM,499,1.0,8,32,Flash Cab
1300048,04/04/2019 09:00:00 PM,267,0.6,6,6,Flash Cab
1300049,04/04/2019 09:00:00 PM,315,0.9,32,28,Flash Cab
1300050,04/04/2019 09:00:00 PM,586,1.8,32,8,Flash Cab
1300051,04/04/2019 09:15:00 PM,360,0.6,28,32,Star North Management LLC
1300052,04/04/2019 09:15:00 PM,420,1.3,32,8,Taxi Affiliation Services
1300053,04/04/2019 09:15:00 PM,240,0.6,32,8,Choice Taxi Association
1300054,04/04/2019 09:15:00 PM,240,0.6,8,32,Taxi Affiliation Services
1300055,04/04/2019 09:15:00 PM,420,1.1,8,8,Taxi Affiliation Services
1300056,04/04/2019 09:15:00 PM,420,0.9,8,32,Taxi Affiliation Services
1300057,04/04/2019 09:15:00 PM,360,1.4,32,8,Taxi Affiliation Services
1300058,04/04/2019 09:15:00 PM,300,0.6,8,8,Taxi Affiliation Services
1300059,04/04/2019 09:15:00 PM,540,1.6,32,28,"Taxicab Insurance Agency, LLC"
1300060,04/04/2019 09:15:00 PM,300,0.6,8,8,Star North Management LLC
1300061,04/04/2019 09:15:00 PM,540,1.4,32,24,Taxi Affiliation Services
1300062,04/04/2019 09:15:00 PM,420,1.2,8,28,Star North Management LLC
1300063,04/04/2019 09:15:00 PM,300,1.0,8,32,Taxi Affiliation Services
1300064,04/04/2019 09:15:00 PM,480,1.3,8,8,Star North Management LLC
1300065,04/04/2019 09:15:00 PM,360,0.8,8,8,Taxi Affiliation Services
1300066,04/04/2019 09:15:00 PM,420,1.8,8,28,Taxi Affiliation Services
1300067,04/04/2019 09:15:00 PM,300,1.1,32,8,Taxi Affiliation Services
1300068,04/04/2019 09:15:00 PM,420,1.4,8,32,Taxi Affiliation Services
1300069,04/04/2019 09:15:00 PM,480,1.8,32,24,Taxi Affiliation Services
1300070,04/04/2019 09:15:00 PM,360,0.9,32,8,Taxi Affiliation Services
1300071,04/04/2019 09:15:00 PM,300,0.9,8,8,Taxi Affiliation Services
1300072,04/04/2019 09:15:00 PM,420,1.0,32,32,Star North Management LLC
1300073,04/04/2019 09:15:00 PM,300,1.0,33,33,Choice Taxi Association
1300074,04/04/2019 09:15:00 PM,300,1.1,32,28,Taxi Affiliation Services
1300075,04/04/2019 09:15:00 PM,300,0.6,8,8,Choice Taxi Association
1300076,04/04/2019 09:15:00 PM,540,1.7,8,32,Star North Management LLC
1300077,04/04/2019 09:15:00 PM,240,0.7,32,8,Choice Taxi Association
1300078,04/04/2019 09:15:00 PM,420,1.2,28,8,Star North Management LLC
1300079,04/04/2019 09:15:00 PM,540,1.9,32,28,Star North Management LLC
1300080,04/04/2019 09:15:00 PM,300,0.8,8,8,1469 - 64126 Omar Jada
1300081,04/04/2019 09:15:00 PM,240,0.6,8,8,Taxi Affiliation Services
1300082,04/04/2019 09:15:00 PM,240,0.6,8,8,Star North Management LLC
1300083,04/04/2019 09:15:00 PM,540,1.2,8,28,Chicago Independents
1300084,04/04/2019 09:15:00 PM,360,1.0,32,32,Taxi Affiliation Services
1300085,04/04/2019 09:15:00 PM,360,0.8,32,32,Taxi Affiliation Services
1300086,04/04/2019 09:15:00 PM,420,1.4,32,8,Top Cab Affiliation
1300087,04/04/2019 09:15:00 PM,240,0.6,8,32,Taxi Affiliation Services
1300088,04/04/2019 09:15:00 PM,420,1.1,32,32,Choice Taxi Association
1300089,04/04/2019 09:15:00 PM,300,0.9,8,28,Star North Management LLC
1300090,04/04/2019 09:15:00 PM,420,1.8,24,8,Star North Management LLC
1300091,04/04/2019 09:15:00 PM,480,0.9,7,7,Chicago Medallion Management
1300092,04/04/2019 09:15:00 PM,480,1.3,32,8,Taxi Affiliation Services
1300093,04/04/2019 09:15:00 PM,2100,0.9,76,24,Blue Ribbon Taxi Association Inc.
1300094,04/04/2019 09:15:00 PM,2160,0.9,76,24,Blue Ribbon Taxi Association Inc.
1300095,04/04/2019 09:15:00 PM,420,0.7,77,77,Taxi Affiliation Services
1300096,04/04/2019 09:15:00 PM,2280,1.0,76,8,Blue Ribbon Taxi Association Inc.
1300097,04/04/2019 09:15:00 PM,300,0.7,8,8,Choice Taxi Association
