,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1310000,04/05/2019 02:15:00 PM,444,0.88,8,32,Sun Taxi
1310001,04/05/2019 02:15:00 PM,482,0.99,32,32,Flash Cab
1310002,04/05/2019 02:15:00 PM,367,0.81,28,32,City Service
1310003,04/05/2019 02:15:00 PM,523,1.14,32,28,Flash Cab
1310004,04/05/2019 02:15:00 PM,2814,10.3,28,13,Flash Cab
1310005,04/05/2019 02:15:00 PM,365,0.96,33,28,Flash Cab
1310006,04/05/2019 02:15:00 PM,225,0.52,8,8,Nova Taxi Affiliation Llc
1310007,04/05/2019 02:15:00 PM,554,1.29,28,8,Chicago Carriage Cab Corp
1310008,04/05/2019 02:15:00 PM,535,1.61,32,33,Sun Taxi
1310009,04/05/2019 02:15:00 PM,540,1.1,24,8,Medallion Leasin
1310010,04/05/2019 02:15:00 PM,454,1.02,8,8,Gold Coast Taxi
1310011,04/05/2019 02:15:00 PM,403,1.33,8,8,Patriot Taxi Dba Peace Taxi Associat
1310012,04/05/2019 02:15:00 PM,409,0.75,32,28,Chicago Carriage Cab Corp
1310013,04/05/2019 02:15:00 PM,405,1.03,32,8,Patriot Taxi Dba Peace Taxi Associat
1310014,04/05/2019 02:15:00 PM,408,1.04,28,32,Sun Taxi
1310015,04/05/2019 02:15:00 PM,574,1.23,28,32,Chicago Carriage Cab Corp
1310016,04/05/2019 02:15:00 PM,470,0.82,32,32,Chicago Carriage Cab Corp
1310017,04/05/2019 02:15:00 PM,500,1.26,8,8,Sun Taxi
1310018,04/05/2019 02:15:00 PM,249,0.79,28,28,24 Seven Taxi
1310019,04/05/2019 02:15:00 PM,433,1.16,8,8,Flash Cab
1310020,04/05/2019 02:15:00 PM,300,0.8,8,8,Chicago Independents
1310021,04/05/2019 02:15:00 PM,410,1.49,32,28,Chicago Carriage Cab Corp
1310022,04/05/2019 02:15:00 PM,327,0.9,32,8,Sun Taxi
1310023,04/05/2019 02:15:00 PM,480,1.1,8,28,Medallion Leasin
1310024,04/05/2019 02:15:00 PM,360,0.8,28,32,Sun Taxi
1310025,04/05/2019 02:15:00 PM,381,0.66,8,8,Flash Cab
1310026,04/05/2019 02:15:00 PM,443,0.84,8,8,Chicago Carriage Cab Corp
