,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1320000,04/06/2019 03:15:00 AM,325,1.43,8,8,Flash Cab
1320001,04/06/2019 03:15:00 AM,420,1.1,8,8,Medallion Leasin
1320002,04/06/2019 03:15:00 AM,243,0.94,8,8,Chicago Carriage Cab Corp
1320003,04/06/2019 03:15:00 AM,349,1.3,8,28,Medallion Leasin
1320004,04/06/2019 03:15:00 AM,313,1.46,6,6,Chicago Carriage Cab Corp
1320005,04/06/2019 03:15:00 AM,353,1.49,8,24,Nova Taxi Affiliation Llc
1320006,04/06/2019 03:15:00 AM,362,1.07,6,3,Patriot Taxi Dba Peace Taxi Associat
1320007,04/06/2019 03:15:00 AM,308,1.04,8,28,Chicago Carriage Cab Corp
1320008,04/06/2019 03:15:00 AM,233,0.76,8,8,Sun Taxi
1320009,04/06/2019 03:15:00 AM,186,0.7,8,8,Medallion Leasin
1320010,04/06/2019 03:15:00 AM,418,1.8,8,32,Flash Cab
1320011,04/06/2019 03:15:00 AM,282,0.8,8,8,Chicago Carriage Cab Corp
1320012,04/06/2019 03:15:00 AM,417,1.3,24,24,Flash Cab
1320013,04/06/2019 03:15:00 AM,306,1.0,8,8,Flash Cab
1320014,04/06/2019 03:15:00 AM,185,0.6,8,8,Flash Cab
1320015,04/06/2019 03:30:00 AM,300,0.8,8,8,Star North Management LLC
1320016,04/06/2019 03:30:00 AM,210,0.9,1,1,Medallion Leasin
1320017,04/06/2019 03:30:00 AM,356,0.94,32,8,Flash Cab
1320018,04/06/2019 03:30:00 AM,212,0.66,6,6,Chicago Carriage Cab Corp
1320019,04/06/2019 03:30:00 AM,426,1.3,8,8,Chicago Taxicab
1320020,04/06/2019 03:30:00 AM,236,0.97,8,8,Chicago Carriage Cab Corp
1320021,04/06/2019 03:30:00 AM,514,1.66,8,8,Chicago Carriage Cab Corp
1320022,04/06/2019 03:30:00 AM,439,1.11,8,8,Flash Cab
1320023,04/06/2019 03:30:00 AM,256,1.08,24,24,Flash Cab
1320024,04/06/2019 03:30:00 AM,420,1.9,8,8,City Service
1320025,04/06/2019 03:30:00 AM,309,0.57,8,32,Chicago Carriage Cab Corp
1320026,04/06/2019 03:30:00 AM,386,1.12,8,8,Flash Cab
1320027,04/06/2019 03:30:00 AM,401,1.1,76,76,Flash Cab
1320028,04/06/2019 03:30:00 AM,352,0.98,8,8,City Service
1320029,04/06/2019 03:30:00 AM,240,1.0,6,6,Globe Taxi
1320030,04/06/2019 03:30:00 AM,216,1.44,7,8,Sun Taxi
1320031,04/06/2019 03:30:00 AM,578,1.5,8,8,Medallion Leasin
1320032,04/06/2019 03:30:00 AM,275,1.3,6,6,City Service
1320033,04/06/2019 03:30:00 AM,556,0.95,8,8,Flash Cab
1320034,04/06/2019 03:30:00 AM,540,1.8,8,24,Globe Taxi
1320035,04/06/2019 03:30:00 AM,240,0.9,8,8,Globe Taxi
1320036,04/06/2019 03:30:00 AM,323,1.3,22,24,City Service
1320037,04/06/2019 03:30:00 AM,269,0.8,6,6,City Service
1320038,04/06/2019 03:30:00 AM,268,0.8,8,8,City Service
1320039,04/06/2019 03:30:00 AM,330,1.03,8,32,Flash Cab
1320040,04/06/2019 03:30:00 AM,300,1.0,8,32,Medallion Leasin
1320041,04/06/2019 03:30:00 AM,420,1.25,8,28,Nova Taxi Affiliation Llc
1320042,04/06/2019 03:30:00 AM,243,1.09,8,28,City Service
1320043,04/06/2019 03:30:00 AM,300,0.9,24,24,Globe Taxi
1320044,04/06/2019 03:30:00 AM,370,0.87,8,28,Flash Cab
1320045,04/06/2019 03:30:00 AM,456,0.7,8,8,Flash Cab
1320046,04/06/2019 03:30:00 AM,280,1.06,8,8,Flash Cab
1320047,04/06/2019 03:30:00 AM,474,1.85,8,28,City Service
1320048,04/06/2019 03:30:00 AM,305,0.61,8,8,Flash Cab
1320049,04/06/2019 03:30:00 AM,360,0.8,8,8,Medallion Leasin
1320050,04/06/2019 03:30:00 AM,392,1.25,8,32,Sun Taxi
1320051,04/06/2019 03:30:00 AM,318,0.6,8,8,Flash Cab
1320052,04/06/2019 03:30:00 AM,291,0.6,8,8,Medallion Leasin
1320053,04/06/2019 03:30:00 AM,219,0.94,8,8,City Service
