,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1330000,04/07/2019 06:45:00 PM,286,0.96,32,32,24 Seven Taxi
1330001,04/07/2019 06:45:00 PM,247,0.92,32,8,Patriot Taxi Dba Peace Taxi Associat
1330002,04/07/2019 06:45:00 PM,499,1.37,32,8,City Service
1330003,04/07/2019 06:45:00 PM,370,0.6,32,8,City Service
1330004,04/07/2019 06:45:00 PM,464,1.26,32,24,Sun Taxi
1330005,04/07/2019 06:45:00 PM,250,0.81,32,32,City Service
1330006,04/07/2019 06:45:00 PM,308,0.8,8,8,24 Seven Taxi
1330007,04/07/2019 06:45:00 PM,420,1.0,32,8,City Service
1330008,04/07/2019 06:45:00 PM,237,0.57,8,8,Flash Cab
1330009,04/07/2019 06:45:00 PM,378,0.69,8,8,Chicago Carriage Cab Corp
1330010,04/07/2019 06:45:00 PM,388,1.3,8,8,City Service
1330011,04/07/2019 06:45:00 PM,304,0.6,8,8,Globe Taxi
1330012,04/07/2019 06:45:00 PM,406,0.61,8,8,Chicago Carriage Cab Corp
1330013,04/07/2019 06:45:00 PM,427,0.9,8,32,Taxi Affiliation Service Yellow
1330014,04/07/2019 06:45:00 PM,229,1.19,32,28,Sun Taxi
1330015,04/07/2019 06:45:00 PM,201,0.52,28,32,City Service
1330016,04/07/2019 06:45:00 PM,318,0.8,8,8,Medallion Leasin
1330017,04/07/2019 06:45:00 PM,583,1.12,8,32,Taxi Affiliation Service Yellow
1330018,04/07/2019 06:45:00 PM,351,0.7,8,8,Blue Diamond
1330019,04/07/2019 06:45:00 PM,416,1.09,32,32,Taxi Affiliation Service Yellow
1330020,04/07/2019 06:45:00 PM,406,1.02,32,8,City Service
1330021,04/07/2019 06:45:00 PM,298,0.7,8,8,Globe Taxi
1330022,04/07/2019 06:45:00 PM,512,1.72,32,8,Chicago Carriage Cab Corp
1330023,04/07/2019 06:45:00 PM,437,1.6,8,32,Chicago Carriage Cab Corp
1330024,04/07/2019 06:45:00 PM,385,0.81,8,8,Chicago Carriage Cab Corp
1330025,04/07/2019 06:45:00 PM,217,0.55,8,8,Patriot Taxi Dba Peace Taxi Associat
1330026,04/07/2019 06:45:00 PM,491,0.7,8,32,City Service
1330027,04/07/2019 06:45:00 PM,341,0.7,8,8,City Service
1330028,04/07/2019 06:45:00 PM,289,0.94,8,8,Chicago Carriage Cab Corp
1330029,04/07/2019 06:45:00 PM,289,1.06,32,8,Nova Taxi Affiliation Llc
1330030,04/07/2019 06:45:00 PM,536,1.91,32,8,Flash Cab
1330031,04/07/2019 06:45:00 PM,334,0.99,32,32,Chicago Carriage Cab Corp
1330032,04/07/2019 06:45:00 PM,316,0.7,8,8,24 Seven Taxi
1330033,04/07/2019 06:45:00 PM,214,0.76,8,8,City Service
1330034,04/07/2019 06:45:00 PM,242,0.61,8,8,Flash Cab
