,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1340000,04/09/2019 09:30:00 AM,378,0.95,8,8,City Service
1340001,04/09/2019 09:30:00 AM,445,0.94,28,32,Chicago Carriage Cab Corp
1340002,04/09/2019 09:30:00 AM,404,0.59,8,8,Chicago Carriage Cab Corp
1340003,04/09/2019 09:30:00 AM,300,0.9,32,8,Chicago Independents
1340004,04/09/2019 09:30:00 AM,360,1.1,8,32,Chicago Independents
1340005,04/09/2019 09:30:00 AM,223,0.6,28,32,City Service
1340006,04/09/2019 09:30:00 AM,454,0.91,8,28,Globe Taxi
1340007,04/09/2019 09:30:00 AM,215,0.62,32,28,Nova Taxi Affiliation Llc
1340008,04/09/2019 09:30:00 AM,427,0.72,28,32,Chicago Carriage Cab Corp
1340009,04/09/2019 09:30:00 AM,287,0.92,8,32,City Service
1340010,04/09/2019 09:30:00 AM,33106,1.07,59,59,Chicago Carriage Cab Corp
1340011,04/09/2019 09:30:00 AM,453,0.7,28,32,Nova Taxi Affiliation Llc
1340012,04/09/2019 09:30:00 AM,510,1.23,8,28,City Service
1340013,04/09/2019 09:30:00 AM,497,1.5,32,28,City Service
1340014,04/09/2019 09:30:00 AM,277,0.73,32,32,Flash Cab
1340015,04/09/2019 09:30:00 AM,488,1.39,8,32,Chicago Carriage Cab Corp
1340016,04/09/2019 09:30:00 AM,467,1.11,28,8,Chicago Carriage Cab Corp
1340017,04/09/2019 09:30:00 AM,183,0.58,28,8,Flash Cab
1340018,04/09/2019 09:30:00 AM,443,0.9,8,32,Medallion Leasin
1340019,04/09/2019 09:30:00 AM,466,0.7,32,32,Medallion Leasin
1340020,04/09/2019 09:30:00 AM,440,1.37,32,33,Sun Taxi
1340021,04/09/2019 09:30:00 AM,580,0.74,32,32,Chicago Carriage Cab Corp
1340022,04/09/2019 09:30:00 AM,406,0.88,28,32,Chicago Carriage Cab Corp
1340023,04/09/2019 09:30:00 AM,557,0.95,28,32,Chicago Carriage Cab Corp
1340024,04/09/2019 09:30:00 AM,187,0.59,32,32,Chicago Carriage Cab Corp
1340025,04/09/2019 09:30:00 AM,430,0.85,28,32,Chicago Carriage Cab Corp
1340026,04/09/2019 09:30:00 AM,1958,10.5,56,8,Medallion Leasin
1340027,04/09/2019 09:30:00 AM,400,0.82,32,32,Chicago Carriage Cab Corp
1340028,04/09/2019 09:30:00 AM,263,0.94,8,8,Sun Taxi
1340029,04/09/2019 09:30:00 AM,325,0.54,8,8,Chicago Carriage Cab Corp
1340030,04/09/2019 09:30:00 AM,359,0.84,28,28,Chicago Carriage Cab Corp
1340031,04/09/2019 09:30:00 AM,326,0.75,8,32,Chicago Carriage Cab Corp
1340032,04/09/2019 09:30:00 AM,435,0.94,32,32,Chicago Carriage Cab Corp
1340033,04/09/2019 09:30:00 AM,239,0.89,32,8,Sun Taxi
1340034,04/09/2019 09:30:00 AM,313,0.7,8,8,Medallion Leasin
1340035,04/09/2019 09:30:00 AM,259,0.74,28,32,Sun Taxi
1340036,04/09/2019 09:30:00 AM,574,1.21,28,8,Chicago Carriage Cab Corp
1340037,04/09/2019 09:30:00 AM,492,1.39,32,32,Sun Taxi
1340038,04/09/2019 09:30:00 AM,443,1.42,8,32,Chicago Carriage Cab Corp
1340039,04/09/2019 09:30:00 AM,522,1.25,28,32,Chicago Carriage Cab Corp
1340040,04/09/2019 09:30:00 AM,291,0.95,28,28,Chicago Carriage Cab Corp
1340041,04/09/2019 09:30:00 AM,561,1.22,32,32,City Service
1340042,04/09/2019 09:30:00 AM,343,1.02,8,32,Chicago Carriage Cab Corp
1340043,04/09/2019 09:30:00 AM,426,0.96,8,32,Sun Taxi
1340044,04/09/2019 09:30:00 AM,378,1.28,8,8,Chicago Carriage Cab Corp
1340045,04/09/2019 09:30:00 AM,524,1.44,32,32,Patriot Taxi Dba Peace Taxi Associat
1340046,04/09/2019 09:30:00 AM,460,1.05,33,32,Sun Taxi
1340047,04/09/2019 09:30:00 AM,547,1.0,8,32,City Service
1340048,04/09/2019 09:30:00 AM,242,0.7,8,32,Flash Cab
1340049,04/09/2019 09:30:00 AM,364,1.87,32,33,Chicago Carriage Cab Corp
1340050,04/09/2019 09:30:00 AM,328,1.0,8,8,Sun Taxi
1340051,04/09/2019 09:30:00 AM,480,1.4,32,28,Medallion Leasin
1340052,04/09/2019 09:30:00 AM,275,0.6,8,32,24 Seven Taxi
1340053,04/09/2019 09:30:00 AM,483,1.09,8,32,Sun Taxi
1340054,04/09/2019 09:30:00 AM,469,1.26,8,8,Chicago Carriage Cab Corp
1340055,04/09/2019 09:30:00 AM,391,0.86,8,32,Sun Taxi
1340056,04/09/2019 09:30:00 AM,4882,0.68,32,56,Chicago Carriage Cab Corp
1340057,04/09/2019 09:30:00 AM,350,0.9,32,32,Chicago Carriage Cab Corp
1340058,04/09/2019 09:30:00 AM,506,0.8,32,8,Flash Cab
1340059,04/09/2019 09:30:00 AM,299,0.8,32,28,Flash Cab
1340060,04/09/2019 09:30:00 AM,528,0.9,8,32,Flash Cab
1340061,04/09/2019 09:30:00 AM,305,0.9,3,3,Flash Cab
1340062,04/09/2019 09:45:00 AM,3480,1.0,76,32,Blue Ribbon Taxi Association Inc.
1340063,04/09/2019 09:45:00 AM,360,0.7,8,8,Taxi Affiliation Services
1340064,04/09/2019 09:45:00 AM,480,1.4,8,8,Chicago Medallion Management
1340065,04/09/2019 09:45:00 AM,300,1.5,8,8,Taxi Affiliation Services
1340066,04/09/2019 09:45:00 AM,300,0.6,32,8,"Taxicab Insurance Agency, LLC"
1340067,04/09/2019 09:45:00 AM,300,0.6,28,28,Star North Management LLC
1340068,04/09/2019 09:45:00 AM,540,1.0,28,32,Star North Management LLC
1340069,04/09/2019 09:45:00 AM,540,1.1,32,32,KOAM Taxi Association
1340070,04/09/2019 09:45:00 AM,540,0.6,28,8,Taxi Affiliation Services
1340071,04/09/2019 09:45:00 AM,360,1.1,28,32,Taxi Affiliation Services
1340072,04/09/2019 09:45:00 AM,420,1.0,32,32,Chicago Medallion Management
1340073,04/09/2019 09:45:00 AM,480,1.0,28,32,Taxi Affiliation Services
1340074,04/09/2019 09:45:00 AM,300,0.8,32,8,Chicago Medallion Management
1340075,04/09/2019 09:45:00 AM,480,1.4,32,8,Star North Management LLC
1340076,04/09/2019 09:45:00 AM,300,0.7,28,32,Star North Management LLC
1340077,04/09/2019 09:45:00 AM,360,0.6,32,8,"Taxicab Insurance Agency, LLC"
1340078,04/09/2019 09:45:00 AM,420,0.7,8,8,Chicago Medallion Management
1340079,04/09/2019 09:45:00 AM,480,1.2,28,32,Star North Management LLC
1340080,04/09/2019 09:45:00 AM,480,1.6,32,33,Star North Management LLC
1340081,04/09/2019 09:45:00 AM,480,0.7,32,8,Taxi Affiliation Services
1340082,04/09/2019 09:45:00 AM,386,1.1,32,8,City Service
1340083,04/09/2019 09:45:00 AM,584,1.29,28,8,Flash Cab
1340084,04/09/2019 09:45:00 AM,306,0.63,8,8,Chicago Carriage Cab Corp
1340085,04/09/2019 09:45:00 AM,354,0.81,8,32,Sun Taxi
1340086,04/09/2019 09:45:00 AM,540,1.4,28,8,Globe Taxi
1340087,04/09/2019 09:45:00 AM,420,0.7,32,8,Globe Taxi
1340088,04/09/2019 09:45:00 AM,436,0.51,32,32,Chicago Carriage Cab Corp
1340089,04/09/2019 09:45:00 AM,277,0.7,32,8,City Service
1340090,04/09/2019 09:45:00 AM,569,1.59,32,28,Chicago Carriage Cab Corp
1340091,04/09/2019 09:45:00 AM,387,0.7,28,32,City Service
1340092,04/09/2019 09:45:00 AM,319,1.03,8,8,24 Seven Taxi
1340093,04/09/2019 09:45:00 AM,301,0.8,8,32,Medallion Leasin
