,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1350000,04/10/2019 10:45:00 AM,462,1.27,32,8,Nova Taxi Affiliation Llc
1350001,04/10/2019 10:45:00 AM,325,0.97,28,32,Patriot Taxi Dba Peace Taxi Associat
1350002,04/10/2019 10:45:00 AM,394,1.0,8,32,Globe Taxi
1350003,04/10/2019 10:45:00 AM,204,0.66,28,28,Patriot Taxi Dba Peace Taxi Associat
1350004,04/10/2019 10:45:00 AM,241,1.02,8,28,Patriot Taxi Dba Peace Taxi Associat
1350005,04/10/2019 10:45:00 AM,469,1.1,28,32,Sun Taxi
1350006,04/10/2019 10:45:00 AM,225,0.6,28,32,Medallion Leasin
1350007,04/10/2019 10:45:00 AM,401,0.67,8,32,Sun Taxi
1350008,04/10/2019 10:45:00 AM,350,1.2,32,32,Chicago Carriage Cab Corp
1350009,04/10/2019 10:45:00 AM,525,1.19,8,32,Sun Taxi
1350010,04/10/2019 10:45:00 AM,460,0.73,8,32,Chicago Carriage Cab Corp
1350011,04/10/2019 10:45:00 AM,278,0.65,32,8,Sun Taxi
1350012,04/10/2019 10:45:00 AM,598,1.38,8,32,Sun Taxi
1350013,04/10/2019 10:45:00 AM,437,0.9,8,8,Medallion Leasin
1350014,04/10/2019 10:45:00 AM,258,0.83,8,8,Chicago Carriage Cab Corp
1350015,04/10/2019 10:45:00 AM,472,0.8,32,32,Chicago Carriage Cab Corp
1350016,04/10/2019 10:45:00 AM,532,1.73,32,33,Chicago Carriage Cab Corp
1350017,04/10/2019 10:45:00 AM,480,1.0,32,8,Medallion Leasin
1350018,04/10/2019 10:45:00 AM,509,1.0,8,8,Chicago Taxicab
1350019,04/10/2019 10:45:00 AM,236,0.67,32,32,Sun Taxi
1350020,04/10/2019 10:45:00 AM,397,1.1,4,5,Flash Cab
1350021,04/10/2019 10:45:00 AM,529,1.6,6,7,American United
1350022,04/10/2019 10:45:00 AM,452,0.9,77,3,Flash Cab
1350023,04/10/2019 10:45:00 AM,469,1.0,8,8,Flash Cab
1350024,04/10/2019 10:45:00 AM,246,0.8,28,28,Flash Cab
1350025,04/10/2019 10:45:00 AM,342,0.8,32,8,Flash Cab
1350026,04/10/2019 10:45:00 AM,407,1.2,32,8,Flash Cab
1350027,04/10/2019 10:45:00 AM,259,0.6,8,8,Flash Cab
1350028,04/10/2019 11:00:00 AM,420,0.6,28,32,Taxi Affiliation Services
1350029,04/10/2019 11:00:00 AM,240,0.8,32,8,Taxi Affiliation Services
1350030,04/10/2019 11:00:00 AM,480,1.3,32,8,"Taxicab Insurance Agency, LLC"
1350031,04/10/2019 11:00:00 AM,240,0.6,32,8,Taxi Affiliation Services
1350032,04/10/2019 11:00:00 AM,420,1.1,8,8,Top Cab Affiliation
1350033,04/10/2019 11:00:00 AM,480,1.3,8,32,Taxi Affiliation Services
1350034,04/10/2019 11:00:00 AM,240,0.7,32,8,Taxi Affiliation Services
1350035,04/10/2019 11:00:00 AM,540,1.3,8,32,6743 - 78771 Luhak Corp
1350036,04/10/2019 11:00:00 AM,360,1.0,8,32,Chicago Medallion Management
1350037,04/10/2019 11:00:00 AM,360,1.0,32,28,Taxi Affiliation Services
1350038,04/10/2019 11:00:00 AM,420,1.1,8,8,Taxi Affiliation Services
1350039,04/10/2019 11:00:00 AM,480,1.2,32,8,Top Cab Affiliation
1350040,04/10/2019 11:00:00 AM,420,1.0,28,32,Taxi Affiliation Services
1350041,04/10/2019 11:00:00 AM,375,0.78,32,32,Patriot Taxi Dba Peace Taxi Associat
1350042,04/10/2019 11:00:00 AM,528,1.39,32,8,City Service
1350043,04/10/2019 11:00:00 AM,264,1.12,8,8,Sun Taxi
1350044,04/10/2019 11:00:00 AM,534,1.14,32,8,Chicago Carriage Cab Corp
1350045,04/10/2019 11:00:00 AM,347,0.84,8,32,City Service
1350046,04/10/2019 11:00:00 AM,413,1.3,32,8,City Service
1350047,04/10/2019 11:00:00 AM,441,1.13,8,32,Sun Taxi
1350048,04/10/2019 11:00:00 AM,433,1.2,32,8,Sun Taxi
1350049,04/10/2019 11:00:00 AM,450,1.4,32,24,City Service
1350050,04/10/2019 11:00:00 AM,240,0.6,32,28,Globe Taxi
1350051,04/10/2019 11:00:00 AM,592,1.71,32,33,Chicago Carriage Cab Corp
1350052,04/10/2019 11:00:00 AM,417,0.95,32,32,Chicago Carriage Cab Corp
1350053,04/10/2019 11:00:00 AM,211,0.58,32,32,City Service
1350054,04/10/2019 11:00:00 AM,317,0.71,32,32,Chicago Carriage Cab Corp
1350055,04/10/2019 11:00:00 AM,547,1.65,32,8,Chicago Carriage Cab Corp
1350056,04/10/2019 11:00:00 AM,342,1.16,8,32,Sun Taxi
1350057,04/10/2019 11:00:00 AM,396,1.23,32,8,Globe Taxi
1350058,04/10/2019 11:00:00 AM,289,0.7,3,3,City Service
1350059,04/10/2019 11:00:00 AM,300,0.91,8,32,Flash Cab
1350060,04/10/2019 11:00:00 AM,428,1.81,28,32,Chicago Carriage Cab Corp
1350061,04/10/2019 11:00:00 AM,342,1.22,32,33,City Service
1350062,04/10/2019 11:00:00 AM,435,1.28,32,32,Taxi Affiliation Service Yellow
1350063,04/10/2019 11:00:00 AM,473,1.5,8,32,Flash Cab
1350064,04/10/2019 11:00:00 AM,357,1.28,28,32,City Service
1350065,04/10/2019 11:00:00 AM,511,1.39,8,32,Sun Taxi
1350066,04/10/2019 11:00:00 AM,251,0.52,8,8,Chicago Carriage Cab Corp
1350067,04/10/2019 11:00:00 AM,512,1.74,8,32,Blue Diamond
1350068,04/10/2019 11:00:00 AM,442,0.9,8,32,City Service
1350069,04/10/2019 11:00:00 AM,540,1.6,8,8,Globe Taxi
1350070,04/10/2019 11:00:00 AM,476,1.24,8,32,Taxi Affiliation Service Yellow
1350071,04/10/2019 11:00:00 AM,214,0.59,32,8,Sun Taxi
1350072,04/10/2019 11:00:00 AM,477,1.13,32,28,Chicago Carriage Cab Corp
1350073,04/10/2019 11:00:00 AM,410,0.8,32,28,City Service
1350074,04/10/2019 11:00:00 AM,500,0.7,8,32,Checker Taxi Affiliation
1350075,04/10/2019 11:00:00 AM,450,0.76,28,32,Sun Taxi
1350076,04/10/2019 11:00:00 AM,485,1.98,8,33,Patriot Taxi Dba Peace Taxi Associat
1350077,04/10/2019 11:00:00 AM,214,0.66,32,28,Sun Taxi
1350078,04/10/2019 11:00:00 AM,417,1.28,8,32,Chicago Carriage Cab Corp
1350079,04/10/2019 11:00:00 AM,567,1.4,8,28,Blue Diamond
1350080,04/10/2019 11:00:00 AM,408,1.27,8,28,Chicago Carriage Cab Corp
1350081,04/10/2019 11:00:00 AM,195,0.62,28,28,City Service
1350082,04/10/2019 11:00:00 AM,583,1.22,28,8,Flash Cab
1350083,04/10/2019 11:00:00 AM,282,0.84,32,32,Sun Taxi
1350084,04/10/2019 11:00:00 AM,261,1.05,32,32,Sun Taxi
1350085,04/10/2019 11:00:00 AM,246,0.69,8,8,Chicago Carriage Cab Corp
1350086,04/10/2019 11:00:00 AM,266,0.53,8,8,City Service
1350087,04/10/2019 11:00:00 AM,228,0.84,28,32,Chicago Carriage Cab Corp
1350088,04/10/2019 11:00:00 AM,384,0.93,8,8,Taxi Affiliation Service Yellow
1350089,04/10/2019 11:00:00 AM,509,1.42,32,8,Flash Cab
1350090,04/10/2019 11:00:00 AM,399,1.35,8,32,Nova Taxi Affiliation Llc
1350091,04/10/2019 11:00:00 AM,483,0.89,8,32,24 Seven Taxi
1350092,04/10/2019 11:00:00 AM,292,0.87,8,8,Globe Taxi
1350093,04/10/2019 11:00:00 AM,290,0.83,8,8,Taxi Affiliation Service Yellow
1350094,04/10/2019 11:00:00 AM,248,0.69,32,32,Chicago Carriage Cab Corp
1350095,04/10/2019 11:00:00 AM,480,1.1,32,28,Medallion Leasin
1350096,04/10/2019 11:00:00 AM,282,0.99,32,8,Chicago Carriage Cab Corp
1350097,04/10/2019 11:00:00 AM,417,1.08,8,8,Chicago Carriage Cab Corp
1350098,04/10/2019 11:00:00 AM,579,1.26,32,8,Sun Taxi
1350099,04/10/2019 11:00:00 AM,400,0.7,32,32,Chicago Carriage Cab Corp
1350100,04/10/2019 11:00:00 AM,378,0.85,28,32,Chicago Carriage Cab Corp
1350101,04/10/2019 11:00:00 AM,339,0.66,8,8,Sun Taxi
1350102,04/10/2019 11:00:00 AM,340,0.76,28,32,Patriot Taxi Dba Peace Taxi Associat
1350103,04/10/2019 11:00:00 AM,499,0.84,32,32,Chicago Carriage Cab Corp
1350104,04/10/2019 11:00:00 AM,422,0.91,32,8,Chicago Carriage Cab Corp
1350105,04/10/2019 11:00:00 AM,518,1.2,8,32,Medallion Leasin
1350106,04/10/2019 11:00:00 AM,360,1.3,28,32,Medallion Leasin
1350107,04/10/2019 11:00:00 AM,561,1.83,32,8,Chicago Carriage Cab Corp
1350108,04/10/2019 11:00:00 AM,303,0.69,32,8,Sun Taxi
1350109,04/10/2019 11:00:00 AM,444,1.66,32,33,Sun Taxi
1350110,04/10/2019 11:00:00 AM,328,0.7,28,8,Medallion Leasin
1350111,04/10/2019 11:00:00 AM,370,1.7,32,8,City Service
1350112,04/10/2019 11:00:00 AM,571,1.68,8,8,24 Seven Taxi
1350113,04/10/2019 11:00:00 AM,367,0.97,32,8,Sun Taxi
1350114,04/10/2019 11:00:00 AM,396,0.97,8,32,City Service
1350115,04/10/2019 11:00:00 AM,553,1.28,33,32,Nova Taxi Affiliation Llc
1350116,04/10/2019 11:00:00 AM,287,1.17,8,32,Sun Taxi
1350117,04/10/2019 11:00:00 AM,363,0.9,32,32,Chicago Carriage Cab Corp
1350118,04/10/2019 11:00:00 AM,442,0.99,28,32,City Service
1350119,04/10/2019 11:00:00 AM,235,0.55,28,32,Chicago Carriage Cab Corp
1350120,04/10/2019 11:00:00 AM,284,0.7,28,32,Medallion Leasin
1350121,04/10/2019 11:00:00 AM,340,0.53,32,32,Sun Taxi
1350122,04/10/2019 11:00:00 AM,300,0.8,32,32,Medallion Leasin
1350123,04/10/2019 11:00:00 AM,411,1.04,32,32,Sun Taxi
1350124,04/10/2019 11:00:00 AM,525,1.32,32,8,Chicago Carriage Cab Corp
1350125,04/10/2019 11:00:00 AM,345,1.09,8,32,Chicago Carriage Cab Corp
1350126,04/10/2019 11:00:00 AM,476,0.99,32,32,Sun Taxi
1350127,04/10/2019 11:00:00 AM,458,1.27,32,8,Chicago Carriage Cab Corp
1350128,04/10/2019 11:00:00 AM,372,1.09,8,8,Nova Taxi Affiliation Llc
1350129,04/10/2019 11:00:00 AM,385,0.79,28,32,Chicago Carriage Cab Corp
1350130,04/10/2019 11:00:00 AM,393,1.31,7,8,Sun Taxi
1350131,04/10/2019 11:00:00 AM,490,1.63,28,8,Chicago Carriage Cab Corp
1350132,04/10/2019 11:00:00 AM,357,0.94,8,28,Sun Taxi
1350133,04/10/2019 11:00:00 AM,257,0.87,8,8,Chicago Carriage Cab Corp
1350134,04/10/2019 11:00:00 AM,211,0.68,28,28,Chicago Carriage Cab Corp
1350135,04/10/2019 11:00:00 AM,485,1.73,28,8,Chicago Carriage Cab Corp
1350136,04/10/2019 11:00:00 AM,361,1.2,8,32,Globe Taxi
1350137,04/10/2019 11:00:00 AM,198,0.61,28,32,Patriot Taxi Dba Peace Taxi Associat
1350138,04/10/2019 11:00:00 AM,330,0.9,28,28,Patriot Taxi Dba Peace Taxi Associat
1350139,04/10/2019 11:00:00 AM,392,1.23,8,8,Sun Taxi
1350140,04/10/2019 11:00:00 AM,346,0.76,8,32,Sun Taxi
1350141,04/10/2019 11:00:00 AM,503,1.02,8,32,City Service
1350142,04/10/2019 11:00:00 AM,372,1.05,32,8,Sun Taxi
1350143,04/10/2019 11:00:00 AM,585,1.52,32,8,Chicago Carriage Cab Corp
1350144,04/10/2019 11:00:00 AM,332,1.07,8,28,Globe Taxi
1350145,04/10/2019 11:00:00 AM,286,1.04,8,24,Sun Taxi
1350146,04/10/2019 11:00:00 AM,480,1.7,32,28,Globe Taxi
1350147,04/10/2019 11:00:00 AM,428,0.9,32,8,Medallion Leasin
1350148,04/10/2019 11:00:00 AM,406,1.1,8,8,Chicago Taxicab
1350149,04/10/2019 11:00:00 AM,307,1.02,8,8,Chicago Carriage Cab Corp
1350150,04/10/2019 11:00:00 AM,293,0.9,8,32,Medallion Leasin
