,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1360000,04/11/2019 10:15:00 AM,343,0.88,8,28,Chicago Carriage Cab Corp
1360001,04/11/2019 10:15:00 AM,477,1.01,28,32,Chicago Carriage Cab Corp
1360002,04/11/2019 10:15:00 AM,540,1.0,28,8,Sun Taxi
1360003,04/11/2019 10:15:00 AM,380,0.89,33,34,Chicago Carriage Cab Corp
1360004,04/11/2019 10:15:00 AM,523,1.24,28,8,Sun Taxi
1360005,04/11/2019 10:15:00 AM,471,1.22,32,8,Sun Taxi
1360006,04/11/2019 10:15:00 AM,360,0.96,32,8,Sun Taxi
1360007,04/11/2019 10:15:00 AM,276,0.68,8,32,Nova Taxi Affiliation Llc
1360008,04/11/2019 10:15:00 AM,238,0.97,33,33,Sun Taxi
1360009,04/11/2019 10:15:00 AM,298,1.4,28,8,Chicago Carriage Cab Corp
1360010,04/11/2019 10:15:00 AM,467,1.36,32,28,Sun Taxi
1360011,04/11/2019 10:15:00 AM,277,0.6,28,32,Medallion Leasin
1360012,04/11/2019 10:15:00 AM,283,0.74,8,32,Sun Taxi
1360013,04/11/2019 10:15:00 AM,485,1.11,8,28,Nova Taxi Affiliation Llc
1360014,04/11/2019 10:15:00 AM,352,0.67,32,32,Chicago Carriage Cab Corp
1360015,04/11/2019 10:15:00 AM,512,1.27,8,8,24 Seven Taxi
1360016,04/11/2019 10:15:00 AM,439,1.48,8,32,24 Seven Taxi
1360017,04/11/2019 10:15:00 AM,533,1.66,32,33,Chicago Carriage Cab Corp
1360018,04/11/2019 10:15:00 AM,351,0.67,28,8,24 Seven Taxi
1360019,04/11/2019 10:15:00 AM,462,1.84,32,33,Chicago Carriage Cab Corp
1360020,04/11/2019 10:15:00 AM,565,0.9,32,8,Flash Cab
1360021,04/11/2019 10:15:00 AM,193,0.7,2,2,Flash Cab
1360022,04/11/2019 10:15:00 AM,363,0.7,8,32,Flash Cab
1360023,04/11/2019 10:15:00 AM,440,0.7,8,8,Flash Cab
1360024,04/11/2019 10:15:00 AM,433,0.7,32,8,Flash Cab
1360025,04/11/2019 10:15:00 AM,485,1.3,32,28,Flash Cab
1360026,04/11/2019 10:15:00 AM,204,0.6,77,77,Flash Cab
1360027,04/11/2019 10:30:00 AM,360,1.6,32,33,Taxi Affiliation Services
1360028,04/11/2019 10:30:00 AM,300,0.6,32,8,Top Cab Affiliation
1360029,04/11/2019 10:30:00 AM,360,0.7,28,32,Taxi Affiliation Services
1360030,04/11/2019 10:30:00 AM,540,1.6,28,8,Chicago Medallion Management
1360031,04/11/2019 10:30:00 AM,300,1.0,32,8,Taxi Affiliation Services
1360032,04/11/2019 10:30:00 AM,540,1.3,8,8,Taxi Affiliation Services
1360033,04/11/2019 10:30:00 AM,540,1.6,28,8,Taxi Affiliation Services
1360034,04/11/2019 10:30:00 AM,480,1.0,8,32,Taxi Affiliation Services
1360035,04/11/2019 10:30:00 AM,360,0.9,8,32,Chicago Medallion Management
1360036,04/11/2019 10:30:00 AM,300,0.7,8,8,Taxi Affiliation Services
1360037,04/11/2019 10:30:00 AM,2640,1.1,76,32,Taxi Affiliation Services
1360038,04/11/2019 10:30:00 AM,540,0.7,32,32,Chicago Medallion Management
1360039,04/11/2019 10:30:00 AM,480,1.18,8,8,Chicago Carriage Cab Corp
1360040,04/11/2019 10:30:00 AM,243,0.66,28,32,Patriot Taxi Dba Peace Taxi Associat
1360041,04/11/2019 10:30:00 AM,226,0.59,32,32,Chicago Carriage Cab Corp
1360042,04/11/2019 10:30:00 AM,530,1.31,32,8,City Service
1360043,04/11/2019 10:30:00 AM,570,1.84,32,8,Chicago Carriage Cab Corp
1360044,04/11/2019 10:30:00 AM,480,1.6,32,8,Globe Taxi
1360045,04/11/2019 10:30:00 AM,463,1.9,32,28,Sun Taxi
1360046,04/11/2019 10:30:00 AM,240,0.8,32,32,Medallion Leasin
1360047,04/11/2019 10:30:00 AM,465,0.83,32,28,City Service
1360048,04/11/2019 10:30:00 AM,446,1.25,8,32,Chicago Carriage Cab Corp
1360049,04/11/2019 10:30:00 AM,404,1.21,32,32,City Service
1360050,04/11/2019 10:30:00 AM,539,1.1,32,8,Medallion Leasin
1360051,04/11/2019 10:30:00 AM,431,1.49,32,28,Patriot Taxi Dba Peace Taxi Associat
1360052,04/11/2019 10:30:00 AM,427,0.89,8,8,Patriot Taxi Dba Peace Taxi Associat
1360053,04/11/2019 10:30:00 AM,277,0.9,32,32,Globe Taxi
1360054,04/11/2019 10:30:00 AM,376,1.57,33,32,Chicago Carriage Cab Corp
1360055,04/11/2019 10:30:00 AM,513,1.29,32,8,Sun Taxi
1360056,04/11/2019 10:30:00 AM,588,1.1,8,8,Medallion Leasin
1360057,04/11/2019 10:30:00 AM,386,0.59,8,8,Sun Taxi
1360058,04/11/2019 10:30:00 AM,492,1.41,32,32,Chicago Carriage Cab Corp
1360059,04/11/2019 10:30:00 AM,572,1.64,8,28,Sun Taxi
1360060,04/11/2019 10:30:00 AM,581,1.44,32,8,Sun Taxi
1360061,04/11/2019 10:30:00 AM,329,0.91,8,8,Chicago Carriage Cab Corp
1360062,04/11/2019 10:30:00 AM,595,1.8,8,32,City Service
1360063,04/11/2019 10:30:00 AM,426,0.59,8,8,Chicago Carriage Cab Corp
1360064,04/11/2019 10:30:00 AM,493,1.03,28,32,Checker Taxi Affiliation
1360065,04/11/2019 10:30:00 AM,519,1.56,28,32,Chicago Carriage Cab Corp
1360066,04/11/2019 10:30:00 AM,569,1.82,8,32,Sun Taxi
1360067,04/11/2019 10:30:00 AM,444,1.04,28,32,Flash Cab
1360068,04/11/2019 10:30:00 AM,476,0.84,8,32,Sun Taxi
1360069,04/11/2019 10:30:00 AM,231,0.64,32,28,Sun Taxi
1360070,04/11/2019 10:30:00 AM,576,1.5,8,32,Medallion Leasin
1360071,04/11/2019 10:30:00 AM,480,1.01,28,8,Taxi Affiliation Service Yellow
1360072,04/11/2019 10:30:00 AM,465,1.2,32,32,Sun Taxi
1360073,04/11/2019 10:30:00 AM,378,1.63,32,32,Chicago Carriage Cab Corp
1360074,04/11/2019 10:30:00 AM,415,1.0,8,28,Checker Taxi Affiliation
1360075,04/11/2019 10:30:00 AM,479,1.1,32,8,Chicago Taxicab
1360076,04/11/2019 10:30:00 AM,587,1.17,32,8,Chicago Carriage Cab Corp
1360077,04/11/2019 10:30:00 AM,186,0.54,32,28,Chicago Carriage Cab Corp
1360078,04/11/2019 10:30:00 AM,588,1.04,28,32,City Service
1360079,04/11/2019 10:30:00 AM,437,1.46,33,32,Chicago Carriage Cab Corp
1360080,04/11/2019 10:30:00 AM,468,1.32,32,28,Chicago Carriage Cab Corp
1360081,04/11/2019 10:30:00 AM,367,0.87,32,32,Chicago Carriage Cab Corp
1360082,04/11/2019 10:30:00 AM,348,0.6,8,8,City Service
1360083,04/11/2019 10:30:00 AM,521,1.35,32,28,Chicago Carriage Cab Corp
1360084,04/11/2019 10:30:00 AM,217,0.51,8,8,Chicago Carriage Cab Corp
1360085,04/11/2019 10:30:00 AM,496,1.0,8,32,Chicago Carriage Cab Corp
1360086,04/11/2019 10:30:00 AM,309,0.64,8,32,Flash Cab
1360087,04/11/2019 10:30:00 AM,274,1.27,6,6,Patriot Taxi Dba Peace Taxi Associat
1360088,04/11/2019 10:30:00 AM,297,0.85,32,32,Chicago Carriage Cab Corp
1360089,04/11/2019 10:30:00 AM,367,1.18,32,32,Flash Cab
1360090,04/11/2019 10:30:00 AM,284,0.73,32,28,Chicago Carriage Cab Corp
1360091,04/11/2019 10:30:00 AM,492,1.83,8,32,Nova Taxi Affiliation Llc
1360092,04/11/2019 10:30:00 AM,325,0.66,28,32,Sun Taxi
1360093,04/11/2019 10:30:00 AM,273,0.85,32,32,Nova Taxi Affiliation Llc
1360094,04/11/2019 10:30:00 AM,309,0.91,28,8,City Service
1360095,04/11/2019 10:30:00 AM,343,1.04,8,32,Chicago Carriage Cab Corp
1360096,04/11/2019 10:30:00 AM,287,1.03,28,28,Chicago Carriage Cab Corp
1360097,04/11/2019 10:30:00 AM,357,1.32,8,32,Sun Taxi
1360098,04/11/2019 10:30:00 AM,539,1.1,8,8,Medallion Leasin
1360099,04/11/2019 10:30:00 AM,261,0.79,32,32,Chicago Carriage Cab Corp
1360100,04/11/2019 10:30:00 AM,540,1.1,28,32,Medallion Leasin
1360101,04/11/2019 10:30:00 AM,249,0.65,32,32,Chicago Carriage Cab Corp
1360102,04/11/2019 10:30:00 AM,462,1.74,32,28,24 Seven Taxi
1360103,04/11/2019 10:30:00 AM,221,0.52,28,32,Chicago Carriage Cab Corp
1360104,04/11/2019 10:30:00 AM,426,0.88,28,8,Patriot Taxi Dba Peace Taxi Associat
1360105,04/11/2019 10:30:00 AM,212,0.6,8,8,City Service
1360106,04/11/2019 10:30:00 AM,524,1.4,8,32,Sun Taxi
1360107,04/11/2019 10:30:00 AM,480,1.0,28,32,Medallion Leasin
1360108,04/11/2019 10:30:00 AM,321,0.85,32,32,Nova Taxi Affiliation Llc
1360109,04/11/2019 10:30:00 AM,285,1.2,8,32,City Service
1360110,04/11/2019 10:30:00 AM,358,0.63,28,32,Chicago Carriage Cab Corp
1360111,04/11/2019 10:30:00 AM,488,0.93,28,32,Chicago Carriage Cab Corp
1360112,04/11/2019 10:30:00 AM,399,1.01,28,32,Chicago Carriage Cab Corp
1360113,04/11/2019 10:30:00 AM,439,1.43,8,8,Chicago Carriage Cab Corp
1360114,04/11/2019 10:30:00 AM,442,1.08,28,28,Chicago Carriage Cab Corp
1360115,04/11/2019 10:30:00 AM,480,1.34,8,8,Sun Taxi
1360116,04/11/2019 10:30:00 AM,562,1.19,32,32,Chicago Carriage Cab Corp
1360117,04/11/2019 10:30:00 AM,383,1.72,28,32,Chicago Carriage Cab Corp
1360118,04/11/2019 10:30:00 AM,382,1.04,8,32,Chicago Carriage Cab Corp
1360119,04/11/2019 10:30:00 AM,488,1.1,32,8,Chicago Carriage Cab Corp
1360120,04/11/2019 10:30:00 AM,271,0.73,32,32,Chicago Carriage Cab Corp
1360121,04/11/2019 10:30:00 AM,433,1.16,8,32,Chicago Carriage Cab Corp
1360122,04/11/2019 10:30:00 AM,587,1.31,8,8,Sun Taxi
1360123,04/11/2019 10:30:00 AM,489,1.7,33,32,City Service
1360124,04/11/2019 10:30:00 AM,420,0.7,32,32,Medallion Leasin
1360125,04/11/2019 10:30:00 AM,333,1.07,8,28,City Service
1360126,04/11/2019 10:30:00 AM,256,0.68,8,8,24 Seven Taxi
1360127,04/11/2019 10:30:00 AM,487,1.54,8,32,24 Seven Taxi
1360128,04/11/2019 10:30:00 AM,416,1.06,32,8,Sun Taxi
1360129,04/11/2019 10:30:00 AM,290,0.64,32,32,Chicago Carriage Cab Corp
1360130,04/11/2019 10:30:00 AM,287,0.87,28,28,Patriot Taxi Dba Peace Taxi Associat
1360131,04/11/2019 10:30:00 AM,393,1.19,8,8,Chicago Carriage Cab Corp
1360132,04/11/2019 10:30:00 AM,237,0.69,33,34,City Service
1360133,04/11/2019 10:30:00 AM,402,0.97,32,8,Chicago Carriage Cab Corp
1360134,04/11/2019 10:30:00 AM,435,1.41,33,32,City Service
1360135,04/11/2019 10:30:00 AM,338,0.9,8,8,Chicago Taxicab
1360136,04/11/2019 10:30:00 AM,511,1.72,8,32,Patriot Taxi Dba Peace Taxi Associat
1360137,04/11/2019 10:30:00 AM,409,0.83,28,32,Sun Taxi
1360138,04/11/2019 10:30:00 AM,233,0.62,28,32,24 Seven Taxi
1360139,04/11/2019 10:30:00 AM,555,1.85,8,32,Chicago Carriage Cab Corp
1360140,04/11/2019 10:30:00 AM,533,1.34,32,32,Chicago Carriage Cab Corp
1360141,04/11/2019 10:30:00 AM,342,0.84,28,32,Chicago Carriage Cab Corp
1360142,04/11/2019 10:30:00 AM,420,1.1,32,8,Medallion Leasin
1360143,04/11/2019 10:30:00 AM,572,1.41,8,32,Chicago Carriage Cab Corp
1360144,04/11/2019 10:30:00 AM,325,0.9,8,32,Flash Cab
1360145,04/11/2019 10:30:00 AM,370,1.1,32,28,Flash Cab
1360146,04/11/2019 10:30:00 AM,586,1.6,8,8,Flash Cab
1360147,04/11/2019 10:30:00 AM,485,1.5,8,32,Flash Cab
1360148,04/11/2019 10:30:00 AM,377,1.2,8,32,Flash Cab
1360149,04/11/2019 10:30:00 AM,305,0.9,39,41,Flash Cab
1360150,04/11/2019 10:45:00 AM,420,1.1,8,8,KOAM Taxi Association
1360151,04/11/2019 10:45:00 AM,420,0.6,8,8,Taxi Affiliation Services
1360152,04/11/2019 10:45:00 AM,480,0.6,28,32,Taxi Affiliation Services
1360153,04/11/2019 10:45:00 AM,540,0.8,32,32,Chicago Medallion Management
1360154,04/11/2019 10:45:00 AM,480,0.8,32,8,Taxi Affiliation Services
1360155,04/11/2019 10:45:00 AM,300,0.6,28,32,Taxi Affiliation Services
1360156,04/11/2019 10:45:00 AM,480,1.0,8,32,Taxi Affiliation Services
1360157,04/11/2019 10:45:00 AM,300,0.7,8,8,Chicago Medallion Management
1360158,04/11/2019 10:45:00 AM,540,1.1,28,32,Choice Taxi Association
1360159,04/11/2019 10:45:00 AM,540,1.5,8,8,Taxi Affiliation Services
1360160,04/11/2019 10:45:00 AM,420,1.0,32,8,Taxi Affiliation Services
1360161,04/11/2019 10:45:00 AM,428,0.52,8,8,Chicago Carriage Cab Corp
1360162,04/11/2019 10:45:00 AM,240,0.9,8,32,City Service
1360163,04/11/2019 10:45:00 AM,404,0.91,32,32,Chicago Carriage Cab Corp
1360164,04/11/2019 10:45:00 AM,540,1.2,32,8,City Service
1360165,04/11/2019 10:45:00 AM,232,0.67,32,8,Chicago Carriage Cab Corp
1360166,04/11/2019 10:45:00 AM,464,1.23,8,8,Chicago Carriage Cab Corp
1360167,04/11/2019 10:45:00 AM,420,1.3,8,32,Sun Taxi
1360168,04/11/2019 10:45:00 AM,420,1.0,28,8,Globe Taxi
1360169,04/11/2019 10:45:00 AM,360,1.2,8,8,Globe Taxi
1360170,04/11/2019 10:45:00 AM,218,0.61,32,32,Chicago Carriage Cab Corp
1360171,04/11/2019 10:45:00 AM,477,0.9,32,28,Globe Taxi
1360172,04/11/2019 10:45:00 AM,494,1.34,32,8,City Service
1360173,04/11/2019 10:45:00 AM,300,0.7,32,8,City Service
1360174,04/11/2019 10:45:00 AM,240,0.8,8,28,Globe Taxi
1360175,04/11/2019 10:45:00 AM,356,1.58,32,33,Chicago Carriage Cab Corp
1360176,04/11/2019 10:45:00 AM,289,1.03,32,32,Chicago Carriage Cab Corp
1360177,04/11/2019 10:45:00 AM,342,0.81,32,8,Chicago Carriage Cab Corp
1360178,04/11/2019 10:45:00 AM,397,0.98,32,32,Chicago Carriage Cab Corp
1360179,04/11/2019 10:45:00 AM,392,0.89,8,32,Chicago Carriage Cab Corp
1360180,04/11/2019 10:45:00 AM,562,1.37,32,8,24 Seven Taxi
1360181,04/11/2019 10:45:00 AM,390,0.99,8,33,Chicago Carriage Cab Corp
1360182,04/11/2019 10:45:00 AM,240,0.7,76,8,Medallion Leasin
1360183,04/11/2019 10:45:00 AM,245,0.8,8,32,Globe Taxi
1360184,04/11/2019 10:45:00 AM,547,1.52,28,8,Chicago Carriage Cab Corp
1360185,04/11/2019 10:45:00 AM,440,1.12,32,32,Sun Taxi
1360186,04/11/2019 10:45:00 AM,283,0.63,8,8,Sun Taxi
1360187,04/11/2019 10:45:00 AM,478,1.07,8,32,Chicago Carriage Cab Corp
1360188,04/11/2019 10:45:00 AM,367,1.13,32,8,Chicago Carriage Cab Corp
1360189,04/11/2019 10:45:00 AM,568,1.57,32,32,Chicago Carriage Cab Corp
1360190,04/11/2019 10:45:00 AM,514,1.78,8,32,Taxi Affiliation Service Yellow
1360191,04/11/2019 10:45:00 AM,586,1.48,32,8,Sun Taxi
1360192,04/11/2019 10:45:00 AM,312,0.89,32,32,Patriot Taxi Dba Peace Taxi Associat
1360193,04/11/2019 10:45:00 AM,334,0.68,28,8,Sun Taxi
1360194,04/11/2019 10:45:00 AM,498,0.93,8,32,Patriot Taxi Dba Peace Taxi Associat
1360195,04/11/2019 10:45:00 AM,456,1.1,32,28,Medallion Leasin
1360196,04/11/2019 10:45:00 AM,540,1.6,8,8,Medallion Leasin
1360197,04/11/2019 10:45:00 AM,285,0.78,8,32,Sun Taxi
