,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1370000,04/12/2019 10:00:00 AM,337,0.7,32,32,Flash Cab
1370001,04/12/2019 10:00:00 AM,352,1.2,32,28,Flash Cab
1370002,04/12/2019 10:00:00 AM,221,0.8,77,77,Flash Cab
1370003,04/12/2019 10:00:00 AM,392,1.0,32,8,Flash Cab
1370004,04/12/2019 10:00:00 AM,344,0.9,8,32,Flash Cab
1370005,04/12/2019 10:00:00 AM,343,0.6,28,32,Flash Cab
1370006,04/12/2019 10:00:00 AM,210,0.7,2,2,Flash Cab
1370007,04/12/2019 10:00:00 AM,433,1.4,28,28,Flash Cab
1370008,04/12/2019 10:00:00 AM,290,1.1,7,7,Flash Cab
1370009,04/12/2019 10:00:00 AM,371,1.2,8,8,Flash Cab
1370010,04/12/2019 10:15:00 AM,2160,0.8,56,8,Taxi Affiliation Services
1370011,04/12/2019 10:15:00 AM,1860,1.1,8,76,Taxi Affiliation Services
1370012,04/12/2019 10:15:00 AM,360,0.7,8,32,"Taxicab Insurance Agency, LLC"
1370013,04/12/2019 10:15:00 AM,480,1.7,33,32,Taxi Affiliation Services
1370014,04/12/2019 10:15:00 AM,540,1.4,8,8,Taxi Affiliation Services
1370015,04/12/2019 10:15:00 AM,360,0.7,32,32,Choice Taxi Association
1370016,04/12/2019 10:15:00 AM,540,1.3,8,8,Chicago Medallion Management
1370017,04/12/2019 10:15:00 AM,480,1.2,28,32,Star North Management LLC
1370018,04/12/2019 10:15:00 AM,480,0.9,28,8,Taxi Affiliation Services
1370019,04/12/2019 10:15:00 AM,595,0.9,28,32,Chicago Carriage Cab Corp
1370020,04/12/2019 10:15:00 AM,589,1.8,8,28,Medallion Leasin
1370021,04/12/2019 10:15:00 AM,419,1.2,8,32,Metro Jet Taxi A
1370022,04/12/2019 10:15:00 AM,380,1.4,32,33,Chicago Carriage Cab Corp
1370023,04/12/2019 10:15:00 AM,306,0.72,8,8,Chicago Carriage Cab Corp
1370024,04/12/2019 10:15:00 AM,519,1.1,8,32,Medallion Leasin
1370025,04/12/2019 10:15:00 AM,420,1.07,32,8,City Service
1370026,04/12/2019 10:15:00 AM,404,1.15,32,8,City Service
1370027,04/12/2019 10:15:00 AM,463,0.7,32,8,Metro Jet Taxi A
1370028,04/12/2019 10:15:00 AM,488,1.2,8,32,City Service
1370029,04/12/2019 10:15:00 AM,540,1.0,32,32,City Service
