,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
130000,01/11/2019 05:30:00 PM,587,1.02,6,7,City Service
130001,01/11/2019 05:30:00 PM,448,1.2,32,8,Sun Taxi
130002,01/11/2019 05:30:00 PM,480,1.0,32,28,24 Seven Taxi
130003,01/11/2019 05:30:00 PM,543,0.95,8,8,Sun Taxi
130004,01/11/2019 05:30:00 PM,300,0.71,8,8,Sun Taxi
130005,01/11/2019 05:30:00 PM,390,0.92,28,32,Chicago Carriage Cab Corp
130006,01/11/2019 05:30:00 PM,328,0.86,28,32,City Service
130007,01/11/2019 05:30:00 PM,287,0.77,28,32,Chicago Carriage Cab Corp
130008,01/11/2019 05:30:00 PM,332,0.53,8,32,24 Seven Taxi
130009,01/11/2019 05:30:00 PM,573,1.07,28,32,Chicago Carriage Cab Corp
130010,01/11/2019 05:30:00 PM,262,0.97,32,33,Chicago Carriage Cab Corp
130011,01/11/2019 05:30:00 PM,567,1.69,32,33,Gold Coast Taxi
130012,01/11/2019 05:30:00 PM,335,0.79,32,28,Chicago Carriage Cab Corp
130013,01/11/2019 05:30:00 PM,376,0.7,32,8,Medallion Leasin
130014,01/11/2019 05:30:00 PM,540,1.6,32,33,City Service
130015,01/11/2019 05:30:00 PM,578,0.87,32,8,Chicago Carriage Cab Corp
130016,01/11/2019 05:30:00 PM,420,1.2,32,8,Sun Taxi
130017,01/11/2019 05:30:00 PM,480,1.5,32,8,Sun Taxi
130018,01/11/2019 05:30:00 PM,479,0.88,32,28,Chicago Carriage Cab Corp
130019,01/11/2019 05:30:00 PM,528,1.43,77,3,Flash Cab
130020,01/11/2019 05:30:00 PM,587,1.21,8,32,Sun Taxi
130021,01/11/2019 05:30:00 PM,321,0.6,28,28,24 Seven Taxi
130022,01/11/2019 05:30:00 PM,591,1.11,32,32,Chicago Carriage Cab Corp
130023,01/11/2019 05:30:00 PM,371,0.6,8,24,Medallion Leasin
130024,01/11/2019 05:30:00 PM,513,1.55,33,32,Taxi Affiliation Service Yellow
130025,01/11/2019 05:30:00 PM,512,1.28,8,8,Chicago Carriage Cab Corp
130026,01/11/2019 05:30:00 PM,461,1.7,33,32,City Service
130027,01/11/2019 05:30:00 PM,420,1.0,33,34,Sun Taxi
130028,01/11/2019 05:30:00 PM,333,0.76,32,32,Chicago Carriage Cab Corp
130029,01/11/2019 05:30:00 PM,459,0.83,32,8,Chicago Carriage Cab Corp
130030,01/11/2019 05:30:00 PM,420,0.9,32,28,Globe Taxi
130031,01/11/2019 05:30:00 PM,369,0.96,32,8,City Service
130032,01/11/2019 05:30:00 PM,420,0.7,32,28,Medallion Leasin
130033,01/11/2019 05:30:00 PM,540,1.3,7,7,Chicago Independents
130034,01/11/2019 05:30:00 PM,331,0.58,32,32,Patriot Taxi Dba Peace Taxi Associat
130035,01/11/2019 05:30:00 PM,331,0.74,33,34,Chicago Carriage Cab Corp
130036,01/11/2019 05:30:00 PM,427,0.78,32,32,Chicago Carriage Cab Corp
130037,01/11/2019 05:30:00 PM,361,1.03,8,32,Patriot Taxi Dba Peace Taxi Associat
130038,01/11/2019 05:30:00 PM,576,0.73,8,8,Sun Taxi
130039,01/11/2019 05:30:00 PM,301,0.56,8,8,Flash Cab
130040,01/11/2019 05:30:00 PM,392,1.03,33,35,Chicago Carriage Cab Corp
130041,01/11/2019 05:30:00 PM,540,1.1,28,24,Medallion Leasin
130042,01/11/2019 05:30:00 PM,566,0.98,32,8,Nova Taxi Affiliation Llc
