,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1410000,04/16/2019 10:00:00 AM,420,0.7,32,32,KOAM Taxi Association
1410001,04/16/2019 10:00:00 AM,480,0.7,32,32,Star North Management LLC
1410002,04/16/2019 10:00:00 AM,480,0.8,32,32,Star North Management LLC
1410003,04/16/2019 10:00:00 AM,360,0.8,28,32,Star North Management LLC
1410004,04/16/2019 10:00:00 AM,540,1.0,8,8,Taxi Affiliation Services
1410005,04/16/2019 10:00:00 AM,360,0.7,32,8,Taxi Affiliation Services
1410006,04/16/2019 10:00:00 AM,360,0.8,8,32,Taxi Affiliation Services
1410007,04/16/2019 10:00:00 AM,480,0.6,28,32,Taxi Affiliation Services
1410008,04/16/2019 10:00:00 AM,540,1.0,8,32,Taxi Affiliation Services
1410009,04/16/2019 10:00:00 AM,360,0.8,32,28,Taxi Affiliation Services
1410010,04/16/2019 10:00:00 AM,480,1.2,32,8,Choice Taxi Association
1410011,04/16/2019 10:00:00 AM,480,0.8,32,32,Star North Management LLC
1410012,04/16/2019 10:00:00 AM,360,0.8,8,32,Taxi Affiliation Services
1410013,04/16/2019 10:00:00 AM,480,1.2,8,32,Star North Management LLC
1410014,04/16/2019 10:00:00 AM,360,0.7,8,8,Choice Taxi Association
1410015,04/16/2019 10:00:00 AM,420,0.6,32,32,KOAM Taxi Association
1410016,04/16/2019 10:00:00 AM,540,1.2,28,32,Taxi Affiliation Services
1410017,04/16/2019 10:00:00 AM,540,1.4,32,32,Star North Management LLC
1410018,04/16/2019 10:00:00 AM,427,0.66,32,32,Chicago Carriage Cab Corp
1410019,04/16/2019 10:00:00 AM,240,0.6,32,8,Medallion Leasin
1410020,04/16/2019 10:00:00 AM,360,1.0,32,32,Globe Taxi
1410021,04/16/2019 10:00:00 AM,413,0.87,32,32,Flash Cab
1410022,04/16/2019 10:00:00 AM,311,0.62,28,32,Patriot Taxi Dba Peace Taxi Associat
1410023,04/16/2019 10:00:00 AM,294,1.24,8,32,Chicago Carriage Cab Corp
1410024,04/16/2019 10:00:00 AM,401,1.02,59,59,Flash Cab
1410025,04/16/2019 10:00:00 AM,438,1.18,32,32,Sun Taxi
1410026,04/16/2019 10:00:00 AM,399,0.7,32,32,Medallion Leasin
1410027,04/16/2019 10:00:00 AM,578,1.2,8,32,Medallion Leasin
1410028,04/16/2019 10:00:00 AM,550,1.79,32,8,Chicago Carriage Cab Corp
1410029,04/16/2019 10:00:00 AM,547,1.3,32,32,Medallion Leasin
1410030,04/16/2019 10:00:00 AM,426,1.25,8,8,24 Seven Taxi
1410031,04/16/2019 10:00:00 AM,360,1.2,8,32,Medallion Leasin
1410032,04/16/2019 10:00:00 AM,442,1.18,28,8,Flash Cab
1410033,04/16/2019 10:00:00 AM,568,1.65,8,28,Chicago Carriage Cab Corp
1410034,04/16/2019 10:00:00 AM,546,1.4,28,32,Nova Taxi Affiliation Llc
1410035,04/16/2019 10:00:00 AM,509,1.29,8,8,Chicago Carriage Cab Corp
1410036,04/16/2019 10:00:00 AM,463,1.09,28,32,Globe Taxi
1410037,04/16/2019 10:00:00 AM,446,1.2,28,28,Nova Taxi Affiliation Llc
1410038,04/16/2019 10:00:00 AM,552,1.0,8,8,Taxi Affiliation Service Yellow
1410039,04/16/2019 10:00:00 AM,303,0.88,28,8,Taxi Affiliation Service Yellow
1410040,04/16/2019 10:00:00 AM,382,1.2,32,32,Chicago Taxicab
1410041,04/16/2019 10:00:00 AM,599,1.9,8,32,Taxi Affiliation Service Yellow
1410042,04/16/2019 10:00:00 AM,553,1.9,6,5,Checker Taxi Affiliation
1410043,04/16/2019 10:00:00 AM,247,0.6,8,32,Taxi Affiliation Service Yellow
1410044,04/16/2019 10:00:00 AM,321,1.3,33,32,Taxi Affiliation Service Yellow
1410045,04/16/2019 10:00:00 AM,235,0.74,28,32,Chicago Carriage Cab Corp
1410046,04/16/2019 10:00:00 AM,333,0.89,33,34,Flash Cab
1410047,04/16/2019 10:00:00 AM,329,0.65,32,32,Checker Taxi Affiliation
1410048,04/16/2019 10:00:00 AM,376,0.89,7,7,Taxi Affiliation Service Yellow
1410049,04/16/2019 10:00:00 AM,487,1.2,32,28,Medallion Leasin
1410050,04/16/2019 10:00:00 AM,540,1.5,8,32,Medallion Leasin
1410051,04/16/2019 10:00:00 AM,349,0.8,28,28,Medallion Leasin
1410052,04/16/2019 10:00:00 AM,495,1.3,8,28,Flash Cab
1410053,04/16/2019 10:00:00 AM,237,0.83,28,32,City Service
1410054,04/16/2019 10:00:00 AM,349,0.53,8,8,City Service
1410055,04/16/2019 10:00:00 AM,246,1.11,51,51,Flash Cab
1410056,04/16/2019 10:00:00 AM,290,1.3,39,38,Taxi Affiliation Service Yellow
1410057,04/16/2019 10:00:00 AM,309,0.93,28,28,Checker Taxi Affiliation
1410058,04/16/2019 10:00:00 AM,266,0.61,32,8,Flash Cab
1410059,04/16/2019 10:00:00 AM,405,0.81,8,8,Sun Taxi
1410060,04/16/2019 10:00:00 AM,444,0.87,8,8,City Service
1410061,04/16/2019 10:00:00 AM,310,0.69,8,32,City Service
1410062,04/16/2019 10:00:00 AM,488,1.01,28,28,Chicago Carriage Cab Corp
1410063,04/16/2019 10:00:00 AM,286,0.75,3,3,Flash Cab
1410064,04/16/2019 10:00:00 AM,338,0.92,3,4,Taxi Affiliation Service Yellow
1410065,04/16/2019 10:00:00 AM,313,1.1,8,8,Globe Taxi
