,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1430000,04/17/2019 02:15:00 PM,380,0.53,8,8,Nova Taxi Affiliation Llc
1430001,04/17/2019 02:15:00 PM,267,1.15,32,8,Chicago Carriage Cab Corp
1430002,04/17/2019 02:15:00 PM,186,0.75,8,28,City Service
1430003,04/17/2019 02:15:00 PM,527,1.11,28,8,Sun Taxi
1430004,04/17/2019 02:15:00 PM,535,1.54,8,32,Flash Cab
1430005,04/17/2019 02:15:00 PM,439,1.23,8,32,Flash Cab
1430006,04/17/2019 02:15:00 PM,493,1.29,32,8,Flash Cab
1430007,04/17/2019 02:15:00 PM,300,0.55,8,8,Nova Taxi Affiliation Llc
1430008,04/17/2019 02:15:00 PM,300,0.8,8,32,Medallion Leasin
1430009,04/17/2019 02:15:00 PM,384,0.98,28,28,Nova Taxi Affiliation Llc
1430010,04/17/2019 02:15:00 PM,383,0.89,28,32,Chicago Carriage Cab Corp
1430011,04/17/2019 02:15:00 PM,530,1.42,32,32,Nova Taxi Affiliation Llc
1430012,04/17/2019 02:15:00 PM,391,0.53,32,28,Sun Taxi
1430013,04/17/2019 02:15:00 PM,498,1.06,32,32,Chicago Carriage Cab Corp
1430014,04/17/2019 02:15:00 PM,451,0.96,8,8,Chicago Carriage Cab Corp
1430015,04/17/2019 02:15:00 PM,547,1.58,8,32,City Service
1430016,04/17/2019 02:15:00 PM,420,1.23,8,32,Nova Taxi Affiliation Llc
1430017,04/17/2019 02:15:00 PM,265,0.99,28,32,Chicago Carriage Cab Corp
1430018,04/17/2019 02:15:00 PM,480,1.1,8,8,Sun Taxi
1430019,04/17/2019 02:15:00 PM,420,1.1,8,8,Medallion Leasin
1430020,04/17/2019 02:15:00 PM,495,1.53,32,8,Flash Cab
1430021,04/17/2019 02:15:00 PM,420,1.0,8,28,Chicago Independents
1430022,04/17/2019 02:15:00 PM,371,0.74,32,28,Chicago Carriage Cab Corp
1430023,04/17/2019 02:15:00 PM,354,0.8,8,8,Chicago Carriage Cab Corp
1430024,04/17/2019 02:15:00 PM,419,1.25,32,28,Chicago Carriage Cab Corp
1430025,04/17/2019 02:15:00 PM,583,1.44,8,32,Chicago Carriage Cab Corp
1430026,04/17/2019 02:15:00 PM,360,0.9,32,32,Globe Taxi
1430027,04/17/2019 02:15:00 PM,424,0.8,32,28,Chicago Carriage Cab Corp
1430028,04/17/2019 02:15:00 PM,307,1.07,8,8,Sun Taxi
1430029,04/17/2019 02:15:00 PM,386,1.0,32,8,Chicago Carriage Cab Corp
1430030,04/17/2019 02:15:00 PM,331,0.82,28,32,Sun Taxi
1430031,04/17/2019 02:15:00 PM,360,1.4,32,8,City Service
1430032,04/17/2019 02:15:00 PM,279,0.58,8,8,Chicago Carriage Cab Corp
1430033,04/17/2019 02:15:00 PM,403,1.0,8,32,Chicago Taxicab
1430034,04/17/2019 02:15:00 PM,310,0.8,8,8,Sun Taxi
1430035,04/17/2019 02:15:00 PM,399,1.29,8,8,Chicago Carriage Cab Corp
1430036,04/17/2019 02:15:00 PM,240,0.6,8,8,Medallion Leasin
1430037,04/17/2019 02:15:00 PM,387,1.23,8,32,Sun Taxi
1430038,04/17/2019 02:15:00 PM,396,0.9,8,8,Flash Cab
1430039,04/17/2019 02:15:00 PM,578,1.12,8,28,City Service
1430040,04/17/2019 02:15:00 PM,347,0.86,8,8,Chicago Carriage Cab Corp
1430041,04/17/2019 02:15:00 PM,240,0.8,28,32,Sun Taxi
1430042,04/17/2019 02:15:00 PM,307,0.87,32,8,Patriot Taxi Dba Peace Taxi Associat
1430043,04/17/2019 02:15:00 PM,557,1.42,8,32,Sun Taxi
1430044,04/17/2019 02:15:00 PM,586,1.37,8,28,Sun Taxi
1430045,04/17/2019 02:15:00 PM,331,0.88,32,8,Chicago Carriage Cab Corp
1430046,04/17/2019 02:15:00 PM,453,0.9,32,32,Flash Cab
1430047,04/17/2019 02:15:00 PM,415,1.2,8,32,Flash Cab
1430048,04/17/2019 02:15:00 PM,474,0.9,32,28,Flash Cab
1430049,04/17/2019 02:30:00 PM,240,0.7,32,28,"Taxicab Insurance Agency, LLC"
1430050,04/17/2019 02:30:00 PM,360,0.8,8,8,Chicago Medallion Management
1430051,04/17/2019 02:30:00 PM,240,0.7,32,28,Taxi Affiliation Services
1430052,04/17/2019 02:30:00 PM,1980,10.3,28,56,Taxi Affiliation Services
1430053,04/17/2019 02:30:00 PM,360,1.4,41,41,Taxi Affiliation Services
1430054,04/17/2019 02:30:00 PM,300,0.7,28,32,Taxi Affiliation Services
1430055,04/17/2019 02:30:00 PM,360,1.5,32,28,Star North Management LLC
1430056,04/17/2019 02:30:00 PM,300,1.1,33,32,Taxi Affiliation Services
1430057,04/17/2019 02:30:00 PM,300,0.9,8,8,Star North Management LLC
1430058,04/17/2019 02:30:00 PM,300,0.6,32,32,Taxi Affiliation Services
1430059,04/17/2019 02:30:00 PM,360,1.1,32,8,Star North Management LLC
1430060,04/17/2019 02:30:00 PM,300,0.7,32,32,Taxi Affiliation Services
1430061,04/17/2019 02:30:00 PM,2040,1.8,28,28,Chicago Medallion Management
1430062,04/17/2019 02:30:00 PM,540,1.5,28,32,Taxi Affiliation Services
1430063,04/17/2019 02:30:00 PM,2220,1.0,32,76,Taxi Affiliation Services
1430064,04/17/2019 02:30:00 PM,420,1.5,8,8,Taxi Affiliation Services
1430065,04/17/2019 02:30:00 PM,300,0.6,8,8,Taxi Affiliation Services
1430066,04/17/2019 02:30:00 PM,540,1.1,32,32,Taxi Affiliation Services
1430067,04/17/2019 02:30:00 PM,2100,0.8,76,77,Taxi Affiliation Services
1430068,04/17/2019 02:30:00 PM,480,0.9,32,28,Choice Taxi Association
1430069,04/17/2019 02:30:00 PM,240,0.8,32,28,"Taxicab Insurance Agency, LLC"
1430070,04/17/2019 02:30:00 PM,360,0.8,28,32,Top Cab Affiliation
1430071,04/17/2019 02:30:00 PM,360,0.8,28,32,Taxi Affiliation Services
1430072,04/17/2019 02:30:00 PM,480,1.1,32,8,Choice Taxi Association
1430073,04/17/2019 02:30:00 PM,240,0.8,32,8,Taxi Affiliation Services
1430074,04/17/2019 02:30:00 PM,540,1.2,28,32,Taxi Affiliation Services
1430075,04/17/2019 02:30:00 PM,480,1.5,8,32,Taxi Affiliation Services
1430076,04/17/2019 02:30:00 PM,360,0.8,32,8,Star North Management LLC
1430077,04/17/2019 02:30:00 PM,1980,1.0,8,76,Taxi Affiliation Services
1430078,04/17/2019 02:30:00 PM,420,1.3,8,8,Star North Management LLC
1430079,04/17/2019 02:30:00 PM,360,0.9,32,8,Star North Management LLC
1430080,04/17/2019 02:30:00 PM,360,1.0,32,8,Taxi Affiliation Services
1430081,04/17/2019 02:30:00 PM,540,1.0,32,32,Star North Management LLC
1430082,04/17/2019 02:30:00 PM,480,0.9,32,32,Taxi Affiliation Services
1430083,04/17/2019 02:30:00 PM,420,0.8,32,32,Taxi Affiliation Services
1430084,04/17/2019 02:30:00 PM,360,0.8,32,8,Star North Management LLC
1430085,04/17/2019 02:30:00 PM,360,1.6,8,8,Chicago Independents
1430086,04/17/2019 02:30:00 PM,360,0.8,8,8,Taxi Affiliation Services
1430087,04/17/2019 02:30:00 PM,480,1.2,32,8,Taxi Affiliation Services
1430088,04/17/2019 02:30:00 PM,420,1.5,32,24,Taxi Affiliation Services
1430089,04/17/2019 02:30:00 PM,480,0.9,32,32,Star North Management LLC
1430090,04/17/2019 02:30:00 PM,420,0.8,28,32,Taxi Affiliation Services
1430091,04/17/2019 02:30:00 PM,360,1.2,28,32,Taxi Affiliation Services
1430092,04/17/2019 02:30:00 PM,420,1.0,8,32,Star North Management LLC
1430093,04/17/2019 02:30:00 PM,300,0.6,8,8,"Taxicab Insurance Agency, LLC"
1430094,04/17/2019 02:30:00 PM,2700,1.6,32,16,Blue Ribbon Taxi Association Inc.
1430095,04/17/2019 02:30:00 PM,240,0.9,8,28,Taxi Affiliation Services
1430096,04/17/2019 02:30:00 PM,420,1.3,32,33,Top Cab Affiliation
1430097,04/17/2019 02:30:00 PM,2280,1.0,8,76,Taxi Affiliation Services
1430098,04/17/2019 02:30:00 PM,480,1.4,8,32,Taxi Affiliation Services
1430099,04/17/2019 02:30:00 PM,420,1.2,32,28,Top Cab Affiliation
1430100,04/17/2019 02:30:00 PM,480,0.9,28,32,Choice Taxi Association
1430101,04/17/2019 02:30:00 PM,360,0.9,28,32,Star North Management LLC
1430102,04/17/2019 02:30:00 PM,240,0.7,32,28,Taxi Affiliation Services
1430103,04/17/2019 02:30:00 PM,480,1.2,32,8,Star North Management LLC
1430104,04/17/2019 02:30:00 PM,300,1.2,32,8,Star North Management LLC
1430105,04/17/2019 02:30:00 PM,480,0.9,32,32,Taxi Affiliation Services
1430106,04/17/2019 02:30:00 PM,240,0.7,8,8,Taxi Affiliation Services
1430107,04/17/2019 02:30:00 PM,360,1.4,32,8,Star North Management LLC
1430108,04/17/2019 02:30:00 PM,420,1.0,28,32,Star North Management LLC
1430109,04/17/2019 02:30:00 PM,300,1.0,8,28,Taxi Affiliation Services
1430110,04/17/2019 02:30:00 PM,420,1.0,8,32,Top Cab Affiliation
1430111,04/17/2019 02:30:00 PM,420,1.2,32,28,Taxi Affiliation Services
1430112,04/17/2019 02:30:00 PM,540,1.2,8,8,Star North Management LLC
1430113,04/17/2019 02:30:00 PM,540,1.0,28,32,KOAM Taxi Association
1430114,04/17/2019 02:30:00 PM,360,1.3,8,8,Top Cab Affiliation
1430115,04/17/2019 02:30:00 PM,420,1.0,32,32,Taxi Affiliation Services
1430116,04/17/2019 02:30:00 PM,480,0.8,32,28,Star North Management LLC
1430117,04/17/2019 02:30:00 PM,360,1.1,32,8,Chicago Independents
1430118,04/17/2019 02:30:00 PM,420,1.0,28,32,Star North Management LLC
1430119,04/17/2019 02:30:00 PM,300,0.6,28,28,Chicago Independents
1430120,04/17/2019 02:30:00 PM,464,0.76,32,28,Flash Cab
1430121,04/17/2019 02:30:00 PM,367,0.9,32,28,City Service
1430122,04/17/2019 02:30:00 PM,481,1.64,32,8,Chicago Carriage Cab Corp
1430123,04/17/2019 02:30:00 PM,547,1.58,8,32,City Service
1430124,04/17/2019 02:30:00 PM,388,0.56,8,8,Sun Taxi
1430125,04/17/2019 02:30:00 PM,454,1.69,32,32,Chicago Carriage Cab Corp
1430126,04/17/2019 02:30:00 PM,300,0.67,28,32,Flash Cab
1430127,04/17/2019 02:30:00 PM,250,1.0,32,24,Medallion Leasin
1430128,04/17/2019 02:30:00 PM,540,1.4,28,8,Medallion Leasin
1430129,04/17/2019 02:30:00 PM,550,1.38,8,8,Flash Cab
1430130,04/17/2019 02:30:00 PM,424,1.0,32,8,Chicago Carriage Cab Corp
1430131,04/17/2019 02:30:00 PM,448,1.02,8,8,Flash Cab
1430132,04/17/2019 02:30:00 PM,371,0.91,28,32,Chicago Carriage Cab Corp
1430133,04/17/2019 02:30:00 PM,271,0.9,8,8,Medallion Leasin
1430134,04/17/2019 02:30:00 PM,360,0.9,8,8,Medallion Leasin
1430135,04/17/2019 02:30:00 PM,350,1.01,8,32,Nova Taxi Affiliation Llc
1430136,04/17/2019 02:30:00 PM,480,1.2,8,8,Medallion Leasin
