,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1440000,04/18/2019 08:45:00 AM,545,0.7,32,8,Chicago Taxicab
1440001,04/18/2019 08:45:00 AM,300,1.9,32,33,Sun Taxi
1440002,04/18/2019 08:45:00 AM,560,1.57,32,8,Sun Taxi
1440003,04/18/2019 08:45:00 AM,372,0.62,28,32,Chicago Carriage Cab Corp
1440004,04/18/2019 08:45:00 AM,408,0.92,8,8,Flash Cab
1440005,04/18/2019 08:45:00 AM,314,0.79,28,28,Flash Cab
1440006,04/18/2019 08:45:00 AM,343,0.98,32,32,5 Star Taxi
1440007,04/18/2019 08:45:00 AM,474,1.26,28,28,Chicago Carriage Cab Corp
1440008,04/18/2019 08:45:00 AM,415,1.4,4,3,Flash Cab
1440009,04/18/2019 08:45:00 AM,518,1.8,32,8,Metro Jet Taxi A
1440010,04/18/2019 08:45:00 AM,395,0.6,32,32,Chicago Taxicab
1440011,04/18/2019 08:45:00 AM,387,1.01,28,28,Flash Cab
1440012,04/18/2019 08:45:00 AM,240,0.8,1,28,Medallion Leasin
1440013,04/18/2019 08:45:00 AM,556,0.82,8,8,City Service
1440014,04/18/2019 08:45:00 AM,574,0.62,28,8,City Service
1440015,04/18/2019 08:45:00 AM,419,1.0,28,28,Sun Taxi
1440016,04/18/2019 08:45:00 AM,503,0.74,8,32,Globe Taxi
1440017,04/18/2019 08:45:00 AM,361,0.57,8,32,Flash Cab
1440018,04/18/2019 08:45:00 AM,498,0.62,32,32,City Service
1440019,04/18/2019 08:45:00 AM,515,1.2,8,32,Metro Jet Taxi A
1440020,04/18/2019 08:45:00 AM,593,0.7,28,32,Flash Cab
1440021,04/18/2019 08:45:00 AM,382,0.7,28,32,Flash Cab
1440022,04/18/2019 08:45:00 AM,370,0.6,28,32,Flash Cab
1440023,04/18/2019 08:45:00 AM,385,0.9,32,8,Flash Cab
1440024,04/18/2019 08:45:00 AM,541,0.8,8,32,Flash Cab
1440025,04/18/2019 08:45:00 AM,449,0.8,28,32,Flash Cab
1440026,04/18/2019 08:45:00 AM,510,1.3,28,32,Flash Cab
1440027,04/18/2019 08:45:00 AM,4,1.0,59,59,Flash Cab
1440028,04/18/2019 08:45:00 AM,461,1.4,8,32,Flash Cab
1440029,04/18/2019 09:00:00 AM,360,1.0,32,32,Blue Ribbon Taxi Association Inc.
1440030,04/18/2019 09:00:00 AM,240,0.7,8,32,Taxi Affiliation Services
1440031,04/18/2019 09:00:00 AM,300,0.6,8,32,Star North Management LLC
1440032,04/18/2019 09:00:00 AM,360,1.1,8,32,Top Cab Affiliation
1440033,04/18/2019 09:00:00 AM,240,0.6,28,32,Taxi Affiliation Services
1440034,04/18/2019 09:00:00 AM,420,1.1,8,8,Taxi Affiliation Services
1440035,04/18/2019 09:00:00 AM,420,1.1,8,8,Taxi Affiliation Services
1440036,04/18/2019 09:00:00 AM,480,1.0,28,8,Taxi Affiliation Services
1440037,04/18/2019 09:00:00 AM,480,1.2,32,8,"Taxicab Insurance Agency, LLC"
1440038,04/18/2019 09:00:00 AM,420,0.6,32,32,Taxi Affiliation Services
1440039,04/18/2019 09:00:00 AM,420,1.0,28,32,Star North Management LLC
1440040,04/18/2019 09:00:00 AM,300,0.7,32,8,Star North Management LLC
1440041,04/18/2019 09:00:00 AM,420,0.9,33,32,Taxi Affiliation Services
1440042,04/18/2019 09:00:00 AM,540,1.6,8,32,Taxi Affiliation Services
1440043,04/18/2019 09:00:00 AM,360,0.7,28,32,Choice Taxi Association
1440044,04/18/2019 09:00:00 AM,480,0.7,8,32,Taxi Affiliation Services
1440045,04/18/2019 09:00:00 AM,360,0.9,8,8,"Taxicab Insurance Agency, LLC"
1440046,04/18/2019 09:00:00 AM,300,0.7,28,32,Star North Management LLC
1440047,04/18/2019 09:00:00 AM,240,0.7,32,32,Star North Management LLC
1440048,04/18/2019 09:00:00 AM,540,1.7,8,32,Taxi Affiliation Services
1440049,04/18/2019 09:00:00 AM,420,1.6,32,8,Taxi Affiliation Services
1440050,04/18/2019 09:00:00 AM,360,0.6,28,32,Taxi Affiliation Services
1440051,04/18/2019 09:00:00 AM,540,1.4,8,32,Taxi Affiliation Services
1440052,04/18/2019 09:00:00 AM,540,1.1,33,32,Top Cab Affiliation
1440053,04/18/2019 09:00:00 AM,480,0.9,32,32,Star North Management LLC
1440054,04/18/2019 09:00:00 AM,480,1.1,32,8,Taxi Affiliation Services
1440055,04/18/2019 09:00:00 AM,420,0.7,32,28,Taxi Affiliation Services
1440056,04/18/2019 09:00:00 AM,360,0.8,8,8,Taxi Affiliation Services
1440057,04/18/2019 09:00:00 AM,300,0.9,8,32,Taxi Affiliation Services
1440058,04/18/2019 09:00:00 AM,240,0.6,28,32,Taxi Affiliation Services
1440059,04/18/2019 09:00:00 AM,240,0.9,32,8,Star North Management LLC
1440060,04/18/2019 09:00:00 AM,540,1.0,8,32,Taxi Affiliation Services
1440061,04/18/2019 09:00:00 AM,540,1.9,28,32,Star North Management LLC
1440062,04/18/2019 09:00:00 AM,540,1.1,32,28,Star North Management LLC
1440063,04/18/2019 09:00:00 AM,540,1.2,28,32,Choice Taxi Association
1440064,04/18/2019 09:00:00 AM,540,1.1,8,8,Taxi Affiliation Services
1440065,04/18/2019 09:00:00 AM,240,0.7,28,32,"Taxicab Insurance Agency, LLC"
1440066,04/18/2019 09:00:00 AM,300,0.8,32,32,Top Cab Affiliation
1440067,04/18/2019 09:00:00 AM,420,1.8,32,8,Chicago Medallion Management
1440068,04/18/2019 09:00:00 AM,420,0.9,28,32,Blue Ribbon Taxi Association Inc.
1440069,04/18/2019 09:00:00 AM,540,1.6,8,28,KOAM Taxi Association
1440070,04/18/2019 09:00:00 AM,300,0.8,28,32,Taxi Affiliation Services
1440071,04/18/2019 09:00:00 AM,540,1.0,28,8,Taxi Affiliation Services
1440072,04/18/2019 09:00:00 AM,480,1.2,8,8,Chicago Medallion Management
1440073,04/18/2019 09:00:00 AM,420,0.7,28,8,Taxi Affiliation Services
1440074,04/18/2019 09:00:00 AM,420,0.8,28,32,Taxi Affiliation Services
1440075,04/18/2019 09:00:00 AM,300,0.6,32,32,Taxi Affiliation Services
1440076,04/18/2019 09:00:00 AM,240,0.6,28,32,Taxi Affiliation Services
1440077,04/18/2019 09:00:00 AM,3240,1.2,76,31,Taxi Affiliation Services
1440078,04/18/2019 09:00:00 AM,360,0.9,32,8,Chicago Medallion Management
1440079,04/18/2019 09:00:00 AM,480,1.6,32,8,Star North Management LLC
