,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1500000,04/23/2019 07:45:00 AM,395,1.0,28,32,Chicago Carriage Cab Corp
1500001,04/23/2019 07:45:00 AM,420,0.9,32,32,Globe Taxi
1500002,04/23/2019 07:45:00 AM,386,0.95,8,32,Sun Taxi
1500003,04/23/2019 07:45:00 AM,370,1.4,8,32,American United
1500004,04/23/2019 07:45:00 AM,2859,10.5,56,28,Flash Cab
1500005,04/23/2019 07:45:00 AM,366,0.6,8,32,Flash Cab
1500006,04/23/2019 07:45:00 AM,370,1.5,8,32,Flash Cab
1500007,04/23/2019 07:45:00 AM,397,1.1,28,8,Flash Cab
1500008,04/23/2019 07:45:00 AM,375,1.1,8,32,Flash Cab
1500009,04/23/2019 07:45:00 AM,324,0.8,8,32,Flash Cab
1500010,04/23/2019 07:45:00 AM,357,1.3,8,32,Flash Cab
1500011,04/23/2019 07:45:00 AM,468,1.3,8,32,Flash Cab
1500012,04/23/2019 08:00:00 AM,360,1.2,28,8,Taxi Affiliation Services
1500013,04/23/2019 08:00:00 AM,240,0.9,28,32,Taxi Affiliation Services
1500014,04/23/2019 08:00:00 AM,420,1.2,32,28,Choice Taxi Association
1500015,04/23/2019 08:00:00 AM,480,1.5,8,32,Taxi Affiliation Services
1500016,04/23/2019 08:00:00 AM,360,0.9,28,32,"Taxicab Insurance Agency, LLC"
1500017,04/23/2019 08:00:00 AM,300,0.6,32,8,Chicago Medallion Management
1500018,04/23/2019 08:00:00 AM,420,1.2,28,8,Star North Management LLC
1500019,04/23/2019 08:00:00 AM,240,0.9,32,8,Star North Management LLC
1500020,04/23/2019 08:00:00 AM,540,1.4,8,32,"Taxicab Insurance Agency, LLC"
1500021,04/23/2019 08:00:00 AM,240,0.9,28,32,Taxi Affiliation Services
1500022,04/23/2019 08:00:00 AM,240,0.6,28,32,Choice Taxi Association
1500023,04/23/2019 08:00:00 AM,240,1.0,32,32,Taxi Affiliation Services
1500024,04/23/2019 08:00:00 AM,240,0.7,32,28,Star North Management LLC
1500025,04/23/2019 08:00:00 AM,420,1.2,32,28,Star North Management LLC
1500026,04/23/2019 08:00:00 AM,540,1.6,8,28,Taxi Affiliation Services
1500027,04/23/2019 08:00:00 AM,360,0.9,28,32,Taxi Affiliation Services
1500028,04/23/2019 08:00:00 AM,240,0.9,32,8,Chicago Medallion Management
1500029,04/23/2019 08:00:00 AM,420,1.5,8,32,Taxi Affiliation Services
1500030,04/23/2019 08:00:00 AM,240,1.0,8,32,Choice Taxi Association
1500031,04/23/2019 08:00:00 AM,300,0.8,32,28,Chicago Medallion Management
1500032,04/23/2019 08:00:00 AM,360,1.2,32,28,Chicago Independents
1500033,04/23/2019 08:00:00 AM,300,0.9,32,8,Taxi Affiliation Services
1500034,04/23/2019 08:00:00 AM,240,0.8,32,8,Choice Taxi Association
1500035,04/23/2019 08:00:00 AM,300,0.9,32,28,"Taxicab Insurance Agency, LLC"
1500036,04/23/2019 08:00:00 AM,360,0.8,8,8,"Taxicab Insurance Agency, LLC"
1500037,04/23/2019 08:00:00 AM,300,0.7,8,8,Taxi Affiliation Services
1500038,04/23/2019 08:00:00 AM,300,0.9,28,32,Chicago Medallion Management
1500039,04/23/2019 08:00:00 AM,420,1.0,28,32,Taxi Affiliation Services
1500040,04/23/2019 08:00:00 AM,420,1.6,8,32,Taxi Affiliation Services
1500041,04/23/2019 08:00:00 AM,480,1.7,32,8,Taxi Affiliation Services
1500042,04/23/2019 08:00:00 AM,360,1.0,8,8,Taxi Affiliation Services
1500043,04/23/2019 08:00:00 AM,2760,1.1,8,76,Taxi Affiliation Services
1500044,04/23/2019 08:00:00 AM,540,1.6,8,32,KOAM Taxi Association
1500045,04/23/2019 08:00:00 AM,300,1.3,8,32,Taxi Affiliation Services
1500046,04/23/2019 08:00:00 AM,360,1.1,32,8,Taxi Affiliation Services
1500047,04/23/2019 08:00:00 AM,240,0.8,8,32,Top Cab Affiliation
1500048,04/23/2019 08:00:00 AM,360,1.3,32,8,Taxi Affiliation Services
1500049,04/23/2019 08:00:00 AM,360,1.3,28,32,Star North Management LLC
1500050,04/23/2019 08:00:00 AM,360,1.4,32,32,Taxi Affiliation Services
1500051,04/23/2019 08:00:00 AM,300,0.6,28,28,Choice Taxi Association
1500052,04/23/2019 08:00:00 AM,240,0.6,28,32,Taxi Affiliation Services
1500053,04/23/2019 08:00:00 AM,300,1.1,8,28,Taxi Affiliation Services
1500054,04/23/2019 08:00:00 AM,360,1.2,8,32,Choice Taxi Association
1500055,04/23/2019 08:00:00 AM,540,1.8,8,32,KOAM Taxi Association
1500056,04/23/2019 08:00:00 AM,300,0.9,32,28,Choice Taxi Association
1500057,04/23/2019 08:00:00 AM,360,1.1,32,28,Star North Management LLC
1500058,04/23/2019 08:00:00 AM,4500,1.1,76,32,Taxi Affiliation Services
1500059,04/23/2019 08:00:00 AM,300,0.8,32,32,Taxi Affiliation Services
1500060,04/23/2019 08:00:00 AM,300,1.3,8,8,Taxi Affiliation Services
1500061,04/23/2019 08:00:00 AM,2735,10.63,56,32,Taxi Affiliation Service Yellow
1500062,04/23/2019 08:00:00 AM,432,0.93,8,32,Taxi Affiliation Service Yellow
1500063,04/23/2019 08:00:00 AM,238,0.83,8,8,Chicago Carriage Cab Corp
1500064,04/23/2019 08:00:00 AM,277,0.6,32,32,Taxi Affiliation Service Yellow
1500065,04/23/2019 08:00:00 AM,392,1.1,8,8,City Service
1500066,04/23/2019 08:00:00 AM,567,1.0,28,32,City Service
1500067,04/23/2019 08:00:00 AM,258,0.6,3,3,Medallion Leasin
1500068,04/23/2019 08:00:00 AM,579,1.58,32,8,Sun Taxi
1500069,04/23/2019 08:00:00 AM,501,1.28,32,32,Sun Taxi
1500070,04/23/2019 08:00:00 AM,355,0.6,28,32,Chicago Taxicab
1500071,04/23/2019 08:00:00 AM,524,1.5,8,28,Metro Jet Taxi A
1500072,04/23/2019 08:00:00 AM,403,0.93,28,32,Chicago Carriage Cab Corp
1500073,04/23/2019 08:00:00 AM,360,0.6,28,32,Medallion Leasin
1500074,04/23/2019 08:00:00 AM,359,0.65,32,32,Chicago Carriage Cab Corp
1500075,04/23/2019 08:00:00 AM,402,1.16,28,28,City Service
1500076,04/23/2019 08:00:00 AM,240,0.7,8,8,Globe Taxi
1500077,04/23/2019 08:00:00 AM,360,0.6,32,32,Globe Taxi
1500078,04/23/2019 08:00:00 AM,424,0.71,32,28,Flash Cab
1500079,04/23/2019 08:00:00 AM,541,0.93,28,32,Sun Taxi
1500080,04/23/2019 08:00:00 AM,378,0.95,8,32,Flash Cab
1500081,04/23/2019 08:00:00 AM,385,1.05,3,3,Flash Cab
1500082,04/23/2019 08:00:00 AM,360,0.96,8,32,Flash Cab
1500083,04/23/2019 08:00:00 AM,540,1.1,28,32,Medallion Leasin
1500084,04/23/2019 08:00:00 AM,540,1.4,32,8,Chicago Independents
1500085,04/23/2019 08:00:00 AM,240,0.69,32,28,Chicago Carriage Cab Corp
1500086,04/23/2019 08:00:00 AM,532,0.84,8,32,Flash Cab
1500087,04/23/2019 08:00:00 AM,532,1.0,8,32,Chicago Taxicab
1500088,04/23/2019 08:00:00 AM,364,0.79,8,8,City Service
1500089,04/23/2019 08:00:00 AM,420,1.0,8,32,Chicago Independents
1500090,04/23/2019 08:00:00 AM,449,0.87,32,8,City Service
1500091,04/23/2019 08:00:00 AM,428,1.0,32,32,Chicago Carriage Cab Corp
1500092,04/23/2019 08:00:00 AM,441,1.3,32,8,City Service
1500093,04/23/2019 08:00:00 AM,250,0.92,32,32,Patriot Taxi Dba Peace Taxi Associat
1500094,04/23/2019 08:00:00 AM,271,0.79,32,32,Patriot Taxi Dba Peace Taxi Associat
1500095,04/23/2019 08:00:00 AM,466,1.33,32,32,Chicago Carriage Cab Corp
1500096,04/23/2019 08:00:00 AM,399,0.66,28,28,Flash Cab
1500097,04/23/2019 08:00:00 AM,540,1.5,32,77,Medallion Leasin
1500098,04/23/2019 08:00:00 AM,571,1.24,8,8,Flash Cab
1500099,04/23/2019 08:00:00 AM,383,0.67,32,32,Sun Taxi
1500100,04/23/2019 08:00:00 AM,316,0.75,7,7,Flash Cab
1500101,04/23/2019 08:00:00 AM,300,0.7,8,8,Globe Taxi
1500102,04/23/2019 08:00:00 AM,480,1.1,28,32,City Service
1500103,04/23/2019 08:00:00 AM,264,0.77,32,8,Flash Cab
1500104,04/23/2019 08:00:00 AM,299,0.76,32,32,Chicago Carriage Cab Corp
1500105,04/23/2019 08:00:00 AM,338,0.69,32,32,Flash Cab
1500106,04/23/2019 08:00:00 AM,360,0.7,28,32,Medallion Leasin
1500107,04/23/2019 08:00:00 AM,459,1.2,28,32,Medallion Leasin
1500108,04/23/2019 08:00:00 AM,497,1.08,28,28,Globe Taxi
1500109,04/23/2019 08:00:00 AM,480,0.8,32,32,Medallion Leasin
1500110,04/23/2019 08:00:00 AM,374,0.93,8,8,Nova Taxi Affiliation Llc
1500111,04/23/2019 08:00:00 AM,444,1.19,28,32,Taxi Affiliation Service Yellow
1500112,04/23/2019 08:00:00 AM,342,0.62,28,8,5 Star Taxi
1500113,04/23/2019 08:00:00 AM,480,1.5,28,8,Globe Taxi
1500114,04/23/2019 08:00:00 AM,485,1.03,8,32,Flash Cab
1500115,04/23/2019 08:00:00 AM,554,1.27,32,32,Chicago Carriage Cab Corp
1500116,04/23/2019 08:00:00 AM,246,0.53,32,32,Blue Diamond
1500117,04/23/2019 08:00:00 AM,304,1.2,32,32,Chicago Carriage Cab Corp
1500118,04/23/2019 08:00:00 AM,480,1.1,8,32,Medallion Leasin
1500119,04/23/2019 08:00:00 AM,410,0.9,32,32,City Service
1500120,04/23/2019 08:00:00 AM,377,1.33,8,32,Sun Taxi
1500121,04/23/2019 08:00:00 AM,346,0.72,28,8,Flash Cab
