,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1510000,04/23/2019 05:30:00 PM,546,0.85,32,28,Sun Taxi
1510001,04/23/2019 05:30:00 PM,268,0.87,32,32,Chicago Carriage Cab Corp
1510002,04/23/2019 05:30:00 PM,472,0.91,32,28,Chicago Carriage Cab Corp
1510003,04/23/2019 05:30:00 PM,433,0.95,32,8,Flash Cab
1510004,04/23/2019 05:30:00 PM,576,1.0,32,8,Taxi Affiliation Service Yellow
1510005,04/23/2019 05:30:00 PM,417,0.94,32,32,Sun Taxi
1510006,04/23/2019 05:30:00 PM,382,1.2,28,28,Sun Taxi
1510007,04/23/2019 05:30:00 PM,320,0.7,32,32,Blue Diamond
1510008,04/23/2019 05:30:00 PM,425,0.64,32,32,24 Seven Taxi
1510009,04/23/2019 05:30:00 PM,589,1.94,28,32,Chicago Carriage Cab Corp
1510010,04/23/2019 05:30:00 PM,279,1.45,32,33,Chicago Carriage Cab Corp
1510011,04/23/2019 05:30:00 PM,546,1.23,32,8,City Service
1510012,04/23/2019 05:30:00 PM,532,1.0,32,32,Medallion Leasin
1510013,04/23/2019 05:30:00 PM,505,0.8,8,8,City Service
1510014,04/23/2019 05:30:00 PM,279,0.71,6,6,Flash Cab
1510015,04/23/2019 05:30:00 PM,480,1.2,32,8,Globe Taxi
1510016,04/23/2019 05:30:00 PM,399,0.79,32,28,City Service
1510017,04/23/2019 05:30:00 PM,596,1.08,32,28,Chicago Carriage Cab Corp
1510018,04/23/2019 05:30:00 PM,593,1.0,8,8,Patriot Taxi Dba Peace Taxi Associat
1510019,04/23/2019 05:30:00 PM,502,1.19,8,32,Flash Cab
1510020,04/23/2019 05:30:00 PM,520,0.92,32,32,City Service
1510021,04/23/2019 05:30:00 PM,549,1.56,32,8,Flash Cab
1510022,04/23/2019 05:30:00 PM,445,0.74,32,32,Chicago Carriage Cab Corp
1510023,04/23/2019 05:30:00 PM,451,1.2,32,8,Metro Jet Taxi A
1510024,04/23/2019 05:30:00 PM,495,1.37,28,32,Flash Cab
1510025,04/23/2019 05:30:00 PM,394,0.88,8,8,Sun Taxi
1510026,04/23/2019 05:30:00 PM,310,0.9,8,8,City Service
1510027,04/23/2019 05:30:00 PM,360,0.8,32,32,Medallion Leasin
1510028,04/23/2019 05:30:00 PM,417,1.1,32,28,Taxi Affiliation Service Yellow
1510029,04/23/2019 05:30:00 PM,564,1.29,32,8,Flash Cab
1510030,04/23/2019 05:30:00 PM,424,0.86,32,32,Chicago Carriage Cab Corp
1510031,04/23/2019 05:30:00 PM,484,1.09,28,32,Chicago Carriage Cab Corp
1510032,04/23/2019 05:30:00 PM,425,0.95,32,8,Sun Taxi
1510033,04/23/2019 05:30:00 PM,522,1.2,8,8,Flash Cab
1510034,04/23/2019 05:30:00 PM,567,1.11,32,28,Flash Cab
1510035,04/23/2019 05:30:00 PM,459,1.31,28,32,Flash Cab
1510036,04/23/2019 05:30:00 PM,524,1.5,32,8,Sun Taxi
1510037,04/23/2019 05:30:00 PM,304,0.56,32,28,Chicago Carriage Cab Corp
1510038,04/23/2019 05:30:00 PM,402,0.82,32,8,Flash Cab
1510039,04/23/2019 05:30:00 PM,274,0.76,32,32,Chicago Carriage Cab Corp
1510040,04/23/2019 05:30:00 PM,483,0.98,8,32,City Service
1510041,04/23/2019 05:30:00 PM,355,0.7,8,8,Checker Taxi Affiliation
1510042,04/23/2019 05:30:00 PM,420,1.1,32,32,Globe Taxi
1510043,04/23/2019 05:30:00 PM,502,0.9,8,32,Checker Taxi Affiliation
1510044,04/23/2019 05:30:00 PM,307,0.7,6,6,Flash Cab
1510045,04/23/2019 05:30:00 PM,324,0.81,28,32,Sun Taxi
1510046,04/23/2019 05:30:00 PM,356,0.77,28,32,Globe Taxi
1510047,04/23/2019 05:30:00 PM,452,1.47,32,33,Chicago Carriage Cab Corp
1510048,04/23/2019 05:30:00 PM,592,1.33,8,28,Flash Cab
1510049,04/23/2019 05:30:00 PM,215,0.6,28,28,Medallion Leasin
1510050,04/23/2019 05:30:00 PM,362,1.07,8,8,Flash Cab
1510051,04/23/2019 05:30:00 PM,414,1.13,28,8,Sun Taxi
1510052,04/23/2019 05:30:00 PM,497,0.84,32,32,City Service
1510053,04/23/2019 05:30:00 PM,574,1.36,32,28,Sun Taxi
1510054,04/23/2019 05:30:00 PM,521,0.9,32,32,Patriot Taxi Dba Peace Taxi Associat
1510055,04/23/2019 05:30:00 PM,434,1.02,8,8,Sun Taxi
1510056,04/23/2019 05:30:00 PM,490,1.06,32,28,Sun Taxi
1510057,04/23/2019 05:30:00 PM,594,1.13,32,8,City Service
1510058,04/23/2019 05:30:00 PM,581,1.31,24,24,Sun Taxi
1510059,04/23/2019 05:30:00 PM,550,1.08,8,28,Chicago Carriage Cab Corp
1510060,04/23/2019 05:30:00 PM,302,0.58,32,32,Chicago Carriage Cab Corp
1510061,04/23/2019 05:30:00 PM,360,0.6,8,8,Globe Taxi
1510062,04/23/2019 05:30:00 PM,544,0.7,32,8,Medallion Leasin
1510063,04/23/2019 05:30:00 PM,1905,10.57,76,15,Chicago Carriage Cab Corp
1510064,04/23/2019 05:30:00 PM,363,0.56,8,28,Flash Cab
1510065,04/23/2019 05:30:00 PM,417,0.7,32,8,City Service
1510066,04/23/2019 05:30:00 PM,323,0.69,33,34,Chicago Carriage Cab Corp
1510067,04/23/2019 05:30:00 PM,270,0.51,32,32,Flash Cab
1510068,04/23/2019 05:30:00 PM,595,0.64,32,8,Chicago Carriage Cab Corp
