,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1530000,04/24/2019 09:30:00 PM,213,0.81,8,8,Patriot Taxi Dba Peace Taxi Associat
1530001,04/24/2019 09:30:00 PM,338,0.69,8,8,City Service
1530002,04/24/2019 09:30:00 PM,512,1.86,32,24,City Service
1530003,04/24/2019 09:30:00 PM,376,1.77,8,7,Chicago Carriage Cab Corp
1530004,04/24/2019 09:30:00 PM,480,0.7,8,8,Medallion Leasin
1530005,04/24/2019 09:30:00 PM,308,0.77,32,28,Sun Taxi
1530006,04/24/2019 09:30:00 PM,356,1.0,8,8,Flash Cab
1530007,04/24/2019 09:30:00 PM,485,1.9,7,8,Flash Cab
1530008,04/24/2019 09:45:00 PM,240,0.8,8,8,Star North Management LLC
1530009,04/24/2019 09:45:00 PM,420,1.4,32,28,Star North Management LLC
1530010,04/24/2019 09:45:00 PM,480,1.5,28,8,Star North Management LLC
1530011,04/24/2019 09:45:00 PM,240,0.6,28,28,"Taxicab Insurance Agency, LLC"
1530012,04/24/2019 09:45:00 PM,300,0.9,6,6,Taxi Affiliation Services
1530013,04/24/2019 09:45:00 PM,360,1.2,6,6,Star North Management LLC
1530014,04/24/2019 09:45:00 PM,240,0.6,6,6,Taxi Affiliation Services
1530015,04/24/2019 09:45:00 PM,420,1.1,8,28,KOAM Taxi Association
1530016,04/24/2019 09:45:00 PM,240,1.6,7,6,Star North Management LLC
1530017,04/24/2019 09:45:00 PM,360,1.2,32,8,Taxi Affiliation Services
1530018,04/24/2019 09:45:00 PM,420,0.7,8,32,Taxi Affiliation Services
1530019,04/24/2019 09:45:00 PM,480,1.6,32,28,Choice Taxi Association
1530020,04/24/2019 09:45:00 PM,540,1.1,28,24,Taxi Affiliation Services
1530021,04/24/2019 09:45:00 PM,240,0.8,8,8,Top Cab Affiliation
1530022,04/24/2019 09:45:00 PM,240,0.8,7,6,Taxi Affiliation Services
1530023,04/24/2019 09:45:00 PM,360,1.1,32,8,Taxi Affiliation Services
1530024,04/24/2019 09:45:00 PM,360,1.7,24,28,Taxi Affiliation Services
1530025,04/24/2019 09:45:00 PM,480,1.1,8,32,KOAM Taxi Association
1530026,04/24/2019 09:45:00 PM,420,0.9,8,8,Star North Management LLC
1530027,04/24/2019 09:45:00 PM,300,0.9,8,32,Top Cab Affiliation
1530028,04/24/2019 09:45:00 PM,420,0.9,32,32,Chicago Medallion Management
1530029,04/24/2019 09:45:00 PM,540,1.4,32,8,KOAM Taxi Association
1530030,04/24/2019 09:45:00 PM,360,0.7,8,8,Star North Management LLC
1530031,04/24/2019 09:45:00 PM,360,1.3,32,8,Star North Management LLC
1530032,04/24/2019 09:45:00 PM,360,1.5,8,24,Star North Management LLC
1530033,04/24/2019 09:45:00 PM,480,1.0,6,6,Star North Management LLC
1530034,04/24/2019 09:45:00 PM,540,1.3,8,28,Taxi Affiliation Services
1530035,04/24/2019 09:45:00 PM,480,1.1,8,8,"Taxicab Insurance Agency, LLC"
1530036,04/24/2019 09:45:00 PM,240,0.9,8,8,Star North Management LLC
1530037,04/24/2019 09:45:00 PM,480,1.2,32,8,Top Cab Affiliation
1530038,04/24/2019 09:45:00 PM,540,1.3,32,8,Taxi Affiliation Services
1530039,04/24/2019 09:45:00 PM,240,0.8,8,8,Star North Management LLC
1530040,04/24/2019 09:45:00 PM,540,1.5,32,8,Chicago Medallion Management
1530041,04/24/2019 09:45:00 PM,360,1.3,8,32,Taxi Affiliation Services
1530042,04/24/2019 09:45:00 PM,480,1.8,28,28,Star North Management LLC
1530043,04/24/2019 09:45:00 PM,480,1.8,8,24,Taxi Affiliation Services
1530044,04/24/2019 09:45:00 PM,420,1.3,32,32,Taxi Affiliation Services
1530045,04/24/2019 09:45:00 PM,480,1.3,8,28,Choice Taxi Association
1530046,04/24/2019 09:45:00 PM,2400,1.7,76,8,Taxi Affiliation Services
1530047,04/24/2019 09:45:00 PM,540,1.5,32,28,Top Cab Affiliation
1530048,04/24/2019 09:45:00 PM,360,1.0,32,8,Star North Management LLC
1530049,04/24/2019 09:45:00 PM,540,1.7,32,8,Star North Management LLC
1530050,04/24/2019 09:45:00 PM,300,0.7,32,8,Star North Management LLC
1530051,04/24/2019 09:45:00 PM,300,1.0,8,8,Taxi Affiliation Services
1530052,04/24/2019 09:45:00 PM,480,1.6,32,8,Taxi Affiliation Services
1530053,04/24/2019 09:45:00 PM,480,1.4,8,32,Globe Taxi
1530054,04/24/2019 09:45:00 PM,194,0.93,8,32,City Service
1530055,04/24/2019 09:45:00 PM,558,1.5,33,32,Medallion Leasin
1530056,04/24/2019 09:45:00 PM,376,0.97,32,32,Sun Taxi
1530057,04/24/2019 09:45:00 PM,544,1.5,8,8,Chicago Independents
1530058,04/24/2019 09:45:00 PM,453,1.41,28,8,Flash Cab
1530059,04/24/2019 09:45:00 PM,570,1.92,28,8,Taxi Affiliation Service Yellow
1530060,04/24/2019 09:45:00 PM,480,1.8,32,33,Globe Taxi
1530061,04/24/2019 09:45:00 PM,367,0.88,8,32,Flash Cab
