,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1540000,04/25/2019 03:15:00 PM,352,0.87,32,8,Checker Taxi Affiliation
1540001,04/25/2019 03:15:00 PM,574,1.91,8,32,Chicago Carriage Cab Corp
1540002,04/25/2019 03:15:00 PM,300,0.8,32,8,Medallion Leasin
1540003,04/25/2019 03:15:00 PM,317,1.24,32,8,Chicago Carriage Cab Corp
1540004,04/25/2019 03:15:00 PM,497,1.87,32,8,Sun Taxi
1540005,04/25/2019 03:15:00 PM,402,1.7,32,35,Chicago Carriage Cab Corp
1540006,04/25/2019 03:15:00 PM,446,1.14,32,28,Chicago Carriage Cab Corp
1540007,04/25/2019 03:15:00 PM,345,0.99,28,8,Chicago Carriage Cab Corp
1540008,04/25/2019 03:15:00 PM,454,1.33,32,32,Chicago Carriage Cab Corp
1540009,04/25/2019 03:15:00 PM,462,1.12,32,32,Chicago Carriage Cab Corp
1540010,04/25/2019 03:15:00 PM,488,1.32,8,8,Flash Cab
1540011,04/25/2019 03:15:00 PM,420,1.82,8,28,Chicago Carriage Cab Corp
1540012,04/25/2019 03:15:00 PM,263,0.87,8,7,Chicago Carriage Cab Corp
1540013,04/25/2019 03:15:00 PM,513,1.3,32,8,Chicago Carriage Cab Corp
1540014,04/25/2019 03:15:00 PM,231,0.75,32,32,Sun Taxi
1540015,04/25/2019 03:15:00 PM,318,0.86,32,32,City Service
1540016,04/25/2019 03:15:00 PM,497,1.77,8,7,Sun Taxi
1540017,04/25/2019 03:15:00 PM,480,1.97,8,7,Nova Taxi Affiliation Llc
1540018,04/25/2019 03:15:00 PM,543,1.2,32,28,City Service
1540019,04/25/2019 03:15:00 PM,288,0.9,32,8,Medallion Leasin
1540020,04/25/2019 03:15:00 PM,480,1.0,28,8,Globe Taxi
1540021,04/25/2019 03:15:00 PM,433,1.38,32,8,Flash Cab
1540022,04/25/2019 03:15:00 PM,465,1.13,32,28,Chicago Carriage Cab Corp
1540023,04/25/2019 03:15:00 PM,312,1.08,32,32,Nova Taxi Affiliation Llc
1540024,04/25/2019 03:15:00 PM,420,0.9,8,8,Medallion Leasin
1540025,04/25/2019 03:15:00 PM,367,1.1,32,32,City Service
1540026,04/25/2019 03:15:00 PM,480,0.6,8,8,Medallion Leasin
1540027,04/25/2019 03:15:00 PM,448,0.85,28,32,Chicago Carriage Cab Corp
1540028,04/25/2019 03:15:00 PM,292,0.76,8,28,Chicago Carriage Cab Corp
1540029,04/25/2019 03:15:00 PM,294,0.84,6,6,Flash Cab
1540030,04/25/2019 03:15:00 PM,540,1.4,77,77,Medallion Leasin
1540031,04/25/2019 03:15:00 PM,223,0.52,32,32,Chicago Carriage Cab Corp
1540032,04/25/2019 03:15:00 PM,478,0.97,32,28,Sun Taxi
1540033,04/25/2019 03:15:00 PM,486,1.67,32,8,Sun Taxi
1540034,04/25/2019 03:15:00 PM,525,0.99,77,77,Flash Cab
1540035,04/25/2019 03:15:00 PM,360,0.6,8,8,Globe Taxi
1540036,04/25/2019 03:15:00 PM,540,1.19,32,32,Nova Taxi Affiliation Llc
1540037,04/25/2019 03:15:00 PM,307,0.75,32,28,Chicago Carriage Cab Corp
1540038,04/25/2019 03:15:00 PM,445,1.22,32,8,Chicago Carriage Cab Corp
1540039,04/25/2019 03:15:00 PM,306,0.76,32,28,Sun Taxi
1540040,04/25/2019 03:15:00 PM,443,1.1,32,8,Medallion Leasin
1540041,04/25/2019 03:15:00 PM,420,0.6,8,32,Medallion Leasin
1540042,04/25/2019 03:15:00 PM,364,0.91,3,77,Flash Cab
1540043,04/25/2019 03:15:00 PM,421,1.3,28,28,City Service
1540044,04/25/2019 03:15:00 PM,311,0.53,32,32,Chicago Carriage Cab Corp
1540045,04/25/2019 03:15:00 PM,190,0.56,32,28,Chicago Carriage Cab Corp
