,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1560000,04/26/2019 06:45:00 PM,418,0.89,32,28,Flash Cab
1560001,04/26/2019 06:45:00 PM,374,0.76,32,32,Flash Cab
1560002,04/26/2019 06:45:00 PM,459,0.89,32,28,Flash Cab
1560003,04/26/2019 06:45:00 PM,480,1.5,7,7,Medallion Leasin
1560004,04/26/2019 06:45:00 PM,385,1.1,51,51,Sun Taxi
1560005,04/26/2019 06:45:00 PM,424,1.23,32,28,City Service
1560006,04/26/2019 06:45:00 PM,229,0.62,32,32,Chicago Carriage Cab Corp
1560007,04/26/2019 06:45:00 PM,232,0.62,8,32,Flash Cab
1560008,04/26/2019 06:45:00 PM,332,0.6,8,32,Checker Taxi Affiliation
1560009,04/26/2019 06:45:00 PM,547,0.87,32,8,Sun Taxi
1560010,04/26/2019 06:45:00 PM,371,1.01,8,32,Chicago Carriage Cab Corp
1560011,04/26/2019 06:45:00 PM,480,1.1,32,8,Medallion Leasin
1560012,04/26/2019 06:45:00 PM,332,0.9,8,8,Blue Diamond
1560013,04/26/2019 06:45:00 PM,342,0.81,32,8,Chicago Carriage Cab Corp
1560014,04/26/2019 06:45:00 PM,344,0.87,32,8,Chicago Carriage Cab Corp
1560015,04/26/2019 06:45:00 PM,436,1.93,32,32,Chicago Carriage Cab Corp
1560016,04/26/2019 06:45:00 PM,419,1.11,32,8,Flash Cab
1560017,04/26/2019 06:45:00 PM,276,0.8,28,8,Blue Diamond
1560018,04/26/2019 06:45:00 PM,419,0.76,28,28,Flash Cab
1560019,04/26/2019 06:45:00 PM,302,0.76,8,8,Sun Taxi
1560020,04/26/2019 06:45:00 PM,388,0.68,32,32,Taxi Affiliation Service Yellow
1560021,04/26/2019 06:45:00 PM,480,1.2,28,32,Sun Taxi
1560022,04/26/2019 06:45:00 PM,519,1.58,2,1,Flash Cab
1560023,04/26/2019 06:45:00 PM,540,1.7,8,28,Globe Taxi
1560024,04/26/2019 06:45:00 PM,542,1.54,24,28,Chicago Carriage Cab Corp
1560025,04/26/2019 06:45:00 PM,300,0.9,32,28,Medallion Leasin
1560026,04/26/2019 06:45:00 PM,553,0.59,8,8,Chicago Carriage Cab Corp
1560027,04/26/2019 06:45:00 PM,255,0.58,8,8,Chicago Carriage Cab Corp
1560028,04/26/2019 06:45:00 PM,526,1.18,32,24,City Service
1560029,04/26/2019 06:45:00 PM,300,0.71,28,28,Chicago Carriage Cab Corp
1560030,04/26/2019 06:45:00 PM,425,1.62,8,24,Sun Taxi
1560031,04/26/2019 06:45:00 PM,343,1.18,8,8,Sun Taxi
1560032,04/26/2019 06:45:00 PM,300,0.8,8,8,Globe Taxi
1560033,04/26/2019 06:45:00 PM,438,0.78,28,32,Sun Taxi
1560034,04/26/2019 06:45:00 PM,534,0.84,32,32,Sun Taxi
1560035,04/26/2019 06:45:00 PM,575,1.7,32,8,Chicago Taxicab
1560036,04/26/2019 06:45:00 PM,378,1.22,8,8,Chicago Carriage Cab Corp
1560037,04/26/2019 06:45:00 PM,596,1.25,8,8,Flash Cab
1560038,04/26/2019 06:45:00 PM,325,0.6,32,32,Sun Taxi
1560039,04/26/2019 06:45:00 PM,389,1.11,8,8,Flash Cab
1560040,04/26/2019 06:45:00 PM,594,1.82,8,32,24 Seven Taxi
1560041,04/26/2019 06:45:00 PM,520,1.54,6,3,Flash Cab
1560042,04/26/2019 06:45:00 PM,480,1.2,28,28,Medallion Leasin
1560043,04/26/2019 06:45:00 PM,279,0.88,32,32,Chicago Carriage Cab Corp
1560044,04/26/2019 06:45:00 PM,322,0.56,8,8,Sun Taxi
1560045,04/26/2019 06:45:00 PM,335,0.78,28,28,Sun Taxi
1560046,04/26/2019 06:45:00 PM,532,1.25,8,8,Chicago Carriage Cab Corp
1560047,04/26/2019 06:45:00 PM,215,0.58,8,8,Sun Taxi
1560048,04/26/2019 06:45:00 PM,540,1.5,8,28,Medallion Leasin
1560049,04/26/2019 06:45:00 PM,540,1.8,28,8,Medallion Leasin
1560050,04/26/2019 06:45:00 PM,494,1.0,8,28,City Service
1560051,04/26/2019 06:45:00 PM,498,0.8,8,8,Flash Cab
1560052,04/26/2019 06:45:00 PM,535,1.03,32,8,Sun Taxi
1560053,04/26/2019 06:45:00 PM,420,1.2,8,32,Medallion Leasin
1560054,04/26/2019 06:45:00 PM,406,0.56,32,32,Flash Cab
1560055,04/26/2019 06:45:00 PM,538,1.31,32,8,Sun Taxi
1560056,04/26/2019 06:45:00 PM,540,1.3,32,8,Globe Taxi
1560057,04/26/2019 06:45:00 PM,443,1.09,8,8,Sun Taxi
1560058,04/26/2019 06:45:00 PM,312,1.51,28,24,Sun Taxi
