,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1570000,04/27/2019 04:00:00 PM,439,1.4,32,28,City Service
1570001,04/27/2019 04:00:00 PM,432,0.66,7,8,Flash Cab
1570002,04/27/2019 04:00:00 PM,388,0.9,8,8,Medallion Leasin
1570003,04/27/2019 04:00:00 PM,213,0.52,8,8,Flash Cab
1570004,04/27/2019 04:00:00 PM,408,1.1,28,32,Flash Cab
1570005,04/27/2019 04:00:00 PM,266,0.84,8,28,Taxi Affiliation Service Yellow
1570006,04/27/2019 04:00:00 PM,345,0.71,32,32,Flash Cab
1570007,04/27/2019 04:00:00 PM,217,0.8,6,6,City Service
1570008,04/27/2019 04:00:00 PM,238,0.77,32,32,Sun Taxi
1570009,04/27/2019 04:00:00 PM,370,0.6,8,8,Taxi Affiliation Service Yellow
1570010,04/27/2019 04:00:00 PM,264,0.57,32,32,Sun Taxi
1570011,04/27/2019 04:00:00 PM,322,1.08,8,32,Chicago Carriage Cab Corp
1570012,04/27/2019 04:00:00 PM,549,1.5,8,24,City Service
1570013,04/27/2019 04:00:00 PM,480,1.3,7,28,Globe Taxi
1570014,04/27/2019 04:00:00 PM,496,1.18,32,8,Nova Taxi Affiliation Llc
1570015,04/27/2019 04:00:00 PM,272,0.66,41,41,Sun Taxi
1570016,04/27/2019 04:00:00 PM,332,1.06,8,8,Sun Taxi
1570017,04/27/2019 04:00:00 PM,526,1.0,8,8,Checker Taxi Affiliation
1570018,04/27/2019 04:00:00 PM,300,0.8,32,32,Globe Taxi
1570019,04/27/2019 04:00:00 PM,309,1.08,32,8,City Service
1570020,04/27/2019 04:00:00 PM,543,1.4,8,32,Globe Taxi
1570021,04/27/2019 04:00:00 PM,360,0.6,8,8,Medallion Leasin
1570022,04/27/2019 04:00:00 PM,421,1.4,8,32,Medallion Leasin
1570023,04/27/2019 04:00:00 PM,300,0.6,28,32,Medallion Leasin
1570024,04/27/2019 04:00:00 PM,358,0.64,3,3,Flash Cab
1570025,04/27/2019 04:00:00 PM,520,1.48,32,33,Sun Taxi
1570026,04/27/2019 04:00:00 PM,531,1.32,32,8,Chicago Carriage Cab Corp
1570027,04/27/2019 04:00:00 PM,344,0.78,8,28,Chicago Carriage Cab Corp
1570028,04/27/2019 04:00:00 PM,3517,10.18,32,28,Chicago Carriage Cab Corp
1570029,04/27/2019 04:00:00 PM,488,1.01,32,28,Flash Cab
1570030,04/27/2019 04:00:00 PM,596,1.0,8,8,Chicago Carriage Cab Corp
1570031,04/27/2019 04:00:00 PM,480,1.6,32,32,Medallion Leasin
1570032,04/27/2019 04:00:00 PM,303,0.63,28,28,City Service
1570033,04/27/2019 04:00:00 PM,480,1.8,28,28,Medallion Leasin
1570034,04/27/2019 04:00:00 PM,540,1.0,8,8,Globe Taxi
1570035,04/27/2019 04:00:00 PM,326,0.91,28,32,Sun Taxi
1570036,04/27/2019 04:00:00 PM,319,0.73,7,6,Flash Cab
1570037,04/27/2019 04:00:00 PM,352,0.75,8,8,Nova Taxi Affiliation Llc
1570038,04/27/2019 04:00:00 PM,362,0.77,32,8,Chicago Carriage Cab Corp
1570039,04/27/2019 04:00:00 PM,308,0.9,8,8,Patriot Taxi Dba Peace Taxi Associat
1570040,04/27/2019 04:00:00 PM,491,1.21,32,8,Globe Taxi
1570041,04/27/2019 04:00:00 PM,323,0.92,8,8,Nova Taxi Affiliation Llc
1570042,04/27/2019 04:00:00 PM,254,0.66,32,8,24 Seven Taxi
1570043,04/27/2019 04:00:00 PM,370,0.9,32,32,Medallion Leasin
1570044,04/27/2019 04:00:00 PM,424,0.7,8,32,City Service
1570045,04/27/2019 04:00:00 PM,280,0.81,3,77,Flash Cab
1570046,04/27/2019 04:00:00 PM,351,0.74,8,8,Globe Taxi
1570047,04/27/2019 04:00:00 PM,535,1.47,32,8,Nova Taxi Affiliation Llc
1570048,04/27/2019 04:00:00 PM,225,1.05,8,8,Chicago Carriage Cab Corp
1570049,04/27/2019 04:00:00 PM,268,0.7,8,8,Medallion Leasin
1570050,04/27/2019 04:00:00 PM,315,0.6,8,32,Medallion Leasin
1570051,04/27/2019 04:00:00 PM,360,0.9,8,32,Medallion Leasin
1570052,04/27/2019 04:00:00 PM,492,1.62,28,8,Flash Cab
1570053,04/27/2019 04:00:00 PM,284,0.74,8,8,Chicago Carriage Cab Corp
1570054,04/27/2019 04:00:00 PM,521,0.92,8,8,Sun Taxi
1570055,04/27/2019 04:00:00 PM,420,1.2,8,32,City Service
1570056,04/27/2019 04:00:00 PM,410,0.93,8,32,Sun Taxi
1570057,04/27/2019 04:00:00 PM,540,0.7,32,32,Medallion Leasin
1570058,04/27/2019 04:00:00 PM,542,0.74,8,8,Flash Cab
1570059,04/27/2019 04:00:00 PM,240,0.72,8,8,Flash Cab
1570060,04/27/2019 04:00:00 PM,480,0.6,8,8,Globe Taxi
1570061,04/27/2019 04:00:00 PM,541,1.66,28,8,Chicago Carriage Cab Corp
1570062,04/27/2019 04:00:00 PM,269,0.74,8,8,Sun Taxi
1570063,04/27/2019 04:00:00 PM,516,1.44,8,32,Flash Cab
1570064,04/27/2019 04:00:00 PM,545,1.18,32,28,City Service
1570065,04/27/2019 04:00:00 PM,323,1.39,33,28,Chicago Carriage Cab Corp
1570066,04/27/2019 04:00:00 PM,251,0.66,8,8,Sun Taxi
1570067,04/27/2019 04:00:00 PM,260,0.67,8,32,Sun Taxi
1570068,04/27/2019 04:00:00 PM,539,1.99,33,32,Chicago Carriage Cab Corp
1570069,04/27/2019 04:00:00 PM,366,1.2,8,8,Flash Cab
1570070,04/27/2019 04:00:00 PM,575,1.6,37,69,Flash Cab
1570071,04/27/2019 04:00:00 PM,427,1.1,8,8,Flash Cab
1570072,04/27/2019 04:00:00 PM,313,0.7,32,8,Flash Cab
1570073,04/27/2019 04:00:00 PM,319,1.1,8,8,Flash Cab
1570074,04/27/2019 04:15:00 PM,360,0.7,8,8,Taxi Affiliation Services
1570075,04/27/2019 04:15:00 PM,420,1.1,6,6,Taxi Affiliation Services
1570076,04/27/2019 04:15:00 PM,360,0.9,8,8,Taxi Affiliation Services
1570077,04/27/2019 04:15:00 PM,480,1.0,8,8,Choice Taxi Association
1570078,04/27/2019 04:15:00 PM,2460,0.9,3,76,Taxi Affiliation Services
1570079,04/27/2019 04:15:00 PM,480,0.8,8,8,Choice Taxi Association
1570080,04/27/2019 04:15:00 PM,360,0.7,28,32,"Taxicab Insurance Agency, LLC"
1570081,04/27/2019 04:15:00 PM,480,1.0,32,8,Taxi Affiliation Services
1570082,04/27/2019 04:15:00 PM,360,0.8,28,32,Taxi Affiliation Services
1570083,04/27/2019 04:15:00 PM,360,1.2,32,28,Star North Management LLC
1570084,04/27/2019 04:15:00 PM,300,0.8,28,32,Taxi Affiliation Services
1570085,04/27/2019 04:15:00 PM,540,1.1,8,8,Taxi Affiliation Services
1570086,04/27/2019 04:15:00 PM,480,1.6,6,6,Taxi Affiliation Services
1570087,04/27/2019 04:15:00 PM,300,0.6,8,8,Taxi Affiliation Services
1570088,04/27/2019 04:15:00 PM,420,0.8,8,8,Star North Management LLC
1570089,04/27/2019 04:15:00 PM,480,1.1,32,8,Choice Taxi Association
1570090,04/27/2019 04:15:00 PM,240,0.8,32,32,Taxi Affiliation Services
1570091,04/27/2019 04:15:00 PM,480,1.5,28,24,Star North Management LLC
1570092,04/27/2019 04:15:00 PM,420,1.2,24,24,Taxi Affiliation Services
1570093,04/27/2019 04:15:00 PM,480,1.3,8,8,Taxi Affiliation Services
1570094,04/27/2019 04:15:00 PM,420,1.1,8,8,Taxi Affiliation Services
1570095,04/27/2019 04:15:00 PM,540,1.6,8,32,Choice Taxi Association
1570096,04/27/2019 04:15:00 PM,360,1.1,8,8,2733 - 74600 Benny Jona
1570097,04/27/2019 04:15:00 PM,300,0.7,6,7,Taxi Affiliation Services
1570098,04/27/2019 04:15:00 PM,300,0.8,8,8,Choice Taxi Association
1570099,04/27/2019 04:15:00 PM,300,1.1,32,32,Taxi Affiliation Services
1570100,04/27/2019 04:15:00 PM,240,0.8,8,8,Choice Taxi Association
1570101,04/27/2019 04:15:00 PM,360,1.1,8,32,Top Cab Affiliation
1570102,04/27/2019 04:15:00 PM,360,0.6,8,8,Top Cab Affiliation
1570103,04/27/2019 04:15:00 PM,540,1.6,7,7,Top Cab Affiliation
1570104,04/27/2019 04:15:00 PM,420,1.8,8,32,Star North Management LLC
1570105,04/27/2019 04:15:00 PM,540,1.1,32,28,Taxi Affiliation Services
1570106,04/27/2019 04:15:00 PM,540,1.1,24,8,Taxi Affiliation Services
1570107,04/27/2019 04:15:00 PM,540,1.6,8,28,Taxi Affiliation Services
1570108,04/27/2019 04:15:00 PM,420,1.2,8,8,Choice Taxi Association
1570109,04/27/2019 04:15:00 PM,420,1.2,32,8,Taxi Affiliation Services
1570110,04/27/2019 04:15:00 PM,540,1.5,8,8,Taxi Affiliation Services
1570111,04/27/2019 04:15:00 PM,480,1.1,8,32,Choice Taxi Association
1570112,04/27/2019 04:15:00 PM,480,1.3,8,32,Taxi Affiliation Services
1570113,04/27/2019 04:15:00 PM,240,0.8,7,8,Star North Management LLC
1570114,04/27/2019 04:15:00 PM,360,0.6,8,32,Taxi Affiliation Services
1570115,04/27/2019 04:15:00 PM,480,1.6,8,8,Taxi Affiliation Services
1570116,04/27/2019 04:15:00 PM,2640,0.8,76,7,Taxi Affiliation Services
1570117,04/27/2019 04:15:00 PM,300,0.6,32,32,Chicago Medallion Management
1570118,04/27/2019 04:15:00 PM,480,1.5,32,28,Choice Taxi Association
1570119,04/27/2019 04:15:00 PM,300,0.7,33,32,Taxi Affiliation Services
1570120,04/27/2019 04:15:00 PM,420,1.2,32,8,Taxi Affiliation Services
1570121,04/27/2019 04:15:00 PM,300,0.9,8,8,Taxi Affiliation Services
1570122,04/27/2019 04:15:00 PM,480,1.3,8,8,Taxi Affiliation Services
1570123,04/27/2019 04:15:00 PM,2100,0.8,7,57,Taxi Affiliation Services
1570124,04/27/2019 04:15:00 PM,360,0.9,28,32,Taxi Affiliation Services
1570125,04/27/2019 04:15:00 PM,451,0.96,8,32,Flash Cab
1570126,04/27/2019 04:15:00 PM,420,0.7,8,8,Medallion Leasin
1570127,04/27/2019 04:15:00 PM,326,0.77,28,32,Taxi Affiliation Service Yellow
1570128,04/27/2019 04:15:00 PM,384,1.1,32,32,Taxi Affiliation Service Yellow
1570129,04/27/2019 04:15:00 PM,360,1.44,11,11,Flash Cab
1570130,04/27/2019 04:15:00 PM,353,0.63,8,8,Flash Cab
1570131,04/27/2019 04:15:00 PM,333,0.9,32,32,Taxi Affiliation Service Yellow
1570132,04/27/2019 04:15:00 PM,536,1.2,8,28,Taxi Affiliation Service Yellow
1570133,04/27/2019 04:15:00 PM,300,0.8,32,32,Globe Taxi
1570134,04/27/2019 04:15:00 PM,327,0.9,8,8,Chicago Independents
1570135,04/27/2019 04:15:00 PM,453,0.73,33,33,Flash Cab
1570136,04/27/2019 04:15:00 PM,284,0.9,33,28,Flash Cab
1570137,04/27/2019 04:15:00 PM,329,0.8,6,6,City Service
1570138,04/27/2019 04:15:00 PM,545,1.2,8,32,Medallion Leasin
1570139,04/27/2019 04:15:00 PM,419,1.31,77,3,Globe Taxi
1570140,04/27/2019 04:15:00 PM,448,0.77,8,8,Chicago Carriage Cab Corp
1570141,04/27/2019 04:15:00 PM,240,1.0,6,6,Globe Taxi
1570142,04/27/2019 04:15:00 PM,360,0.9,41,41,Medallion Leasin
1570143,04/27/2019 04:15:00 PM,549,0.77,8,32,Patriot Taxi Dba Peace Taxi Associat
1570144,04/27/2019 04:15:00 PM,439,0.83,32,32,City Service
1570145,04/27/2019 04:15:00 PM,300,0.7,23,23,Chicago Independents
1570146,04/27/2019 04:15:00 PM,435,0.53,8,8,Chicago Carriage Cab Corp
1570147,04/27/2019 04:15:00 PM,390,1.2,32,28,City Service
1570148,04/27/2019 04:15:00 PM,283,0.77,8,8,Flash Cab
