,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1580000,04/28/2019 06:30:00 PM,2520,1.1,76,32,Blue Ribbon Taxi Association Inc.
1580001,04/28/2019 06:30:00 PM,1980,1.0,76,28,Taxi Affiliation Services
1580002,04/28/2019 06:30:00 PM,240,1.0,6,6,Taxi Affiliation Services
1580003,04/28/2019 06:30:00 PM,360,1.1,8,8,Top Cab Affiliation
1580004,04/28/2019 06:30:00 PM,3000,1.4,56,2,Taxi Affiliation Services
1580005,04/28/2019 06:30:00 PM,2700,1.1,76,8,Blue Ribbon Taxi Association Inc.
1580006,04/28/2019 06:30:00 PM,240,1.1,8,8,Taxi Affiliation Services
1580007,04/28/2019 06:30:00 PM,540,1.2,8,8,KOAM Taxi Association
1580008,04/28/2019 06:30:00 PM,480,1.3,8,32,Taxi Affiliation Services
1580009,04/28/2019 06:30:00 PM,240,1.0,7,7,Taxi Affiliation Services
1580010,04/28/2019 06:30:00 PM,240,0.8,28,28,Star North Management LLC
1580011,04/28/2019 06:30:00 PM,420,1.5,32,8,Taxi Affiliation Services
1580012,04/28/2019 06:30:00 PM,2160,0.9,56,6,Taxi Affiliation Services
1580013,04/28/2019 06:30:00 PM,240,0.9,4,4,Taxi Affiliation Services
1580014,04/28/2019 06:30:00 PM,2340,1.0,76,8,Taxi Affiliation Services
1580015,04/28/2019 06:30:00 PM,2520,0.8,76,3,Taxi Affiliation Services
1580016,04/28/2019 06:30:00 PM,360,1.9,76,76,Choice Taxi Association
1580017,04/28/2019 06:30:00 PM,360,0.8,8,8,Choice Taxi Association
1580018,04/28/2019 06:30:00 PM,2280,0.9,76,7,Taxi Affiliation Services
1580019,04/28/2019 06:30:00 PM,240,0.9,28,32,Taxi Affiliation Services
1580020,04/28/2019 06:30:00 PM,331,0.8,8,8,Checker Taxi Affiliation
1580021,04/28/2019 06:30:00 PM,240,0.92,32,8,Nova Taxi Affiliation Llc
1580022,04/28/2019 06:30:00 PM,588,1.9,8,28,Sun Taxi
1580023,04/28/2019 06:30:00 PM,380,0.72,32,32,Flash Cab
1580024,04/28/2019 06:30:00 PM,330,0.7,8,8,Medallion Leasin
1580025,04/28/2019 06:30:00 PM,526,1.5,8,32,Sun Taxi
1580026,04/28/2019 06:30:00 PM,394,0.8,8,8,Blue Diamond
1580027,04/28/2019 06:30:00 PM,300,0.8,32,32,Medallion Leasin
1580028,04/28/2019 06:30:00 PM,442,1.16,32,32,Taxi Affiliation Service Yellow
1580029,04/28/2019 06:30:00 PM,269,0.69,8,8,City Service
1580030,04/28/2019 06:30:00 PM,217,0.62,8,8,Chicago Carriage Cab Corp
1580031,04/28/2019 06:30:00 PM,378,0.68,32,8,Flash Cab
