,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
150000,01/13/2019 09:30:00 PM,480,1.5,8,32,KOAM Taxi Association
150001,01/13/2019 09:30:00 PM,420,1.8,28,27,Taxi Affiliation Services
150002,01/13/2019 09:30:00 PM,5820,1.6,46,8,Taxi Affiliation Services
150003,01/13/2019 09:30:00 PM,360,1.5,6,3,Star North Management LLC
150004,01/13/2019 09:30:00 PM,300,0.8,32,8,Choice Taxi Association
150005,01/13/2019 09:30:00 PM,480,1.5,8,8,Top Cab Affiliation
150006,01/13/2019 09:30:00 PM,300,0.8,32,8,Star North Management LLC
150007,01/13/2019 09:30:00 PM,240,0.8,8,32,Taxi Affiliation Services
150008,01/13/2019 09:30:00 PM,2220,0.8,76,77,Blue Ribbon Taxi Association Inc.
150009,01/13/2019 09:30:00 PM,360,1.3,1,77,Taxi Affiliation Services
150010,01/13/2019 09:30:00 PM,331,0.94,3,3,Flash Cab
150011,01/13/2019 09:30:00 PM,498,1.8,28,28,City Service
150012,01/13/2019 09:30:00 PM,323,1.0,32,28,City Service
150013,01/13/2019 09:30:00 PM,241,1.58,8,8,Chicago Carriage Cab Corp
150014,01/13/2019 09:30:00 PM,475,1.21,28,8,Sun Taxi
150015,01/13/2019 09:30:00 PM,427,1.12,8,8,24 Seven Taxi
150016,01/13/2019 09:30:00 PM,360,1.2,32,76,Globe Taxi
150017,01/13/2019 09:30:00 PM,458,1.5,8,8,Chicago Taxicab
150018,01/13/2019 09:30:00 PM,237,0.91,32,8,Sun Taxi
150019,01/13/2019 09:30:00 PM,425,1.47,28,32,Chicago Carriage Cab Corp
150020,01/13/2019 09:30:00 PM,300,1.3,28,8,Globe Taxi
150021,01/13/2019 09:30:00 PM,480,1.3,28,8,Medallion Leasin
150022,01/13/2019 09:30:00 PM,528,1.89,3,6,Patriot Taxi Dba Peace Taxi Associat
150023,01/13/2019 09:30:00 PM,480,1.3,28,8,Sun Taxi
150024,01/13/2019 09:30:00 PM,314,1.32,6,6,Chicago Carriage Cab Corp
150025,01/13/2019 09:30:00 PM,406,1.5,77,77,Taxi Affiliation Service Yellow
150026,01/13/2019 09:30:00 PM,502,1.99,3,7,Nova Taxi Affiliation Llc
150027,01/13/2019 09:30:00 PM,332,1.38,16,16,Taxi Affiliation Service Yellow
150028,01/13/2019 09:30:00 PM,355,0.86,8,8,City Service
150029,01/13/2019 09:30:00 PM,219,0.9,8,7,Flash Cab
150030,01/13/2019 09:30:00 PM,439,1.43,3,3,Flash Cab
150031,01/13/2019 09:30:00 PM,300,0.8,8,8,Taxi Affiliation Service Yellow
150032,01/13/2019 09:30:00 PM,218,0.64,7,8,Flash Cab
150033,01/13/2019 09:30:00 PM,295,1.2,8,32,Medallion Leasin
150034,01/13/2019 09:30:00 PM,420,1.5,8,8,Sun Taxi
150035,01/13/2019 09:30:00 PM,358,1.3,8,32,Flash Cab
150036,01/13/2019 09:30:00 PM,234,0.6,32,8,Flash Cab
150037,01/13/2019 09:30:00 PM,50,0.9,30,30,Flash Cab
150038,01/13/2019 09:30:00 PM,441,1.4,28,8,Flash Cab
150039,01/13/2019 09:45:00 PM,300,1.4,8,32,Star North Management LLC
150040,01/13/2019 09:45:00 PM,420,1.5,8,7,Choice Taxi Association
150041,01/13/2019 09:45:00 PM,300,1.0,8,8,Taxi Affiliation Services
150042,01/13/2019 09:45:00 PM,420,1.3,6,6,Star North Management LLC
150043,01/13/2019 09:45:00 PM,480,1.8,28,8,Choice Taxi Association
150044,01/13/2019 09:45:00 PM,300,0.9,8,8,Taxi Affiliation Services
150045,01/13/2019 09:45:00 PM,420,1.3,28,32,Taxi Affiliation Services
150046,01/13/2019 09:45:00 PM,420,1.7,32,33,Taxi Affiliation Services
150047,01/13/2019 09:45:00 PM,240,0.6,8,8,Taxi Affiliation Services
150048,01/13/2019 09:45:00 PM,480,1.6,8,8,Taxi Affiliation Services
150049,01/13/2019 09:45:00 PM,240,0.9,8,8,Star North Management LLC
150050,01/13/2019 09:45:00 PM,240,1.0,28,32,Taxi Affiliation Services
150051,01/13/2019 09:45:00 PM,300,1.2,8,28,Star North Management LLC
150052,01/13/2019 09:45:00 PM,300,1.1,6,6,Taxi Affiliation Services
150053,01/13/2019 09:45:00 PM,420,1.5,32,8,Taxi Affiliation Services
150054,01/13/2019 09:45:00 PM,240,0.6,6,6,Medallion Leasin
150055,01/13/2019 09:45:00 PM,531,1.39,28,32,Flash Cab
150056,01/13/2019 09:45:00 PM,513,1.68,28,28,Chicago Carriage Cab Corp
150057,01/13/2019 09:45:00 PM,243,0.74,8,32,Chicago Carriage Cab Corp
150058,01/13/2019 09:45:00 PM,300,1.5,8,7,Globe Taxi
150059,01/13/2019 09:45:00 PM,332,1.38,32,32,Patriot Taxi Dba Peace Taxi Associat
150060,01/13/2019 09:45:00 PM,311,0.76,8,8,Sun Taxi
