,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1600000,04/30/2019 11:00:00 AM,360,0.9,32,32,Medallion Leasin
1600001,04/30/2019 11:00:00 AM,540,1.4,8,32,Chicago Medallion Management
1600002,04/30/2019 11:00:00 AM,359,1.12,8,32,Chicago Carriage Cab Corp
1600003,04/30/2019 11:00:00 AM,272,1.17,32,33,Chicago Carriage Cab Corp
1600004,04/30/2019 11:00:00 AM,343,0.87,8,8,Flash Cab
1600005,04/30/2019 11:00:00 AM,430,0.89,28,32,Chicago Carriage Cab Corp
1600006,04/30/2019 11:00:00 AM,390,1.32,32,32,Sun Taxi
1600007,04/30/2019 11:00:00 AM,420,0.9,28,32,Top Cab Affiliation
1600008,04/30/2019 11:00:00 AM,300,0.8,32,28,Medallion Leasin
1600009,04/30/2019 11:00:00 AM,296,0.71,8,8,Sun Taxi
1600010,04/30/2019 11:00:00 AM,475,0.7,32,32,Chicago Carriage Cab Corp
1600011,04/30/2019 11:00:00 AM,480,1.8,28,8,Medallion Leasin
1600012,04/30/2019 11:00:00 AM,540,1.1,28,32,Star North Management LLC
1600013,04/30/2019 11:00:00 AM,476,1.07,32,8,Chicago Carriage Cab Corp
1600014,04/30/2019 11:00:00 AM,360,0.8,8,32,Star North Management LLC
1600015,04/30/2019 11:00:00 AM,540,1.0,32,8,Chicago Medallion Management
1600016,04/30/2019 11:00:00 AM,352,0.82,28,32,Chicago Carriage Cab Corp
1600017,04/30/2019 11:00:00 AM,2280,0.8,56,8,Taxi Affiliation Services
1600018,04/30/2019 11:00:00 AM,305,0.85,33,33,Flash Cab
1600019,04/30/2019 11:00:00 AM,240,0.6,28,32,Medallion Leasin
1600020,04/30/2019 11:00:00 AM,300,1.0,32,28,Medallion Leasin
1600021,04/30/2019 11:00:00 AM,592,1.8,33,28,Chicago Carriage Cab Corp
1600022,04/30/2019 11:00:00 AM,300,0.7,8,32,KOAM Taxi Association
1600023,04/30/2019 11:00:00 AM,280,0.69,8,8,Checker Taxi Affiliation
