,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1610000,04/30/2019 07:45:00 PM,360,1.2,8,28,Chicago Independents
1610001,04/30/2019 07:45:00 PM,420,1.1,8,28,Taxi Affiliation Services
1610002,04/30/2019 07:45:00 PM,420,0.8,32,8,Taxi Affiliation Services
1610003,04/30/2019 07:45:00 PM,408,1.3,32,8,Sun Taxi
1610004,04/30/2019 07:45:00 PM,459,1.0,32,28,Checker Taxi Affiliation
1610005,04/30/2019 07:45:00 PM,360,0.7,32,32,Chicago Medallion Management
1610006,04/30/2019 07:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
1610007,04/30/2019 07:45:00 PM,300,1.0,32,8,Chicago Independents
1610008,04/30/2019 07:45:00 PM,323,0.77,32,32,Chicago Carriage Cab Corp
1610009,04/30/2019 07:45:00 PM,496,1.56,28,8,Chicago Carriage Cab Corp
1610010,04/30/2019 07:45:00 PM,540,1.6,32,8,Medallion Leasin
1610011,04/30/2019 07:45:00 PM,540,1.9,28,8,Taxi Affiliation Services
1610012,04/30/2019 07:45:00 PM,240,0.9,8,8,Taxi Affiliation Services
1610013,04/30/2019 07:45:00 PM,365,0.88,32,8,Chicago Carriage Cab Corp
1610014,04/30/2019 07:45:00 PM,480,1.5,8,32,KOAM Taxi Association
1610015,04/30/2019 07:45:00 PM,404,1.22,32,32,Chicago Carriage Cab Corp
1610016,04/30/2019 07:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
1610017,04/30/2019 07:45:00 PM,208,0.6,32,32,Sun Taxi
1610018,04/30/2019 07:45:00 PM,360,0.8,32,8,Medallion Leasin
1610019,04/30/2019 07:45:00 PM,360,0.7,8,32,Taxi Affiliation Services
1610020,04/30/2019 07:45:00 PM,212,0.54,32,32,Chicago Carriage Cab Corp
1610021,04/30/2019 07:45:00 PM,240,0.8,8,32,Star North Management LLC
1610022,04/30/2019 07:45:00 PM,400,1.23,28,8,Flash Cab
1610023,04/30/2019 07:45:00 PM,240,0.55,32,32,Chicago Carriage Cab Corp
1610024,04/30/2019 07:45:00 PM,569,1.78,8,28,Taxi Affiliation Service Yellow
1610025,04/30/2019 07:45:00 PM,334,0.9,8,8,Taxi Affiliation Service Yellow
1610026,04/30/2019 07:45:00 PM,493,1.03,32,28,Flash Cab
1610027,04/30/2019 07:45:00 PM,240,0.74,8,8,City Service
1610028,04/30/2019 07:45:00 PM,2280,1.3,33,76,Blue Ribbon Taxi Association Inc.
1610029,04/30/2019 07:45:00 PM,406,1.6,8,8,City Service
1610030,04/30/2019 07:45:00 PM,420,1.1,28,32,Taxi Affiliation Services
1610031,04/30/2019 07:45:00 PM,324,1.0,32,8,Flash Cab
1610032,04/30/2019 07:45:00 PM,360,0.7,32,8,Taxi Affiliation Services
1610033,04/30/2019 07:45:00 PM,480,1.81,8,28,Nova Taxi Affiliation Llc
1610034,04/30/2019 07:45:00 PM,495,1.12,8,32,Chicago Carriage Cab Corp
1610035,04/30/2019 07:45:00 PM,420,0.8,8,8,Taxi Affiliation Services
1610036,04/30/2019 07:45:00 PM,427,1.19,6,5,Flash Cab
1610037,04/30/2019 07:45:00 PM,532,1.44,32,8,Nova Taxi Affiliation Llc
1610038,04/30/2019 07:45:00 PM,386,1.0,32,8,City Service
1610039,04/30/2019 07:45:00 PM,540,1.6,32,8,Medallion Leasin
1610040,04/30/2019 07:45:00 PM,300,1.2,8,8,Chicago Independents
1610041,04/30/2019 07:45:00 PM,512,1.4,8,8,Taxi Affiliation Service Yellow
1610042,04/30/2019 07:45:00 PM,315,0.63,8,32,Flash Cab
1610043,04/30/2019 07:45:00 PM,407,1.08,32,32,Sun Taxi
1610044,04/30/2019 07:45:00 PM,2280,1.0,76,32,Taxi Affiliation Services
1610045,04/30/2019 07:45:00 PM,420,0.6,8,8,6742 - 83735 Tasha ride inc
1610046,04/30/2019 07:45:00 PM,480,1.0,8,32,Taxi Affiliation Services
1610047,04/30/2019 07:45:00 PM,425,1.71,7,8,Sun Taxi
1610048,04/30/2019 07:45:00 PM,420,1.1,28,8,KOAM Taxi Association
1610049,04/30/2019 07:45:00 PM,252,0.62,8,8,City Service
1610050,04/30/2019 07:45:00 PM,531,1.8,8,7,Flash Cab
1610051,04/30/2019 07:45:00 PM,480,1.1,32,32,Star North Management LLC
1610052,04/30/2019 07:45:00 PM,328,0.69,32,31,Chicago Carriage Cab Corp
1610053,04/30/2019 07:45:00 PM,360,1.0,32,8,KOAM Taxi Association
1610054,04/30/2019 07:45:00 PM,2220,1.0,8,76,Blue Ribbon Taxi Association Inc.
1610055,04/30/2019 07:45:00 PM,420,1.1,8,7,Taxi Affiliation Services
1610056,04/30/2019 07:45:00 PM,589,1.3,8,8,Flash Cab
1610057,04/30/2019 07:45:00 PM,420,0.7,8,8,Top Cab Affiliation
1610058,04/30/2019 07:45:00 PM,249,0.84,32,8,Sun Taxi
1610059,04/30/2019 07:45:00 PM,588,1.82,8,28,Patriot Taxi Dba Peace Taxi Associat
1610060,04/30/2019 07:45:00 PM,232,0.7,8,8,City Service
1610061,04/30/2019 07:45:00 PM,360,0.7,8,32,Star North Management LLC
1610062,04/30/2019 07:45:00 PM,373,0.86,8,32,Sun Taxi
1610063,04/30/2019 07:45:00 PM,541,1.11,32,32,Chicago Carriage Cab Corp
1610064,04/30/2019 07:45:00 PM,403,1.0,32,8,Medallion Leasin
1610065,04/30/2019 07:45:00 PM,300,1.2,33,33,Taxi Affiliation Services
