,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1650000,05/03/2019 11:15:00 AM,327,1.02,8,32,Chicago Carriage Cab Corp
1650001,05/03/2019 11:15:00 AM,391,0.73,32,32,Sun Taxi
1650002,05/03/2019 11:15:00 AM,480,0.9,8,32,Taxi Affiliation Services
1650003,05/03/2019 11:15:00 AM,1860,1.0,32,76,Taxi Affiliation Services
1650004,05/03/2019 11:15:00 AM,370,1.0,59,59,Checker Taxi Affiliation
1650005,05/03/2019 11:15:00 AM,243,0.69,32,32,Chicago Independents
1650006,05/03/2019 11:15:00 AM,300,1.4,32,32,Star North Management LLC
1650007,05/03/2019 11:15:00 AM,240,0.7,32,8,Chicago Independents
1650008,05/03/2019 11:15:00 AM,540,1.7,8,32,Taxi Affiliation Services
1650009,05/03/2019 11:15:00 AM,445,0.94,8,8,Chicago Carriage Cab Corp
1650010,05/03/2019 11:15:00 AM,540,1.9,8,32,Chicago Medallion Management
1650011,05/03/2019 11:15:00 AM,300,1.4,28,32,Taxi Affiliation Services
1650012,05/03/2019 11:15:00 AM,363,1.0,28,32,Chicago Carriage Cab Corp
1650013,05/03/2019 11:15:00 AM,374,0.8,8,32,Medallion Leasin
1650014,05/03/2019 11:15:00 AM,459,1.03,32,32,Sun Taxi
1650015,05/03/2019 11:15:00 AM,273,0.77,8,8,Patriot Taxi Dba Peace Taxi Associat
1650016,05/03/2019 11:15:00 AM,360,1.0,8,8,Taxi Affiliation Services
1650017,05/03/2019 11:15:00 AM,240,0.7,32,8,Star North Management LLC
1650018,05/03/2019 11:15:00 AM,468,0.87,8,8,Flash Cab
1650019,05/03/2019 11:15:00 AM,245,0.79,33,32,Sun Taxi
1650020,05/03/2019 11:15:00 AM,360,1.4,8,32,Star North Management LLC
1650021,05/03/2019 11:15:00 AM,506,1.21,8,8,Chicago Carriage Cab Corp
1650022,05/03/2019 11:15:00 AM,331,0.7,32,32,Medallion Leasin
1650023,05/03/2019 11:15:00 AM,439,0.94,32,32,Flash Cab
1650024,05/03/2019 11:15:00 AM,240,0.8,41,41,Taxi Affiliation Services
1650025,05/03/2019 11:15:00 AM,240,0.7,8,8,Taxi Affiliation Services
1650026,05/03/2019 11:15:00 AM,300,1.4,56,65,"Taxicab Insurance Agency, LLC"
1650027,05/03/2019 11:15:00 AM,420,1.3,8,8,Choice Taxi Association
1650028,05/03/2019 11:15:00 AM,328,0.7,32,32,Medallion Leasin
1650029,05/03/2019 11:15:00 AM,540,1.2,32,8,Medallion Leasin
1650030,05/03/2019 11:15:00 AM,573,1.5,7,7,Flash Cab
1650031,05/03/2019 11:15:00 AM,345,0.75,32,32,Chicago Carriage Cab Corp
1650032,05/03/2019 11:15:00 AM,550,1.18,32,32,Flash Cab
1650033,05/03/2019 11:15:00 AM,300,1.0,24,32,Star North Management LLC
1650034,05/03/2019 11:15:00 AM,320,0.57,28,32,Chicago Carriage Cab Corp
1650035,05/03/2019 11:15:00 AM,300,1.1,8,8,Top Cab Affiliation
1650036,05/03/2019 11:15:00 AM,329,0.51,8,8,Sun Taxi
1650037,05/03/2019 11:15:00 AM,411,1.22,28,8,City Service
1650038,05/03/2019 11:15:00 AM,579,1.55,32,8,Sun Taxi
1650039,05/03/2019 11:15:00 AM,594,1.27,32,8,Chicago Carriage Cab Corp
1650040,05/03/2019 11:15:00 AM,540,1.4,32,8,Chicago Independents
1650041,05/03/2019 11:15:00 AM,355,1.09,8,8,Blue Diamond
1650042,05/03/2019 11:15:00 AM,182,0.94,6,7,Chicago Carriage Cab Corp
1650043,05/03/2019 11:15:00 AM,360,0.8,32,33,Top Cab Affiliation
1650044,05/03/2019 11:15:00 AM,430,0.7,28,32,Medallion Leasin
1650045,05/03/2019 11:15:00 AM,503,0.99,32,8,Taxi Affiliation Service Yellow
1650046,05/03/2019 11:15:00 AM,240,1.0,8,77,Medallion Leasin
1650047,05/03/2019 11:15:00 AM,363,0.9,32,32,Chicago Carriage Cab Corp
1650048,05/03/2019 11:15:00 AM,195,0.61,32,32,Nova Taxi Affiliation Llc
1650049,05/03/2019 11:15:00 AM,333,0.54,8,8,Sun Taxi
1650050,05/03/2019 11:15:00 AM,409,1.19,8,8,Chicago Carriage Cab Corp
1650051,05/03/2019 11:15:00 AM,335,0.78,32,32,Chicago Carriage Cab Corp
1650052,05/03/2019 11:15:00 AM,360,1.2,8,32,Taxi Affiliation Services
1650053,05/03/2019 11:15:00 AM,563,1.84,8,32,Sun Taxi
1650054,05/03/2019 11:15:00 AM,409,1.39,32,8,Chicago Carriage Cab Corp
1650055,05/03/2019 11:15:00 AM,480,1.22,6,7,Flash Cab
1650056,05/03/2019 11:15:00 AM,490,1.98,4,14,Flash Cab
1650057,05/03/2019 11:15:00 AM,519,1.03,8,32,Patriot Taxi Dba Peace Taxi Associat
1650058,05/03/2019 11:15:00 AM,467,1.1,32,32,Chicago Independents
1650059,05/03/2019 11:15:00 AM,360,1.0,32,28,Medallion Leasin
1650060,05/03/2019 11:15:00 AM,472,1.51,8,8,Chicago Carriage Cab Corp
1650061,05/03/2019 11:15:00 AM,309,0.62,28,28,Chicago Carriage Cab Corp
1650062,05/03/2019 11:15:00 AM,415,0.75,32,8,Checker Taxi Affiliation
1650063,05/03/2019 11:15:00 AM,396,1.2,32,28,City Service
1650064,05/03/2019 11:15:00 AM,300,1.0,32,32,Medallion Leasin
1650065,05/03/2019 11:15:00 AM,306,0.71,32,32,Chicago Carriage Cab Corp
1650066,05/03/2019 11:15:00 AM,420,0.9,32,8,Taxi Affiliation Services
1650067,05/03/2019 11:15:00 AM,460,1.87,32,32,City Service
1650068,05/03/2019 11:15:00 AM,360,1.0,8,32,Medallion Leasin
1650069,05/03/2019 11:15:00 AM,420,0.9,32,8,Star North Management LLC
1650070,05/03/2019 11:15:00 AM,443,1.17,8,8,Chicago Carriage Cab Corp
1650071,05/03/2019 11:15:00 AM,300,0.6,32,32,Star North Management LLC
1650072,05/03/2019 11:15:00 AM,315,0.7,28,32,Blue Diamond
1650073,05/03/2019 11:15:00 AM,480,1.3,8,32,Star North Management LLC
1650074,05/03/2019 11:15:00 AM,2042,1.24,32,32,Sun Taxi
1650075,05/03/2019 11:15:00 AM,326,0.68,32,32,24 Seven Taxi
1650076,05/03/2019 11:15:00 AM,422,1.2,8,32,Sun Taxi
1650077,05/03/2019 11:15:00 AM,332,0.6,8,8,Setare Inc
1650078,05/03/2019 11:15:00 AM,300,0.8,8,8,Taxi Affiliation Services
1650079,05/03/2019 11:15:00 AM,336,0.87,8,32,Flash Cab
1650080,05/03/2019 11:30:00 AM,540,1.6,28,8,Taxi Affiliation Services
1650081,05/03/2019 11:30:00 AM,255,0.75,32,32,Chicago Carriage Cab Corp
1650082,05/03/2019 11:30:00 AM,420,1.0,32,32,Taxi Affiliation Services
1650083,05/03/2019 11:30:00 AM,523,1.22,28,32,Chicago Carriage Cab Corp
1650084,05/03/2019 11:30:00 AM,465,0.93,8,8,Chicago Carriage Cab Corp
1650085,05/03/2019 11:30:00 AM,373,0.6,32,32,City Service
1650086,05/03/2019 11:30:00 AM,2340,1.1,76,8,Taxi Affiliation Services
1650087,05/03/2019 11:30:00 AM,240,0.8,8,32,Taxi Affiliation Services
1650088,05/03/2019 11:30:00 AM,591,1.64,32,32,Flash Cab
1650089,05/03/2019 11:30:00 AM,489,1.5,8,32,Taxi Affiliation Service Yellow
1650090,05/03/2019 11:30:00 AM,300,0.9,8,8,Taxi Affiliation Services
1650091,05/03/2019 11:30:00 AM,532,1.01,28,32,Chicago Carriage Cab Corp
1650092,05/03/2019 11:30:00 AM,300,1.1,32,32,City Service
1650093,05/03/2019 11:30:00 AM,360,1.2,32,32,Taxi Affiliation Services
1650094,05/03/2019 11:30:00 AM,546,1.37,6,7,Flash Cab
1650095,05/03/2019 11:30:00 AM,420,0.9,32,28,Star North Management LLC
1650096,05/03/2019 11:30:00 AM,455,0.66,8,8,Sun Taxi
1650097,05/03/2019 11:30:00 AM,191,0.6,28,8,City Service
1650098,05/03/2019 11:30:00 AM,480,1.5,8,32,Choice Taxi Association
1650099,05/03/2019 11:30:00 AM,480,1.1,28,32,Medallion Leasin
1650100,05/03/2019 11:30:00 AM,420,0.7,8,8,Taxi Affiliation Services
1650101,05/03/2019 11:30:00 AM,399,0.62,8,8,City Service
1650102,05/03/2019 11:30:00 AM,300,0.8,28,32,Medallion Leasin
1650103,05/03/2019 11:30:00 AM,443,1.18,32,8,Checker Taxi Affiliation
1650104,05/03/2019 11:30:00 AM,420,0.9,8,32,Star North Management LLC
1650105,05/03/2019 11:30:00 AM,226,0.59,32,32,Flash Cab
1650106,05/03/2019 11:30:00 AM,298,0.66,28,28,Chicago Carriage Cab Corp
1650107,05/03/2019 11:30:00 AM,325,1.07,32,32,City Service
1650108,05/03/2019 11:30:00 AM,404,0.79,28,32,Chicago Carriage Cab Corp
1650109,05/03/2019 11:30:00 AM,334,0.64,28,32,Flash Cab
1650110,05/03/2019 11:30:00 AM,517,1.1,32,28,City Service
1650111,05/03/2019 11:30:00 AM,388,1.04,32,32,City Service
1650112,05/03/2019 11:30:00 AM,326,0.79,32,28,Flash Cab
1650113,05/03/2019 11:30:00 AM,459,1.39,28,28,Chicago Carriage Cab Corp
1650114,05/03/2019 11:30:00 AM,482,0.69,32,32,Sun Taxi
1650115,05/03/2019 11:30:00 AM,360,1.1,24,24,Taxi Affiliation Services
1650116,05/03/2019 11:30:00 AM,320,1.14,32,8,Flash Cab
1650117,05/03/2019 11:30:00 AM,215,0.66,32,32,Sun Taxi
1650118,05/03/2019 11:30:00 AM,480,1.1,32,28,Taxi Affiliation Services
1650119,05/03/2019 11:30:00 AM,288,0.86,6,6,Sun Taxi
1650120,05/03/2019 11:30:00 AM,300,0.7,32,28,Taxi Affiliation Services
1650121,05/03/2019 11:30:00 AM,300,0.8,28,32,Star North Management LLC
1650122,05/03/2019 11:30:00 AM,563,1.09,32,32,Chicago Carriage Cab Corp
1650123,05/03/2019 11:30:00 AM,310,1.26,8,8,Sun Taxi
1650124,05/03/2019 11:30:00 AM,394,0.95,32,28,Sun Taxi
1650125,05/03/2019 11:30:00 AM,540,1.6,8,28,Medallion Leasin
1650126,05/03/2019 11:30:00 AM,540,1.8,33,32,Choice Taxi Association
1650127,05/03/2019 11:30:00 AM,488,1.73,32,8,Chicago Carriage Cab Corp
1650128,05/03/2019 11:30:00 AM,565,1.6,28,8,City Service
1650129,05/03/2019 11:30:00 AM,598,1.23,32,8,Flash Cab
1650130,05/03/2019 11:30:00 AM,304,0.95,32,28,Flash Cab
1650131,05/03/2019 11:30:00 AM,288,0.81,32,32,Patriot Taxi Dba Peace Taxi Associat
1650132,05/03/2019 11:30:00 AM,561,1.2,8,8,City Service
1650133,05/03/2019 11:30:00 AM,418,0.97,28,8,Flash Cab
1650134,05/03/2019 11:30:00 AM,360,1.6,7,6,Taxi Affiliation Services
1650135,05/03/2019 11:30:00 AM,428,1.04,8,32,Flash Cab
1650136,05/03/2019 11:30:00 AM,420,1.2,8,8,KOAM Taxi Association
1650137,05/03/2019 11:30:00 AM,399,0.9,28,28,Medallion Leasin
1650138,05/03/2019 11:30:00 AM,480,0.6,8,8,Taxi Affiliation Services
1650139,05/03/2019 11:30:00 AM,540,1.6,32,8,Taxi Affiliation Services
1650140,05/03/2019 11:30:00 AM,407,0.75,32,32,Flash Cab
1650141,05/03/2019 11:30:00 AM,461,0.63,8,8,Chicago Carriage Cab Corp
1650142,05/03/2019 11:30:00 AM,583,1.23,11,8,Sun Taxi
1650143,05/03/2019 11:30:00 AM,2340,1.1,32,76,Blue Ribbon Taxi Association Inc.
1650144,05/03/2019 11:30:00 AM,498,1.41,28,32,Chicago Carriage Cab Corp
1650145,05/03/2019 11:30:00 AM,207,0.66,33,34,Sun Taxi
1650146,05/03/2019 11:30:00 AM,461,1.4,8,28,Medallion Leasin
1650147,05/03/2019 11:30:00 AM,420,1.1,32,8,Taxi Affiliation Services
1650148,05/03/2019 11:30:00 AM,279,0.79,28,32,Nova Taxi Affiliation Llc
1650149,05/03/2019 11:30:00 AM,511,0.92,8,32,Flash Cab
1650150,05/03/2019 11:30:00 AM,240,0.6,28,32,Taxi Affiliation Services
1650151,05/03/2019 11:30:00 AM,412,0.66,7,7,Nova Taxi Affiliation Llc
1650152,05/03/2019 11:30:00 AM,287,0.73,32,32,Checker Taxi Affiliation
1650153,05/03/2019 11:30:00 AM,274,0.71,8,8,Sun Taxi
1650154,05/03/2019 11:30:00 AM,324,0.9,8,32,City Service
1650155,05/03/2019 11:30:00 AM,345,0.9,28,32,City Service
1650156,05/03/2019 11:30:00 AM,261,0.8,8,8,Flash Cab
1650157,05/03/2019 11:30:00 AM,556,1.77,28,8,Flash Cab
1650158,05/03/2019 11:30:00 AM,300,0.9,28,32,Star North Management LLC
1650159,05/03/2019 11:30:00 AM,480,1.1,8,32,Taxi Affiliation Services
1650160,05/03/2019 11:30:00 AM,329,0.66,32,32,City Service
1650161,05/03/2019 11:30:00 AM,301,1.02,8,32,Chicago Carriage Cab Corp
1650162,05/03/2019 11:30:00 AM,404,0.64,32,32,Sun Taxi
1650163,05/03/2019 11:30:00 AM,519,0.9,32,8,City Service
1650164,05/03/2019 11:30:00 AM,439,0.68,8,24,Flash Cab
1650165,05/03/2019 11:30:00 AM,368,1.09,33,32,Flash Cab
1650166,05/03/2019 11:30:00 AM,536,1.2,32,8,City Service
1650167,05/03/2019 11:30:00 AM,412,1.42,32,8,Sun Taxi
1650168,05/03/2019 11:30:00 AM,337,0.82,28,28,Sun Taxi
1650169,05/03/2019 11:30:00 AM,283,0.71,8,8,Chicago Carriage Cab Corp
1650170,05/03/2019 11:30:00 AM,480,1.21,32,28,Nova Taxi Affiliation Llc
1650171,05/03/2019 11:30:00 AM,318,0.63,32,32,City Service
1650172,05/03/2019 11:30:00 AM,533,1.19,28,32,Chicago Carriage Cab Corp
1650173,05/03/2019 11:30:00 AM,480,1.5,28,8,Taxi Affiliation Services
1650174,05/03/2019 11:30:00 AM,356,0.99,28,27,Flash Cab
1650175,05/03/2019 11:30:00 AM,366,0.8,8,8,Flash Cab
1650176,05/03/2019 11:30:00 AM,439,1.3,8,8,Sun Taxi
1650177,05/03/2019 11:30:00 AM,388,1.29,8,8,Patriot Taxi Dba Peace Taxi Associat
1650178,05/03/2019 11:30:00 AM,521,0.99,32,8,Flash Cab
1650179,05/03/2019 11:30:00 AM,445,1.05,14,14,Flash Cab
1650180,05/03/2019 11:30:00 AM,420,1.0,32,32,"Taxicab Insurance Agency, LLC"
1650181,05/03/2019 11:30:00 AM,540,1.53,33,32,Checker Taxi Affiliation
1650182,05/03/2019 11:30:00 AM,240,0.6,32,8,Taxi Affiliation Services
1650183,05/03/2019 11:30:00 AM,256,0.63,32,32,24 Seven Taxi
1650184,05/03/2019 11:30:00 AM,518,1.38,8,8,Flash Cab
1650185,05/03/2019 11:30:00 AM,384,0.7,8,32,City Service
1650186,05/03/2019 11:30:00 AM,240,0.6,32,32,Star North Management LLC
1650187,05/03/2019 11:30:00 AM,240,0.83,32,28,Nova Taxi Affiliation Llc
1650188,05/03/2019 11:30:00 AM,353,0.74,4,14,Flash Cab
1650189,05/03/2019 11:30:00 AM,416,1.2,8,32,Chicago Independents
1650190,05/03/2019 11:30:00 AM,319,0.88,28,8,Patriot Taxi Dba Peace Taxi Associat
1650191,05/03/2019 11:30:00 AM,304,0.79,8,32,Chicago Carriage Cab Corp
1650192,05/03/2019 11:30:00 AM,420,0.7,32,32,Top Cab Affiliation
1650193,05/03/2019 11:30:00 AM,443,0.81,28,28,Sun Taxi
1650194,05/03/2019 11:30:00 AM,386,1.12,6,6,Sun Taxi
1650195,05/03/2019 11:30:00 AM,399,0.96,28,8,Flash Cab
1650196,05/03/2019 11:30:00 AM,540,1.1,32,28,Top Cab Affiliation
1650197,05/03/2019 11:30:00 AM,432,0.91,8,32,City Service
1650198,05/03/2019 11:30:00 AM,402,1.19,8,32,Patriot Taxi Dba Peace Taxi Associat
1650199,05/03/2019 11:30:00 AM,2340,1.3,76,33,Blue Ribbon Taxi Association Inc.
1650200,05/03/2019 11:30:00 AM,540,1.0,32,32,Medallion Leasin
1650201,05/03/2019 11:30:00 AM,420,1.2,32,8,Medallion Leasin
1650202,05/03/2019 11:30:00 AM,351,1.42,32,32,Sun Taxi
1650203,05/03/2019 11:30:00 AM,300,0.8,8,8,Medallion Leasin
1650204,05/03/2019 11:30:00 AM,2280,1.3,76,33,Blue Ribbon Taxi Association Inc.
1650205,05/03/2019 11:30:00 AM,565,1.24,28,32,Checker Taxi Affiliation
1650206,05/03/2019 11:30:00 AM,295,0.55,8,8,Chicago Carriage Cab Corp
1650207,05/03/2019 11:30:00 AM,339,0.7,32,28,City Service
1650208,05/03/2019 11:30:00 AM,540,1.43,8,32,Patriot Taxi Dba Peace Taxi Associat
1650209,05/03/2019 11:30:00 AM,540,1.4,28,32,Taxi Affiliation Services
1650210,05/03/2019 11:30:00 AM,460,0.96,32,8,Chicago Carriage Cab Corp
1650211,05/03/2019 11:30:00 AM,419,0.94,8,32,Chicago Carriage Cab Corp
1650212,05/03/2019 11:30:00 AM,415,0.73,8,8,Flash Cab
1650213,05/03/2019 11:30:00 AM,263,0.56,6,7,Flash Cab
1650214,05/03/2019 11:30:00 AM,524,1.2,8,8,City Service
1650215,05/03/2019 11:30:00 AM,420,1.0,6,7,Medallion Leasin
1650216,05/03/2019 11:30:00 AM,516,1.74,8,32,Chicago Carriage Cab Corp
1650217,05/03/2019 11:30:00 AM,439,0.99,8,32,Flash Cab
1650218,05/03/2019 11:30:00 AM,359,0.63,32,8,24 Seven Taxi
1650219,05/03/2019 11:30:00 AM,420,0.9,8,32,Choice Taxi Association
1650220,05/03/2019 11:30:00 AM,410,0.58,32,32,Flash Cab
1650221,05/03/2019 11:30:00 AM,354,0.78,32,32,Chicago Carriage Cab Corp
1650222,05/03/2019 11:30:00 AM,223,0.6,8,32,Chicago Carriage Cab Corp
1650223,05/03/2019 11:30:00 AM,420,1.4,32,8,Taxi Affiliation Services
1650224,05/03/2019 11:30:00 AM,421,0.7,32,8,City Service
1650225,05/03/2019 11:30:00 AM,360,1.1,32,32,Medallion Leasin
1650226,05/03/2019 11:30:00 AM,467,1.44,8,32,Chicago Carriage Cab Corp
1650227,05/03/2019 11:30:00 AM,543,1.68,33,32,Flash Cab
1650228,05/03/2019 11:30:00 AM,465,1.56,8,8,City Service
1650229,05/03/2019 11:30:00 AM,300,1.7,35,33,Taxi Affiliation Services
1650230,05/03/2019 11:30:00 AM,362,0.98,8,32,Sun Taxi
1650231,05/03/2019 11:30:00 AM,300,0.77,32,28,Flash Cab
1650232,05/03/2019 11:30:00 AM,300,0.7,8,8,Choice Taxi Association
1650233,05/03/2019 11:30:00 AM,232,0.6,28,32,Flash Cab
1650234,05/03/2019 11:30:00 AM,344,1.34,33,32,Chicago Carriage Cab Corp
1650235,05/03/2019 11:30:00 AM,336,1.04,32,28,Chicago Carriage Cab Corp
1650236,05/03/2019 11:30:00 AM,360,1.0,28,28,Star North Management LLC
1650237,05/03/2019 11:30:00 AM,540,1.4,8,32,Medallion Leasin
1650238,05/03/2019 11:30:00 AM,420,1.1,28,8,Chicago Medallion Management
1650239,05/03/2019 11:30:00 AM,240,0.8,33,34,Medallion Leasin
1650240,05/03/2019 11:30:00 AM,300,0.92,28,28,Nova Taxi Affiliation Llc
1650241,05/03/2019 11:30:00 AM,300,0.7,8,8,City Service
1650242,05/03/2019 11:30:00 AM,360,0.6,8,8,Choice Taxi Association
1650243,05/03/2019 11:30:00 AM,459,1.11,32,28,Flash Cab
1650244,05/03/2019 11:30:00 AM,480,1.8,33,32,Taxi Affiliation Services
1650245,05/03/2019 11:30:00 AM,480,1.9,8,28,Choice Taxi Association
