,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1680000,05/05/2019 07:30:00 PM,480,1.3,8,8,Star North Management LLC
1680001,05/05/2019 07:30:00 PM,2280,1.2,33,76,Taxi Affiliation Services
1680002,05/05/2019 07:30:00 PM,307,0.87,8,8,Chicago Carriage Cab Corp
1680003,05/05/2019 07:30:00 PM,420,0.8,8,8,Taxi Affiliation Services
1680004,05/05/2019 07:30:00 PM,360,1.1,8,8,Choice Taxi Association
1680005,05/05/2019 07:30:00 PM,360,1.4,33,32,Taxi Affiliation Services
1680006,05/05/2019 07:30:00 PM,420,0.8,32,8,Taxi Affiliation Services
1680007,05/05/2019 07:30:00 PM,445,1.2,8,32,Flash Cab
1680008,05/05/2019 07:30:00 PM,360,1.3,7,8,Taxi Affiliation Services
1680009,05/05/2019 07:30:00 PM,525,1.8,8,32,City Service
1680010,05/05/2019 07:30:00 PM,298,0.8,8,8,City Service
1680011,05/05/2019 07:30:00 PM,313,0.94,32,8,Taxi Affiliation Service Yellow
1680012,05/05/2019 07:30:00 PM,300,1.1,32,28,Chicago Medallion Management
1680013,05/05/2019 07:30:00 PM,360,0.6,8,8,Taxi Affiliation Services
1680014,05/05/2019 07:30:00 PM,273,0.58,32,8,Taxi Affiliation Service Yellow
1680015,05/05/2019 07:30:00 PM,300,1.1,8,8,"Taxicab Insurance Agency, LLC"
1680016,05/05/2019 07:30:00 PM,240,1.2,32,33,Star North Management LLC
1680017,05/05/2019 07:30:00 PM,420,1.5,8,8,Taxi Affiliation Services
1680018,05/05/2019 07:30:00 PM,300,1.0,8,8,Choice Taxi Association
1680019,05/05/2019 07:30:00 PM,540,1.7,32,33,Taxi Affiliation Services
1680020,05/05/2019 07:30:00 PM,2640,1.0,76,8,Taxi Affiliation Services
1680021,05/05/2019 07:30:00 PM,420,0.9,32,8,Taxi Affiliation Services
1680022,05/05/2019 07:30:00 PM,352,0.93,8,8,Taxi Affiliation Service Yellow
1680023,05/05/2019 07:30:00 PM,564,1.26,8,8,Chicago Carriage Cab Corp
1680024,05/05/2019 07:30:00 PM,420,1.2,8,32,Medallion Leasin
1680025,05/05/2019 07:30:00 PM,429,1.0,8,8,Blue Diamond
1680026,05/05/2019 07:30:00 PM,360,0.9,6,6,Taxi Affiliation Services
1680027,05/05/2019 07:30:00 PM,206,0.84,32,8,Checker Taxi Affiliation
1680028,05/05/2019 07:30:00 PM,487,1.2,28,8,City Service
1680029,05/05/2019 07:30:00 PM,480,1.7,32,28,Taxi Affiliation Services
1680030,05/05/2019 07:30:00 PM,348,1.02,8,8,Taxi Affiliation Service Yellow
1680031,05/05/2019 07:30:00 PM,562,1.8,24,24,Flash Cab
1680032,05/05/2019 07:30:00 PM,269,0.93,8,8,City Service
1680033,05/05/2019 07:30:00 PM,420,1.5,32,33,Medallion Leasin
1680034,05/05/2019 07:30:00 PM,444,1.28,8,8,24 Seven Taxi
1680035,05/05/2019 07:30:00 PM,232,0.73,4,4,Flash Cab
1680036,05/05/2019 07:30:00 PM,420,1.3,2,77,Taxi Affiliation Services
1680037,05/05/2019 07:30:00 PM,287,1.07,32,32,Patriot Taxi Dba Peace Taxi Associat
1680038,05/05/2019 07:30:00 PM,377,0.65,8,8,Sun Taxi
1680039,05/05/2019 07:30:00 PM,359,1.1,32,28,Chicago Taxicab
1680040,05/05/2019 07:30:00 PM,360,0.8,8,8,Medallion Leasin
1680041,05/05/2019 07:30:00 PM,240,0.9,28,32,Checker Taxi Affiliation
1680042,05/05/2019 07:30:00 PM,2580,1.1,76,8,Taxi Affiliation Services
1680043,05/05/2019 07:30:00 PM,221,0.51,8,8,Chicago Carriage Cab Corp
