,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
160000,01/14/2019 05:00:00 PM,240,0.6,8,8,Taxi Affiliation Services
160001,01/14/2019 05:00:00 PM,540,1.4,8,8,Taxi Affiliation Services
160002,01/14/2019 05:00:00 PM,540,1.2,8,32,Taxi Affiliation Services
160003,01/14/2019 05:00:00 PM,480,0.9,8,32,Star North Management LLC
160004,01/14/2019 05:00:00 PM,360,0.7,32,32,KOAM Taxi Association
160005,01/14/2019 05:00:00 PM,1920,0.9,76,8,Blue Ribbon Taxi Association Inc.
160006,01/14/2019 05:00:00 PM,300,0.8,32,28,Taxi Affiliation Services
160007,01/14/2019 05:00:00 PM,240,0.8,32,32,"Taxicab Insurance Agency, LLC"
160008,01/14/2019 05:00:00 PM,420,1.0,32,28,Taxi Affiliation Services
160009,01/14/2019 05:00:00 PM,360,1.1,28,28,Star North Management LLC
160010,01/14/2019 05:00:00 PM,420,1.4,32,8,Taxi Affiliation Services
160011,01/14/2019 05:00:00 PM,480,0.8,32,32,Star North Management LLC
160012,01/14/2019 05:00:00 PM,240,1.0,8,32,KOAM Taxi Association
160013,01/14/2019 05:00:00 PM,240,0.6,32,8,KOAM Taxi Association
160014,01/14/2019 05:00:00 PM,480,0.8,28,32,Taxi Affiliation Services
160015,01/14/2019 05:00:00 PM,240,0.7,32,28,Star North Management LLC
160016,01/14/2019 05:00:00 PM,360,1.0,32,28,"Taxicab Insurance Agency, LLC"
160017,01/14/2019 05:00:00 PM,420,1.0,28,8,Choice Taxi Association
160018,01/14/2019 05:00:00 PM,240,0.7,32,28,1085 - 72312 N and W Cab Co
160019,01/14/2019 05:00:00 PM,240,0.6,32,28,Taxi Affiliation Services
160020,01/14/2019 05:00:00 PM,300,0.7,8,28,Taxi Affiliation Services
160021,01/14/2019 05:00:00 PM,540,1.0,32,32,Top Cab Affiliation
160022,01/14/2019 05:00:00 PM,420,1.0,32,8,Taxi Affiliation Services
160023,01/14/2019 05:00:00 PM,420,0.8,32,32,"Taxicab Insurance Agency, LLC"
160024,01/14/2019 05:00:00 PM,420,0.9,32,8,Top Cab Affiliation
160025,01/14/2019 05:00:00 PM,300,0.8,32,28,Star North Management LLC
160026,01/14/2019 05:00:00 PM,360,0.8,32,28,"Taxicab Insurance Agency, LLC"
160027,01/14/2019 05:00:00 PM,300,0.8,32,32,Taxi Affiliation Services
160028,01/14/2019 05:00:00 PM,420,1.2,8,32,Choice Taxi Association
160029,01/14/2019 05:00:00 PM,360,1.4,8,8,Choice Taxi Association
160030,01/14/2019 05:00:00 PM,360,1.6,8,28,Star North Management LLC
160031,01/14/2019 05:00:00 PM,360,1.1,8,32,Choice Taxi Association
160032,01/14/2019 05:00:00 PM,1980,1.0,28,76,Taxi Affiliation Services
160033,01/14/2019 05:00:00 PM,300,0.8,32,8,Choice Taxi Association
160034,01/14/2019 05:00:00 PM,480,1.1,8,8,KOAM Taxi Association
160035,01/14/2019 05:00:00 PM,360,0.8,32,8,Chicago Independents
160036,01/14/2019 05:00:00 PM,240,0.7,8,8,Star North Management LLC
160037,01/14/2019 05:00:00 PM,540,1.5,32,8,Taxi Affiliation Services
160038,01/14/2019 05:00:00 PM,3300,1.3,59,76,Taxi Affiliation Services
160039,01/14/2019 05:00:00 PM,240,0.6,8,7,KOAM Taxi Association
160040,01/14/2019 05:00:00 PM,480,1.7,32,8,Star North Management LLC
160041,01/14/2019 05:00:00 PM,240,0.7,32,32,"Taxicab Insurance Agency, LLC"
160042,01/14/2019 05:00:00 PM,1920,0.7,56,24,Taxi Affiliation Services
160043,01/14/2019 05:00:00 PM,300,1.0,8,32,Star North Management LLC
160044,01/14/2019 05:00:00 PM,360,1.0,8,8,Star North Management LLC
160045,01/14/2019 05:00:00 PM,480,1.4,32,32,Choice Taxi Association
160046,01/14/2019 05:00:00 PM,559,1.12,32,8,City Service
160047,01/14/2019 05:00:00 PM,554,1.2,32,8,City Service
160048,01/14/2019 05:00:00 PM,480,1.0,8,32,Globe Taxi
160049,01/14/2019 05:00:00 PM,543,1.04,8,32,Chicago Carriage Cab Corp
160050,01/14/2019 05:00:00 PM,465,0.62,32,32,Flash Cab
160051,01/14/2019 05:00:00 PM,492,0.94,32,8,Chicago Carriage Cab Corp
160052,01/14/2019 05:00:00 PM,545,0.96,32,8,Flash Cab
160053,01/14/2019 05:00:00 PM,570,1.4,8,32,Flash Cab
160054,01/14/2019 05:00:00 PM,342,0.64,8,8,Chicago Carriage Cab Corp
160055,01/14/2019 05:00:00 PM,360,0.8,32,8,Chicago Independents
160056,01/14/2019 05:00:00 PM,563,1.29,8,8,Chicago Carriage Cab Corp
160057,01/14/2019 05:00:00 PM,2462,10.41,33,25,Flash Cab
160058,01/14/2019 05:00:00 PM,379,1.55,6,6,City Service
160059,01/14/2019 05:00:00 PM,480,1.1,8,28,Globe Taxi
160060,01/14/2019 05:00:00 PM,327,0.77,8,8,Sun Taxi
160061,01/14/2019 05:00:00 PM,335,0.74,32,32,Sun Taxi
160062,01/14/2019 05:00:00 PM,595,1.05,32,28,Chicago Carriage Cab Corp
160063,01/14/2019 05:00:00 PM,540,0.9,32,32,Medallion Leasin
160064,01/14/2019 05:00:00 PM,444,0.65,32,32,Sun Taxi
160065,01/14/2019 05:00:00 PM,420,0.7,32,32,Sun Taxi
160066,01/14/2019 05:00:00 PM,474,0.94,32,8,Patriot Taxi Dba Peace Taxi Associat
160067,01/14/2019 05:00:00 PM,478,0.96,8,8,Chicago Carriage Cab Corp
160068,01/14/2019 05:00:00 PM,385,0.82,32,32,Chicago Carriage Cab Corp
160069,01/14/2019 05:00:00 PM,422,1.31,8,8,Chicago Carriage Cab Corp
160070,01/14/2019 05:00:00 PM,433,0.98,32,8,Sun Taxi
160071,01/14/2019 05:00:00 PM,240,0.7,32,8,Medallion Leasin
160072,01/14/2019 05:00:00 PM,340,1.16,8,24,Chicago Carriage Cab Corp
160073,01/14/2019 05:00:00 PM,439,0.55,32,32,City Service
160074,01/14/2019 05:00:00 PM,465,0.81,8,32,Patriot Taxi Dba Peace Taxi Associat
160075,01/14/2019 05:00:00 PM,292,0.57,28,8,Sun Taxi
160076,01/14/2019 05:00:00 PM,412,0.54,32,8,Chicago Carriage Cab Corp
160077,01/14/2019 05:00:00 PM,480,1.0,32,8,Globe Taxi
160078,01/14/2019 05:00:00 PM,434,0.83,77,77,Flash Cab
160079,01/14/2019 05:00:00 PM,452,0.76,32,28,Sun Taxi
160080,01/14/2019 05:00:00 PM,505,1.5,32,34,Medallion Leasin
160081,01/14/2019 05:00:00 PM,472,0.68,8,8,Sun Taxi
160082,01/14/2019 05:00:00 PM,359,0.96,32,8,Chicago Carriage Cab Corp
160083,01/14/2019 05:00:00 PM,431,1.46,32,28,Chicago Carriage Cab Corp
160084,01/14/2019 05:00:00 PM,412,1.34,32,32,Chicago Carriage Cab Corp
160085,01/14/2019 05:00:00 PM,536,0.93,8,32,Sun Taxi
160086,01/14/2019 05:00:00 PM,480,0.8,28,32,Medallion Leasin
160087,01/14/2019 05:00:00 PM,420,0.6,8,8,Medallion Leasin
160088,01/14/2019 05:00:00 PM,249,0.76,8,8,City Service
160089,01/14/2019 05:00:00 PM,459,1.4,32,8,City Service
160090,01/14/2019 05:00:00 PM,540,0.9,8,32,City Service
160091,01/14/2019 05:00:00 PM,503,1.03,32,28,Chicago Carriage Cab Corp
160092,01/14/2019 05:00:00 PM,360,0.7,8,8,Chicago Independents
160093,01/14/2019 05:00:00 PM,433,1.02,32,32,Flash Cab
160094,01/14/2019 05:00:00 PM,360,0.6,32,28,Medallion Leasin
160095,01/14/2019 05:00:00 PM,399,1.06,32,28,City Service
160096,01/14/2019 05:00:00 PM,413,1.11,32,8,Flash Cab
160097,01/14/2019 05:00:00 PM,207,0.55,8,32,City Service
160098,01/14/2019 05:00:00 PM,537,1.33,28,32,Sun Taxi
160099,01/14/2019 05:00:00 PM,480,1.0,32,28,Chicago Independents
160100,01/14/2019 05:00:00 PM,503,1.17,32,32,Chicago Carriage Cab Corp
160101,01/14/2019 05:00:00 PM,212,0.66,28,28,Chicago Carriage Cab Corp
160102,01/14/2019 05:00:00 PM,360,0.6,32,32,Medallion Leasin
160103,01/14/2019 05:00:00 PM,592,1.44,32,28,Chicago Carriage Cab Corp
160104,01/14/2019 05:00:00 PM,279,0.8,32,8,Nova Taxi Affiliation Llc
