,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1700000,05/07/2019 09:45:00 AM,2043,10.18,56,28,Sun Taxi
1700001,05/07/2019 09:45:00 AM,540,1.3,28,32,Taxi Affiliation Services
1700002,05/07/2019 09:45:00 AM,420,0.6,8,8,Taxi Affiliation Services
1700003,05/07/2019 09:45:00 AM,389,0.87,3,3,Sun Taxi
1700004,05/07/2019 09:45:00 AM,360,1.1,32,8,Choice Taxi Association
1700005,05/07/2019 09:45:00 AM,480,0.8,32,32,Taxi Affiliation Services
1700006,05/07/2019 09:45:00 AM,351,0.67,32,8,Sun Taxi
1700007,05/07/2019 09:45:00 AM,322,0.63,32,32,Patriot Taxi Dba Peace Taxi Associat
1700008,05/07/2019 09:45:00 AM,240,0.7,8,32,Star North Management LLC
1700009,05/07/2019 09:45:00 AM,570,1.5,32,32,City Service
1700010,05/07/2019 09:45:00 AM,356,0.7,32,32,City Service
1700011,05/07/2019 09:45:00 AM,480,0.9,32,32,Choice Taxi Association
1700012,05/07/2019 09:45:00 AM,233,0.53,8,32,Sun Taxi
1700013,05/07/2019 09:45:00 AM,420,0.7,32,8,Taxi Affiliation Services
1700014,05/07/2019 09:45:00 AM,295,0.68,32,32,Flash Cab
1700015,05/07/2019 09:45:00 AM,540,1.1,28,32,Star North Management LLC
1700016,05/07/2019 09:45:00 AM,360,0.6,32,28,"Taxicab Insurance Agency, LLC"
1700017,05/07/2019 09:45:00 AM,424,0.76,32,32,Sun Taxi
1700018,05/07/2019 09:45:00 AM,231,0.78,32,32,Sun Taxi
1700019,05/07/2019 09:45:00 AM,518,0.74,28,28,Chicago Carriage Cab Corp
1700020,05/07/2019 09:45:00 AM,363,1.03,32,32,Chicago Carriage Cab Corp
1700021,05/07/2019 09:45:00 AM,466,1.53,8,32,City Service
1700022,05/07/2019 09:45:00 AM,309,0.6,28,8,Medallion Leasin
1700023,05/07/2019 09:45:00 AM,240,0.6,32,32,"Taxicab Insurance Agency, LLC"
1700024,05/07/2019 09:45:00 AM,377,1.11,8,7,Flash Cab
1700025,05/07/2019 09:45:00 AM,381,0.56,32,32,Sun Taxi
1700026,05/07/2019 10:00:00 AM,453,1.1,8,32,City Service
