,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1710000,05/07/2019 07:00:00 PM,420,1.2,8,32,Taxi Affiliation Services
1710001,05/07/2019 07:00:00 PM,534,1.36,8,28,Taxi Affiliation Service Yellow
1710002,05/07/2019 07:00:00 PM,420,1.34,32,8,Chicago Carriage Cab Corp
1710003,05/07/2019 07:00:00 PM,360,0.7,32,32,Taxi Affiliation Services
1710004,05/07/2019 07:00:00 PM,480,0.7,32,32,Chicago Medallion Management
1710005,05/07/2019 07:00:00 PM,3300,10.5,28,56,Medallion Leasin
1710006,05/07/2019 07:00:00 PM,3240,1.0,76,32,Blue Ribbon Taxi Association Inc.
1710007,05/07/2019 07:00:00 PM,521,1.73,32,28,Chicago Carriage Cab Corp
1710008,05/07/2019 07:00:00 PM,585,1.6,8,7,Flash Cab
1710009,05/07/2019 07:00:00 PM,3420,0.8,76,6,Taxi Affiliation Services
1710010,05/07/2019 07:00:00 PM,461,1.47,8,32,Chicago Carriage Cab Corp
1710011,05/07/2019 07:00:00 PM,417,1.1,32,8,City Service
1710012,05/07/2019 07:00:00 PM,590,1.7,32,8,Flash Cab
1710013,05/07/2019 07:00:00 PM,360,1.0,32,32,Medallion Leasin
1710014,05/07/2019 07:00:00 PM,461,1.64,32,8,City Service
1710015,05/07/2019 07:00:00 PM,540,1.66,32,32,Flash Cab
1710016,05/07/2019 07:00:00 PM,297,0.6,8,32,Medallion Leasin
1710017,05/07/2019 07:00:00 PM,540,0.8,32,28,Top Cab Affiliation
1710018,05/07/2019 07:15:00 PM,416,1.4,8,8,Checker Taxi Affiliation
1710019,05/07/2019 07:15:00 PM,420,0.9,32,28,Taxi Affiliation Services
1710020,05/07/2019 07:15:00 PM,207,0.56,32,32,Sun Taxi
1710021,05/07/2019 07:15:00 PM,3180,1.1,76,32,Taxi Affiliation Services
1710022,05/07/2019 07:15:00 PM,360,1.8,11,10,Star North Management LLC
1710023,05/07/2019 07:15:00 PM,420,1.1,32,8,Chicago Independents
1710024,05/07/2019 07:15:00 PM,422,1.8,33,28,Chicago Carriage Cab Corp
1710025,05/07/2019 07:15:00 PM,309,0.75,28,28,Chicago Carriage Cab Corp
1710026,05/07/2019 07:15:00 PM,545,1.9,32,8,Taxi Affiliation Service Yellow
1710027,05/07/2019 07:15:00 PM,300,1.0,32,28,Taxi Affiliation Services
1710028,05/07/2019 07:15:00 PM,420,1.0,32,8,Medallion Leasin
1710029,05/07/2019 07:15:00 PM,300,0.8,32,32,Choice Taxi Association
1710030,05/07/2019 07:15:00 PM,420,1.0,28,28,Taxi Affiliation Services
1710031,05/07/2019 07:15:00 PM,376,0.99,8,32,Sun Taxi
1710032,05/07/2019 07:15:00 PM,270,0.61,32,32,Sun Taxi
1710033,05/07/2019 07:15:00 PM,540,1.0,32,32,Star North Management LLC
1710034,05/07/2019 07:15:00 PM,480,1.1,32,8,Choice Taxi Association
1710035,05/07/2019 07:15:00 PM,3300,0.8,76,6,Taxi Affiliation Services
1710036,05/07/2019 07:15:00 PM,420,1.2,28,32,Taxi Affiliation Services
1710037,05/07/2019 07:15:00 PM,588,1.92,8,7,Chicago Carriage Cab Corp
1710038,05/07/2019 07:15:00 PM,459,0.83,32,32,Chicago Carriage Cab Corp
