,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1730000,05/09/2019 07:15:00 AM,358,0.96,8,32,Chicago Carriage Cab Corp
1730001,05/09/2019 07:15:00 AM,248,0.72,28,32,Taxi Affiliation Service Yellow
1730002,05/09/2019 07:15:00 AM,522,1.4,32,28,City Service
1730003,05/09/2019 07:15:00 AM,525,1.1,28,32,Medallion Leasin
1730004,05/09/2019 07:15:00 AM,562,1.4,32,28,Flash Cab
1730005,05/09/2019 07:15:00 AM,300,0.8,8,8,Medallion Leasin
1730006,05/09/2019 07:15:00 AM,360,0.8,32,8,Medallion Leasin
1730007,05/09/2019 07:15:00 AM,577,1.83,28,8,Chicago Carriage Cab Corp
1730008,05/09/2019 07:15:00 AM,194,0.59,32,28,Chicago Carriage Cab Corp
1730009,05/09/2019 07:15:00 AM,250,0.59,32,28,Blue Diamond
1730010,05/09/2019 07:15:00 AM,358,1.22,32,32,Chicago Carriage Cab Corp
1730011,05/09/2019 07:15:00 AM,302,0.78,28,8,Chicago Carriage Cab Corp
1730012,05/09/2019 07:15:00 AM,457,1.34,8,32,Flash Cab
1730013,05/09/2019 07:15:00 AM,496,1.85,8,32,Sun Taxi
1730014,05/09/2019 07:15:00 AM,483,0.7,32,32,Medallion Leasin
1730015,05/09/2019 07:15:00 AM,360,1.9,28,31,Star North Management LLC
1730016,05/09/2019 07:15:00 AM,461,1.1,8,28,Taxi Affiliation Service Yellow
1730017,05/09/2019 07:15:00 AM,329,0.83,28,32,Chicago Carriage Cab Corp
1730018,05/09/2019 07:15:00 AM,544,1.5,8,32,Flash Cab
1730019,05/09/2019 07:15:00 AM,368,0.98,28,28,Nova Taxi Affiliation Llc
1730020,05/09/2019 07:15:00 AM,461,1.78,33,32,Chicago Carriage Cab Corp
1730021,05/09/2019 07:15:00 AM,306,0.6,8,8,City Service
1730022,05/09/2019 07:15:00 AM,410,1.3,32,8,Chicago Independents
1730023,05/09/2019 07:15:00 AM,214,0.64,32,32,City Service
1730024,05/09/2019 07:15:00 AM,453,1.2,32,32,Setare Inc
1730025,05/09/2019 07:15:00 AM,373,1.28,28,32,Chicago Carriage Cab Corp
1730026,05/09/2019 07:15:00 AM,384,0.7,8,32,Chicago Carriage Cab Corp
1730027,05/09/2019 07:15:00 AM,236,0.78,32,32,Chicago Carriage Cab Corp
1730028,05/09/2019 07:15:00 AM,469,1.63,8,32,Sun Taxi
1730029,05/09/2019 07:15:00 AM,353,1.34,28,8,Chicago Carriage Cab Corp
1730030,05/09/2019 07:15:00 AM,480,1.8,8,32,Medallion Leasin
1730031,05/09/2019 07:15:00 AM,226,0.61,8,32,Sun Taxi
1730032,05/09/2019 07:15:00 AM,487,1.68,33,32,Flash Cab
1730033,05/09/2019 07:15:00 AM,403,0.91,28,32,Chicago Carriage Cab Corp
1730034,05/09/2019 07:15:00 AM,470,1.39,32,28,Flash Cab
1730035,05/09/2019 07:15:00 AM,269,0.88,28,32,City Service
1730036,05/09/2019 07:15:00 AM,2167,10.09,56,28,Chicago Carriage Cab Corp
1730037,05/09/2019 07:15:00 AM,299,0.77,28,28,Sun Taxi
1730038,05/09/2019 07:15:00 AM,410,0.75,32,32,City Service
1730039,05/09/2019 07:15:00 AM,506,1.71,8,32,Flash Cab
1730040,05/09/2019 07:15:00 AM,299,0.76,28,32,Chicago Carriage Cab Corp
1730041,05/09/2019 07:15:00 AM,490,1.3,28,32,Nova Taxi Affiliation Llc
1730042,05/09/2019 07:15:00 AM,240,0.84,32,8,Sun Taxi
1730043,05/09/2019 07:15:00 AM,361,0.58,8,8,Patriot Taxi Dba Peace Taxi Associat
1730044,05/09/2019 07:15:00 AM,498,1.77,32,8,24 Seven Taxi
1730045,05/09/2019 07:15:00 AM,398,1.1,28,32,Medallion Leasin
1730046,05/09/2019 07:15:00 AM,599,1.8,8,28,Flash Cab
1730047,05/09/2019 07:15:00 AM,519,1.06,8,8,Sun Taxi
1730048,05/09/2019 07:15:00 AM,571,1.55,32,8,Chicago Carriage Cab Corp
1730049,05/09/2019 07:15:00 AM,540,1.5,8,32,Medallion Leasin
1730050,05/09/2019 07:15:00 AM,491,1.5,8,32,Taxi Affiliation Service Yellow
1730051,05/09/2019 07:15:00 AM,480,1.3,28,32,Medallion Leasin
1730052,05/09/2019 07:15:00 AM,300,0.7,8,8,"Taxicab Insurance Agency, LLC"
1730053,05/09/2019 07:15:00 AM,300,0.9,28,32,Medallion Leasin
1730054,05/09/2019 07:15:00 AM,338,1.11,32,8,Nova Taxi Affiliation Llc
1730055,05/09/2019 07:15:00 AM,300,0.8,28,32,"Taxicab Insurance Agency, LLC"
1730056,05/09/2019 07:15:00 AM,410,1.12,8,32,City Service
1730057,05/09/2019 07:15:00 AM,398,0.85,28,8,Nova Taxi Affiliation Llc
1730058,05/09/2019 07:15:00 AM,360,1.2,32,8,Medallion Leasin
1730059,05/09/2019 07:15:00 AM,284,0.66,28,28,Chicago Carriage Cab Corp
1730060,05/09/2019 07:15:00 AM,240,1.2,8,32,Taxi Affiliation Services
1730061,05/09/2019 07:15:00 AM,480,1.61,8,8,City Service
1730062,05/09/2019 07:15:00 AM,240,1.0,8,2,Medallion Leasin
1730063,05/09/2019 07:15:00 AM,518,1.7,28,8,Medallion Leasin
1730064,05/09/2019 07:15:00 AM,304,0.97,32,8,Patriot Taxi Dba Peace Taxi Associat
1730065,05/09/2019 07:15:00 AM,288,0.65,32,8,Sun Taxi
1730066,05/09/2019 07:15:00 AM,456,1.03,28,24,Nova Taxi Affiliation Llc
1730067,05/09/2019 07:15:00 AM,252,0.8,28,32,Medallion Leasin
1730068,05/09/2019 07:15:00 AM,480,1.17,28,32,Nova Taxi Affiliation Llc
1730069,05/09/2019 07:15:00 AM,370,0.81,28,32,Sun Taxi
1730070,05/09/2019 07:15:00 AM,234,0.73,32,28,Sun Taxi
1730071,05/09/2019 07:15:00 AM,341,1.14,8,8,Flash Cab
1730072,05/09/2019 07:15:00 AM,451,1.35,32,8,Sun Taxi
1730073,05/09/2019 07:15:00 AM,420,1.3,28,32,Medallion Leasin
1730074,05/09/2019 07:15:00 AM,360,1.01,32,32,Flash Cab
1730075,05/09/2019 07:15:00 AM,363,0.98,8,32,Sun Taxi
1730076,05/09/2019 07:15:00 AM,480,1.3,8,32,Choice Taxi Association
1730077,05/09/2019 07:15:00 AM,232,0.51,28,32,Flash Cab
1730078,05/09/2019 07:15:00 AM,323,1.05,28,32,City Service
1730079,05/09/2019 07:15:00 AM,509,1.33,32,8,Flash Cab
1730080,05/09/2019 07:15:00 AM,304,0.63,8,8,Flash Cab
1730081,05/09/2019 07:15:00 AM,563,1.37,8,32,24 Seven Taxi
1730082,05/09/2019 07:15:00 AM,323,1.05,32,32,Sun Taxi
1730083,05/09/2019 07:15:00 AM,315,0.92,32,32,Sun Taxi
1730084,05/09/2019 07:15:00 AM,527,1.2,28,24,Flash Cab
1730085,05/09/2019 07:15:00 AM,438,1.31,8,32,Nova Taxi Affiliation Llc
1730086,05/09/2019 07:15:00 AM,205,0.6,8,8,Medallion Leasin
1730087,05/09/2019 07:15:00 AM,252,0.93,28,32,City Service
1730088,05/09/2019 07:15:00 AM,420,1.1,32,8,Medallion Leasin
1730089,05/09/2019 07:15:00 AM,459,1.7,7,22,Chicago Carriage Cab Corp
1730090,05/09/2019 07:15:00 AM,534,1.7,28,8,Medallion Leasin
1730091,05/09/2019 07:15:00 AM,272,0.99,32,32,Chicago Carriage Cab Corp
1730092,05/09/2019 07:15:00 AM,214,0.59,28,28,City Service
1730093,05/09/2019 07:15:00 AM,3209,10.38,66,8,Nova Taxi Affiliation Llc
1730094,05/09/2019 07:15:00 AM,420,1.3,8,8,Medallion Leasin
1730095,05/09/2019 07:15:00 AM,331,0.51,28,32,Sun Taxi
1730096,05/09/2019 07:15:00 AM,527,1.78,8,28,Sun Taxi
1730097,05/09/2019 07:15:00 AM,519,1.18,28,8,City Service
1730098,05/09/2019 07:15:00 AM,579,1.77,8,32,Sun Taxi
1730099,05/09/2019 07:15:00 AM,420,1.5,8,32,5874 - 73628 Sergey Cab Corp.
1730100,05/09/2019 07:15:00 AM,364,1.0,32,8,Flash Cab
1730101,05/09/2019 07:15:00 AM,216,0.67,28,32,City Service
1730102,05/09/2019 07:15:00 AM,364,0.9,28,32,Sun Taxi
1730103,05/09/2019 07:15:00 AM,504,1.99,32,33,Chicago Carriage Cab Corp
1730104,05/09/2019 07:15:00 AM,195,0.72,32,32,City Service
1730105,05/09/2019 07:15:00 AM,349,0.88,28,32,Chicago Carriage Cab Corp
1730106,05/09/2019 07:15:00 AM,290,0.83,1,1,Chicago Carriage Cab Corp
1730107,05/09/2019 07:15:00 AM,557,1.13,8,32,City Service
1730108,05/09/2019 07:15:00 AM,341,1.1,32,32,Taxi Affiliation Service Yellow
