,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1780000,05/13/2019 07:45:00 AM,420,1.2,8,8,Medallion Leasin
1780001,05/13/2019 07:45:00 AM,423,1.2,8,32,Setare Inc
1780002,05/13/2019 07:45:00 AM,300,1.3,77,1,Taxi Affiliation Services
1780003,05/13/2019 07:45:00 AM,480,1.2,77,77,Medallion Leasin
1780004,05/13/2019 07:45:00 AM,465,1.1,32,8,Sun Taxi
1780005,05/13/2019 07:45:00 AM,1860,10.9,56,33,312 Medallion Management Corp
1780006,05/13/2019 07:45:00 AM,328,1.26,6,7,Flash Cab
1780007,05/13/2019 07:45:00 AM,470,1.33,8,8,Sun Taxi
1780008,05/13/2019 07:45:00 AM,299,0.91,32,8,Sun Taxi
1780009,05/13/2019 07:45:00 AM,548,1.15,32,8,City Service
1780010,05/13/2019 07:45:00 AM,250,0.62,8,32,Flash Cab
1780011,05/13/2019 07:45:00 AM,393,1.23,8,8,Chicago Carriage Cab Corp
1780012,05/13/2019 07:45:00 AM,349,1.11,28,28,Sun Taxi
1780013,05/13/2019 07:45:00 AM,413,0.9,8,8,City Service
1780014,05/13/2019 07:45:00 AM,538,1.26,8,8,City Service
1780015,05/13/2019 07:45:00 AM,332,1.2,1,77,Flash Cab
1780016,05/13/2019 07:45:00 AM,300,0.9,8,8,Medallion Leasin
1780017,05/13/2019 07:45:00 AM,228,0.62,8,32,Chicago Carriage Cab Corp
1780018,05/13/2019 07:45:00 AM,247,0.65,32,28,Chicago Carriage Cab Corp
1780019,05/13/2019 07:45:00 AM,215,0.55,28,28,Flash Cab
1780020,05/13/2019 07:45:00 AM,290,0.57,32,32,Sun Taxi
1780021,05/13/2019 07:45:00 AM,300,0.9,32,28,Medallion Leasin
1780022,05/13/2019 07:45:00 AM,461,1.24,28,8,Chicago Carriage Cab Corp
1780023,05/13/2019 07:45:00 AM,423,0.9,32,32,Taxi Affiliation Service Yellow
1780024,05/13/2019 07:45:00 AM,348,1.3,1,1,Checker Taxi Affiliation
1780025,05/13/2019 07:45:00 AM,345,1.1,7,7,Chicago Independents
1780026,05/13/2019 07:45:00 AM,289,0.86,28,8,Chicago Carriage Cab Corp
1780027,05/13/2019 07:45:00 AM,466,1.39,28,32,Chicago Carriage Cab Corp
1780028,05/13/2019 07:45:00 AM,454,1.12,28,32,Taxi Affiliation Service Yellow
1780029,05/13/2019 07:45:00 AM,356,0.84,28,8,Sun Taxi
1780030,05/13/2019 08:00:00 AM,433,0.7,32,32,Nova Taxi Affiliation Llc
1780031,05/13/2019 08:00:00 AM,553,1.69,8,8,Chicago Carriage Cab Corp
1780032,05/13/2019 08:00:00 AM,226,0.58,28,28,Chicago Carriage Cab Corp
1780033,05/13/2019 08:00:00 AM,322,0.7,28,32,Medallion Leasin
1780034,05/13/2019 08:00:00 AM,390,0.92,28,32,Chicago Carriage Cab Corp
1780035,05/13/2019 08:00:00 AM,264,0.75,28,32,Chicago Carriage Cab Corp
1780036,05/13/2019 08:00:00 AM,324,0.77,8,8,City Service
1780037,05/13/2019 08:00:00 AM,324,1.4,8,32,Setare Inc
1780038,05/13/2019 08:00:00 AM,240,1.1,28,32,Star North Management LLC
1780039,05/13/2019 08:00:00 AM,545,1.11,32,28,Sun Taxi
1780040,05/13/2019 08:00:00 AM,3420,1.1,8,76,Blue Ribbon Taxi Association Inc.
1780041,05/13/2019 08:00:00 AM,299,0.79,8,8,Sun Taxi
1780042,05/13/2019 08:00:00 AM,480,1.8,28,8,Taxi Affiliation Services
1780043,05/13/2019 08:00:00 AM,481,1.07,33,32,Chicago Carriage Cab Corp
1780044,05/13/2019 08:00:00 AM,325,0.6,28,28,Flash Cab
1780045,05/13/2019 08:00:00 AM,374,0.94,28,28,Sun Taxi
1780046,05/13/2019 08:00:00 AM,241,0.61,3,3,Sun Taxi
1780047,05/13/2019 08:00:00 AM,240,0.8,32,8,Choice Taxi Association
1780048,05/13/2019 08:00:00 AM,300,1.0,28,32,Taxi Affiliation Services
1780049,05/13/2019 08:00:00 AM,356,0.89,32,24,Sun Taxi
1780050,05/13/2019 08:00:00 AM,516,1.3,32,28,Chicago Independents
1780051,05/13/2019 08:00:00 AM,437,1.15,28,32,Nova Taxi Affiliation Llc
1780052,05/13/2019 08:00:00 AM,3240,0.9,7,76,Blue Ribbon Taxi Association Inc.
1780053,05/13/2019 08:00:00 AM,480,1.6,24,7,Taxi Affiliation Services
1780054,05/13/2019 08:00:00 AM,443,1.14,28,32,Chicago Carriage Cab Corp
1780055,05/13/2019 08:00:00 AM,240,0.9,32,8,"Taxicab Insurance Agency, LLC"
1780056,05/13/2019 08:00:00 AM,360,1.0,28,32,Taxi Affiliation Services
1780057,05/13/2019 08:00:00 AM,540,1.2,28,32,Medallion Leasin
1780058,05/13/2019 08:00:00 AM,241,0.6,32,32,Medallion Leasin
1780059,05/13/2019 08:00:00 AM,360,0.7,8,8,Chicago Medallion Management
1780060,05/13/2019 08:00:00 AM,519,1.65,28,32,Flash Cab
1780061,05/13/2019 08:00:00 AM,300,0.7,28,32,Star North Management LLC
1780062,05/13/2019 08:00:00 AM,438,1.43,8,32,Flash Cab
1780063,05/13/2019 08:00:00 AM,508,1.36,28,32,Chicago Carriage Cab Corp
1780064,05/13/2019 08:00:00 AM,494,1.43,28,28,Flash Cab
1780065,05/13/2019 08:00:00 AM,240,0.6,32,8,Chicago Medallion Management
1780066,05/13/2019 08:00:00 AM,480,0.97,28,32,Chicago Carriage Cab Corp
1780067,05/13/2019 08:00:00 AM,3120,1.0,32,76,Taxi Affiliation Services
1780068,05/13/2019 08:00:00 AM,480,0.94,8,32,Sun Taxi
1780069,05/13/2019 08:00:00 AM,420,0.7,28,8,Medallion Leasin
1780070,05/13/2019 08:00:00 AM,360,1.1,32,32,Star North Management LLC
1780071,05/13/2019 08:00:00 AM,393,1.1,8,32,Medallion Leasin
1780072,05/13/2019 08:00:00 AM,461,1.1,8,8,City Service
1780073,05/13/2019 08:00:00 AM,4020,1.1,76,8,Blue Ribbon Taxi Association Inc.
1780074,05/13/2019 08:00:00 AM,204,0.67,28,28,Sun Taxi
1780075,05/13/2019 08:00:00 AM,383,1.3,28,32,Medallion Leasin
1780076,05/13/2019 08:00:00 AM,360,1.2,8,32,Chicago Independents
1780077,05/13/2019 08:00:00 AM,195,0.98,8,8,City Service
1780078,05/13/2019 08:00:00 AM,352,1.13,32,8,Chicago Carriage Cab Corp
1780079,05/13/2019 08:00:00 AM,420,1.5,28,28,Star North Management LLC
1780080,05/13/2019 08:00:00 AM,416,1.1,28,32,Chicago Carriage Cab Corp
1780081,05/13/2019 08:00:00 AM,588,1.5,8,32,City Service
1780082,05/13/2019 08:00:00 AM,458,1.27,8,8,Chicago Carriage Cab Corp
1780083,05/13/2019 08:00:00 AM,420,0.9,28,32,Medallion Leasin
1780084,05/13/2019 08:00:00 AM,4020,1.9,56,76,Taxi Affiliation Services
1780085,05/13/2019 08:00:00 AM,480,1.3,32,8,Taxi Affiliation Services
1780086,05/13/2019 08:00:00 AM,297,0.71,32,32,Chicago Carriage Cab Corp
1780087,05/13/2019 08:00:00 AM,360,1.1,8,32,Top Cab Affiliation
1780088,05/13/2019 08:00:00 AM,420,0.7,28,32,Medallion Leasin
1780089,05/13/2019 08:00:00 AM,500,1.27,32,8,Patriot Taxi Dba Peace Taxi Associat
1780090,05/13/2019 08:00:00 AM,317,0.9,28,28,Medallion Leasin
1780091,05/13/2019 08:00:00 AM,446,1.24,28,32,Chicago Carriage Cab Corp
1780092,05/13/2019 08:00:00 AM,378,0.6,28,32,Setare Inc
1780093,05/13/2019 08:00:00 AM,408,1.36,32,32,City Service
1780094,05/13/2019 08:00:00 AM,545,0.87,32,8,Sun Taxi
1780095,05/13/2019 08:00:00 AM,393,0.8,28,32,Chicago Carriage Cab Corp
1780096,05/13/2019 08:00:00 AM,448,0.8,28,32,Chicago Taxicab
1780097,05/13/2019 08:00:00 AM,438,0.86,32,32,Chicago Carriage Cab Corp
1780098,05/13/2019 08:00:00 AM,401,0.83,28,32,Chicago Carriage Cab Corp
1780099,05/13/2019 08:00:00 AM,2299,10.41,56,28,Chicago Carriage Cab Corp
1780100,05/13/2019 08:00:00 AM,420,1.4,28,8,Taxi Affiliation Services
1780101,05/13/2019 08:00:00 AM,307,0.54,28,32,Flash Cab
1780102,05/13/2019 08:00:00 AM,391,0.8,28,32,Flash Cab
1780103,05/13/2019 08:00:00 AM,226,0.77,28,32,Chicago Carriage Cab Corp
1780104,05/13/2019 08:00:00 AM,467,0.78,28,32,Chicago Carriage Cab Corp
1780105,05/13/2019 08:00:00 AM,573,1.31,8,32,24 Seven Taxi
1780106,05/13/2019 08:00:00 AM,270,0.71,28,32,Sun Taxi
1780107,05/13/2019 08:00:00 AM,347,0.75,28,32,Nova Taxi Affiliation Llc
1780108,05/13/2019 08:00:00 AM,540,1.2,28,32,Medallion Leasin
1780109,05/13/2019 08:00:00 AM,312,0.79,28,32,Chicago Carriage Cab Corp
1780110,05/13/2019 08:00:00 AM,423,0.7,28,32,Medallion Leasin
1780111,05/13/2019 08:00:00 AM,300,0.8,28,32,"Taxicab Insurance Agency, LLC"
1780112,05/13/2019 08:00:00 AM,442,1.0,28,32,Medallion Leasin
1780113,05/13/2019 08:00:00 AM,480,1.9,8,32,"Taxicab Insurance Agency, LLC"
1780114,05/13/2019 08:00:00 AM,360,1.0,28,8,Choice Taxi Association
1780115,05/13/2019 08:00:00 AM,449,1.0,8,8,Chicago Independents
1780116,05/13/2019 08:00:00 AM,540,1.9,28,8,Taxi Affiliation Services
1780117,05/13/2019 08:00:00 AM,540,1.9,8,32,Medallion Leasin
1780118,05/13/2019 08:00:00 AM,433,1.43,40,68,Taxi Affiliation Service Yellow
1780119,05/13/2019 08:00:00 AM,480,1.3,32,32,Taxi Affiliation Services
1780120,05/13/2019 08:00:00 AM,555,1.24,28,32,Chicago Carriage Cab Corp
1780121,05/13/2019 08:00:00 AM,528,1.15,28,32,Chicago Carriage Cab Corp
1780122,05/13/2019 08:00:00 AM,240,0.6,32,28,"Taxicab Insurance Agency, LLC"
1780123,05/13/2019 08:00:00 AM,198,0.64,28,32,Nova Taxi Affiliation Llc
1780124,05/13/2019 08:00:00 AM,437,0.8,28,32,Medallion Leasin
1780125,05/13/2019 08:00:00 AM,242,0.78,32,28,Flash Cab
1780126,05/13/2019 08:00:00 AM,307,1.16,28,32,Chicago Carriage Cab Corp
1780127,05/13/2019 08:00:00 AM,508,0.91,28,32,Chicago Carriage Cab Corp
1780128,05/13/2019 08:00:00 AM,420,1.4,8,8,Choice Taxi Association
1780129,05/13/2019 08:00:00 AM,3600,1.0,8,76,Blue Ribbon Taxi Association Inc.
1780130,05/13/2019 08:00:00 AM,240,0.9,32,32,Medallion Leasin
1780131,05/13/2019 08:00:00 AM,191,0.63,32,8,Chicago Carriage Cab Corp
1780132,05/13/2019 08:00:00 AM,3540,1.1,76,8,Blue Ribbon Taxi Association Inc.
1780133,05/13/2019 08:00:00 AM,240,0.8,6,6,Taxi Affiliation Services
1780134,05/13/2019 08:00:00 AM,480,1.8,8,32,Star North Management LLC
1780135,05/13/2019 08:00:00 AM,278,0.64,32,8,Chicago Carriage Cab Corp
1780136,05/13/2019 08:00:00 AM,554,1.5,8,32,Medallion Leasin
1780137,05/13/2019 08:00:00 AM,360,0.8,28,8,Taxi Affiliation Services
1780138,05/13/2019 08:00:00 AM,328,0.8,32,28,Chicago Taxicab
1780139,05/13/2019 08:00:00 AM,300,0.9,32,28,KOAM Taxi Association
1780140,05/13/2019 08:00:00 AM,561,1.58,8,32,Sun Taxi
1780141,05/13/2019 08:00:00 AM,480,1.3,28,32,Medallion Leasin
1780142,05/13/2019 08:00:00 AM,480,1.7,28,32,"Taxicab Insurance Agency, LLC"
1780143,05/13/2019 08:00:00 AM,300,1.0,32,8,Taxi Affiliation Services
1780144,05/13/2019 08:00:00 AM,445,1.02,28,32,Chicago Carriage Cab Corp
1780145,05/13/2019 08:00:00 AM,368,0.63,8,32,24 Seven Taxi
1780146,05/13/2019 08:00:00 AM,540,1.4,8,8,Taxi Affiliation Services
1780147,05/13/2019 08:00:00 AM,276,0.8,32,32,Chicago Independents
1780148,05/13/2019 08:00:00 AM,393,1.1,28,32,Taxi Affiliation Service Yellow
1780149,05/13/2019 08:00:00 AM,346,0.57,28,32,Flash Cab
1780150,05/13/2019 08:00:00 AM,359,0.63,28,32,Nova Taxi Affiliation Llc
1780151,05/13/2019 08:00:00 AM,476,1.0,28,32,Flash Cab
1780152,05/13/2019 08:00:00 AM,349,1.07,8,32,Flash Cab
1780153,05/13/2019 08:00:00 AM,540,1.7,28,8,Medallion Leasin
1780154,05/13/2019 08:00:00 AM,264,0.6,3,3,Sun Taxi
1780155,05/13/2019 08:00:00 AM,462,1.11,8,32,24 Seven Taxi
1780156,05/13/2019 08:00:00 AM,240,0.8,28,28,Medallion Leasin
1780157,05/13/2019 08:00:00 AM,420,1.3,8,32,Medallion Leasin
1780158,05/13/2019 08:00:00 AM,491,1.85,8,32,Patriot Taxi Dba Peace Taxi Associat
1780159,05/13/2019 08:00:00 AM,419,1.0,8,8,Medallion Leasin
1780160,05/13/2019 08:00:00 AM,454,1.62,32,32,Nova Taxi Affiliation Llc
1780161,05/13/2019 08:00:00 AM,420,1.2,32,32,Taxi Affiliation Services
1780162,05/13/2019 08:00:00 AM,227,0.51,32,32,City Service
1780163,05/13/2019 08:00:00 AM,321,0.6,28,8,City Service
1780164,05/13/2019 08:00:00 AM,461,1.27,33,28,Chicago Carriage Cab Corp
1780165,05/13/2019 08:00:00 AM,420,1.5,28,32,Taxi Affiliation Services
1780166,05/13/2019 08:00:00 AM,484,1.61,8,8,Sun Taxi
1780167,05/13/2019 08:00:00 AM,514,1.34,28,28,Flash Cab
1780168,05/13/2019 08:00:00 AM,540,1.7,8,28,Star North Management LLC
1780169,05/13/2019 08:00:00 AM,360,1.0,28,8,"Taxicab Insurance Agency, LLC"
1780170,05/13/2019 08:00:00 AM,237,0.56,28,28,Sun Taxi
1780171,05/13/2019 08:00:00 AM,372,0.71,28,32,Chicago Carriage Cab Corp
1780172,05/13/2019 08:00:00 AM,454,1.18,28,32,Chicago Carriage Cab Corp
1780173,05/13/2019 08:00:00 AM,515,1.17,8,8,Sun Taxi
1780174,05/13/2019 08:00:00 AM,420,1.6,8,28,Medallion Leasin
1780175,05/13/2019 08:00:00 AM,360,0.8,8,8,Medallion Leasin
1780176,05/13/2019 08:00:00 AM,308,0.79,32,28,Chicago Carriage Cab Corp
1780177,05/13/2019 08:00:00 AM,512,1.45,28,32,City Service
1780178,05/13/2019 08:00:00 AM,549,0.85,8,8,Sun Taxi
1780179,05/13/2019 08:00:00 AM,480,0.8,28,32,Medallion Leasin
1780180,05/13/2019 08:00:00 AM,540,1.7,32,8,Medallion Leasin
1780181,05/13/2019 08:00:00 AM,255,0.97,8,8,Sun Taxi
1780182,05/13/2019 08:00:00 AM,360,1.17,8,32,Nova Taxi Affiliation Llc
1780183,05/13/2019 08:00:00 AM,480,1.1,28,32,Medallion Leasin
1780184,05/13/2019 08:00:00 AM,445,1.34,8,32,Flash Cab
1780185,05/13/2019 08:00:00 AM,287,0.6,32,32,City Service
1780186,05/13/2019 08:00:00 AM,495,1.09,28,32,Chicago Carriage Cab Corp
1780187,05/13/2019 08:00:00 AM,360,1.4,8,8,Taxi Affiliation Services
1780188,05/13/2019 08:00:00 AM,426,1.14,28,32,Sun Taxi
1780189,05/13/2019 08:00:00 AM,480,1.4,8,8,Medallion Leasin
1780190,05/13/2019 08:00:00 AM,563,1.41,28,8,Patriot Taxi Dba Peace Taxi Associat
1780191,05/13/2019 08:00:00 AM,550,1.33,32,8,Flash Cab
1780192,05/13/2019 08:00:00 AM,510,0.69,8,32,Sun Taxi
1780193,05/13/2019 08:00:00 AM,300,1.2,28,32,"Taxicab Insurance Agency, LLC"
1780194,05/13/2019 08:00:00 AM,300,0.8,28,32,Taxi Affiliation Services
1780195,05/13/2019 08:00:00 AM,300,1.7,8,32,Star North Management LLC
1780196,05/13/2019 08:00:00 AM,540,1.7,28,8,Taxi Affiliation Services
1780197,05/13/2019 08:00:00 AM,574,1.94,3,6,Flash Cab
1780198,05/13/2019 08:00:00 AM,537,1.13,32,28,Chicago Carriage Cab Corp
1780199,05/13/2019 08:00:00 AM,553,1.4,28,32,Medallion Leasin
1780200,05/13/2019 08:00:00 AM,577,0.77,28,32,Flash Cab
