,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1800000,05/14/2019 02:15:00 PM,475,1.1,8,8,City Service
1800001,05/14/2019 02:15:00 PM,352,0.74,32,32,Sun Taxi
1800002,05/14/2019 02:15:00 PM,360,1.0,8,32,Taxi Affiliation Services
1800003,05/14/2019 02:15:00 PM,2189,10.19,15,28,Flash Cab
1800004,05/14/2019 02:15:00 PM,427,1.3,8,8,Taxi Affiliation Service Yellow
1800005,05/14/2019 02:15:00 PM,459,1.02,32,32,Chicago Carriage Cab Corp
1800006,05/14/2019 02:15:00 PM,207,0.62,8,32,City Service
1800007,05/14/2019 02:15:00 PM,428,1.5,32,8,Medallion Leasin
1800008,05/14/2019 02:15:00 PM,203,0.76,8,8,Chicago Carriage Cab Corp
1800009,05/14/2019 02:15:00 PM,355,0.8,8,28,Sun Taxi
1800010,05/14/2019 02:15:00 PM,471,1.28,28,32,Sun Taxi
1800011,05/14/2019 02:15:00 PM,480,1.8,56,56,Choice Taxi Association
1800012,05/14/2019 02:15:00 PM,300,0.7,32,28,Taxi Affiliation Services
1800013,05/14/2019 02:15:00 PM,290,0.67,8,32,Chicago Carriage Cab Corp
1800014,05/14/2019 02:15:00 PM,544,1.02,8,32,Flash Cab
1800015,05/14/2019 02:15:00 PM,305,0.91,32,32,Chicago Carriage Cab Corp
1800016,05/14/2019 02:15:00 PM,351,0.86,32,32,Flash Cab
1800017,05/14/2019 02:15:00 PM,496,1.12,32,8,Chicago Carriage Cab Corp
1800018,05/14/2019 02:15:00 PM,382,0.94,32,32,Chicago Carriage Cab Corp
1800019,05/14/2019 02:15:00 PM,541,0.95,32,28,Flash Cab
1800020,05/14/2019 02:15:00 PM,343,0.89,28,32,Patriot Taxi Dba Peace Taxi Associat
1800021,05/14/2019 02:15:00 PM,517,1.58,32,8,Sun Taxi
1800022,05/14/2019 02:15:00 PM,573,1.05,8,32,Flash Cab
1800023,05/14/2019 02:15:00 PM,572,1.68,28,28,Flash Cab
1800024,05/14/2019 02:15:00 PM,420,1.2,8,8,Choice Taxi Association
1800025,05/14/2019 02:15:00 PM,373,0.83,32,32,Flash Cab
1800026,05/14/2019 02:15:00 PM,415,0.87,8,8,Chicago Carriage Cab Corp
1800027,05/14/2019 02:15:00 PM,360,1.0,28,8,Taxi Affiliation Services
1800028,05/14/2019 02:15:00 PM,540,1.5,32,8,"Taxicab Insurance Agency, LLC"
1800029,05/14/2019 02:15:00 PM,356,0.84,8,8,Patriot Taxi Dba Peace Taxi Associat
1800030,05/14/2019 02:15:00 PM,440,1.41,8,28,Flash Cab
1800031,05/14/2019 02:15:00 PM,300,0.8,28,32,Chicago Medallion Management
1800032,05/14/2019 02:15:00 PM,208,0.53,32,32,City Service
1800033,05/14/2019 02:15:00 PM,456,1.87,33,32,Flash Cab
1800034,05/14/2019 02:15:00 PM,525,1.08,32,28,Sun Taxi
1800035,05/14/2019 02:15:00 PM,331,1.05,32,28,City Service
1800036,05/14/2019 02:15:00 PM,325,1.07,32,32,Chicago Carriage Cab Corp
1800037,05/14/2019 02:15:00 PM,420,1.0,8,32,Taxi Affiliation Services
1800038,05/14/2019 02:15:00 PM,388,1.18,8,32,Chicago Carriage Cab Corp
1800039,05/14/2019 02:15:00 PM,540,1.8,8,28,Taxi Affiliation Services
1800040,05/14/2019 02:15:00 PM,424,1.22,3,77,Flash Cab
1800041,05/14/2019 02:15:00 PM,540,1.2,28,8,Chicago Medallion Management
1800042,05/14/2019 02:15:00 PM,480,1.2,32,8,Choice Taxi Association
1800043,05/14/2019 02:15:00 PM,420,1.5,8,32,Choice Taxi Association
1800044,05/14/2019 02:15:00 PM,240,0.6,28,32,Taxi Affiliation Services
1800045,05/14/2019 02:15:00 PM,243,0.54,8,8,24 Seven Taxi
1800046,05/14/2019 02:15:00 PM,403,1.03,8,8,Chicago Carriage Cab Corp
1800047,05/14/2019 02:15:00 PM,455,1.12,32,8,Flash Cab
1800048,05/14/2019 02:15:00 PM,540,1.2,8,7,Medallion Leasin
1800049,05/14/2019 02:15:00 PM,557,1.6,8,28,Checker Taxi Affiliation
1800050,05/14/2019 02:15:00 PM,500,1.29,8,8,5 Star Taxi
1800051,05/14/2019 02:15:00 PM,384,0.9,32,28,City Service
1800052,05/14/2019 02:15:00 PM,266,0.6,32,32,Setare Inc
1800053,05/14/2019 02:15:00 PM,430,1.19,8,32,Chicago Carriage Cab Corp
1800054,05/14/2019 02:15:00 PM,344,0.8,8,32,Blue Diamond
1800055,05/14/2019 02:15:00 PM,377,1.5,8,32,Chicago Taxicab
1800056,05/14/2019 02:15:00 PM,437,0.89,32,8,Flash Cab
1800057,05/14/2019 02:15:00 PM,349,0.97,32,32,Sun Taxi
1800058,05/14/2019 02:15:00 PM,329,0.67,8,8,Chicago Carriage Cab Corp
1800059,05/14/2019 02:15:00 PM,480,1.1,32,8,Choice Taxi Association
1800060,05/14/2019 02:15:00 PM,275,0.66,32,32,Sun Taxi
1800061,05/14/2019 02:15:00 PM,441,1.22,6,6,Sun Taxi
1800062,05/14/2019 02:15:00 PM,360,0.8,8,32,Star North Management LLC
1800063,05/14/2019 02:15:00 PM,282,0.66,8,32,Sun Taxi
1800064,05/14/2019 02:15:00 PM,406,1.65,32,32,Flash Cab
1800065,05/14/2019 02:15:00 PM,406,0.61,32,32,Flash Cab
1800066,05/14/2019 02:15:00 PM,212,0.51,32,8,Sun Taxi
1800067,05/14/2019 02:15:00 PM,420,1.2,32,8,Taxi Affiliation Services
1800068,05/14/2019 02:15:00 PM,3360,1.0,76,32,Taxi Affiliation Services
1800069,05/14/2019 02:15:00 PM,2520,1.0,76,8,Taxi Affiliation Services
1800070,05/14/2019 02:15:00 PM,384,0.83,8,32,Flash Cab
1800071,05/14/2019 02:15:00 PM,360,1.6,32,33,Taxi Affiliation Services
1800072,05/14/2019 02:15:00 PM,302,0.6,32,28,Chicago Independents
1800073,05/14/2019 02:15:00 PM,540,1.0,32,8,"Taxicab Insurance Agency, LLC"
1800074,05/14/2019 02:15:00 PM,540,1.04,32,8,City Service
1800075,05/14/2019 02:15:00 PM,430,1.06,8,24,Flash Cab
1800076,05/14/2019 02:15:00 PM,267,1.03,59,59,Sun Taxi
1800077,05/14/2019 02:15:00 PM,229,0.51,32,28,Sun Taxi
1800078,05/14/2019 02:15:00 PM,530,1.61,32,8,Chicago Carriage Cab Corp
1800079,05/14/2019 02:15:00 PM,268,0.6,8,8,Medallion Leasin
1800080,05/14/2019 02:15:00 PM,478,0.8,28,32,Medallion Leasin
1800081,05/14/2019 02:15:00 PM,490,1.03,32,28,Sun Taxi
1800082,05/14/2019 02:15:00 PM,508,1.39,32,8,Sun Taxi
1800083,05/14/2019 02:15:00 PM,300,0.6,28,28,Taxi Affiliation Services
1800084,05/14/2019 02:15:00 PM,540,1.5,28,8,Medallion Leasin
1800085,05/14/2019 02:15:00 PM,420,1.0,32,28,Taxi Affiliation Services
1800086,05/14/2019 02:15:00 PM,309,0.8,32,32,Chicago Carriage Cab Corp
1800087,05/14/2019 02:15:00 PM,300,0.7,8,8,Star North Management LLC
1800088,05/14/2019 02:15:00 PM,480,1.4,28,28,Top Cab Affiliation
1800089,05/14/2019 02:15:00 PM,240,1.1,8,32,KOAM Taxi Association
1800090,05/14/2019 02:15:00 PM,360,1.2,32,8,Medallion Leasin
1800091,05/14/2019 02:15:00 PM,300,0.8,8,8,Medallion Leasin
1800092,05/14/2019 02:15:00 PM,2700,1.1,76,8,Blue Ribbon Taxi Association Inc.
1800093,05/14/2019 02:15:00 PM,360,0.8,8,8,Taxi Affiliation Services
1800094,05/14/2019 02:15:00 PM,228,0.51,32,32,Chicago Carriage Cab Corp
1800095,05/14/2019 02:15:00 PM,360,0.7,32,32,"Taxicab Insurance Agency, LLC"
1800096,05/14/2019 02:15:00 PM,360,1.2,32,8,Taxi Affiliation Services
1800097,05/14/2019 02:15:00 PM,540,1.4,8,32,Taxi Affiliation Services
1800098,05/14/2019 02:15:00 PM,2160,1.1,32,76,Blue Ribbon Taxi Association Inc.
1800099,05/14/2019 02:15:00 PM,360,1.0,8,32,Taxi Affiliation Services
1800100,05/14/2019 02:15:00 PM,540,1.4,32,32,Taxi Affiliation Services
1800101,05/14/2019 02:15:00 PM,407,1.0,16,16,Taxi Affiliation Service Yellow
1800102,05/14/2019 02:15:00 PM,540,1.4,8,28,Medallion Leasin
1800103,05/14/2019 02:15:00 PM,275,0.6,32,32,Sun Taxi
1800104,05/14/2019 02:15:00 PM,297,0.85,8,8,Sun Taxi
1800105,05/14/2019 02:15:00 PM,420,0.6,8,8,Choice Taxi Association
1800106,05/14/2019 02:15:00 PM,542,1.28,28,32,Flash Cab
1800107,05/14/2019 02:15:00 PM,323,0.6,28,32,Taxi Affiliation Service Yellow
1800108,05/14/2019 02:15:00 PM,2040,1.4,76,76,Medallion Leasin
1800109,05/14/2019 02:15:00 PM,247,0.54,32,32,City Service
1800110,05/14/2019 02:15:00 PM,510,1.71,32,32,Chicago Carriage Cab Corp
1800111,05/14/2019 02:15:00 PM,259,0.51,32,32,Chicago Carriage Cab Corp
1800112,05/14/2019 02:15:00 PM,534,1.87,32,8,Nova Taxi Affiliation Llc
1800113,05/14/2019 02:15:00 PM,315,0.6,32,32,Flash Cab
1800114,05/14/2019 02:15:00 PM,272,0.68,32,28,City Service
1800115,05/14/2019 02:15:00 PM,482,1.1,32,8,Medallion Leasin
1800116,05/14/2019 02:15:00 PM,347,0.67,32,32,Flash Cab
