,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1820000,05/15/2019 08:00:00 PM,271,0.53,8,32,City Service
1820001,05/15/2019 08:00:00 PM,360,0.7,32,8,Star North Management LLC
1820002,05/15/2019 08:00:00 PM,420,0.9,8,8,Medallion Leasin
1820003,05/15/2019 08:00:00 PM,577,1.82,8,7,Flash Cab
1820004,05/15/2019 08:00:00 PM,281,0.95,8,32,Chicago Carriage Cab Corp
1820005,05/15/2019 08:00:00 PM,420,0.9,32,32,Star North Management LLC
1820006,05/15/2019 08:00:00 PM,360,1.0,32,8,Star North Management LLC
1820007,05/15/2019 08:00:00 PM,360,0.7,8,32,Taxi Affiliation Services
1820008,05/15/2019 08:00:00 PM,525,1.87,24,7,24 Seven Taxi
1820009,05/15/2019 08:00:00 PM,420,0.9,32,28,Star North Management LLC
1820010,05/15/2019 08:00:00 PM,540,1.4,8,32,Taxi Affiliation Services
1820011,05/15/2019 08:00:00 PM,240,0.9,8,8,Taxi Affiliation Services
1820012,05/15/2019 08:00:00 PM,360,1.6,32,8,Medallion Leasin
1820013,05/15/2019 08:00:00 PM,300,0.8,32,8,Choice Taxi Association
1820014,05/15/2019 08:00:00 PM,380,1.11,3,6,24 Seven Taxi
1820015,05/15/2019 08:00:00 PM,240,0.7,8,8,Star North Management LLC
1820016,05/15/2019 08:00:00 PM,480,1.1,8,8,Chicago Medallion Management
1820017,05/15/2019 08:00:00 PM,337,1.06,3,3,Sun Taxi
1820018,05/15/2019 08:00:00 PM,454,0.83,8,28,Patriot Taxi Dba Peace Taxi Associat
1820019,05/15/2019 08:00:00 PM,360,0.8,28,32,Choice Taxi Association
1820020,05/15/2019 08:00:00 PM,382,1.0,32,8,City Service
1820021,05/15/2019 08:00:00 PM,473,1.24,8,32,Chicago Carriage Cab Corp
1820022,05/15/2019 08:00:00 PM,420,1.2,32,8,Taxi Affiliation Services
1820023,05/15/2019 08:00:00 PM,420,0.79,32,28,Taxi Affiliation Service Yellow
1820024,05/15/2019 08:00:00 PM,2820,1.0,76,8,Taxi Affiliation Services
1820025,05/15/2019 08:00:00 PM,550,1.51,28,32,Patriot Taxi Dba Peace Taxi Associat
1820026,05/15/2019 08:00:00 PM,360,0.9,8,32,"Taxicab Insurance Agency, LLC"
1820027,05/15/2019 08:00:00 PM,355,1.2,6,6,Nova Taxi Affiliation Llc
1820028,05/15/2019 08:00:00 PM,507,1.09,28,32,Flash Cab
1820029,05/15/2019 08:00:00 PM,337,0.59,8,8,Flash Cab
1820030,05/15/2019 08:00:00 PM,540,1.8,8,32,Taxi Affiliation Services
1820031,05/15/2019 08:00:00 PM,2520,0.9,76,7,Taxi Affiliation Services
1820032,05/15/2019 08:00:00 PM,548,1.55,32,32,Sun Taxi
1820033,05/15/2019 08:00:00 PM,240,0.7,8,8,Star North Management LLC
1820034,05/15/2019 08:00:00 PM,353,1.21,32,8,Flash Cab
1820035,05/15/2019 08:00:00 PM,451,1.13,32,8,Sun Taxi
1820036,05/15/2019 08:00:00 PM,360,1.2,32,28,"Taxicab Insurance Agency, LLC"
1820037,05/15/2019 08:00:00 PM,285,0.8,8,32,Nova Taxi Affiliation Llc
1820038,05/15/2019 08:00:00 PM,448,1.4,28,32,Blue Diamond
1820039,05/15/2019 08:00:00 PM,240,0.8,28,32,Choice Taxi Association
1820040,05/15/2019 08:00:00 PM,345,1.0,32,8,Medallion Leasin
1820041,05/15/2019 08:00:00 PM,3300,1.1,76,32,Blue Ribbon Taxi Association Inc.
1820042,05/15/2019 08:00:00 PM,480,1.1,8,8,Medallion Leasin
1820043,05/15/2019 08:00:00 PM,480,1.3,28,8,Star North Management LLC
1820044,05/15/2019 08:00:00 PM,520,1.69,28,32,Chicago Carriage Cab Corp
1820045,05/15/2019 08:00:00 PM,2820,1.1,76,8,Blue Ribbon Taxi Association Inc.
1820046,05/15/2019 08:00:00 PM,449,0.95,8,32,Blue Diamond
1820047,05/15/2019 08:00:00 PM,429,1.22,32,33,Chicago Carriage Cab Corp
1820048,05/15/2019 08:00:00 PM,480,1.5,8,32,Star North Management LLC
1820049,05/15/2019 08:00:00 PM,540,1.5,8,8,"Taxicab Insurance Agency, LLC"
1820050,05/15/2019 08:00:00 PM,300,0.7,8,8,Choice Taxi Association
1820051,05/15/2019 08:00:00 PM,443,1.19,8,8,Flash Cab
1820052,05/15/2019 08:00:00 PM,2820,1.1,76,8,Blue Ribbon Taxi Association Inc.
1820053,05/15/2019 08:00:00 PM,272,0.97,32,33,Chicago Carriage Cab Corp
1820054,05/15/2019 08:00:00 PM,406,0.96,8,28,Sun Taxi
1820055,05/15/2019 08:15:00 PM,455,1.15,8,8,City Service
1820056,05/15/2019 08:15:00 PM,480,0.8,32,28,Chicago Medallion Management
1820057,05/15/2019 08:15:00 PM,327,0.93,8,8,Chicago Carriage Cab Corp
1820058,05/15/2019 08:15:00 PM,480,1.4,8,28,Taxi Affiliation Services
1820059,05/15/2019 08:15:00 PM,480,1.0,8,28,Chicago Medallion Management
1820060,05/15/2019 08:15:00 PM,299,1.03,32,32,Chicago Carriage Cab Corp
1820061,05/15/2019 08:15:00 PM,360,1.0,32,28,Star North Management LLC
1820062,05/15/2019 08:15:00 PM,540,1.6,32,8,Medallion Leasin
1820063,05/15/2019 08:15:00 PM,578,1.71,32,24,Flash Cab
1820064,05/15/2019 08:15:00 PM,420,1.0,32,32,Star North Management LLC
1820065,05/15/2019 08:15:00 PM,2160,0.8,76,22,Blue Ribbon Taxi Association Inc.
1820066,05/15/2019 08:15:00 PM,320,0.81,8,8,Sun Taxi
1820067,05/15/2019 08:15:00 PM,506,1.24,8,32,Flash Cab
1820068,05/15/2019 08:15:00 PM,265,1.02,32,28,City Service
1820069,05/15/2019 08:15:00 PM,249,0.69,32,28,Sun Taxi
1820070,05/15/2019 08:15:00 PM,420,1.3,32,8,Star North Management LLC
1820071,05/15/2019 08:15:00 PM,279,0.75,32,28,Sun Taxi
1820072,05/15/2019 08:15:00 PM,542,1.59,32,32,Sun Taxi
1820073,05/15/2019 08:15:00 PM,360,0.7,8,8,Choice Taxi Association
1820074,05/15/2019 08:15:00 PM,460,1.36,28,32,Chicago Carriage Cab Corp
1820075,05/15/2019 08:15:00 PM,570,1.6,32,28,Chicago Carriage Cab Corp
1820076,05/15/2019 08:15:00 PM,540,1.5,8,28,Taxi Affiliation Services
1820077,05/15/2019 08:15:00 PM,469,1.35,32,8,Taxi Affiliation Service Yellow
1820078,05/15/2019 08:15:00 PM,468,1.59,32,24,Flash Cab
1820079,05/15/2019 08:15:00 PM,360,0.9,32,28,Taxi Affiliation Services
1820080,05/15/2019 08:15:00 PM,294,0.7,8,8,Chicago Carriage Cab Corp
1820081,05/15/2019 08:15:00 PM,300,1.2,32,28,Medallion Leasin
1820082,05/15/2019 08:15:00 PM,2460,1.0,76,8,Taxi Affiliation Services
1820083,05/15/2019 08:15:00 PM,300,0.9,28,32,Star North Management LLC
1820084,05/15/2019 08:15:00 PM,480,1.1,32,28,Taxi Affiliation Services
1820085,05/15/2019 08:15:00 PM,480,1.3,32,32,Medallion Leasin
1820086,05/15/2019 08:15:00 PM,300,1.0,32,28,Taxi Affiliation Services
1820087,05/15/2019 08:15:00 PM,540,0.9,8,8,Taxi Affiliation Services
1820088,05/15/2019 08:15:00 PM,540,1.7,32,8,Taxi Affiliation Services
1820089,05/15/2019 08:15:00 PM,480,1.4,32,28,City Service
1820090,05/15/2019 08:15:00 PM,418,0.9,32,28,Flash Cab
1820091,05/15/2019 08:15:00 PM,240,0.9,32,28,Chicago Medallion Management
1820092,05/15/2019 08:15:00 PM,195,0.69,32,28,Chicago Carriage Cab Corp
1820093,05/15/2019 08:15:00 PM,331,0.9,8,8,City Service
1820094,05/15/2019 08:15:00 PM,300,0.9,32,8,Choice Taxi Association
1820095,05/15/2019 08:15:00 PM,345,0.87,8,8,Flash Cab
1820096,05/15/2019 08:15:00 PM,360,1.0,32,28,Choice Taxi Association
1820097,05/15/2019 08:15:00 PM,496,1.65,28,8,Sun Taxi
1820098,05/15/2019 08:15:00 PM,2340,1.0,76,8,Blue Ribbon Taxi Association Inc.
1820099,05/15/2019 08:15:00 PM,300,1.7,77,1,Taxi Affiliation Services
1820100,05/15/2019 08:15:00 PM,483,1.22,32,8,City Service
1820101,05/15/2019 08:15:00 PM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
1820102,05/15/2019 08:15:00 PM,476,1.01,28,32,Chicago Carriage Cab Corp
1820103,05/15/2019 08:15:00 PM,360,1.0,28,28,Taxi Affiliation Services
1820104,05/15/2019 08:15:00 PM,501,1.8,8,32,Chicago Independents
1820105,05/15/2019 08:15:00 PM,360,1.4,28,28,Choice Taxi Association
1820106,05/15/2019 08:15:00 PM,477,1.03,32,8,Sun Taxi
1820107,05/15/2019 08:15:00 PM,495,1.4,32,32,Medallion Leasin
1820108,05/15/2019 08:15:00 PM,501,1.5,7,24,Sun Taxi
1820109,05/15/2019 08:15:00 PM,420,0.9,32,8,Star North Management LLC
