,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1840000,05/17/2019 08:00:00 AM,371,0.98,28,32,Chicago Carriage Cab Corp
1840001,05/17/2019 08:00:00 AM,285,1.29,8,32,Sun Taxi
1840002,05/17/2019 08:00:00 AM,360,1.3,32,32,Medallion Leasin
1840003,05/17/2019 08:00:00 AM,480,1.7,8,28,Taxi Affiliation Services
1840004,05/17/2019 08:00:00 AM,480,1.7,28,28,Medallion Leasin
1840005,05/17/2019 08:00:00 AM,300,1.1,8,8,City Service
1840006,05/17/2019 08:00:00 AM,463,1.09,8,28,Sun Taxi
1840007,05/17/2019 08:00:00 AM,486,1.2,34,32,Chicago Carriage Cab Corp
1840008,05/17/2019 08:00:00 AM,323,0.86,28,32,24 Seven Taxi
1840009,05/17/2019 08:00:00 AM,330,1.0,32,32,Chicago Carriage Cab Corp
1840010,05/17/2019 08:00:00 AM,413,0.82,32,32,City Service
1840011,05/17/2019 08:15:00 AM,420,1.3,32,32,Medallion Leasin
1840012,05/17/2019 08:15:00 AM,302,0.54,8,8,Taxi Affiliation Service Yellow
1840013,05/17/2019 08:15:00 AM,326,0.63,32,8,Nova Taxi Affiliation Llc
1840014,05/17/2019 08:15:00 AM,399,0.98,28,32,Flash Cab
1840015,05/17/2019 08:15:00 AM,374,1.24,28,32,Chicago Carriage Cab Corp
1840016,05/17/2019 08:15:00 AM,522,0.96,32,28,Chicago Carriage Cab Corp
1840017,05/17/2019 08:15:00 AM,202,0.94,8,8,Chicago Carriage Cab Corp
1840018,05/17/2019 08:15:00 AM,388,0.8,32,8,Sun Taxi
1840019,05/17/2019 08:15:00 AM,385,1.22,8,32,Flash Cab
1840020,05/17/2019 08:15:00 AM,420,1.2,28,8,Star North Management LLC
1840021,05/17/2019 08:15:00 AM,3420,1.0,76,32,Taxi Affiliation Services
1840022,05/17/2019 08:15:00 AM,506,1.71,8,32,Chicago Carriage Cab Corp
1840023,05/17/2019 08:15:00 AM,490,1.07,8,8,Flash Cab
1840024,05/17/2019 08:15:00 AM,240,0.8,28,32,Star North Management LLC
1840025,05/17/2019 08:15:00 AM,443,0.9,8,8,Medallion Leasin
1840026,05/17/2019 08:15:00 AM,274,0.69,32,32,Chicago Carriage Cab Corp
1840027,05/17/2019 08:15:00 AM,534,1.1,28,32,24 Seven Taxi
1840028,05/17/2019 08:15:00 AM,299,0.8,28,32,Blue Diamond
1840029,05/17/2019 08:15:00 AM,540,1.8,8,32,Medallion Leasin
1840030,05/17/2019 08:15:00 AM,461,0.86,28,32,Chicago Carriage Cab Corp
1840031,05/17/2019 08:15:00 AM,593,1.63,8,32,Flash Cab
1840032,05/17/2019 08:15:00 AM,396,1.3,8,8,Flash Cab
1840033,05/17/2019 08:15:00 AM,525,1.14,32,32,City Service
1840034,05/17/2019 08:15:00 AM,496,1.23,28,8,Chicago Carriage Cab Corp
1840035,05/17/2019 08:15:00 AM,311,0.84,8,32,Sun Taxi
1840036,05/17/2019 08:15:00 AM,240,0.6,32,28,Medallion Leasin
1840037,05/17/2019 08:15:00 AM,501,1.19,8,8,City Service
1840038,05/17/2019 08:15:00 AM,470,1.0,8,8,Chicago Carriage Cab Corp
1840039,05/17/2019 08:15:00 AM,317,0.7,32,8,Flash Cab
1840040,05/17/2019 08:15:00 AM,480,1.1,8,28,Medallion Leasin
1840041,05/17/2019 08:15:00 AM,360,0.8,32,32,Star North Management LLC
1840042,05/17/2019 08:15:00 AM,301,0.99,8,8,Patriot Taxi Dba Peace Taxi Associat
1840043,05/17/2019 08:15:00 AM,360,1.2,8,32,Taxi Affiliation Services
1840044,05/17/2019 08:15:00 AM,360,1.1,32,8,Chicago Medallion Management
1840045,05/17/2019 08:15:00 AM,480,1.5,8,8,Taxi Affiliation Services
1840046,05/17/2019 08:15:00 AM,410,0.88,8,32,Chicago Carriage Cab Corp
1840047,05/17/2019 08:15:00 AM,446,1.06,32,28,Flash Cab
1840048,05/17/2019 08:15:00 AM,360,0.6,28,32,Medallion Leasin
1840049,05/17/2019 08:15:00 AM,582,1.6,32,8,City Service
1840050,05/17/2019 08:15:00 AM,540,1.7,8,28,KOAM Taxi Association
1840051,05/17/2019 08:15:00 AM,511,1.21,32,8,Flash Cab
1840052,05/17/2019 08:15:00 AM,300,0.7,28,28,Top Cab Affiliation
1840053,05/17/2019 08:15:00 AM,240,0.6,32,32,KOAM Taxi Association
1840054,05/17/2019 08:15:00 AM,353,1.03,32,32,Chicago Carriage Cab Corp
1840055,05/17/2019 08:15:00 AM,259,0.78,32,8,Sun Taxi
1840056,05/17/2019 08:15:00 AM,355,0.74,28,28,Flash Cab
1840057,05/17/2019 08:15:00 AM,398,0.6,32,32,Flash Cab
1840058,05/17/2019 08:15:00 AM,300,1.0,28,32,Choice Taxi Association
1840059,05/17/2019 08:15:00 AM,472,1.25,32,8,Chicago Carriage Cab Corp
1840060,05/17/2019 08:15:00 AM,391,1.08,28,32,Chicago Carriage Cab Corp
1840061,05/17/2019 08:15:00 AM,457,1.07,8,8,Nova Taxi Affiliation Llc
