,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1890000,05/21/2019 01:15:00 AM,240,1.0,8,8,Taxi Affiliation Services
1890001,05/21/2019 01:15:00 AM,498,1.55,6,6,City Service
1890002,05/21/2019 01:15:00 AM,240,0.8,8,32,Taxi Affiliation Services
1890003,05/21/2019 01:15:00 AM,482,1.77,8,8,Chicago Carriage Cab Corp
1890004,05/21/2019 01:15:00 AM,376,1.48,8,8,Sun Taxi
1890005,05/21/2019 01:15:00 AM,240,0.8,8,32,Taxi Affiliation Services
1890006,05/21/2019 01:15:00 AM,420,1.2,32,8,KOAM Taxi Association
1890007,05/21/2019 01:15:00 AM,300,0.8,8,8,Taxi Affiliation Services
1890008,05/21/2019 01:15:00 AM,240,0.9,8,32,Taxi Affiliation Services
1890009,05/21/2019 01:15:00 AM,379,1.29,8,8,Flash Cab
1890010,05/21/2019 01:15:00 AM,420,1.4,6,7,Taxi Affiliation Services
1890011,05/21/2019 01:15:00 AM,327,1.45,32,28,City Service
1890012,05/21/2019 01:15:00 AM,581,1.8,32,8,City Service
1890013,05/21/2019 01:15:00 AM,489,0.52,8,8,Sun Taxi
1890014,05/21/2019 01:15:00 AM,480,1.2,8,8,Taxi Affiliation Services
1890015,05/21/2019 01:15:00 AM,445,1.68,32,8,Chicago Carriage Cab Corp
1890016,05/21/2019 01:15:00 AM,360,1.6,8,24,Star North Management LLC
1890017,05/21/2019 01:15:00 AM,240,0.8,8,8,Medallion Leasin
1890018,05/21/2019 01:15:00 AM,480,1.1,8,8,Taxi Affiliation Services
1890019,05/21/2019 01:15:00 AM,277,0.86,4,4,Flash Cab
1890020,05/21/2019 01:15:00 AM,299,1.45,32,28,Flash Cab
1890021,05/21/2019 01:15:00 AM,348,1.13,8,8,Sun Taxi
1890022,05/21/2019 01:15:00 AM,229,0.71,3,3,Flash Cab
1890023,05/21/2019 01:15:00 AM,300,1.5,6,7,City Service
1890024,05/21/2019 01:15:00 AM,480,1.2,8,8,KOAM Taxi Association
1890025,05/21/2019 01:15:00 AM,240,1.1,8,28,Taxi Affiliation Services
1890026,05/21/2019 01:30:00 AM,540,1.9,28,8,Taxi Affiliation Services
1890027,05/21/2019 01:30:00 AM,240,1.0,3,6,Taxi Affiliation Services
1890028,05/21/2019 01:30:00 AM,360,1.8,6,3,Taxi Affiliation Services
1890029,05/21/2019 01:30:00 AM,300,1.2,32,28,Taxi Affiliation Services
1890030,05/21/2019 01:30:00 AM,203,0.61,8,8,City Service
1890031,05/21/2019 01:30:00 AM,480,1.0,8,8,Taxi Affiliation Services
1890032,05/21/2019 01:30:00 AM,240,0.7,8,32,Star North Management LLC
1890033,05/21/2019 01:30:00 AM,360,1.89,32,8,Nova Taxi Affiliation Llc
1890034,05/21/2019 01:30:00 AM,410,0.96,8,8,Flash Cab
1890035,05/21/2019 01:30:00 AM,255,0.72,8,8,City Service
1890036,05/21/2019 01:30:00 AM,240,0.7,8,8,City Service
1890037,05/21/2019 01:30:00 AM,221,0.76,8,8,Flash Cab
1890038,05/21/2019 01:30:00 AM,360,1.7,28,28,Taxi Affiliation Services
1890039,05/21/2019 01:30:00 AM,566,1.54,32,8,Flash Cab
1890040,05/21/2019 01:30:00 AM,360,1.0,8,8,Taxi Affiliation Services
1890041,05/21/2019 01:30:00 AM,300,1.1,6,7,Taxi Affiliation Services
1890042,05/21/2019 01:30:00 AM,240,1.3,6,7,Star North Management LLC
1890043,05/21/2019 01:30:00 AM,208,1.02,6,3,City Service
1890044,05/21/2019 01:30:00 AM,355,1.46,7,7,Flash Cab
1890045,05/21/2019 01:30:00 AM,573,1.98,8,32,Chicago Carriage Cab Corp
1890046,05/21/2019 01:30:00 AM,222,1.05,32,32,Chicago Carriage Cab Corp
1890047,05/21/2019 01:30:00 AM,240,0.7,6,6,Medallion Leasin
1890048,05/21/2019 01:30:00 AM,358,0.82,8,8,Flash Cab
1890049,05/21/2019 01:30:00 AM,382,1.7,32,33,City Service
1890050,05/21/2019 01:30:00 AM,240,1.1,32,28,Taxi Affiliation Services
1890051,05/21/2019 01:30:00 AM,434,1.88,8,32,City Service
1890052,05/21/2019 01:30:00 AM,240,0.6,8,8,Star North Management LLC
1890053,05/21/2019 01:45:00 AM,240,0.9,8,8,Choice Taxi Association
1890054,05/21/2019 01:45:00 AM,184,0.51,32,8,Chicago Carriage Cab Corp
1890055,05/21/2019 01:45:00 AM,420,0.9,8,8,"Taxicab Insurance Agency, LLC"
1890056,05/21/2019 01:45:00 AM,232,0.86,8,8,Chicago Carriage Cab Corp
1890057,05/21/2019 01:45:00 AM,360,1.5,8,32,Star North Management LLC
1890058,05/21/2019 01:45:00 AM,325,0.95,32,32,Chicago Carriage Cab Corp
1890059,05/21/2019 01:45:00 AM,300,0.7,8,8,Taxi Affiliation Services
1890060,05/21/2019 01:45:00 AM,408,0.7,8,8,Blue Diamond
1890061,05/21/2019 01:45:00 AM,339,1.09,8,8,Flash Cab
1890062,05/21/2019 01:45:00 AM,317,0.93,32,32,Flash Cab
1890063,05/21/2019 01:45:00 AM,215,0.78,6,3,Flash Cab
1890064,05/21/2019 01:45:00 AM,450,1.17,8,8,Chicago Carriage Cab Corp
1890065,05/21/2019 01:45:00 AM,264,0.95,1,1,Flash Cab
1890066,05/21/2019 01:45:00 AM,378,1.26,32,8,Flash Cab
1890067,05/21/2019 01:45:00 AM,358,0.89,6,6,City Service
1890068,05/21/2019 01:45:00 AM,360,1.0,32,8,Medallion Leasin
1890069,05/21/2019 01:45:00 AM,480,1.5,8,8,Medallion Leasin
1890070,05/21/2019 01:45:00 AM,432,1.5,6,7,City Service
1890071,05/21/2019 01:45:00 AM,347,1.03,6,6,Flash Cab
1890072,05/21/2019 01:45:00 AM,364,1.5,6,7,Chicago Carriage Cab Corp
1890073,05/21/2019 01:45:00 AM,240,0.7,8,32,City Service
1890074,05/21/2019 01:45:00 AM,300,1.7,11,10,Star North Management LLC
1890075,05/21/2019 01:45:00 AM,218,1.06,6,6,Sun Taxi
1890076,05/21/2019 01:45:00 AM,343,1.13,8,8,Flash Cab
1890077,05/21/2019 02:00:00 AM,240,0.9,1,1,Taxi Affiliation Services
1890078,05/21/2019 02:00:00 AM,318,0.98,8,8,Flash Cab
1890079,05/21/2019 02:00:00 AM,240,1.2,8,8,Taxi Affiliation Services
1890080,05/21/2019 02:00:00 AM,309,0.98,33,33,Flash Cab
1890081,05/21/2019 02:00:00 AM,420,1.0,8,8,"Taxicab Insurance Agency, LLC"
1890082,05/21/2019 02:00:00 AM,240,0.6,8,8,Star North Management LLC
1890083,05/21/2019 02:00:00 AM,480,1.3,6,6,Star North Management LLC
1890084,05/21/2019 02:00:00 AM,232,0.87,32,8,Chicago Carriage Cab Corp
1890085,05/21/2019 02:00:00 AM,2280,1.3,76,28,Blue Ribbon Taxi Association Inc.
