,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
180000,01/15/2019 09:45:00 PM,343,1.38,6,3,City Service
180001,01/15/2019 09:45:00 PM,240,0.86,7,7,Patriot Taxi Dba Peace Taxi Associat
180002,01/15/2019 09:45:00 PM,230,1.19,8,24,Chicago Carriage Cab Corp
180003,01/15/2019 09:45:00 PM,240,0.7,8,32,Medallion Leasin
180004,01/15/2019 09:45:00 PM,568,1.24,32,32,Taxi Affiliation Service Yellow
180005,01/15/2019 09:45:00 PM,439,1.89,28,8,Chicago Carriage Cab Corp
180006,01/15/2019 09:45:00 PM,358,1.9,8,28,Sun Taxi
180007,01/15/2019 09:45:00 PM,295,1.0,32,8,Medallion Leasin
180008,01/15/2019 09:45:00 PM,306,1.33,8,8,Taxi Affiliation Service Yellow
180009,01/15/2019 09:45:00 PM,289,0.68,8,8,Sun Taxi
180010,01/15/2019 09:45:00 PM,486,1.68,28,32,Sun Taxi
180011,01/15/2019 09:45:00 PM,413,0.9,32,8,Taxi Affiliation Service Yellow
180012,01/15/2019 09:45:00 PM,240,0.9,3,3,24 Seven Taxi
180013,01/15/2019 09:45:00 PM,263,0.96,32,28,Checker Taxi Affiliation
180014,01/15/2019 09:45:00 PM,288,0.9,8,8,Blue Diamond
180015,01/15/2019 09:45:00 PM,329,1.0,8,8,Flash Cab
180016,01/15/2019 09:45:00 PM,405,1.0,28,32,Flash Cab
180017,01/15/2019 09:45:00 PM,262,0.8,14,16,Flash Cab
180018,01/15/2019 09:45:00 PM,280,1.5,1,1,Flash Cab
180019,01/15/2019 09:45:00 PM,488,1.4,28,32,Flash Cab
180020,01/15/2019 09:45:00 PM,243,0.7,8,32,Flash Cab
180021,01/15/2019 09:45:00 PM,325,1.3,32,24,Flash Cab
180022,01/15/2019 09:45:00 PM,201,0.9,11,11,Flash Cab
180023,01/15/2019 09:45:00 PM,266,0.6,8,8,Flash Cab
180024,01/15/2019 09:45:00 PM,277,1.4,11,14,Flash Cab
180025,01/15/2019 09:45:00 PM,476,1.6,32,32,Flash Cab
180026,01/15/2019 10:00:00 PM,240,0.9,32,8,Taxi Affiliation Services
180027,01/15/2019 10:00:00 PM,420,1.2,32,8,Choice Taxi Association
180028,01/15/2019 10:00:00 PM,300,1.1,8,8,Star North Management LLC
180029,01/15/2019 10:00:00 PM,420,1.4,6,7,Top Cab Affiliation
180030,01/15/2019 10:00:00 PM,300,0.9,8,8,Taxi Affiliation Services
180031,01/15/2019 10:00:00 PM,240,0.9,32,32,Taxi Affiliation Services
180032,01/15/2019 10:00:00 PM,360,1.2,32,32,Taxi Affiliation Services
180033,01/15/2019 10:00:00 PM,360,1.4,32,8,Top Cab Affiliation
180034,01/15/2019 10:00:00 PM,420,1.4,8,32,Taxi Affiliation Services
180035,01/15/2019 10:00:00 PM,300,1.1,8,32,Star North Management LLC
180036,01/15/2019 10:00:00 PM,2040,1.1,76,32,Taxi Affiliation Services
180037,01/15/2019 10:00:00 PM,540,1.5,32,28,Chicago Medallion Management
180038,01/15/2019 10:00:00 PM,300,1.1,32,8,Taxi Affiliation Services
180039,01/15/2019 10:00:00 PM,240,0.7,8,8,"Taxicab Insurance Agency, LLC"
180040,01/15/2019 10:00:00 PM,240,0.9,32,32,Choice Taxi Association
180041,01/15/2019 10:00:00 PM,240,0.8,8,8,Choice Taxi Association
