,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1900000,05/21/2019 04:00:00 PM,403,1.35,2,1,Flash Cab
1900001,05/21/2019 04:00:00 PM,540,1.1,32,32,Medallion Leasin
1900002,05/21/2019 04:00:00 PM,376,0.8,28,28,Medallion Leasin
1900003,05/21/2019 04:00:00 PM,495,0.83,28,32,Nova Taxi Affiliation Llc
1900004,05/21/2019 04:00:00 PM,451,1.1,32,8,Medallion Leasin
1900005,05/21/2019 04:00:00 PM,360,0.9,8,8,Medallion Leasin
1900006,05/21/2019 04:00:00 PM,222,0.7,32,32,Taxi Affiliation Service Yellow
1900007,05/21/2019 04:00:00 PM,360,1.3,42,42,Taxi Affiliation Services
1900008,05/21/2019 04:00:00 PM,360,1.1,32,8,Taxi Affiliation Services
1900009,05/21/2019 04:00:00 PM,523,1.63,8,28,Chicago Carriage Cab Corp
1900010,05/21/2019 04:00:00 PM,300,1.0,32,32,Star North Management LLC
1900011,05/21/2019 04:00:00 PM,579,1.52,8,28,Sun Taxi
1900012,05/21/2019 04:00:00 PM,261,0.54,28,32,Flash Cab
1900013,05/21/2019 04:00:00 PM,494,1.2,32,28,City Service
1900014,05/21/2019 04:00:00 PM,540,1.5,32,8,Taxi Affiliation Services
1900015,05/21/2019 04:00:00 PM,370,0.84,8,28,Chicago Carriage Cab Corp
1900016,05/21/2019 04:00:00 PM,439,1.53,32,28,24 Seven Taxi
1900017,05/21/2019 04:00:00 PM,207,0.75,8,8,Flash Cab
1900018,05/21/2019 04:00:00 PM,488,1.12,8,8,Sun Taxi
1900019,05/21/2019 04:00:00 PM,360,0.9,8,32,Sun Taxi
1900020,05/21/2019 04:00:00 PM,286,0.71,8,32,Chicago Carriage Cab Corp
1900021,05/21/2019 04:00:00 PM,480,1.6,28,8,"Taxicab Insurance Agency, LLC"
1900022,05/21/2019 04:00:00 PM,549,0.9,8,28,City Service
1900023,05/21/2019 04:00:00 PM,503,1.3,8,8,Flash Cab
1900024,05/21/2019 04:00:00 PM,360,1.4,3,6,Choice Taxi Association
1900025,05/21/2019 04:00:00 PM,571,1.7,32,8,Sun Taxi
1900026,05/21/2019 04:00:00 PM,480,1.5,32,8,Taxi Affiliation Services
1900027,05/21/2019 04:00:00 PM,420,1.1,32,8,Taxi Affiliation Services
1900028,05/21/2019 04:00:00 PM,370,0.64,11,11,Sun Taxi
1900029,05/21/2019 04:00:00 PM,223,0.52,32,28,Sun Taxi
1900030,05/21/2019 04:00:00 PM,3600,1.0,32,76,Taxi Affiliation Services
1900031,05/21/2019 04:00:00 PM,300,1.1,8,32,"Taxicab Insurance Agency, LLC"
1900032,05/21/2019 04:00:00 PM,429,0.9,28,32,Medallion Leasin
1900033,05/21/2019 04:00:00 PM,399,1.09,8,8,Flash Cab
1900034,05/21/2019 04:00:00 PM,394,1.06,8,28,Sun Taxi
1900035,05/21/2019 04:00:00 PM,2520,0.6,33,56,Taxi Affiliation Services
1900036,05/21/2019 04:00:00 PM,422,0.85,32,32,Sun Taxi
1900037,05/21/2019 04:00:00 PM,360,0.7,32,32,Taxi Affiliation Services
1900038,05/21/2019 04:00:00 PM,279,0.91,32,28,City Service
1900039,05/21/2019 04:00:00 PM,318,0.8,32,32,Taxi Affiliation Service Yellow
1900040,05/21/2019 04:00:00 PM,522,0.88,32,32,Sun Taxi
1900041,05/21/2019 04:00:00 PM,550,1.76,33,32,Chicago Carriage Cab Corp
1900042,05/21/2019 04:00:00 PM,480,1.4,8,32,"Taxicab Insurance Agency, LLC"
1900043,05/21/2019 04:00:00 PM,540,1.8,28,8,Taxi Affiliation Services
1900044,05/21/2019 04:00:00 PM,294,0.67,32,8,Sun Taxi
1900045,05/21/2019 04:00:00 PM,487,1.28,32,8,Chicago Carriage Cab Corp
1900046,05/21/2019 04:00:00 PM,540,1.2,32,32,Chicago Medallion Management
1900047,05/21/2019 04:00:00 PM,280,1.08,8,7,Sun Taxi
1900048,05/21/2019 04:00:00 PM,420,1.0,32,32,Star North Management LLC
1900049,05/21/2019 04:00:00 PM,397,0.94,8,28,Flash Cab
1900050,05/21/2019 04:00:00 PM,466,1.22,8,32,Flash Cab
1900051,05/21/2019 04:00:00 PM,480,1.1,8,8,Chicago Independents
1900052,05/21/2019 04:00:00 PM,2622,10.94,56,32,Flash Cab
1900053,05/21/2019 04:00:00 PM,325,1.21,32,8,Nova Taxi Affiliation Llc
1900054,05/21/2019 04:00:00 PM,420,1.2,8,32,Taxi Affiliation Services
1900055,05/21/2019 04:00:00 PM,480,1.1,32,8,Taxi Affiliation Services
1900056,05/21/2019 04:00:00 PM,567,1.56,8,8,Flash Cab
1900057,05/21/2019 04:00:00 PM,420,1.2,8,8,Taxi Affiliation Services
1900058,05/21/2019 04:00:00 PM,480,1.5,32,8,Star North Management LLC
1900059,05/21/2019 04:00:00 PM,2760,1.0,76,8,Blue Ribbon Taxi Association Inc.
1900060,05/21/2019 04:00:00 PM,458,1.13,32,8,Flash Cab
1900061,05/21/2019 04:00:00 PM,360,0.8,32,28,Taxi Affiliation Services
1900062,05/21/2019 04:00:00 PM,340,1.27,32,32,24 Seven Taxi
1900063,05/21/2019 04:00:00 PM,360,1.0,8,8,Choice Taxi Association
1900064,05/21/2019 04:00:00 PM,357,0.83,8,8,Sun Taxi
1900065,05/21/2019 04:00:00 PM,540,1.9,32,28,Star North Management LLC
1900066,05/21/2019 04:00:00 PM,228,0.58,3,3,Flash Cab
1900067,05/21/2019 04:00:00 PM,502,1.2,8,8,City Service
1900068,05/21/2019 04:00:00 PM,365,0.76,32,28,Flash Cab
1900069,05/21/2019 04:00:00 PM,480,1.5,32,8,Taxi Affiliation Services
1900070,05/21/2019 04:00:00 PM,435,1.07,32,8,Sun Taxi
1900071,05/21/2019 04:00:00 PM,520,0.9,32,8,Medallion Leasin
1900072,05/21/2019 04:00:00 PM,420,0.9,32,32,Taxi Affiliation Services
1900073,05/21/2019 04:00:00 PM,530,1.07,28,8,Flash Cab
1900074,05/21/2019 04:00:00 PM,589,1.66,8,32,Sun Taxi
1900075,05/21/2019 04:00:00 PM,3900,1.1,8,76,Taxi Affiliation Services
1900076,05/21/2019 04:00:00 PM,240,0.7,32,28,1085 - 72312 N and W Cab Co
1900077,05/21/2019 04:00:00 PM,284,0.61,32,32,Flash Cab
1900078,05/21/2019 04:00:00 PM,240,0.6,32,32,Top Cab Affiliation
1900079,05/21/2019 04:00:00 PM,299,0.53,32,32,Chicago Carriage Cab Corp
1900080,05/21/2019 04:00:00 PM,300,1.2,8,32,Taxi Affiliation Services
1900081,05/21/2019 04:00:00 PM,457,0.91,32,33,Chicago Carriage Cab Corp
1900082,05/21/2019 04:00:00 PM,230,0.62,28,32,Flash Cab
1900083,05/21/2019 04:00:00 PM,374,1.27,2,2,Chicago Carriage Cab Corp
1900084,05/21/2019 04:00:00 PM,211,0.54,8,32,Chicago Carriage Cab Corp
1900085,05/21/2019 04:00:00 PM,360,0.7,32,32,Chicago Carriage Cab Corp
1900086,05/21/2019 04:00:00 PM,301,0.9,32,8,Sun Taxi
1900087,05/21/2019 04:00:00 PM,360,1.0,32,8,"Taxicab Insurance Agency, LLC"
1900088,05/21/2019 04:00:00 PM,403,1.11,32,8,Flash Cab
1900089,05/21/2019 04:00:00 PM,468,0.91,28,32,Flash Cab
