,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1940000,05/24/2019 12:00:00 PM,430,1.26,32,32,Taxi Affiliation Service Yellow
1940001,05/24/2019 12:00:00 PM,555,1.34,8,32,24 Seven Taxi
1940002,05/24/2019 12:00:00 PM,300,0.7,8,28,Star North Management LLC
1940003,05/24/2019 12:00:00 PM,300,1.1,32,32,Taxi Affiliation Services
1940004,05/24/2019 12:00:00 PM,398,0.97,32,8,Chicago Carriage Cab Corp
1940005,05/24/2019 12:00:00 PM,198,0.66,32,28,Flash Cab
1940006,05/24/2019 12:00:00 PM,3578,1.08,8,32,Taxi Affiliation Service Yellow
1940007,05/24/2019 12:00:00 PM,300,0.7,28,32,Star North Management LLC
1940008,05/24/2019 12:00:00 PM,480,1.2,32,8,Taxi Affiliation Services
1940009,05/24/2019 12:00:00 PM,2460,0.8,76,77,Taxi Affiliation Services
1940010,05/24/2019 12:00:00 PM,332,0.6,8,8,City Service
1940011,05/24/2019 12:00:00 PM,360,1.2,32,33,Taxi Affiliation Services
1940012,05/24/2019 12:00:00 PM,417,1.03,32,32,Sun Taxi
1940013,05/24/2019 12:00:00 PM,299,0.7,32,28,Chicago Carriage Cab Corp
1940014,05/24/2019 12:00:00 PM,300,0.9,32,28,Medallion Leasin
1940015,05/24/2019 12:00:00 PM,530,1.03,28,8,Nova Taxi Affiliation Llc
1940016,05/24/2019 12:00:00 PM,480,1.2,32,8,Medallion Leasin
1940017,05/24/2019 12:00:00 PM,582,1.6,28,32,Chicago Taxicab
1940018,05/24/2019 12:00:00 PM,529,1.17,8,32,City Service
1940019,05/24/2019 12:00:00 PM,420,0.76,8,32,Patriot Taxi Dba Peace Taxi Associat
1940020,05/24/2019 12:00:00 PM,452,1.29,77,3,Flash Cab
1940021,05/24/2019 12:00:00 PM,415,1.26,32,32,Chicago Carriage Cab Corp
1940022,05/24/2019 12:00:00 PM,348,0.52,32,32,Taxi Affiliation Service Yellow
1940023,05/24/2019 12:00:00 PM,2100,1.0,76,8,Taxi Affiliation Services
1940024,05/24/2019 12:00:00 PM,455,1.5,8,7,Taxi Affiliation Service Yellow
1940025,05/24/2019 12:00:00 PM,451,1.15,1,1,Flash Cab
1940026,05/24/2019 12:00:00 PM,598,0.59,8,8,City Service
1940027,05/24/2019 12:00:00 PM,228,1.33,32,33,City Service
1940028,05/24/2019 12:00:00 PM,300,1.2,5,16,Taxi Affiliation Services
1940029,05/24/2019 12:00:00 PM,254,0.95,8,8,Chicago Carriage Cab Corp
1940030,05/24/2019 12:00:00 PM,491,1.02,28,8,Flash Cab
1940031,05/24/2019 12:00:00 PM,366,0.56,28,28,Flash Cab
1940032,05/24/2019 12:00:00 PM,540,1.3,32,8,Star North Management LLC
1940033,05/24/2019 12:00:00 PM,498,0.7,8,8,Sun Taxi
1940034,05/24/2019 12:00:00 PM,292,1.13,77,3,Flash Cab
1940035,05/24/2019 12:00:00 PM,458,1.15,8,28,Chicago Carriage Cab Corp
1940036,05/24/2019 12:00:00 PM,360,1.1,28,32,Medallion Leasin
1940037,05/24/2019 12:00:00 PM,508,1.4,8,32,City Service
1940038,05/24/2019 12:00:00 PM,327,0.9,28,32,Medallion Leasin
1940039,05/24/2019 12:00:00 PM,532,1.05,8,8,24 Seven Taxi
1940040,05/24/2019 12:00:00 PM,266,0.9,8,8,Chicago Carriage Cab Corp
1940041,05/24/2019 12:00:00 PM,497,1.0,28,28,Medallion Leasin
1940042,05/24/2019 12:00:00 PM,339,0.63,8,8,Flash Cab
1940043,05/24/2019 12:00:00 PM,560,1.48,8,32,Chicago Carriage Cab Corp
1940044,05/24/2019 12:00:00 PM,518,1.35,33,33,Chicago Carriage Cab Corp
1940045,05/24/2019 12:00:00 PM,420,1.1,8,8,Medallion Leasin
1940046,05/24/2019 12:00:00 PM,418,0.63,28,28,Chicago Carriage Cab Corp
1940047,05/24/2019 12:00:00 PM,581,1.34,28,8,24 Seven Taxi
1940048,05/24/2019 12:00:00 PM,480,1.1,8,8,Star North Management LLC
1940049,05/24/2019 12:00:00 PM,388,1.0,32,8,Taxi Affiliation Service Yellow
1940050,05/24/2019 12:00:00 PM,480,1.2,32,8,Chicago Independents
1940051,05/24/2019 12:00:00 PM,442,1.1,8,8,City Service
1940052,05/24/2019 12:00:00 PM,408,1.12,32,8,Sun Taxi
1940053,05/24/2019 12:00:00 PM,334,0.6,32,8,Chicago Independents
1940054,05/24/2019 12:00:00 PM,299,0.98,32,28,Sun Taxi
1940055,05/24/2019 12:00:00 PM,480,1.0,32,32,Star North Management LLC
1940056,05/24/2019 12:00:00 PM,257,0.74,8,32,Chicago Carriage Cab Corp
1940057,05/24/2019 12:00:00 PM,322,0.67,32,32,Sun Taxi
1940058,05/24/2019 12:00:00 PM,5286,1.32,32,8,Flash Cab
1940059,05/24/2019 12:00:00 PM,301,0.67,32,32,Patriot Taxi Dba Peace Taxi Associat
1940060,05/24/2019 12:00:00 PM,485,1.1,8,8,City Service
1940061,05/24/2019 12:00:00 PM,551,1.29,28,28,Sun Taxi
1940062,05/24/2019 12:00:00 PM,472,1.42,8,28,Sun Taxi
1940063,05/24/2019 12:00:00 PM,579,1.65,8,28,Flash Cab
1940064,05/24/2019 12:00:00 PM,464,1.16,32,8,Chicago Carriage Cab Corp
1940065,05/24/2019 12:00:00 PM,306,0.7,32,32,Chicago Taxicab
1940066,05/24/2019 12:00:00 PM,536,1.12,32,28,Chicago Carriage Cab Corp
1940067,05/24/2019 12:00:00 PM,360,1.2,32,8,Star North Management LLC
1940068,05/24/2019 12:00:00 PM,420,0.9,76,8,Medallion Leasin
1940069,05/24/2019 12:00:00 PM,480,1.9,28,32,Taxi Affiliation Services
1940070,05/24/2019 12:00:00 PM,300,0.6,77,8,Medallion Leasin
1940071,05/24/2019 12:00:00 PM,2520,1.1,76,32,Taxi Affiliation Services
1940072,05/24/2019 12:00:00 PM,2280,1.1,76,32,Blue Ribbon Taxi Association Inc.
1940073,05/24/2019 12:00:00 PM,585,1.4,8,32,Medallion Leasin
1940074,05/24/2019 12:00:00 PM,412,0.75,8,28,Chicago Carriage Cab Corp
1940075,05/24/2019 12:00:00 PM,538,0.78,8,8,Flash Cab
1940076,05/24/2019 12:00:00 PM,399,0.98,32,8,City Service
1940077,05/24/2019 12:00:00 PM,480,1.4,32,28,Taxi Affiliation Services
1940078,05/24/2019 12:00:00 PM,240,1.7,32,32,"Taxicab Insurance Agency, LLC"
1940079,05/24/2019 12:00:00 PM,452,1.26,8,32,Sun Taxi
1940080,05/24/2019 12:00:00 PM,352,0.84,8,8,Chicago Carriage Cab Corp
1940081,05/24/2019 12:00:00 PM,516,1.59,8,32,Flash Cab
1940082,05/24/2019 12:00:00 PM,557,1.38,28,32,Chicago Carriage Cab Corp
1940083,05/24/2019 12:00:00 PM,542,1.3,41,41,Taxi Affiliation Service Yellow
1940084,05/24/2019 12:00:00 PM,300,0.9,32,8,Medallion Leasin
1940085,05/24/2019 12:00:00 PM,469,0.94,8,8,Flash Cab
1940086,05/24/2019 12:00:00 PM,453,1.16,32,8,Sun Taxi
1940087,05/24/2019 12:00:00 PM,2220,1.0,76,8,Taxi Affiliation Services
1940088,05/24/2019 12:00:00 PM,458,0.93,32,32,Patriot Taxi Dba Peace Taxi Associat
1940089,05/24/2019 12:00:00 PM,395,1.15,8,28,Chicago Carriage Cab Corp
1940090,05/24/2019 12:00:00 PM,300,0.9,32,8,Taxi Affiliation Services
1940091,05/24/2019 12:00:00 PM,463,1.2,32,8,Chicago Carriage Cab Corp
1940092,05/24/2019 12:00:00 PM,480,1.5,32,8,Top Cab Affiliation
1940093,05/24/2019 12:00:00 PM,480,0.9,32,28,Medallion Leasin
1940094,05/24/2019 12:00:00 PM,410,0.87,8,32,City Service
1940095,05/24/2019 12:00:00 PM,489,0.8,32,32,Medallion Leasin
1940096,05/24/2019 12:00:00 PM,300,0.6,32,28,KOAM Taxi Association
1940097,05/24/2019 12:00:00 PM,399,1.23,8,8,Sun Taxi
1940098,05/24/2019 12:00:00 PM,366,0.53,32,8,Patriot Taxi Dba Peace Taxi Associat
1940099,05/24/2019 12:00:00 PM,485,1.42,32,8,Flash Cab
1940100,05/24/2019 12:00:00 PM,360,0.6,32,32,Medallion Leasin
1940101,05/24/2019 12:00:00 PM,584,1.2,32,28,Medallion Leasin
1940102,05/24/2019 12:00:00 PM,480,1.4,32,8,Choice Taxi Association
1940103,05/24/2019 12:00:00 PM,498,1.8,8,32,Taxi Affiliation Service Yellow
1940104,05/24/2019 12:00:00 PM,383,0.67,28,32,Sun Taxi
1940105,05/24/2019 12:00:00 PM,293,0.9,7,8,Sun Taxi
