,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1950000,05/25/2019 01:45:00 AM,548,1.93,28,8,City Service
1950001,05/25/2019 01:45:00 AM,560,1.8,8,28,City Service
1950002,05/25/2019 01:45:00 AM,312,1.0,6,6,Flash Cab
1950003,05/25/2019 01:45:00 AM,436,1.8,8,7,Chicago Carriage Cab Corp
1950004,05/25/2019 01:45:00 AM,408,1.0,24,32,City Service
1950005,05/25/2019 01:45:00 AM,512,1.75,8,28,Flash Cab
1950006,05/25/2019 01:45:00 AM,240,0.6,8,8,Medallion Leasin
1950007,05/25/2019 01:45:00 AM,386,1.13,8,8,Taxi Affiliation Service Yellow
1950008,05/25/2019 01:45:00 AM,292,1.05,7,7,Flash Cab
1950009,05/25/2019 01:45:00 AM,423,1.14,7,8,Chicago Carriage Cab Corp
1950010,05/25/2019 01:45:00 AM,322,0.7,8,8,Chicago Carriage Cab Corp
1950011,05/25/2019 01:45:00 AM,359,0.64,8,8,Chicago Carriage Cab Corp
1950012,05/25/2019 01:45:00 AM,335,1.99,8,8,Chicago Carriage Cab Corp
1950013,05/25/2019 01:45:00 AM,540,1.6,8,32,Taxi Affiliation Services
1950014,05/25/2019 01:45:00 AM,459,1.63,8,28,Chicago Carriage Cab Corp
1950015,05/25/2019 01:45:00 AM,207,0.8,8,8,Chicago Carriage Cab Corp
1950016,05/25/2019 01:45:00 AM,300,0.9,8,32,Star North Management LLC
1950017,05/25/2019 01:45:00 AM,300,1.1,8,1,Medallion Leasin
1950018,05/25/2019 01:45:00 AM,257,0.94,8,8,Sun Taxi
1950019,05/25/2019 02:00:00 AM,201,0.56,8,8,Flash Cab
1950020,05/25/2019 02:00:00 AM,244,0.7,8,8,City Service
1950021,05/25/2019 02:00:00 AM,420,0.8,8,8,Medallion Leasin
1950022,05/25/2019 02:00:00 AM,186,0.63,8,8,City Service
1950023,05/25/2019 02:00:00 AM,420,1.2,6,6,Star North Management LLC
1950024,05/25/2019 02:00:00 AM,229,0.7,8,8,Medallion Leasin
1950025,05/25/2019 02:00:00 AM,221,0.7,8,32,24 Seven Taxi
1950026,05/25/2019 02:00:00 AM,251,0.64,8,8,Chicago Carriage Cab Corp
1950027,05/25/2019 02:00:00 AM,420,1.4,8,8,Taxi Affiliation Services
1950028,05/25/2019 02:00:00 AM,358,1.48,8,8,City Service
1950029,05/25/2019 02:00:00 AM,300,1.0,8,8,Medallion Leasin
1950030,05/25/2019 02:00:00 AM,361,1.21,8,8,Chicago Carriage Cab Corp
1950031,05/25/2019 02:00:00 AM,321,1.3,8,8,Blue Diamond
1950032,05/25/2019 02:00:00 AM,340,0.98,32,32,City Service
1950033,05/25/2019 02:00:00 AM,284,0.89,6,3,Flash Cab
1950034,05/25/2019 02:00:00 AM,446,1.64,7,8,Chicago Carriage Cab Corp
1950035,05/25/2019 02:00:00 AM,376,0.7,8,8,Flash Cab
1950036,05/25/2019 02:00:00 AM,466,1.86,7,8,Flash Cab
1950037,05/25/2019 02:00:00 AM,189,0.57,8,8,Flash Cab
1950038,05/25/2019 02:00:00 AM,245,0.9,8,8,City Service
1950039,05/25/2019 02:00:00 AM,263,0.93,8,8,City Service
1950040,05/25/2019 02:00:00 AM,406,1.71,24,24,Flash Cab
1950041,05/25/2019 02:00:00 AM,300,1.0,8,24,Star North Management LLC
1950042,05/25/2019 02:00:00 AM,292,1.43,8,28,Sun Taxi
1950043,05/25/2019 02:00:00 AM,240,1.0,8,7,Star North Management LLC
1950044,05/25/2019 02:00:00 AM,240,0.6,8,8,Taxi Affiliation Services
1950045,05/25/2019 02:00:00 AM,300,0.8,8,8,Star North Management LLC
1950046,05/25/2019 02:00:00 AM,440,1.76,5,6,Flash Cab
1950047,05/25/2019 02:00:00 AM,360,1.4,28,32,Taxi Affiliation Services
1950048,05/25/2019 02:00:00 AM,374,1.6,1,1,Chicago Carriage Cab Corp
1950049,05/25/2019 02:00:00 AM,434,1.46,8,8,Chicago Carriage Cab Corp
1950050,05/25/2019 02:00:00 AM,360,1.1,8,24,Taxi Affiliation Services
1950051,05/25/2019 02:00:00 AM,300,0.6,32,8,Chicago Medallion Management
1950052,05/25/2019 02:00:00 AM,441,1.45,8,8,City Service
1950053,05/25/2019 02:00:00 AM,464,1.21,8,8,Flash Cab
1950054,05/25/2019 02:00:00 AM,300,1.0,8,32,Medallion Leasin
1950055,05/25/2019 02:00:00 AM,365,1.14,8,8,Sun Taxi
1950056,05/25/2019 02:00:00 AM,240,0.9,8,8,3011 - 66308 JBL Cab Inc.
1950057,05/25/2019 02:00:00 AM,240,1.0,8,8,Taxi Affiliation Services
1950058,05/25/2019 02:00:00 AM,374,0.7,8,8,Medallion Leasin
