,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1970000,05/27/2019 05:15:00 PM,540,1.62,34,34,Sun Taxi
1970001,05/27/2019 05:15:00 PM,300,1.1,32,8,Star North Management LLC
1970002,05/27/2019 05:15:00 PM,248,0.8,32,32,City Service
1970003,05/27/2019 05:15:00 PM,300,0.6,8,8,Taxi Affiliation Services
1970004,05/27/2019 05:15:00 PM,365,0.7,32,8,Taxi Affiliation Service Yellow
1970005,05/27/2019 05:15:00 PM,388,0.73,8,8,Chicago Carriage Cab Corp
1970006,05/27/2019 05:15:00 PM,289,1.17,32,8,Chicago Carriage Cab Corp
1970007,05/27/2019 05:15:00 PM,347,1.22,32,8,Chicago Carriage Cab Corp
1970008,05/27/2019 05:15:00 PM,229,0.7,8,32,Medallion Leasin
1970009,05/27/2019 05:15:00 PM,492,1.26,28,8,Flash Cab
1970010,05/27/2019 05:15:00 PM,315,0.98,1,2,Flash Cab
1970011,05/27/2019 05:15:00 PM,314,0.53,32,32,Flash Cab
1970012,05/27/2019 05:15:00 PM,206,0.68,32,32,Sun Taxi
1970013,05/27/2019 05:15:00 PM,395,1.05,8,32,City Service
1970014,05/27/2019 05:15:00 PM,540,1.2,32,8,Taxi Affiliation Services
1970015,05/27/2019 05:15:00 PM,420,1.5,32,8,Taxi Affiliation Services
1970016,05/27/2019 05:15:00 PM,339,0.71,8,8,City Service
1970017,05/27/2019 05:15:00 PM,596,1.34,32,8,Flash Cab
1970018,05/27/2019 05:30:00 PM,405,0.91,8,32,Chicago Carriage Cab Corp
1970019,05/27/2019 05:30:00 PM,300,1.3,32,8,Medallion Leasin
1970020,05/27/2019 05:30:00 PM,293,0.84,8,8,Chicago Carriage Cab Corp
1970021,05/27/2019 05:30:00 PM,386,0.71,8,32,Sun Taxi
1970022,05/27/2019 05:30:00 PM,310,1.38,7,3,City Service
1970023,05/27/2019 05:30:00 PM,360,1.2,28,32,Star North Management LLC
1970024,05/27/2019 05:30:00 PM,500,1.2,32,8,Taxi Affiliation Service Yellow
1970025,05/27/2019 05:30:00 PM,184,0.57,8,8,24 Seven Taxi
1970026,05/27/2019 05:30:00 PM,300,1.0,32,8,"Taxicab Insurance Agency, LLC"
1970027,05/27/2019 05:30:00 PM,432,1.14,28,28,Sun Taxi
1970028,05/27/2019 05:30:00 PM,387,0.74,8,8,Flash Cab
1970029,05/27/2019 05:30:00 PM,420,1.0,8,8,Taxi Affiliation Services
1970030,05/27/2019 05:30:00 PM,293,1.15,8,8,Chicago Carriage Cab Corp
1970031,05/27/2019 05:30:00 PM,373,0.92,3,3,Flash Cab
1970032,05/27/2019 05:30:00 PM,562,1.44,8,8,Flash Cab
1970033,05/27/2019 05:30:00 PM,514,1.1,8,32,Medallion Leasin
1970034,05/27/2019 05:30:00 PM,2040,1.5,76,29,Blue Ribbon Taxi Association Inc.
1970035,05/27/2019 05:30:00 PM,534,1.43,21,16,Flash Cab
1970036,05/27/2019 05:30:00 PM,431,1.06,32,8,City Service
1970037,05/27/2019 05:30:00 PM,422,1.2,8,8,Flash Cab
1970038,05/27/2019 05:30:00 PM,360,1.2,8,8,Taxi Affiliation Services
1970039,05/27/2019 05:30:00 PM,360,1.0,8,8,Taxi Affiliation Services
1970040,05/27/2019 05:30:00 PM,420,0.8,8,8,Checker Taxi Affiliation
1970041,05/27/2019 05:30:00 PM,420,1.2,8,32,City Service
1970042,05/27/2019 05:30:00 PM,369,0.74,8,8,Chicago Carriage Cab Corp
1970043,05/27/2019 05:30:00 PM,331,0.8,32,33,Blue Diamond
1970044,05/27/2019 05:30:00 PM,480,1.6,32,8,Taxi Affiliation Services
1970045,05/27/2019 05:30:00 PM,540,1.5,8,8,Chicago Independents
1970046,05/27/2019 05:30:00 PM,427,1.2,32,8,Medallion Leasin
1970047,05/27/2019 05:30:00 PM,335,1.1,32,32,Sun Taxi
1970048,05/27/2019 05:30:00 PM,528,1.01,8,8,Flash Cab
1970049,05/27/2019 05:30:00 PM,274,0.82,11,11,Flash Cab
1970050,05/27/2019 05:30:00 PM,540,1.6,28,8,Top Cab Affiliation
1970051,05/27/2019 05:30:00 PM,275,0.75,8,8,Flash Cab
1970052,05/27/2019 05:30:00 PM,351,1.89,32,8,Chicago Carriage Cab Corp
1970053,05/27/2019 05:30:00 PM,402,1.75,77,1,City Service
1970054,05/27/2019 05:30:00 PM,398,1.44,8,8,Chicago Carriage Cab Corp
1970055,05/27/2019 05:30:00 PM,364,0.53,32,8,Sun Taxi
1970056,05/27/2019 05:30:00 PM,440,0.99,3,6,City Service
1970057,05/27/2019 05:30:00 PM,483,1.52,8,32,Flash Cab
1970058,05/27/2019 05:30:00 PM,360,0.9,30,31,Taxi Affiliation Services
1970059,05/27/2019 05:30:00 PM,420,1.4,28,8,3094 - 24059 G.L.B. Cab Co
1970060,05/27/2019 05:30:00 PM,330,1.25,8,28,Sun Taxi
1970061,05/27/2019 05:30:00 PM,454,1.42,7,7,Flash Cab
