,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
10000,01/02/2019 11:00:00 AM,322,1.0,32,8,Sun Taxi
10001,01/02/2019 11:00:00 AM,288,0.74,28,32,Chicago Carriage Cab Corp
10002,01/02/2019 11:00:00 AM,496,1.29,28,8,Chicago Carriage Cab Corp
10003,01/02/2019 11:00:00 AM,466,1.6,32,28,Chicago Carriage Cab Corp
10004,01/02/2019 11:00:00 AM,540,1.6,32,8,Medallion Leasin
10005,01/02/2019 11:00:00 AM,412,1.2,32,8,City Service
10006,01/02/2019 11:00:00 AM,229,0.81,32,32,City Service
10007,01/02/2019 11:00:00 AM,475,1.37,32,8,Chicago Carriage Cab Corp
10008,01/02/2019 11:00:00 AM,455,1.22,7,8,Chicago Carriage Cab Corp
10009,01/02/2019 11:00:00 AM,394,1.17,8,8,Chicago Carriage Cab Corp
10010,01/02/2019 11:00:00 AM,240,0.6,32,32,Globe Taxi
10011,01/02/2019 11:00:00 AM,322,1.06,32,8,Chicago Carriage Cab Corp
10012,01/02/2019 11:00:00 AM,340,1.01,28,32,24 Seven Taxi
10013,01/02/2019 11:00:00 AM,510,1.9,6,7,Medallion Leasin
10014,01/02/2019 11:00:00 AM,300,1.1,8,8,Medallion Leasin
10015,01/02/2019 11:00:00 AM,392,0.92,32,32,Chicago Carriage Cab Corp
10016,01/02/2019 11:00:00 AM,512,1.3,8,32,Medallion Leasin
10017,01/02/2019 11:00:00 AM,297,0.94,8,8,Chicago Carriage Cab Corp
10018,01/02/2019 11:00:00 AM,371,0.9,28,32,Chicago Carriage Cab Corp
10019,01/02/2019 11:00:00 AM,461,1.3,8,32,Chicago Taxicab
10020,01/02/2019 11:00:00 AM,469,1.07,32,8,Sun Taxi
10021,01/02/2019 11:00:00 AM,348,0.64,28,28,Chicago Carriage Cab Corp
10022,01/02/2019 11:00:00 AM,300,1.2,33,28,Medallion Leasin
10023,01/02/2019 11:00:00 AM,407,1.25,21,21,Flash Cab
10024,01/02/2019 11:00:00 AM,367,0.97,28,32,Chicago Carriage Cab Corp
10025,01/02/2019 11:00:00 AM,263,0.8,28,28,Flash Cab
10026,01/02/2019 11:00:00 AM,421,1.0,32,8,Flash Cab
10027,01/02/2019 11:00:00 AM,392,1.3,32,8,Flash Cab
10028,01/02/2019 11:00:00 AM,243,0.7,32,32,Flash Cab
10029,01/02/2019 11:00:00 AM,328,0.9,8,8,Flash Cab
10030,01/02/2019 11:00:00 AM,324,0.8,77,77,Flash Cab
10031,01/02/2019 11:00:00 AM,359,0.6,32,8,Flash Cab
10032,01/02/2019 11:00:00 AM,304,1.2,28,8,Flash Cab
10033,01/02/2019 11:00:00 AM,474,1.8,8,32,Flash Cab
10034,01/02/2019 11:00:00 AM,518,1.4,32,8,Flash Cab
10035,01/02/2019 11:00:00 AM,431,1.5,33,32,Flash Cab
10036,01/02/2019 11:00:00 AM,552,1.6,28,8,Flash Cab
10037,01/02/2019 11:00:00 AM,502,1.5,28,32,Flash Cab
10038,01/02/2019 11:00:00 AM,360,1.7,41,43,Flash Cab
10039,01/02/2019 11:00:00 AM,225,1.0,32,8,Flash Cab
