,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2030000,06/01/2019 12:45:00 AM,300,0.7,8,8,Star North Management LLC
2030001,06/01/2019 12:45:00 AM,338,0.8,8,8,Taxi Affiliation Service Yellow
2030002,06/01/2019 12:45:00 AM,240,1.0,22,7,Star North Management LLC
2030003,06/01/2019 12:45:00 AM,540,1.5,32,8,Taxi Affiliation Services
2030004,06/01/2019 12:45:00 AM,196,0.7,8,32,Flash Cab
2030005,06/01/2019 12:45:00 AM,481,1.17,8,7,Flash Cab
2030006,06/01/2019 12:45:00 AM,452,1.2,32,8,City Service
2030007,06/01/2019 12:45:00 AM,369,0.99,8,8,Flash Cab
2030008,06/01/2019 12:45:00 AM,300,1.1,8,8,Medallion Leasin
2030009,06/01/2019 12:45:00 AM,420,1.2,8,32,Taxi Affiliation Services
2030010,06/01/2019 12:45:00 AM,300,1.0,8,32,Chicago Medallion Management
2030011,06/01/2019 12:45:00 AM,300,1.1,8,28,Star North Management LLC
2030012,06/01/2019 12:45:00 AM,321,0.7,8,32,Medallion Leasin
2030013,06/01/2019 12:45:00 AM,225,0.98,32,8,Chicago Carriage Cab Corp
2030014,06/01/2019 12:45:00 AM,420,1.8,24,24,Taxi Affiliation Services
2030015,06/01/2019 12:45:00 AM,300,0.6,8,8,Top Cab Affiliation
2030016,06/01/2019 12:45:00 AM,480,1.6,32,33,Taxi Affiliation Services
2030017,06/01/2019 12:45:00 AM,540,1.0,8,8,Medallion Leasin
2030018,06/01/2019 12:45:00 AM,295,1.05,8,8,City Service
2030019,06/01/2019 12:45:00 AM,355,1.76,24,8,Flash Cab
2030020,06/01/2019 12:45:00 AM,301,1.19,8,6,Sun Taxi
2030021,06/01/2019 12:45:00 AM,420,1.5,6,7,Medallion Leasin
2030022,06/01/2019 12:45:00 AM,428,1.1,32,32,Checker Taxi Affiliation
2030023,06/01/2019 12:45:00 AM,300,1.5,32,33,Star North Management LLC
2030024,06/01/2019 12:45:00 AM,465,1.84,22,24,Chicago Carriage Cab Corp
2030025,06/01/2019 12:45:00 AM,223,1.01,3,3,Flash Cab
2030026,06/01/2019 12:45:00 AM,493,0.68,8,8,Sun Taxi
2030027,06/01/2019 12:45:00 AM,300,0.8,8,8,Medallion Leasin
2030028,06/01/2019 12:45:00 AM,336,0.8,6,6,Leonard Cab Co
2030029,06/01/2019 12:45:00 AM,273,0.68,8,8,Chicago Carriage Cab Corp
2030030,06/01/2019 12:45:00 AM,300,0.7,6,6,Star North Management LLC
2030031,06/01/2019 12:45:00 AM,300,1.1,7,6,Medallion Leasin
2030032,06/01/2019 12:45:00 AM,240,0.7,7,8,Taxi Affiliation Services
2030033,06/01/2019 12:45:00 AM,427,1.06,8,8,Sun Taxi
2030034,06/01/2019 12:45:00 AM,240,0.9,8,8,Star North Management LLC
2030035,06/01/2019 01:00:00 AM,240,0.9,41,41,Taxi Affiliation Services
2030036,06/01/2019 01:00:00 AM,291,0.68,28,28,Flash Cab
2030037,06/01/2019 01:00:00 AM,352,0.54,8,8,Flash Cab
2030038,06/01/2019 01:00:00 AM,387,1.71,28,8,City Service
2030039,06/01/2019 01:00:00 AM,240,1.2,32,8,Taxi Affiliation Services
2030040,06/01/2019 01:00:00 AM,309,0.6,8,8,Flash Cab
2030041,06/01/2019 01:00:00 AM,360,1.2,32,32,Medallion Leasin
2030042,06/01/2019 01:00:00 AM,480,1.2,8,8,"Taxicab Insurance Agency, LLC"
2030043,06/01/2019 01:00:00 AM,273,1.17,24,24,Chicago Carriage Cab Corp
2030044,06/01/2019 01:00:00 AM,240,1.2,32,8,KOAM Taxi Association
2030045,06/01/2019 01:00:00 AM,449,0.93,8,8,Flash Cab
2030046,06/01/2019 01:00:00 AM,400,1.3,8,8,Chicago Carriage Cab Corp
2030047,06/01/2019 01:00:00 AM,300,0.8,8,32,Star North Management LLC
2030048,06/01/2019 01:00:00 AM,325,0.84,32,32,Chicago Carriage Cab Corp
2030049,06/01/2019 01:00:00 AM,346,1.15,56,56,Sun Taxi
2030050,06/01/2019 01:00:00 AM,378,1.66,8,24,Sun Taxi
2030051,06/01/2019 01:00:00 AM,420,1.6,8,32,Blue Ribbon Taxi Association Inc.
2030052,06/01/2019 01:00:00 AM,390,1.6,22,23,Taxi Affiliation Service Yellow
2030053,06/01/2019 01:00:00 AM,240,0.8,8,8,Taxi Affiliation Services
2030054,06/01/2019 01:00:00 AM,385,1.63,8,7,Chicago Carriage Cab Corp
2030055,06/01/2019 01:00:00 AM,300,0.6,8,8,Star North Management LLC
2030056,06/01/2019 01:00:00 AM,353,0.7,32,32,Taxi Affiliation Service Yellow
2030057,06/01/2019 01:00:00 AM,240,0.9,8,8,Star North Management LLC
2030058,06/01/2019 01:00:00 AM,364,1.25,24,24,Chicago Carriage Cab Corp
2030059,06/01/2019 01:00:00 AM,420,1.2,8,28,Star North Management LLC
2030060,06/01/2019 01:00:00 AM,419,1.89,22,7,Nova Taxi Affiliation Llc
2030061,06/01/2019 01:00:00 AM,448,1.1,8,8,Flash Cab
2030062,06/01/2019 01:00:00 AM,360,1.3,8,8,Taxi Affiliation Services
