,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2040000,06/01/2019 10:15:00 PM,559,1.27,8,24,Nova Taxi Affiliation Llc
2040001,06/01/2019 10:15:00 PM,540,1.8,32,8,Taxi Affiliation Services
2040002,06/01/2019 10:15:00 PM,360,1.0,8,8,Star North Management LLC
2040003,06/01/2019 10:15:00 PM,360,1.0,28,8,Taxi Affiliation Services
2040004,06/01/2019 10:15:00 PM,378,0.85,32,32,City Service
2040005,06/01/2019 10:15:00 PM,332,0.77,32,28,Flash Cab
2040006,06/01/2019 10:15:00 PM,480,1.4,8,32,Star North Management LLC
2040007,06/01/2019 10:15:00 PM,514,1.0,8,8,Flash Cab
2040008,06/01/2019 10:15:00 PM,286,0.71,8,8,Sun Taxi
2040009,06/01/2019 10:15:00 PM,582,1.55,32,8,Chicago Carriage Cab Corp
2040010,06/01/2019 10:15:00 PM,408,0.9,32,8,City Service
2040011,06/01/2019 10:15:00 PM,381,0.77,8,8,Flash Cab
2040012,06/01/2019 10:15:00 PM,360,1.7,33,32,Taxi Affiliation Services
2040013,06/01/2019 10:15:00 PM,534,1.53,32,8,Flash Cab
2040014,06/01/2019 10:15:00 PM,218,0.73,24,24,Flash Cab
2040015,06/01/2019 10:15:00 PM,480,1.6,8,28,Top Cab Affiliation
2040016,06/01/2019 10:15:00 PM,479,1.26,32,8,Chicago Carriage Cab Corp
2040017,06/01/2019 10:15:00 PM,227,0.81,6,6,Flash Cab
2040018,06/01/2019 10:15:00 PM,360,1.0,32,8,Taxi Affiliation Services
2040019,06/01/2019 10:15:00 PM,338,0.71,32,32,Sun Taxi
2040020,06/01/2019 10:15:00 PM,478,1.34,7,8,Flash Cab
2040021,06/01/2019 10:15:00 PM,452,1.07,8,8,Chicago Carriage Cab Corp
2040022,06/01/2019 10:15:00 PM,509,1.38,32,32,Chicago Carriage Cab Corp
2040023,06/01/2019 10:15:00 PM,333,1.73,3,77,Flash Cab
2040024,06/01/2019 10:15:00 PM,480,1.7,8,32,Taxi Affiliation Services
2040025,06/01/2019 10:15:00 PM,405,0.73,8,8,Chicago Carriage Cab Corp
2040026,06/01/2019 10:15:00 PM,287,0.81,32,8,Sun Taxi
2040027,06/01/2019 10:15:00 PM,198,0.91,8,8,City Service
2040028,06/01/2019 10:15:00 PM,300,1.2,6,6,Taxi Affiliation Services
2040029,06/01/2019 10:15:00 PM,460,1.24,8,8,Chicago Carriage Cab Corp
2040030,06/01/2019 10:15:00 PM,380,0.9,8,8,City Service
2040031,06/01/2019 10:15:00 PM,480,1.4,8,8,Medallion Leasin
2040032,06/01/2019 10:15:00 PM,491,1.24,8,32,Nova Taxi Affiliation Llc
2040033,06/01/2019 10:15:00 PM,420,1.4,28,33,Star North Management LLC
2040034,06/01/2019 10:15:00 PM,440,0.85,8,8,Flash Cab
2040035,06/01/2019 10:15:00 PM,487,0.76,6,3,Flash Cab
2040036,06/01/2019 10:15:00 PM,538,1.6,32,32,Chicago Carriage Cab Corp
2040037,06/01/2019 10:15:00 PM,360,1.7,77,1,Taxi Affiliation Services
2040038,06/01/2019 10:15:00 PM,498,1.46,8,28,Sun Taxi
2040039,06/01/2019 10:15:00 PM,240,1.1,8,8,Taxi Affiliation Services
2040040,06/01/2019 10:15:00 PM,368,0.95,32,32,Chicago Carriage Cab Corp
2040041,06/01/2019 10:15:00 PM,480,1.2,32,32,Star North Management LLC
2040042,06/01/2019 10:15:00 PM,389,1.54,32,32,Sun Taxi
2040043,06/01/2019 10:15:00 PM,237,0.97,6,7,Sun Taxi
2040044,06/01/2019 10:15:00 PM,420,1.4,32,32,Taxi Affiliation Services
2040045,06/01/2019 10:15:00 PM,599,1.2,8,32,Chicago Independents
2040046,06/01/2019 10:15:00 PM,516,1.1,28,32,Flash Cab
2040047,06/01/2019 10:15:00 PM,464,0.92,32,8,Chicago Carriage Cab Corp
2040048,06/01/2019 10:15:00 PM,480,1.42,8,32,Nova Taxi Affiliation Llc
2040049,06/01/2019 10:15:00 PM,360,0.7,8,8,Star North Management LLC
2040050,06/01/2019 10:15:00 PM,405,0.8,32,32,Chicago Carriage Cab Corp
2040051,06/01/2019 10:15:00 PM,258,0.7,32,32,Chicago Taxicab
2040052,06/01/2019 10:15:00 PM,420,1.6,32,28,Star North Management LLC
2040053,06/01/2019 10:15:00 PM,420,1.1,28,32,Medallion Leasin
2040054,06/01/2019 10:15:00 PM,510,1.19,32,33,Flash Cab
2040055,06/01/2019 10:15:00 PM,420,0.9,8,32,Medallion Leasin
2040056,06/01/2019 10:15:00 PM,408,1.63,32,28,Chicago Carriage Cab Corp
2040057,06/01/2019 10:15:00 PM,360,0.9,8,8,Star North Management LLC
2040058,06/01/2019 10:15:00 PM,594,1.61,8,32,Sun Taxi
2040059,06/01/2019 10:15:00 PM,390,0.59,8,8,Flash Cab
2040060,06/01/2019 10:15:00 PM,482,1.08,32,32,City Service
2040061,06/01/2019 10:15:00 PM,371,0.6,8,8,Medallion Leasin
2040062,06/01/2019 10:15:00 PM,364,0.99,8,24,Flash Cab
2040063,06/01/2019 10:15:00 PM,505,1.81,32,33,Chicago Carriage Cab Corp
2040064,06/01/2019 10:15:00 PM,1860,1.1,76,8,Blue Ribbon Taxi Association Inc.
2040065,06/01/2019 10:15:00 PM,545,1.84,8,7,City Service
2040066,06/01/2019 10:15:00 PM,529,1.17,8,32,City Service
2040067,06/01/2019 10:15:00 PM,540,1.19,32,8,Nova Taxi Affiliation Llc
2040068,06/01/2019 10:15:00 PM,443,1.13,8,8,Sun Taxi
2040069,06/01/2019 10:15:00 PM,540,1.7,32,8,Top Cab Affiliation
2040070,06/01/2019 10:15:00 PM,284,0.8,8,8,City Service
2040071,06/01/2019 10:15:00 PM,382,0.73,8,8,Chicago Carriage Cab Corp
2040072,06/01/2019 10:15:00 PM,347,0.96,32,8,Chicago Carriage Cab Corp
2040073,06/01/2019 10:15:00 PM,199,0.8,32,28,Chicago Carriage Cab Corp
2040074,06/01/2019 10:15:00 PM,480,1.9,32,28,Medallion Leasin
2040075,06/01/2019 10:15:00 PM,240,1.0,8,8,Top Cab Affiliation
2040076,06/01/2019 10:15:00 PM,305,0.89,28,28,Patriot Taxi Dba Peace Taxi Associat
2040077,06/01/2019 10:15:00 PM,599,1.16,8,8,Sun Taxi
2040078,06/01/2019 10:15:00 PM,556,1.8,32,28,Flash Cab
2040079,06/01/2019 10:15:00 PM,270,0.79,7,7,Flash Cab
2040080,06/01/2019 10:15:00 PM,458,1.2,28,32,Blue Diamond
2040081,06/01/2019 10:15:00 PM,540,1.3,8,8,Taxi Affiliation Services
2040082,06/01/2019 10:15:00 PM,495,0.71,8,8,Sun Taxi
2040083,06/01/2019 10:15:00 PM,300,0.9,8,8,Nova Taxi Affiliation Llc
2040084,06/01/2019 10:15:00 PM,480,0.9,32,8,Chicago Medallion Management
2040085,06/01/2019 10:15:00 PM,360,0.9,8,8,Taxi Affiliation Services
2040086,06/01/2019 10:15:00 PM,472,1.1,8,32,Chicago Carriage Cab Corp
2040087,06/01/2019 10:15:00 PM,480,1.0,8,32,Top Cab Affiliation
2040088,06/01/2019 10:15:00 PM,540,1.5,33,32,Star North Management LLC
2040089,06/01/2019 10:15:00 PM,480,1.0,8,8,Taxi Affiliation Services
2040090,06/01/2019 10:15:00 PM,360,0.7,8,8,Medallion Leasin
2040091,06/01/2019 10:15:00 PM,457,1.18,8,32,Sun Taxi
2040092,06/01/2019 10:15:00 PM,334,0.72,8,8,City Service
2040093,06/01/2019 10:15:00 PM,439,1.33,8,8,Flash Cab
2040094,06/01/2019 10:15:00 PM,540,1.3,8,32,Star North Management LLC
2040095,06/01/2019 10:15:00 PM,372,1.03,28,28,Flash Cab
2040096,06/01/2019 10:15:00 PM,240,0.6,8,8,Top Cab Affiliation
2040097,06/01/2019 10:15:00 PM,540,1.3,32,8,Medallion Leasin
2040098,06/01/2019 10:15:00 PM,540,1.5,32,8,Star North Management LLC
2040099,06/01/2019 10:15:00 PM,414,0.74,28,28,Sun Taxi
2040100,06/01/2019 10:15:00 PM,271,0.9,8,8,City Service
2040101,06/01/2019 10:15:00 PM,354,0.76,8,32,Flash Cab
2040102,06/01/2019 10:15:00 PM,490,1.23,28,8,Chicago Carriage Cab Corp
2040103,06/01/2019 10:15:00 PM,480,1.3,32,32,Star North Management LLC
2040104,06/01/2019 10:15:00 PM,373,1.94,32,33,Flash Cab
2040105,06/01/2019 10:15:00 PM,300,0.7,8,8,Star North Management LLC
2040106,06/01/2019 10:15:00 PM,483,0.94,8,8,Flash Cab
2040107,06/01/2019 10:15:00 PM,551,1.63,32,32,24 Seven Taxi
2040108,06/01/2019 10:15:00 PM,413,1.31,28,8,Chicago Carriage Cab Corp
2040109,06/01/2019 10:15:00 PM,420,1.7,8,28,Taxi Affiliation Services
2040110,06/01/2019 10:15:00 PM,300,0.6,8,8,Star North Management LLC
2040111,06/01/2019 10:15:00 PM,421,1.22,32,28,Sun Taxi
2040112,06/01/2019 10:15:00 PM,589,1.6,8,28,Medallion Leasin
2040113,06/01/2019 10:15:00 PM,484,1.2,32,8,Medallion Leasin
2040114,06/01/2019 10:15:00 PM,410,1.45,5,6,Sun Taxi
2040115,06/01/2019 10:15:00 PM,420,1.0,8,8,Choice Taxi Association
2040116,06/01/2019 10:15:00 PM,517,1.28,32,28,City Service
2040117,06/01/2019 10:15:00 PM,480,1.4,8,7,Choice Taxi Association
2040118,06/01/2019 10:15:00 PM,390,0.58,8,8,Sun Taxi
2040119,06/01/2019 10:30:00 PM,569,1.31,8,32,Chicago Carriage Cab Corp
2040120,06/01/2019 10:30:00 PM,430,1.05,32,28,Chicago Carriage Cab Corp
2040121,06/01/2019 10:30:00 PM,540,1.5,28,8,Taxi Affiliation Services
2040122,06/01/2019 10:30:00 PM,420,1.3,32,8,Taxi Affiliation Services
2040123,06/01/2019 10:30:00 PM,364,0.61,8,8,Flash Cab
2040124,06/01/2019 10:30:00 PM,385,0.77,8,8,Chicago Carriage Cab Corp
2040125,06/01/2019 10:30:00 PM,480,1.3,28,32,Medallion Leasin
2040126,06/01/2019 10:30:00 PM,420,1.8,32,28,Taxi Affiliation Services
2040127,06/01/2019 10:30:00 PM,231,0.97,28,32,Sun Taxi
2040128,06/01/2019 10:30:00 PM,524,1.76,32,8,Chicago Carriage Cab Corp
2040129,06/01/2019 10:30:00 PM,540,1.61,8,32,Chicago Carriage Cab Corp
2040130,06/01/2019 10:30:00 PM,554,1.87,32,8,Flash Cab
2040131,06/01/2019 10:30:00 PM,424,0.62,8,8,Flash Cab
2040132,06/01/2019 10:30:00 PM,432,1.27,8,32,Flash Cab
2040133,06/01/2019 10:30:00 PM,240,1.7,32,8,Star North Management LLC
2040134,06/01/2019 10:30:00 PM,300,1.5,28,32,"Taxicab Insurance Agency, LLC"
2040135,06/01/2019 10:30:00 PM,434,1.2,8,32,Flash Cab
2040136,06/01/2019 10:30:00 PM,300,1.0,32,8,Star North Management LLC
2040137,06/01/2019 10:30:00 PM,327,0.64,8,8,Sun Taxi
2040138,06/01/2019 10:30:00 PM,544,1.3,32,33,Taxi Affiliation Service Yellow
2040139,06/01/2019 10:30:00 PM,369,1.07,8,8,Chicago Carriage Cab Corp
2040140,06/01/2019 10:30:00 PM,240,0.7,8,8,Medallion Leasin
2040141,06/01/2019 10:30:00 PM,427,0.93,8,8,Flash Cab
2040142,06/01/2019 10:30:00 PM,240,0.8,32,8,Taxi Affiliation Services
2040143,06/01/2019 10:30:00 PM,240,0.8,8,8,Taxi Affiliation Services
2040144,06/01/2019 10:30:00 PM,302,1.0,8,8,Chicago Independents
2040145,06/01/2019 10:30:00 PM,480,1.2,32,32,"Taxicab Insurance Agency, LLC"
2040146,06/01/2019 10:30:00 PM,300,0.9,28,32,Taxi Affiliation Services
2040147,06/01/2019 10:30:00 PM,420,1.1,8,8,Star North Management LLC
2040148,06/01/2019 10:30:00 PM,360,1.3,32,33,KOAM Taxi Association
2040149,06/01/2019 10:30:00 PM,420,1.2,7,6,City Service
