,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2050000,06/02/2019 09:15:00 PM,260,1.25,8,8,Patriot Taxi Dba Peace Taxi Associat
2050001,06/02/2019 09:15:00 PM,420,1.6,8,7,KOAM Taxi Association
2050002,06/02/2019 09:15:00 PM,300,0.9,32,8,Star North Management LLC
2050003,06/02/2019 09:15:00 PM,275,0.97,8,8,City Service
2050004,06/02/2019 09:15:00 PM,344,0.96,8,8,Sun Taxi
2050005,06/02/2019 09:15:00 PM,499,1.38,8,32,Flash Cab
2050006,06/02/2019 09:15:00 PM,422,1.05,8,8,Sun Taxi
2050007,06/02/2019 09:15:00 PM,344,1.33,32,28,Sun Taxi
2050008,06/02/2019 09:15:00 PM,365,1.02,32,32,Flash Cab
2050009,06/02/2019 09:15:00 PM,300,0.7,8,32,Star North Management LLC
2050010,06/02/2019 09:15:00 PM,300,0.8,32,8,Taxi Affiliation Services
2050011,06/02/2019 09:15:00 PM,275,0.79,32,32,Sun Taxi
2050012,06/02/2019 09:15:00 PM,317,0.88,8,32,Sun Taxi
2050013,06/02/2019 09:15:00 PM,255,0.76,8,8,City Service
2050014,06/02/2019 09:15:00 PM,350,1.17,8,8,Flash Cab
2050015,06/02/2019 09:15:00 PM,388,0.9,8,8,Checker Taxi Affiliation
2050016,06/02/2019 09:15:00 PM,416,1.56,33,32,City Service
2050017,06/02/2019 09:15:00 PM,249,1.05,32,28,Chicago Carriage Cab Corp
2050018,06/02/2019 09:15:00 PM,420,1.4,32,8,Taxi Affiliation Services
2050019,06/02/2019 09:15:00 PM,240,0.8,32,32,Taxi Affiliation Services
2050020,06/02/2019 09:15:00 PM,360,1.2,8,8,Taxi Affiliation Services
2050021,06/02/2019 09:15:00 PM,317,0.81,8,28,24 Seven Taxi
2050022,06/02/2019 09:15:00 PM,480,1.3,8,8,Choice Taxi Association
2050023,06/02/2019 09:15:00 PM,343,0.86,32,8,24 Seven Taxi
2050024,06/02/2019 09:15:00 PM,276,0.96,8,32,Chicago Carriage Cab Corp
2050025,06/02/2019 09:15:00 PM,480,1.4,32,8,Star North Management LLC
2050026,06/02/2019 09:15:00 PM,360,1.1,32,28,Top Cab Affiliation
2050027,06/02/2019 09:15:00 PM,480,1.6,8,8,Taxi Affiliation Services
2050028,06/02/2019 09:15:00 PM,420,1.4,32,8,KOAM Taxi Association
2050029,06/02/2019 09:15:00 PM,313,1.64,32,33,Sun Taxi
2050030,06/02/2019 09:15:00 PM,420,1.2,32,8,Star North Management LLC
2050031,06/02/2019 09:15:00 PM,306,0.93,8,8,Flash Cab
2050032,06/02/2019 09:30:00 PM,342,0.84,8,8,24 Seven Taxi
2050033,06/02/2019 09:30:00 PM,414,1.04,8,32,Flash Cab
2050034,06/02/2019 09:30:00 PM,303,0.8,8,32,City Service
2050035,06/02/2019 09:30:00 PM,480,1.3,32,33,Medallion Leasin
2050036,06/02/2019 09:30:00 PM,540,1.6,32,28,Star North Management LLC
2050037,06/02/2019 09:30:00 PM,480,1.6,32,8,"Taxicab Insurance Agency, LLC"
2050038,06/02/2019 09:30:00 PM,305,0.91,32,8,Nova Taxi Affiliation Llc
2050039,06/02/2019 09:30:00 PM,360,1.0,32,8,Star North Management LLC
2050040,06/02/2019 09:30:00 PM,420,1.7,32,33,Choice Taxi Association
2050041,06/02/2019 09:30:00 PM,361,1.54,8,8,Sun Taxi
2050042,06/02/2019 09:30:00 PM,300,0.6,8,8,Star North Management LLC
2050043,06/02/2019 09:30:00 PM,442,1.2,4,3,City Service
2050044,06/02/2019 09:30:00 PM,365,0.88,32,8,Flash Cab
2050045,06/02/2019 09:30:00 PM,540,1.6,28,8,Taxi Affiliation Services
2050046,06/02/2019 09:30:00 PM,265,1.0,8,32,Chicago Carriage Cab Corp
2050047,06/02/2019 09:30:00 PM,376,1.11,32,32,Chicago Carriage Cab Corp
2050048,06/02/2019 09:30:00 PM,300,1.3,77,2,Taxi Affiliation Services
2050049,06/02/2019 09:30:00 PM,420,1.1,32,32,Star North Management LLC
2050050,06/02/2019 09:30:00 PM,199,0.56,28,28,Flash Cab
2050051,06/02/2019 09:30:00 PM,281,1.42,32,33,Sun Taxi
2050052,06/02/2019 09:30:00 PM,240,0.9,32,8,Star North Management LLC
2050053,06/02/2019 09:30:00 PM,240,0.7,8,8,Taxi Affiliation Services
2050054,06/02/2019 09:30:00 PM,318,1.21,8,8,City Service
2050055,06/02/2019 09:30:00 PM,420,1.4,8,32,Star North Management LLC
2050056,06/02/2019 09:30:00 PM,300,1.0,8,8,Taxi Affiliation Services
2050057,06/02/2019 09:30:00 PM,540,1.5,77,77,Medallion Leasin
2050058,06/02/2019 09:30:00 PM,330,1.06,28,32,City Service
2050059,06/02/2019 09:30:00 PM,300,0.9,8,8,Star North Management LLC
2050060,06/02/2019 09:30:00 PM,420,1.7,8,32,Star North Management LLC
2050061,06/02/2019 09:30:00 PM,416,1.38,32,8,Chicago Carriage Cab Corp
2050062,06/02/2019 09:30:00 PM,386,1.41,32,8,Flash Cab
2050063,06/02/2019 09:30:00 PM,540,1.8,32,8,Medallion Leasin
2050064,06/02/2019 09:30:00 PM,540,1.5,28,8,Medallion Leasin
2050065,06/02/2019 09:30:00 PM,1860,0.8,76,6,Taxi Affiliation Services
2050066,06/02/2019 09:30:00 PM,540,1.8,8,28,3591 - 63480 Chuks Cab
2050067,06/02/2019 09:30:00 PM,283,1.26,28,32,Flash Cab
2050068,06/02/2019 09:30:00 PM,300,0.8,32,32,Star North Management LLC
2050069,06/02/2019 09:30:00 PM,540,1.6,32,8,Medallion Leasin
2050070,06/02/2019 09:30:00 PM,541,1.51,8,8,Patriot Taxi Dba Peace Taxi Associat
2050071,06/02/2019 09:30:00 PM,300,0.8,8,8,Taxi Affiliation Services
2050072,06/02/2019 09:30:00 PM,293,0.76,32,32,City Service
2050073,06/02/2019 09:30:00 PM,439,1.03,32,32,Flash Cab
2050074,06/02/2019 09:30:00 PM,188,0.58,32,32,Chicago Carriage Cab Corp
2050075,06/02/2019 09:30:00 PM,413,1.26,32,32,Chicago Carriage Cab Corp
2050076,06/02/2019 09:30:00 PM,467,1.29,32,32,Flash Cab
2050077,06/02/2019 09:30:00 PM,360,1.1,28,32,Taxi Affiliation Services
2050078,06/02/2019 09:30:00 PM,237,0.51,32,32,Flash Cab
2050079,06/02/2019 09:30:00 PM,360,1.0,32,8,Choice Taxi Association
2050080,06/02/2019 09:30:00 PM,240,0.7,32,32,"Taxicab Insurance Agency, LLC"
2050081,06/02/2019 09:30:00 PM,414,1.58,8,32,Flash Cab
2050082,06/02/2019 09:30:00 PM,531,1.5,8,32,City Service
2050083,06/02/2019 09:30:00 PM,466,1.7,32,33,City Service
2050084,06/02/2019 09:30:00 PM,340,0.6,32,8,Medallion Leasin
2050085,06/02/2019 09:30:00 PM,360,1.2,32,8,Medallion Leasin
2050086,06/02/2019 09:30:00 PM,240,0.9,32,32,Taxi Affiliation Services
2050087,06/02/2019 09:30:00 PM,567,1.67,8,8,Sun Taxi
2050088,06/02/2019 09:30:00 PM,398,1.91,33,32,Flash Cab
2050089,06/02/2019 09:30:00 PM,300,1.2,32,32,Medallion Leasin
2050090,06/02/2019 09:30:00 PM,516,1.34,8,32,Nova Taxi Affiliation Llc
2050091,06/02/2019 09:30:00 PM,350,1.2,32,32,Sun Taxi
2050092,06/02/2019 09:30:00 PM,234,0.9,32,8,City Service
2050093,06/02/2019 09:30:00 PM,382,1.0,32,32,Nova Taxi Affiliation Llc
2050094,06/02/2019 09:30:00 PM,268,0.7,32,32,Flash Cab
2050095,06/02/2019 09:30:00 PM,539,1.3,8,8,Sun Taxi
2050096,06/02/2019 09:30:00 PM,411,1.91,15,16,Flash Cab
2050097,06/02/2019 09:30:00 PM,544,1.36,8,32,Flash Cab
2050098,06/02/2019 09:30:00 PM,234,0.72,32,8,Chicago Carriage Cab Corp
2050099,06/02/2019 09:30:00 PM,205,0.51,32,28,Flash Cab
2050100,06/02/2019 09:30:00 PM,465,1.37,8,28,Flash Cab
2050101,06/02/2019 09:30:00 PM,480,1.3,8,32,Flash Cab
2050102,06/02/2019 09:30:00 PM,240,0.9,32,32,Taxi Affiliation Services
2050103,06/02/2019 09:30:00 PM,420,1.5,8,32,Taxi Affiliation Services
2050104,06/02/2019 09:30:00 PM,420,1.2,8,8,Taxi Affiliation Services
2050105,06/02/2019 09:30:00 PM,300,1.2,32,28,KOAM Taxi Association
2050106,06/02/2019 09:30:00 PM,267,0.75,8,8,Nova Taxi Affiliation Llc
2050107,06/02/2019 09:30:00 PM,540,1.8,32,8,Star North Management LLC
2050108,06/02/2019 09:30:00 PM,532,1.3,32,32,Medallion Leasin
2050109,06/02/2019 09:30:00 PM,217,0.85,4,4,Flash Cab
2050110,06/02/2019 09:30:00 PM,446,0.86,28,32,Flash Cab
2050111,06/02/2019 09:30:00 PM,211,0.7,28,28,Sun Taxi
2050112,06/02/2019 09:30:00 PM,456,1.0,8,8,Checker Taxi Affiliation
2050113,06/02/2019 09:30:00 PM,279,0.97,8,8,Sun Taxi
2050114,06/02/2019 09:30:00 PM,411,1.66,32,33,Sun Taxi
2050115,06/02/2019 09:30:00 PM,353,1.2,8,24,Setare Inc
2050116,06/02/2019 09:30:00 PM,286,0.8,8,8,Taxi Affiliation Service Yellow
2050117,06/02/2019 09:30:00 PM,300,0.8,32,32,Medallion Leasin
2050118,06/02/2019 09:30:00 PM,514,1.49,8,32,Sun Taxi
2050119,06/02/2019 09:30:00 PM,321,0.8,8,8,City Service
2050120,06/02/2019 09:30:00 PM,584,1.69,8,8,Chicago Carriage Cab Corp
2050121,06/02/2019 09:30:00 PM,330,1.02,8,8,Chicago Carriage Cab Corp
2050122,06/02/2019 09:30:00 PM,240,0.9,8,32,Top Cab Affiliation
2050123,06/02/2019 09:30:00 PM,222,0.67,8,32,Flash Cab
2050124,06/02/2019 09:30:00 PM,338,1.04,8,32,Blue Diamond
2050125,06/02/2019 09:30:00 PM,568,1.4,8,32,City Service
2050126,06/02/2019 09:30:00 PM,420,1.3,32,8,Taxi Affiliation Services
2050127,06/02/2019 09:30:00 PM,540,1.9,32,8,"Taxicab Insurance Agency, LLC"
2050128,06/02/2019 09:30:00 PM,451,0.64,8,8,Sun Taxi
2050129,06/02/2019 09:30:00 PM,255,0.61,8,32,Flash Cab
2050130,06/02/2019 09:30:00 PM,338,1.54,14,4,Flash Cab
2050131,06/02/2019 09:30:00 PM,385,1.0,32,8,Checker Taxi Affiliation
2050132,06/02/2019 09:30:00 PM,284,0.74,32,8,Chicago Carriage Cab Corp
2050133,06/02/2019 09:30:00 PM,360,0.8,32,8,Chicago Independents
2050134,06/02/2019 09:30:00 PM,240,0.9,32,32,Star North Management LLC
2050135,06/02/2019 09:30:00 PM,207,0.63,8,32,Chicago Carriage Cab Corp
2050136,06/02/2019 09:30:00 PM,480,1.3,8,8,Taxi Affiliation Services
2050137,06/02/2019 09:30:00 PM,435,1.1,8,8,Nova Taxi Affiliation Llc
2050138,06/02/2019 09:30:00 PM,293,1.14,24,24,Sun Taxi
2050139,06/02/2019 09:30:00 PM,515,1.4,8,8,City Service
2050140,06/02/2019 09:30:00 PM,420,0.9,8,8,Choice Taxi Association
2050141,06/02/2019 09:30:00 PM,451,1.34,8,8,Blue Diamond
2050142,06/02/2019 09:30:00 PM,386,1.36,76,76,Chicago Carriage Cab Corp
2050143,06/02/2019 09:30:00 PM,183,0.62,28,28,Chicago Carriage Cab Corp
2050144,06/02/2019 09:30:00 PM,263,0.7,8,8,Medallion Leasin
2050145,06/02/2019 09:30:00 PM,360,1.6,32,33,Top Cab Affiliation
2050146,06/02/2019 09:30:00 PM,300,1.2,8,28,Taxi Affiliation Services
2050147,06/02/2019 09:30:00 PM,420,1.3,8,32,Choice Taxi Association
2050148,06/02/2019 09:30:00 PM,240,0.8,8,32,Medallion Leasin
2050149,06/02/2019 09:30:00 PM,246,1.4,7,7,Sun Taxi
2050150,06/02/2019 09:30:00 PM,489,1.75,8,24,Sun Taxi
2050151,06/02/2019 09:30:00 PM,398,0.75,8,32,Taxi Affiliation Service Yellow
2050152,06/02/2019 09:30:00 PM,420,1.5,8,28,Chicago Medallion Management
2050153,06/02/2019 09:30:00 PM,379,1.0,28,24,Flash Cab
2050154,06/02/2019 09:30:00 PM,297,1.1,32,32,Chicago Carriage Cab Corp
2050155,06/02/2019 09:30:00 PM,337,0.95,8,8,Chicago Carriage Cab Corp
2050156,06/02/2019 09:30:00 PM,523,1.51,8,32,Flash Cab
2050157,06/02/2019 09:30:00 PM,540,1.5,32,8,Taxi Affiliation Services
2050158,06/02/2019 09:30:00 PM,300,1.3,32,28,Chicago Independents
2050159,06/02/2019 09:30:00 PM,540,1.5,32,8,Choice Taxi Association
2050160,06/02/2019 09:30:00 PM,240,0.6,8,8,Taxi Affiliation Services
2050161,06/02/2019 09:30:00 PM,420,1.0,32,8,Taxi Affiliation Services
2050162,06/02/2019 09:30:00 PM,348,1.25,8,8,Sun Taxi
2050163,06/02/2019 09:30:00 PM,300,0.6,8,8,Star North Management LLC
2050164,06/02/2019 09:30:00 PM,540,1.0,28,32,Medallion Leasin
2050165,06/02/2019 09:30:00 PM,480,0.9,32,8,Medallion Leasin
2050166,06/02/2019 09:30:00 PM,469,1.82,8,7,Flash Cab
2050167,06/02/2019 09:30:00 PM,447,0.98,8,8,Patriot Taxi Dba Peace Taxi Associat
2050168,06/02/2019 09:30:00 PM,420,1.2,32,32,Taxi Affiliation Services
2050169,06/02/2019 09:30:00 PM,411,1.81,32,33,Flash Cab
2050170,06/02/2019 09:30:00 PM,448,1.84,28,33,Sun Taxi
2050171,06/02/2019 09:30:00 PM,360,1.5,8,32,Star North Management LLC
2050172,06/02/2019 09:30:00 PM,309,0.77,8,8,Chicago Carriage Cab Corp
2050173,06/02/2019 09:30:00 PM,440,1.04,8,8,Chicago Carriage Cab Corp
2050174,06/02/2019 09:30:00 PM,189,0.61,8,8,Chicago Carriage Cab Corp
2050175,06/02/2019 09:30:00 PM,313,0.95,32,8,Nova Taxi Affiliation Llc
2050176,06/02/2019 09:30:00 PM,540,1.6,32,8,Taxi Affiliation Services
2050177,06/02/2019 09:30:00 PM,417,1.6,8,32,City Service
2050178,06/02/2019 09:30:00 PM,416,1.33,8,8,Chicago Carriage Cab Corp
2050179,06/02/2019 09:30:00 PM,360,0.8,8,8,3591 - 63480 Chuks Cab
2050180,06/02/2019 09:30:00 PM,282,0.6,8,8,Taxi Affiliation Service Yellow
2050181,06/02/2019 09:30:00 PM,300,1.4,8,32,Medallion Leasin
