,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2080000,06/05/2019 03:15:00 AM,566,1.83,28,32,Chicago Carriage Cab Corp
2080001,06/05/2019 03:15:00 AM,240,0.6,6,6,"Taxicab Insurance Agency, LLC"
2080002,06/05/2019 03:15:00 AM,360,1.9,6,5,Taxi Affiliation Services
2080003,06/05/2019 03:15:00 AM,476,1.15,8,8,Chicago Carriage Cab Corp
2080004,06/05/2019 03:15:00 AM,300,0.9,8,8,Taxi Affiliation Services
2080005,06/05/2019 03:15:00 AM,197,0.6,2,2,Patriot Taxi Dba Peace Taxi Associat
2080006,06/05/2019 03:15:00 AM,240,0.6,8,8,Taxi Affiliation Services
2080007,06/05/2019 03:15:00 AM,383,1.22,16,16,Flash Cab
2080008,06/05/2019 03:15:00 AM,586,1.61,28,32,Chicago Carriage Cab Corp
2080009,06/05/2019 03:15:00 AM,360,1.1,6,6,Top Cab Affiliation
2080010,06/05/2019 03:15:00 AM,454,0.97,6,6,Flash Cab
2080011,06/05/2019 03:30:00 AM,342,0.94,14,16,Flash Cab
2080012,06/05/2019 03:30:00 AM,428,1.9,5,6,Chicago Independents
2080013,06/05/2019 03:30:00 AM,520,1.97,32,32,Chicago Carriage Cab Corp
2080014,06/05/2019 03:30:00 AM,240,0.8,8,32,Star North Management LLC
2080015,06/05/2019 03:30:00 AM,250,0.92,77,2,Flash Cab
2080016,06/05/2019 03:30:00 AM,305,1.13,77,1,Flash Cab
2080017,06/05/2019 03:30:00 AM,463,0.8,22,22,Taxi Affiliation Service Yellow
2080018,06/05/2019 03:30:00 AM,360,1.1,6,6,Top Cab Affiliation
2080019,06/05/2019 03:30:00 AM,516,1.48,28,32,Chicago Carriage Cab Corp
2080020,06/05/2019 03:30:00 AM,543,1.69,28,32,Chicago Carriage Cab Corp
2080021,06/05/2019 03:30:00 AM,363,1.6,24,22,Taxi Affiliation Service Yellow
2080022,06/05/2019 03:30:00 AM,338,1.09,8,8,City Service
2080023,06/05/2019 03:30:00 AM,370,1.49,32,32,Chicago Carriage Cab Corp
2080024,06/05/2019 03:45:00 AM,489,1.59,16,14,Flash Cab
2080025,06/05/2019 03:45:00 AM,360,0.6,28,32,312 Medallion Management Corp
2080026,06/05/2019 03:45:00 AM,344,0.75,8,8,City Service
2080027,06/05/2019 03:45:00 AM,388,1.21,8,8,Flash Cab
2080028,06/05/2019 03:45:00 AM,515,1.75,28,32,Chicago Carriage Cab Corp
2080029,06/05/2019 03:45:00 AM,300,1.4,8,8,Taxi Affiliation Services
2080030,06/05/2019 03:45:00 AM,213,1.24,32,32,Sun Taxi
2080031,06/05/2019 03:45:00 AM,263,1.78,7,8,Flash Cab
2080032,06/05/2019 04:00:00 AM,564,1.25,2,13,Flash Cab
2080033,06/05/2019 04:00:00 AM,268,1.41,32,28,Chicago Carriage Cab Corp
2080034,06/05/2019 04:00:00 AM,410,1.99,21,14,Blue Diamond
2080035,06/05/2019 04:00:00 AM,580,1.57,28,32,Chicago Carriage Cab Corp
2080036,06/05/2019 04:00:00 AM,379,1.22,2,2,Flash Cab
2080037,06/05/2019 04:00:00 AM,391,0.54,32,28,Chicago Carriage Cab Corp
2080038,06/05/2019 04:00:00 AM,304,0.93,6,3,Flash Cab
2080039,06/05/2019 04:00:00 AM,378,1.66,3,77,Flash Cab
2080040,06/05/2019 04:00:00 AM,240,0.8,8,8,Star North Management LLC
2080041,06/05/2019 04:00:00 AM,378,1.17,16,16,Flash Cab
2080042,06/05/2019 04:00:00 AM,21180,1.0,32,8,312 Medallion Management Corp
2080043,06/05/2019 04:00:00 AM,215,0.71,3,3,Flash Cab
2080044,06/05/2019 04:15:00 AM,551,1.84,32,28,Chicago Carriage Cab Corp
2080045,06/05/2019 04:15:00 AM,240,0.9,8,8,Taxi Affiliation Services
2080046,06/05/2019 04:15:00 AM,420,1.9,33,33,Top Cab Affiliation
2080047,06/05/2019 04:30:00 AM,384,1.69,12,16,Flash Cab
2080048,06/05/2019 04:30:00 AM,300,1.0,8,8,Taxi Affiliation Services
2080049,06/05/2019 04:30:00 AM,338,1.62,8,7,City Service
2080050,06/05/2019 04:30:00 AM,300,1.2,3,3,Taxi Affiliation Services
2080051,06/05/2019 04:30:00 AM,420,1.9,3,6,Star North Management LLC
2080052,06/05/2019 04:30:00 AM,340,1.34,8,32,Chicago Carriage Cab Corp
2080053,06/05/2019 04:30:00 AM,240,1.3,11,15,Taxi Affiliation Services
2080054,06/05/2019 04:30:00 AM,232,1.13,8,8,Flash Cab
2080055,06/05/2019 04:45:00 AM,486,1.83,76,76,Chicago Carriage Cab Corp
2080056,06/05/2019 04:45:00 AM,318,1.33,45,44,Flash Cab
2080057,06/05/2019 04:45:00 AM,480,0.7,8,8,Taxi Affiliation Services
2080058,06/05/2019 04:45:00 AM,420,1.3,8,8,Taxi Affiliation Services
2080059,06/05/2019 04:45:00 AM,360,0.8,8,8,"Taxicab Insurance Agency, LLC"
2080060,06/05/2019 04:45:00 AM,275,1.58,32,28,City Service
2080061,06/05/2019 05:00:00 AM,360,1.4,24,24,Star North Management LLC
2080062,06/05/2019 05:00:00 AM,392,1.09,32,8,Flash Cab
2080063,06/05/2019 05:00:00 AM,272,1.0,8,8,City Service
2080064,06/05/2019 05:00:00 AM,286,1.01,8,8,City Service
2080065,06/05/2019 05:00:00 AM,214,0.69,3,6,Sun Taxi
2080066,06/05/2019 05:00:00 AM,420,1.9,77,6,Medallion Leasin
2080067,06/05/2019 05:00:00 AM,345,0.84,1,1,Chicago Carriage Cab Corp
2080068,06/05/2019 05:00:00 AM,360,1.7,31,31,Taxi Affiliation Services
2080069,06/05/2019 05:00:00 AM,463,1.49,32,32,Chicago Carriage Cab Corp
2080070,06/05/2019 05:00:00 AM,300,1.0,8,32,Medallion Leasin
2080071,06/05/2019 05:00:00 AM,271,1.61,34,60,Chicago Carriage Cab Corp
2080072,06/05/2019 05:15:00 AM,319,0.84,28,32,Chicago Carriage Cab Corp
2080073,06/05/2019 05:15:00 AM,460,1.36,28,8,Chicago Carriage Cab Corp
2080074,06/05/2019 05:15:00 AM,258,0.8,8,8,Taxi Affiliation Service Yellow
2080075,06/05/2019 05:15:00 AM,385,1.7,8,28,Setare Inc
2080076,06/05/2019 05:15:00 AM,311,0.89,8,8,Flash Cab
2080077,06/05/2019 05:15:00 AM,274,0.89,28,8,Chicago Carriage Cab Corp
2080078,06/05/2019 05:15:00 AM,360,1.5,6,7,Taxi Affiliation Services
2080079,06/05/2019 05:15:00 AM,300,1.0,3,3,Taxi Affiliation Services
2080080,06/05/2019 05:15:00 AM,300,1.3,32,32,Taxi Affiliation Services
2080081,06/05/2019 05:15:00 AM,453,1.08,28,32,Chicago Carriage Cab Corp
2080082,06/05/2019 05:15:00 AM,517,1.8,28,8,Medallion Leasin
2080083,06/05/2019 05:15:00 AM,358,1.3,32,32,24 Seven Taxi
2080084,06/05/2019 05:15:00 AM,540,1.3,8,32,"Taxicab Insurance Agency, LLC"
2080085,06/05/2019 05:15:00 AM,450,1.33,8,32,Chicago Carriage Cab Corp
2080086,06/05/2019 05:30:00 AM,292,1.01,28,28,Flash Cab
