,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2100000,06/06/2019 12:00:00 PM,509,1.26,8,32,Flash Cab
2100001,06/06/2019 12:00:00 PM,306,0.9,6,3,24 Seven Taxi
2100002,06/06/2019 12:00:00 PM,480,0.9,32,8,"Taxicab Insurance Agency, LLC"
2100003,06/06/2019 12:00:00 PM,526,1.19,32,32,Chicago Independents
2100004,06/06/2019 12:00:00 PM,424,1.01,32,32,Chicago Carriage Cab Corp
2100005,06/06/2019 12:00:00 PM,480,0.7,32,8,Top Cab Affiliation
2100006,06/06/2019 12:00:00 PM,480,0.8,8,32,Taxi Affiliation Services
2100007,06/06/2019 12:00:00 PM,480,1.0,32,8,Star North Management LLC
2100008,06/06/2019 12:00:00 PM,480,1.5,32,28,City Service
2100009,06/06/2019 12:00:00 PM,420,0.66,28,8,Sun Taxi
2100010,06/06/2019 12:00:00 PM,414,0.52,8,8,Sun Taxi
2100011,06/06/2019 12:00:00 PM,295,0.82,32,28,Chicago Carriage Cab Corp
2100012,06/06/2019 12:00:00 PM,322,0.73,8,8,Flash Cab
2100013,06/06/2019 12:00:00 PM,438,0.95,32,28,Nova Taxi Affiliation Llc
2100014,06/06/2019 12:00:00 PM,530,1.06,32,8,Sun Taxi
2100015,06/06/2019 12:00:00 PM,540,1.4,28,8,3094 - 24059 G.L.B. Cab Co
2100016,06/06/2019 12:00:00 PM,404,0.7,32,32,Checker Taxi Affiliation
2100017,06/06/2019 12:00:00 PM,420,0.72,8,8,Flash Cab
2100018,06/06/2019 12:00:00 PM,339,0.53,8,8,Chicago Carriage Cab Corp
2100019,06/06/2019 12:00:00 PM,540,1.22,32,8,Flash Cab
2100020,06/06/2019 12:00:00 PM,532,1.45,33,32,Patriot Taxi Dba Peace Taxi Associat
2100021,06/06/2019 12:00:00 PM,471,1.01,8,8,24 Seven Taxi
2100022,06/06/2019 12:00:00 PM,351,0.79,6,6,Flash Cab
2100023,06/06/2019 12:00:00 PM,185,0.51,8,8,Sun Taxi
2100024,06/06/2019 12:00:00 PM,360,1.2,28,8,Taxi Affiliation Services
2100025,06/06/2019 12:00:00 PM,500,1.0,8,8,Flash Cab
2100026,06/06/2019 12:00:00 PM,420,1.7,8,8,5874 - 73628 Sergey Cab Corp.
2100027,06/06/2019 12:00:00 PM,358,0.91,8,8,Chicago Carriage Cab Corp
