,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2110000,06/06/2019 11:15:00 PM,255,1.1,11,15,Chicago Taxicab
2110001,06/06/2019 11:15:00 PM,420,1.1,8,8,Taxi Affiliation Services
2110002,06/06/2019 11:15:00 PM,459,0.82,28,32,Chicago Carriage Cab Corp
2110003,06/06/2019 11:15:00 PM,450,1.0,8,8,Flash Cab
2110004,06/06/2019 11:15:00 PM,426,1.39,77,77,City Service
2110005,06/06/2019 11:15:00 PM,360,1.1,28,28,Chicago Medallion Management
2110006,06/06/2019 11:15:00 PM,321,0.93,2,2,Flash Cab
2110007,06/06/2019 11:15:00 PM,300,0.85,8,8,City Service
2110008,06/06/2019 11:15:00 PM,300,0.9,32,8,Taxi Affiliation Services
2110009,06/06/2019 11:15:00 PM,587,1.1,8,8,City Service
2110010,06/06/2019 11:15:00 PM,374,0.89,8,8,Flash Cab
2110011,06/06/2019 11:15:00 PM,531,1.41,28,8,City Service
2110012,06/06/2019 11:15:00 PM,594,1.8,8,8,Medallion Leasin
2110013,06/06/2019 11:15:00 PM,477,0.97,8,8,Flash Cab
2110014,06/06/2019 11:15:00 PM,468,1.54,8,8,Flash Cab
2110015,06/06/2019 11:15:00 PM,540,1.6,32,8,Taxi Affiliation Services
2110016,06/06/2019 11:15:00 PM,404,1.8,8,32,Taxi Affiliation Service Yellow
2110017,06/06/2019 11:15:00 PM,2520,1.1,76,32,Blue Ribbon Taxi Association Inc.
2110018,06/06/2019 11:15:00 PM,300,0.7,32,8,Top Cab Affiliation
2110019,06/06/2019 11:15:00 PM,347,1.68,32,8,City Service
2110020,06/06/2019 11:15:00 PM,300,0.8,28,28,"Taxicab Insurance Agency, LLC"
2110021,06/06/2019 11:15:00 PM,2820,1.2,76,33,Blue Ribbon Taxi Association Inc.
2110022,06/06/2019 11:15:00 PM,240,0.8,8,8,City Service
2110023,06/06/2019 11:15:00 PM,284,1.04,32,32,Chicago Carriage Cab Corp
2110024,06/06/2019 11:15:00 PM,500,1.6,28,32,City Service
2110025,06/06/2019 11:15:00 PM,300,0.6,32,8,Taxi Affiliation Services
2110026,06/06/2019 11:15:00 PM,240,1.1,28,32,Choice Taxi Association
2110027,06/06/2019 11:15:00 PM,240,0.8,32,32,Top Cab Affiliation
2110028,06/06/2019 11:15:00 PM,240,0.6,32,8,Taxi Affiliation Services
2110029,06/06/2019 11:15:00 PM,394,1.35,28,32,City Service
2110030,06/06/2019 11:15:00 PM,384,1.65,28,8,City Service
2110031,06/06/2019 11:15:00 PM,356,1.85,8,7,Flash Cab
2110032,06/06/2019 11:15:00 PM,323,1.49,11,32,Sun Taxi
2110033,06/06/2019 11:15:00 PM,480,1.34,32,8,Nova Taxi Affiliation Llc
2110034,06/06/2019 11:15:00 PM,300,1.1,32,28,Taxi Affiliation Services
2110035,06/06/2019 11:15:00 PM,2700,0.9,76,6,Taxi Affiliation Services
