,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2150000,06/10/2019 09:00:00 AM,420,1.1,32,28,Taxi Affiliation Services
2150001,06/10/2019 09:00:00 AM,2100,10.1,56,28,Taxi Affiliation Services
2150002,06/10/2019 09:00:00 AM,544,0.81,28,32,Flash Cab
2150003,06/10/2019 09:00:00 AM,538,0.61,32,8,Flash Cab
2150004,06/10/2019 09:00:00 AM,480,1.3,8,32,Star North Management LLC
2150005,06/10/2019 09:00:00 AM,465,0.6,28,32,Medallion Leasin
2150006,06/10/2019 09:00:00 AM,240,0.8,28,32,"Taxicab Insurance Agency, LLC"
2150007,06/10/2019 09:00:00 AM,433,0.98,8,8,City Service
2150008,06/10/2019 09:00:00 AM,427,0.92,8,32,Chicago Carriage Cab Corp
2150009,06/10/2019 09:00:00 AM,360,1.0,32,32,Taxi Affiliation Services
2150010,06/10/2019 09:00:00 AM,360,1.0,8,8,Choice Taxi Association
2150011,06/10/2019 09:00:00 AM,300,0.6,28,32,"Taxicab Insurance Agency, LLC"
2150012,06/10/2019 09:00:00 AM,367,0.9,33,35,Chicago Carriage Cab Corp
2150013,06/10/2019 09:00:00 AM,300,0.7,32,28,Star North Management LLC
2150014,06/10/2019 09:00:00 AM,412,1.33,32,8,Flash Cab
2150015,06/10/2019 09:00:00 AM,215,0.54,32,32,Sun Taxi
2150016,06/10/2019 09:00:00 AM,506,0.87,32,32,Chicago Carriage Cab Corp
2150017,06/10/2019 09:00:00 AM,595,0.91,8,8,Chicago Carriage Cab Corp
2150018,06/10/2019 09:00:00 AM,420,0.7,8,8,Chicago Medallion Management
2150019,06/10/2019 09:00:00 AM,365,0.88,32,8,Flash Cab
2150020,06/10/2019 09:00:00 AM,279,0.8,8,8,City Service
2150021,06/10/2019 09:00:00 AM,462,0.8,32,32,Medallion Leasin
2150022,06/10/2019 09:00:00 AM,360,1.9,32,33,Taxi Affiliation Services
2150023,06/10/2019 09:00:00 AM,424,0.63,8,32,City Service
2150024,06/10/2019 09:00:00 AM,480,1.8,28,8,Taxi Affiliation Services
2150025,06/10/2019 09:00:00 AM,463,1.08,28,32,Chicago Carriage Cab Corp
2150026,06/10/2019 09:00:00 AM,366,0.83,28,32,Chicago Carriage Cab Corp
2150027,06/10/2019 09:00:00 AM,2893,10.8,28,7,Chicago Carriage Cab Corp
2150028,06/10/2019 09:00:00 AM,2074,1.5,28,8,Blue Diamond
2150029,06/10/2019 09:00:00 AM,597,1.61,28,32,Chicago Carriage Cab Corp
2150030,06/10/2019 09:00:00 AM,558,0.9,32,32,City Service
2150031,06/10/2019 09:00:00 AM,305,0.64,28,32,Chicago Carriage Cab Corp
2150032,06/10/2019 09:00:00 AM,2460,1.0,8,76,Blue Ribbon Taxi Association Inc.
2150033,06/10/2019 09:00:00 AM,344,1.38,8,8,Chicago Carriage Cab Corp
2150034,06/10/2019 09:00:00 AM,360,0.6,28,32,Star North Management LLC
2150035,06/10/2019 09:00:00 AM,377,0.99,2,13,Flash Cab
2150036,06/10/2019 09:00:00 AM,420,1.7,8,28,Taxi Affiliation Services
2150037,06/10/2019 09:00:00 AM,559,1.28,24,32,Sun Taxi
2150038,06/10/2019 09:00:00 AM,2188,10.41,4,32,Flash Cab
2150039,06/10/2019 09:00:00 AM,540,1.3,8,8,Chicago Medallion Management
2150040,06/10/2019 09:00:00 AM,300,0.7,32,8,Taxi Affiliation Services
2150041,06/10/2019 09:00:00 AM,540,1.3,8,28,Choice Taxi Association
2150042,06/10/2019 09:00:00 AM,514,1.02,32,32,24 Seven Taxi
2150043,06/10/2019 09:00:00 AM,392,0.57,28,32,Flash Cab
2150044,06/10/2019 09:00:00 AM,505,0.73,28,32,Flash Cab
2150045,06/10/2019 09:00:00 AM,345,0.7,32,8,Medallion Leasin
2150046,06/10/2019 09:00:00 AM,598,1.4,8,32,Sun Taxi
2150047,06/10/2019 09:00:00 AM,480,1.0,32,8,Choice Taxi Association
2150048,06/10/2019 09:00:00 AM,420,1.8,32,33,Taxi Affiliation Services
2150049,06/10/2019 09:00:00 AM,312,1.21,33,32,Chicago Carriage Cab Corp
2150050,06/10/2019 09:00:00 AM,480,1.8,32,33,Star North Management LLC
2150051,06/10/2019 09:00:00 AM,420,1.1,8,32,Taxi Affiliation Services
2150052,06/10/2019 09:00:00 AM,410,1.5,28,32,Chicago Carriage Cab Corp
2150053,06/10/2019 09:00:00 AM,300,0.7,28,32,Taxi Affiliation Services
2150054,06/10/2019 09:00:00 AM,496,0.86,32,8,24 Seven Taxi
2150055,06/10/2019 09:00:00 AM,282,0.55,28,32,Chicago Carriage Cab Corp
2150056,06/10/2019 09:00:00 AM,311,0.68,8,32,Patriot Taxi Dba Peace Taxi Associat
2150057,06/10/2019 09:00:00 AM,301,0.75,8,8,Sun Taxi
2150058,06/10/2019 09:00:00 AM,492,0.97,8,8,Chicago Carriage Cab Corp
2150059,06/10/2019 09:00:00 AM,476,0.65,8,8,Chicago Carriage Cab Corp
2150060,06/10/2019 09:00:00 AM,540,1.3,8,8,"Taxicab Insurance Agency, LLC"
2150061,06/10/2019 09:00:00 AM,417,1.29,8,8,Flash Cab
2150062,06/10/2019 09:00:00 AM,360,1.5,8,32,Taxi Affiliation Services
2150063,06/10/2019 09:00:00 AM,488,1.59,8,7,Sun Taxi
2150064,06/10/2019 09:00:00 AM,540,1.9,8,32,Taxi Affiliation Services
2150065,06/10/2019 09:00:00 AM,449,1.21,28,24,Chicago Carriage Cab Corp
2150066,06/10/2019 09:00:00 AM,540,1.4,32,8,Top Cab Affiliation
2150067,06/10/2019 09:00:00 AM,240,0.8,8,8,Taxi Affiliation Services
2150068,06/10/2019 09:00:00 AM,480,1.1,8,32,Star North Management LLC
2150069,06/10/2019 09:00:00 AM,300,0.9,28,32,Taxi Affiliation Services
2150070,06/10/2019 09:00:00 AM,583,1.15,32,28,Chicago Carriage Cab Corp
2150071,06/10/2019 09:00:00 AM,359,0.69,32,32,Patriot Taxi Dba Peace Taxi Associat
2150072,06/10/2019 09:00:00 AM,547,1.02,32,8,Flash Cab
2150073,06/10/2019 09:00:00 AM,559,0.53,8,8,Flash Cab
2150074,06/10/2019 09:00:00 AM,480,1.1,32,8,Taxi Affiliation Services
2150075,06/10/2019 09:00:00 AM,345,0.76,28,32,Nova Taxi Affiliation Llc
2150076,06/10/2019 09:00:00 AM,516,1.54,32,8,Sun Taxi
2150077,06/10/2019 09:00:00 AM,523,1.0,28,32,Medallion Leasin
2150078,06/10/2019 09:00:00 AM,300,0.8,32,8,Star North Management LLC
2150079,06/10/2019 09:00:00 AM,311,1.16,4,3,Flash Cab
2150080,06/10/2019 09:00:00 AM,425,0.7,32,28,City Service
2150081,06/10/2019 09:00:00 AM,480,1.1,8,32,Star North Management LLC
2150082,06/10/2019 09:00:00 AM,557,0.69,28,32,Chicago Carriage Cab Corp
2150083,06/10/2019 09:00:00 AM,300,0.7,8,8,"3721 - Santamaria Express, Alvaro Santamaria"
2150084,06/10/2019 09:00:00 AM,360,0.9,8,8,Star North Management LLC
2150085,06/10/2019 09:00:00 AM,380,1.0,32,32,Flash Cab
2150086,06/10/2019 09:00:00 AM,402,1.75,32,33,Chicago Carriage Cab Corp
2150087,06/10/2019 09:00:00 AM,417,0.85,32,32,Patriot Taxi Dba Peace Taxi Associat
2150088,06/10/2019 09:00:00 AM,380,1.34,8,8,Sun Taxi
2150089,06/10/2019 09:00:00 AM,327,0.94,8,32,Nova Taxi Affiliation Llc
2150090,06/10/2019 09:00:00 AM,314,0.66,3,3,Flash Cab
2150091,06/10/2019 09:00:00 AM,540,0.7,32,32,Taxi Affiliation Services
2150092,06/10/2019 09:00:00 AM,420,0.8,32,32,Star North Management LLC
2150093,06/10/2019 09:00:00 AM,540,1.5,32,32,Medallion Leasin
2150094,06/10/2019 09:00:00 AM,300,0.7,32,28,Medallion Leasin
2150095,06/10/2019 09:00:00 AM,480,1.3,8,32,Taxi Affiliation Services
2150096,06/10/2019 09:00:00 AM,360,0.9,8,8,Medallion Leasin
2150097,06/10/2019 09:00:00 AM,480,1.5,8,8,Taxi Affiliation Services
2150098,06/10/2019 09:00:00 AM,439,0.85,28,28,Flash Cab
