,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2160000,06/10/2019 06:45:00 PM,351,1.05,32,32,City Service
2160001,06/10/2019 06:45:00 PM,480,1.0,8,28,Taxi Affiliation Services
2160002,06/10/2019 06:45:00 PM,184,0.67,28,32,Sun Taxi
2160003,06/10/2019 06:45:00 PM,360,0.7,32,8,Medallion Leasin
2160004,06/10/2019 06:45:00 PM,360,1.1,3,77,Chicago Medallion Management
2160005,06/10/2019 06:45:00 PM,249,0.58,32,32,Flash Cab
2160006,06/10/2019 06:45:00 PM,402,1.32,32,28,Flash Cab
2160007,06/10/2019 06:45:00 PM,269,1.0,32,32,Sun Taxi
2160008,06/10/2019 06:45:00 PM,3840,0.9,76,7,Blue Ribbon Taxi Association Inc.
2160009,06/10/2019 06:45:00 PM,240,0.7,32,28,Taxi Affiliation Services
2160010,06/10/2019 06:45:00 PM,360,0.6,8,8,Chicago Independents
2160011,06/10/2019 06:45:00 PM,387,0.75,32,28,Flash Cab
2160012,06/10/2019 06:45:00 PM,514,1.56,32,8,City Service
2160013,06/10/2019 06:45:00 PM,380,1.14,32,28,Chicago Carriage Cab Corp
2160014,06/10/2019 06:45:00 PM,420,0.6,8,8,Star North Management LLC
2160015,06/10/2019 06:45:00 PM,240,0.7,8,8,"Taxicab Insurance Agency, LLC"
2160016,06/10/2019 06:45:00 PM,505,1.3,32,8,City Service
2160017,06/10/2019 06:45:00 PM,300,0.7,8,32,Choice Taxi Association
2160018,06/10/2019 06:45:00 PM,540,1.5,32,24,Medallion Leasin
2160019,06/10/2019 06:45:00 PM,587,1.2,8,8,Chicago Taxicab
2160020,06/10/2019 06:45:00 PM,335,0.77,32,8,Chicago Carriage Cab Corp
2160021,06/10/2019 06:45:00 PM,300,0.6,8,8,Star North Management LLC
2160022,06/10/2019 06:45:00 PM,540,0.6,32,8,Top Cab Affiliation
2160023,06/10/2019 06:45:00 PM,3960,1.0,76,8,Blue Ribbon Taxi Association Inc.
2160024,06/10/2019 06:45:00 PM,512,1.3,8,28,Blue Diamond
2160025,06/10/2019 06:45:00 PM,306,0.68,8,8,City Service
2160026,06/10/2019 06:45:00 PM,550,1.1,32,8,City Service
