,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2170000,06/11/2019 12:15:00 PM,540,1.1,8,28,Star North Management LLC
2170001,06/11/2019 12:15:00 PM,1999,1.4,76,76,Setare Inc
2170002,06/11/2019 12:15:00 PM,360,1.4,32,8,"Taxicab Insurance Agency, LLC"
2170003,06/11/2019 12:15:00 PM,489,0.94,32,28,Chicago Carriage Cab Corp
2170004,06/11/2019 12:15:00 PM,461,0.8,8,28,Medallion Leasin
2170005,06/11/2019 12:15:00 PM,240,0.7,32,32,Top Cab Affiliation
2170006,06/11/2019 12:15:00 PM,322,0.85,8,8,Flash Cab
2170007,06/11/2019 12:15:00 PM,448,1.33,6,6,Flash Cab
2170008,06/11/2019 12:15:00 PM,401,1.03,8,8,Chicago Carriage Cab Corp
2170009,06/11/2019 12:15:00 PM,463,0.89,8,28,Sun Taxi
2170010,06/11/2019 12:15:00 PM,288,0.68,28,32,City Service
2170011,06/11/2019 12:15:00 PM,443,0.85,32,32,City Service
2170012,06/11/2019 12:15:00 PM,564,0.98,32,8,Flash Cab
2170013,06/11/2019 12:15:00 PM,488,0.71,8,28,Flash Cab
2170014,06/11/2019 12:15:00 PM,420,1.1,32,32,Taxi Affiliation Services
2170015,06/11/2019 12:15:00 PM,539,1.0,8,8,City Service
2170016,06/11/2019 12:15:00 PM,300,0.8,32,28,Medallion Leasin
2170017,06/11/2019 12:15:00 PM,240,1.0,32,8,Star North Management LLC
2170018,06/11/2019 12:15:00 PM,540,0.9,32,32,Taxi Affiliation Services
2170019,06/11/2019 12:15:00 PM,540,0.9,32,32,Choice Taxi Association
2170020,06/11/2019 12:15:00 PM,457,1.59,32,8,Chicago Carriage Cab Corp
2170021,06/11/2019 12:15:00 PM,566,1.23,8,8,Flash Cab
2170022,06/11/2019 12:15:00 PM,401,0.74,32,8,Flash Cab
2170023,06/11/2019 12:15:00 PM,334,0.58,32,28,Flash Cab
2170024,06/11/2019 12:15:00 PM,540,1.3,32,8,Medallion Leasin
2170025,06/11/2019 12:15:00 PM,348,0.74,32,28,Sun Taxi
2170026,06/11/2019 12:15:00 PM,355,0.77,8,8,City Service
2170027,06/11/2019 12:15:00 PM,360,0.68,8,32,Flash Cab
