,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2200000,06/13/2019 08:45:00 AM,300,0.7,32,32,Taxi Affiliation Services
2200001,06/13/2019 08:45:00 AM,255,0.64,8,32,Chicago Carriage Cab Corp
2200002,06/13/2019 08:45:00 AM,565,1.76,8,32,Chicago Carriage Cab Corp
2200003,06/13/2019 08:45:00 AM,240,0.7,8,32,Taxi Affiliation Services
2200004,06/13/2019 08:45:00 AM,300,0.9,28,28,Taxi Affiliation Services
2200005,06/13/2019 08:45:00 AM,300,0.8,32,28,Star North Management LLC
2200006,06/13/2019 08:45:00 AM,233,0.69,32,28,Taxi Affiliation Service Yellow
2200007,06/13/2019 08:45:00 AM,576,1.1,28,32,Taxi Affiliation Service Yellow
2200008,06/13/2019 08:45:00 AM,480,1.5,28,32,Taxi Affiliation Services
2200009,06/13/2019 08:45:00 AM,420,0.9,32,32,Star North Management LLC
2200010,06/13/2019 08:45:00 AM,409,0.75,32,28,Flash Cab
2200011,06/13/2019 08:45:00 AM,410,0.86,28,28,Sun Taxi
2200012,06/13/2019 08:45:00 AM,531,1.25,8,8,City Service
2200013,06/13/2019 08:45:00 AM,540,1.02,28,32,Chicago Carriage Cab Corp
2200014,06/13/2019 08:45:00 AM,300,0.8,8,28,Medallion Leasin
2200015,06/13/2019 08:45:00 AM,269,0.78,8,8,Sun Taxi
2200016,06/13/2019 08:45:00 AM,588,0.71,28,32,Chicago Carriage Cab Corp
2200017,06/13/2019 08:45:00 AM,300,1.0,28,32,Star North Management LLC
2200018,06/13/2019 08:45:00 AM,360,0.6,28,32,KOAM Taxi Association
2200019,06/13/2019 08:45:00 AM,408,0.97,28,28,Flash Cab
2200020,06/13/2019 08:45:00 AM,463,1.13,32,32,Flash Cab
2200021,06/13/2019 08:45:00 AM,360,1.2,8,32,Taxi Affiliation Services
2200022,06/13/2019 08:45:00 AM,589,1.8,8,8,Flash Cab
2200023,06/13/2019 08:45:00 AM,480,1.5,8,32,Choice Taxi Association
2200024,06/13/2019 08:45:00 AM,360,0.7,32,32,"Taxicab Insurance Agency, LLC"
2200025,06/13/2019 08:45:00 AM,4860,1.0,76,32,Taxi Affiliation Services
2200026,06/13/2019 08:45:00 AM,528,0.62,8,32,Flash Cab
2200027,06/13/2019 08:45:00 AM,360,0.53,32,32,Nova Taxi Affiliation Llc
2200028,06/13/2019 09:00:00 AM,559,0.88,32,28,Flash Cab
2200029,06/13/2019 09:00:00 AM,300,0.6,28,32,Star North Management LLC
2200030,06/13/2019 09:00:00 AM,540,1.0,32,8,Medallion Leasin
2200031,06/13/2019 09:00:00 AM,540,1.1,8,28,"Taxicab Insurance Agency, LLC"
2200032,06/13/2019 09:00:00 AM,300,0.8,32,32,Choice Taxi Association
2200033,06/13/2019 09:00:00 AM,540,1.06,28,32,Nova Taxi Affiliation Llc
2200034,06/13/2019 09:00:00 AM,480,1.2,77,2,Taxi Affiliation Services
2200035,06/13/2019 09:00:00 AM,251,0.72,32,28,Chicago Carriage Cab Corp
2200036,06/13/2019 09:00:00 AM,463,0.67,8,28,Sun Taxi
2200037,06/13/2019 09:00:00 AM,1969,10.8,60,28,Checker Taxi Affiliation
2200038,06/13/2019 09:00:00 AM,422,0.8,28,28,Medallion Leasin
2200039,06/13/2019 09:00:00 AM,540,1.3,8,32,Taxi Affiliation Services
2200040,06/13/2019 09:00:00 AM,464,0.61,32,32,City Service
2200041,06/13/2019 09:00:00 AM,316,0.59,32,28,Chicago Carriage Cab Corp
2200042,06/13/2019 09:00:00 AM,435,0.97,32,8,Chicago Carriage Cab Corp
2200043,06/13/2019 09:00:00 AM,480,1.0,28,28,Star North Management LLC
2200044,06/13/2019 09:00:00 AM,501,1.22,32,8,Sun Taxi
2200045,06/13/2019 09:00:00 AM,468,0.67,28,32,Blue Diamond
2200046,06/13/2019 09:00:00 AM,480,1.2,32,8,Medallion Leasin
2200047,06/13/2019 09:00:00 AM,243,0.66,3,3,Flash Cab
2200048,06/13/2019 09:00:00 AM,474,0.8,32,32,Medallion Leasin
2200049,06/13/2019 09:00:00 AM,540,1.4,8,32,Taxi Affiliation Services
2200050,06/13/2019 09:00:00 AM,420,0.8,32,28,Medallion Leasin
2200051,06/13/2019 09:00:00 AM,499,1.55,7,8,Patriot Taxi Dba Peace Taxi Associat
2200052,06/13/2019 09:00:00 AM,563,0.8,32,8,Setare Inc
2200053,06/13/2019 09:00:00 AM,360,0.7,32,32,KOAM Taxi Association
2200054,06/13/2019 09:00:00 AM,240,0.6,28,28,Taxi Affiliation Services
2200055,06/13/2019 09:00:00 AM,480,0.8,28,32,Taxi Affiliation Services
2200056,06/13/2019 09:00:00 AM,528,1.02,28,32,Flash Cab
2200057,06/13/2019 09:00:00 AM,501,0.78,32,32,Flash Cab
2200058,06/13/2019 09:00:00 AM,240,0.7,8,8,Medallion Leasin
2200059,06/13/2019 09:00:00 AM,459,0.77,28,28,Chicago Carriage Cab Corp
2200060,06/13/2019 09:00:00 AM,526,1.05,32,8,Flash Cab
2200061,06/13/2019 09:00:00 AM,360,1.0,32,32,"Taxicab Insurance Agency, LLC"
2200062,06/13/2019 09:00:00 AM,2065,10.04,71,28,Flash Cab
2200063,06/13/2019 09:00:00 AM,360,1.1,32,8,Star North Management LLC
2200064,06/13/2019 09:00:00 AM,540,1.2,32,32,Chicago Taxicab
2200065,06/13/2019 09:00:00 AM,543,1.2,32,8,City Service
2200066,06/13/2019 09:00:00 AM,316,0.88,28,28,Chicago Carriage Cab Corp
2200067,06/13/2019 09:00:00 AM,480,1.2,8,8,Star North Management LLC
2200068,06/13/2019 09:00:00 AM,544,0.9,28,32,Flash Cab
2200069,06/13/2019 09:00:00 AM,537,1.05,28,32,Chicago Carriage Cab Corp
2200070,06/13/2019 09:00:00 AM,540,1.4,8,8,Chicago Medallion Management
2200071,06/13/2019 09:00:00 AM,245,0.63,28,32,Chicago Carriage Cab Corp
2200072,06/13/2019 09:00:00 AM,500,1.1,32,28,Chicago Carriage Cab Corp
2200073,06/13/2019 09:00:00 AM,420,0.7,28,32,Taxi Affiliation Services
2200074,06/13/2019 09:00:00 AM,506,0.54,32,32,Sun Taxi
2200075,06/13/2019 09:00:00 AM,325,0.75,8,32,Patriot Taxi Dba Peace Taxi Associat
2200076,06/13/2019 09:00:00 AM,403,0.92,28,28,Sun Taxi
2200077,06/13/2019 09:00:00 AM,470,1.08,13,14,Flash Cab
