,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2210000,06/13/2019 06:45:00 PM,420,1.0,8,32,Medallion Leasin
2210001,06/13/2019 06:45:00 PM,540,1.0,28,8,Taxi Affiliation Services
2210002,06/13/2019 06:45:00 PM,360,0.8,32,8,Star North Management LLC
2210003,06/13/2019 06:45:00 PM,352,0.8,32,8,Chicago Taxicab
2210004,06/13/2019 06:45:00 PM,406,1.14,32,32,Chicago Carriage Cab Corp
2210005,06/13/2019 06:45:00 PM,480,0.6,28,8,Star North Management LLC
2210006,06/13/2019 06:45:00 PM,363,1.43,32,8,Chicago Carriage Cab Corp
2210007,06/13/2019 06:45:00 PM,569,1.2,32,8,Medallion Leasin
2210008,06/13/2019 06:45:00 PM,251,0.76,8,8,Sun Taxi
2210009,06/13/2019 06:45:00 PM,480,1.3,7,8,Medallion Leasin
2210010,06/13/2019 06:45:00 PM,540,1.2,8,32,Taxi Affiliation Services
2210011,06/13/2019 06:45:00 PM,470,0.57,8,8,Gold Coast Taxi
2210012,06/13/2019 06:45:00 PM,540,1.4,32,24,Star North Management LLC
2210013,06/13/2019 06:45:00 PM,288,0.72,32,32,24 Seven Taxi
2210014,06/13/2019 06:45:00 PM,553,1.4,28,32,Checker Taxi Affiliation
2210015,06/13/2019 06:45:00 PM,333,0.69,8,32,Sun Taxi
2210016,06/13/2019 06:45:00 PM,540,1.0,32,8,"Taxicab Insurance Agency, LLC"
2210017,06/13/2019 06:45:00 PM,531,1.31,8,8,Sun Taxi
2210018,06/13/2019 06:45:00 PM,420,0.9,8,8,Taxi Affiliation Services
2210019,06/13/2019 06:45:00 PM,532,0.9,8,32,City Service
2210020,06/13/2019 06:45:00 PM,5520,1.0,76,32,Taxi Affiliation Services
2210021,06/13/2019 06:45:00 PM,423,1.42,7,7,Sun Taxi
2210022,06/13/2019 06:45:00 PM,480,1.9,8,8,"Taxicab Insurance Agency, LLC"
2210023,06/13/2019 06:45:00 PM,484,1.25,28,8,Chicago Carriage Cab Corp
2210024,06/13/2019 06:45:00 PM,240,0.7,32,8,Taxi Affiliation Services
2210025,06/13/2019 06:45:00 PM,540,0.8,32,8,"Taxicab Insurance Agency, LLC"
2210026,06/13/2019 06:45:00 PM,582,1.29,8,8,Chicago Carriage Cab Corp
2210027,06/13/2019 06:45:00 PM,498,1.09,32,8,Flash Cab
2210028,06/13/2019 06:45:00 PM,360,0.9,32,32,Chicago Medallion Management
2210029,06/13/2019 06:45:00 PM,386,1.05,8,8,Chicago Carriage Cab Corp
2210030,06/13/2019 06:45:00 PM,333,1.27,77,1,Sun Taxi
2210031,06/13/2019 06:45:00 PM,360,0.8,32,28,Top Cab Affiliation
2210032,06/13/2019 06:45:00 PM,360,1.2,8,8,Medallion Leasin
2210033,06/13/2019 06:45:00 PM,335,0.64,32,32,Flash Cab
2210034,06/13/2019 06:45:00 PM,351,1.2,8,32,Medallion Leasin
2210035,06/13/2019 06:45:00 PM,540,1.5,8,7,Taxi Affiliation Services
2210036,06/13/2019 06:45:00 PM,439,0.86,32,32,Chicago Carriage Cab Corp
2210037,06/13/2019 06:45:00 PM,360,1.2,32,32,Medallion Leasin
2210038,06/13/2019 06:45:00 PM,336,0.59,32,32,Chicago Carriage Cab Corp
2210039,06/13/2019 06:45:00 PM,540,1.4,8,32,Taxi Affiliation Services
2210040,06/13/2019 06:45:00 PM,565,1.36,8,8,Sun Taxi
2210041,06/13/2019 06:45:00 PM,317,0.75,8,32,Sun Taxi
2210042,06/13/2019 06:45:00 PM,458,0.87,8,32,Sun Taxi
2210043,06/13/2019 06:45:00 PM,521,1.48,32,32,City Service
2210044,06/13/2019 06:45:00 PM,322,0.54,32,8,Flash Cab
2210045,06/13/2019 06:45:00 PM,540,1.3,32,8,Taxi Affiliation Services
2210046,06/13/2019 06:45:00 PM,449,1.11,8,32,Flash Cab
2210047,06/13/2019 06:45:00 PM,405,0.89,32,32,Sun Taxi
2210048,06/13/2019 06:45:00 PM,480,1.1,32,8,1085 - 72312 N and W Cab Co
2210049,06/13/2019 06:45:00 PM,420,0.7,8,8,Taxi Affiliation Services
2210050,06/13/2019 06:45:00 PM,491,1.33,8,28,Chicago Carriage Cab Corp
2210051,06/13/2019 06:45:00 PM,185,0.6,32,32,Patriot Taxi Dba Peace Taxi Associat
2210052,06/13/2019 06:45:00 PM,544,1.63,8,8,Chicago Carriage Cab Corp
2210053,06/13/2019 06:45:00 PM,513,0.97,32,32,Chicago Carriage Cab Corp
2210054,06/13/2019 06:45:00 PM,373,0.92,8,8,Chicago Carriage Cab Corp
2210055,06/13/2019 06:45:00 PM,360,0.8,32,8,City Service
2210056,06/13/2019 06:45:00 PM,240,1.0,33,33,Taxi Affiliation Services
