,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2220000,06/14/2019 01:00:00 PM,480,1.2,32,28,Star North Management LLC
2220001,06/14/2019 01:00:00 PM,300,0.7,32,32,Taxi Affiliation Services
2220002,06/14/2019 01:00:00 PM,360,0.9,8,8,Taxi Affiliation Services
2220003,06/14/2019 01:00:00 PM,516,0.82,32,32,Flash Cab
2220004,06/14/2019 01:00:00 PM,480,0.6,32,32,Medallion Leasin
2220005,06/14/2019 01:00:00 PM,288,0.6,32,8,Chicago Independents
2220006,06/14/2019 01:00:00 PM,1980,0.9,41,3,Taxi Affiliation Services
2220007,06/14/2019 01:00:00 PM,420,1.6,32,28,Taxi Affiliation Services
2220008,06/14/2019 01:00:00 PM,276,0.61,8,8,Sun Taxi
2220009,06/14/2019 01:15:00 PM,480,1.0,8,28,Chicago Medallion Management
2220010,06/14/2019 01:15:00 PM,380,1.1,28,28,Taxi Affiliation Service Yellow
2220011,06/14/2019 01:15:00 PM,2820,1.0,76,8,Taxi Affiliation Services
2220012,06/14/2019 01:15:00 PM,480,0.7,8,8,Taxi Affiliation Services
2220013,06/14/2019 01:15:00 PM,330,0.75,32,8,Taxi Affiliation Service Yellow
2220014,06/14/2019 01:15:00 PM,407,0.64,56,56,Checker Taxi Affiliation
2220015,06/14/2019 01:15:00 PM,480,0.9,8,32,Chicago Independents
2220016,06/14/2019 01:15:00 PM,364,0.93,28,32,Flash Cab
2220017,06/14/2019 01:15:00 PM,517,1.02,8,32,Flash Cab
2220018,06/14/2019 01:15:00 PM,300,0.6,8,32,Medallion Leasin
2220019,06/14/2019 01:15:00 PM,443,0.79,6,6,Sun Taxi
2220020,06/14/2019 01:15:00 PM,242,0.54,8,32,Taxi Affiliation Service Yellow
2220021,06/14/2019 01:15:00 PM,240,0.6,32,8,6742 - 83735 Tasha ride inc
2220022,06/14/2019 01:15:00 PM,579,1.7,28,8,Chicago Carriage Cab Corp
2220023,06/14/2019 01:15:00 PM,585,1.22,32,8,City Service
2220024,06/14/2019 01:15:00 PM,576,0.88,8,8,Taxi Affiliation Service Yellow
2220025,06/14/2019 01:15:00 PM,314,0.7,32,28,Chicago Independents
2220026,06/14/2019 01:15:00 PM,420,1.8,32,28,Choice Taxi Association
2220027,06/14/2019 01:15:00 PM,287,0.83,32,28,Sun Taxi
2220028,06/14/2019 01:15:00 PM,338,0.71,32,32,Chicago Carriage Cab Corp
2220029,06/14/2019 01:15:00 PM,300,1.6,32,32,Top Cab Affiliation
2220030,06/14/2019 01:15:00 PM,366,0.88,32,32,Flash Cab
2220031,06/14/2019 01:15:00 PM,472,0.99,8,8,Flash Cab
2220032,06/14/2019 01:15:00 PM,420,1.4,28,8,Medallion Leasin
2220033,06/14/2019 01:15:00 PM,536,1.35,28,28,City Service
2220034,06/14/2019 01:15:00 PM,478,0.93,8,32,Flash Cab
2220035,06/14/2019 01:15:00 PM,273,0.87,28,32,Patriot Taxi Dba Peace Taxi Associat
2220036,06/14/2019 01:15:00 PM,518,0.91,32,32,Sun Taxi
2220037,06/14/2019 01:15:00 PM,300,1.0,32,28,Medallion Leasin
2220038,06/14/2019 01:15:00 PM,480,1.6,44,44,"Taxicab Insurance Agency, LLC"
2220039,06/14/2019 01:15:00 PM,3000,1.1,32,76,Taxi Affiliation Services
2220040,06/14/2019 01:15:00 PM,568,0.91,32,32,Flash Cab
2220041,06/14/2019 01:15:00 PM,360,0.8,32,8,Top Cab Affiliation
2220042,06/14/2019 01:15:00 PM,420,1.1,32,28,Choice Taxi Association
2220043,06/14/2019 01:15:00 PM,560,1.77,8,8,City Service
2220044,06/14/2019 01:15:00 PM,540,1.3,32,8,Choice Taxi Association
2220045,06/14/2019 01:15:00 PM,389,0.88,8,8,Chicago Carriage Cab Corp
2220046,06/14/2019 01:15:00 PM,271,0.94,8,32,City Service
2220047,06/14/2019 01:15:00 PM,537,1.18,8,32,Chicago Carriage Cab Corp
2220048,06/14/2019 01:15:00 PM,528,1.38,32,8,Chicago Carriage Cab Corp
2220049,06/14/2019 01:15:00 PM,420,1.2,32,8,Star North Management LLC
2220050,06/14/2019 01:15:00 PM,540,0.9,32,28,Star North Management LLC
2220051,06/14/2019 01:15:00 PM,420,1.0,8,32,Star North Management LLC
2220052,06/14/2019 01:15:00 PM,506,0.9,32,32,Chicago Independents
2220053,06/14/2019 01:15:00 PM,480,1.1,8,28,Medallion Leasin
2220054,06/14/2019 01:15:00 PM,407,0.85,32,32,Flash Cab
2220055,06/14/2019 01:15:00 PM,341,0.7,8,8,Medallion Leasin
2220056,06/14/2019 01:15:00 PM,497,0.86,8,32,Flash Cab
2220057,06/14/2019 01:15:00 PM,458,1.01,32,28,Sun Taxi
2220058,06/14/2019 01:15:00 PM,254,0.73,8,8,Flash Cab
2220059,06/14/2019 01:15:00 PM,234,0.6,32,32,Sun Taxi
2220060,06/14/2019 01:15:00 PM,580,1.79,33,33,Nova Taxi Affiliation Llc
2220061,06/14/2019 01:15:00 PM,420,0.8,32,32,Star North Management LLC
2220062,06/14/2019 01:15:00 PM,540,1.1,8,8,Taxi Affiliation Services
2220063,06/14/2019 01:15:00 PM,507,1.1,8,32,City Service
2220064,06/14/2019 01:15:00 PM,360,1.0,32,8,Chicago Medallion Management
2220065,06/14/2019 01:15:00 PM,218,1.06,59,16,Taxi Affiliation Service Yellow
