,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2230000,06/15/2019 02:00:00 AM,367,1.85,7,7,Sun Taxi
2230001,06/15/2019 02:00:00 AM,300,0.8,28,28,Taxi Affiliation Services
2230002,06/15/2019 02:00:00 AM,309,0.85,24,28,Chicago Carriage Cab Corp
2230003,06/15/2019 02:00:00 AM,452,1.76,24,23,Flash Cab
2230004,06/15/2019 02:00:00 AM,279,1.48,15,11,Flash Cab
2230005,06/15/2019 02:00:00 AM,240,0.7,8,32,Star North Management LLC
2230006,06/15/2019 02:00:00 AM,570,1.3,14,14,Flash Cab
2230007,06/15/2019 02:00:00 AM,538,1.79,8,32,Sun Taxi
2230008,06/15/2019 02:00:00 AM,510,1.6,8,32,Flash Cab
2230009,06/15/2019 02:00:00 AM,474,1.93,6,7,Flash Cab
2230010,06/15/2019 02:00:00 AM,357,1.35,1,2,Flash Cab
2230011,06/15/2019 02:00:00 AM,300,1.3,24,24,Medallion Leasin
2230012,06/15/2019 02:00:00 AM,296,0.84,6,6,Flash Cab
2230013,06/15/2019 02:00:00 AM,300,1.6,6,7,Choice Taxi Association
2230014,06/15/2019 02:00:00 AM,420,1.2,8,8,Taxi Affiliation Services
2230015,06/15/2019 02:00:00 AM,319,0.71,8,8,Sun Taxi
2230016,06/15/2019 02:00:00 AM,431,1.62,28,8,Flash Cab
2230017,06/15/2019 02:00:00 AM,584,1.74,32,32,City Service
2230018,06/15/2019 02:00:00 AM,486,1.92,8,28,Chicago Carriage Cab Corp
2230019,06/15/2019 02:00:00 AM,462,1.91,8,7,Flash Cab
2230020,06/15/2019 02:00:00 AM,511,1.87,8,8,Sun Taxi
2230021,06/15/2019 02:00:00 AM,353,1.64,22,8,City Service
2230022,06/15/2019 02:00:00 AM,377,1.13,8,32,Nova Taxi Affiliation Llc
2230023,06/15/2019 02:00:00 AM,352,1.32,7,8,City Service
2230024,06/15/2019 02:00:00 AM,360,1.5,6,7,Medallion Leasin
2230025,06/15/2019 02:00:00 AM,211,0.8,3,6,Flash Cab
2230026,06/15/2019 02:00:00 AM,454,1.71,8,8,Chicago Carriage Cab Corp
2230027,06/15/2019 02:00:00 AM,540,0.6,8,8,Medallion Leasin
2230028,06/15/2019 02:00:00 AM,240,0.7,32,8,Medallion Leasin
2230029,06/15/2019 02:00:00 AM,360,0.7,8,8,Top Cab Affiliation
2230030,06/15/2019 02:00:00 AM,463,1.4,7,7,Medallion Leasin
2230031,06/15/2019 02:00:00 AM,501,1.59,7,6,Chicago Carriage Cab Corp
2230032,06/15/2019 02:00:00 AM,300,0.8,8,8,"Taxicab Insurance Agency, LLC"
2230033,06/15/2019 02:00:00 AM,480,1.9,8,24,Taxi Affiliation Services
2230034,06/15/2019 02:00:00 AM,518,1.37,24,8,Flash Cab
2230035,06/15/2019 02:00:00 AM,483,1.04,8,8,Chicago Carriage Cab Corp
2230036,06/15/2019 02:00:00 AM,484,1.4,8,32,Medallion Leasin
2230037,06/15/2019 02:00:00 AM,480,1.9,28,7,Star North Management LLC
2230038,06/15/2019 02:15:00 AM,300,1.4,22,24,Taxi Affiliation Services
2230039,06/15/2019 02:15:00 AM,554,1.3,8,8,Chicago Carriage Cab Corp
2230040,06/15/2019 02:15:00 AM,372,1.1,28,8,Medallion Leasin
2230041,06/15/2019 02:15:00 AM,480,1.7,8,8,Medallion Leasin
2230042,06/15/2019 02:15:00 AM,333,0.99,8,24,Taxi Affiliation Service Yellow
2230043,06/15/2019 02:15:00 AM,240,1.0,8,8,Medallion Leasin
2230044,06/15/2019 02:15:00 AM,277,0.9,3,3,City Service
2230045,06/15/2019 02:15:00 AM,226,0.73,6,6,Sun Taxi
2230046,06/15/2019 02:15:00 AM,366,0.8,8,7,Medallion Leasin
2230047,06/15/2019 02:15:00 AM,360,1.16,8,28,Flash Cab
2230048,06/15/2019 02:15:00 AM,345,0.75,8,8,Flash Cab
2230049,06/15/2019 02:15:00 AM,284,0.85,7,7,Chicago Carriage Cab Corp
2230050,06/15/2019 02:15:00 AM,448,1.45,6,7,Flash Cab
2230051,06/15/2019 02:15:00 AM,300,0.8,8,8,Medallion Leasin
2230052,06/15/2019 02:15:00 AM,240,0.6,32,32,Star North Management LLC
2230053,06/15/2019 02:15:00 AM,377,1.12,8,8,Flash Cab
2230054,06/15/2019 02:15:00 AM,278,1.51,8,28,City Service
2230055,06/15/2019 02:15:00 AM,540,1.0,8,8,Taxi Affiliation Services
2230056,06/15/2019 02:15:00 AM,406,0.98,8,8,Flash Cab
2230057,06/15/2019 02:15:00 AM,468,1.85,32,8,Flash Cab
2230058,06/15/2019 02:15:00 AM,540,1.6,8,7,Taxi Affiliation Services
2230059,06/15/2019 02:15:00 AM,350,1.16,8,8,Sun Taxi
2230060,06/15/2019 02:15:00 AM,231,0.6,6,6,Medallion Leasin
2230061,06/15/2019 02:15:00 AM,485,1.23,8,28,Chicago Carriage Cab Corp
2230062,06/15/2019 02:15:00 AM,430,1.3,6,6,Taxi Affiliation Service Yellow
2230063,06/15/2019 02:15:00 AM,476,0.89,8,8,Nova Taxi Affiliation Llc
2230064,06/15/2019 02:15:00 AM,326,1.19,14,16,Flash Cab
2230065,06/15/2019 02:15:00 AM,524,1.14,8,8,Sun Taxi
2230066,06/15/2019 02:15:00 AM,394,0.64,8,8,Flash Cab
2230067,06/15/2019 02:15:00 AM,480,1.7,3,3,Taxi Affiliation Services
2230068,06/15/2019 02:15:00 AM,360,1.1,8,8,City Service
2230069,06/15/2019 02:15:00 AM,359,1.14,8,8,Sun Taxi
2230070,06/15/2019 02:15:00 AM,273,1.0,21,20,Taxi Affiliation Service Yellow
2230071,06/15/2019 02:15:00 AM,399,1.42,2,13,Flash Cab
2230072,06/15/2019 02:15:00 AM,271,1.65,7,7,Chicago Carriage Cab Corp
2230073,06/15/2019 02:15:00 AM,300,1.2,8,8,Taxi Affiliation Services
2230074,06/15/2019 02:15:00 AM,300,1.2,7,5,Taxi Affiliation Services
2230075,06/15/2019 02:15:00 AM,487,1.23,8,8,Chicago Carriage Cab Corp
2230076,06/15/2019 02:15:00 AM,540,1.4,8,8,Star North Management LLC
2230077,06/15/2019 02:15:00 AM,547,1.3,8,28,Flash Cab
2230078,06/15/2019 02:15:00 AM,234,1.16,8,8,Chicago Carriage Cab Corp
2230079,06/15/2019 02:15:00 AM,217,0.51,8,8,Flash Cab
2230080,06/15/2019 02:15:00 AM,300,1.03,6,7,Patriot Taxi Dba Peace Taxi Associat
2230081,06/15/2019 02:15:00 AM,397,0.95,8,28,Sun Taxi
2230082,06/15/2019 02:15:00 AM,560,1.81,8,7,Flash Cab
2230083,06/15/2019 02:15:00 AM,240,1.1,8,32,Medallion Leasin
2230084,06/15/2019 02:15:00 AM,411,1.8,20,15,Taxi Affiliation Service Yellow
2230085,06/15/2019 02:15:00 AM,367,1.04,8,8,Flash Cab
2230086,06/15/2019 02:15:00 AM,338,1.5,8,24,Taxi Affiliation Service Yellow
2230087,06/15/2019 02:15:00 AM,300,0.9,8,7,Star North Management LLC
