,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2280000,06/19/2019 12:30:00 PM,467,1.16,32,32,Patriot Taxi Dba Peace Taxi Associat
2280001,06/19/2019 12:30:00 PM,360,1.2,8,32,Medallion Leasin
2280002,06/19/2019 12:30:00 PM,420,1.5,33,32,Medallion Leasin
2280003,06/19/2019 12:30:00 PM,266,0.66,32,28,City Service
2280004,06/19/2019 12:30:00 PM,540,1.3,32,28,Taxi Affiliation Services
2280005,06/19/2019 12:30:00 PM,420,1.4,8,8,Taxi Affiliation Services
2280006,06/19/2019 12:30:00 PM,459,1.21,32,32,Flash Cab
2280007,06/19/2019 12:30:00 PM,415,1.23,32,24,Sun Taxi
2280008,06/19/2019 12:30:00 PM,226,0.83,24,24,Sun Taxi
2280009,06/19/2019 12:30:00 PM,382,0.7,32,28,Medallion Leasin
2280010,06/19/2019 12:30:00 PM,355,0.6,32,28,Flash Cab
2280011,06/19/2019 12:30:00 PM,443,1.0,28,32,Sun Taxi
2280012,06/19/2019 12:30:00 PM,593,1.6,32,28,Checker Taxi Affiliation
2280013,06/19/2019 12:30:00 PM,480,1.6,28,28,Chicago Medallion Management
2280014,06/19/2019 12:30:00 PM,473,1.18,8,8,Flash Cab
2280015,06/19/2019 12:30:00 PM,289,0.71,32,8,Checker Taxi Affiliation
2280016,06/19/2019 12:30:00 PM,558,1.1,8,8,Chicago Independents
2280017,06/19/2019 12:30:00 PM,550,1.78,8,32,24 Seven Taxi
2280018,06/19/2019 12:30:00 PM,480,1.5,32,8,Taxi Affiliation Services
2280019,06/19/2019 12:30:00 PM,520,1.33,32,28,Chicago Carriage Cab Corp
2280020,06/19/2019 12:30:00 PM,480,0.7,28,32,Medallion Leasin
2280021,06/19/2019 12:30:00 PM,480,1.9,28,28,Taxi Affiliation Services
2280022,06/19/2019 12:30:00 PM,548,1.3,8,32,City Service
2280023,06/19/2019 12:30:00 PM,2520,1.1,32,76,Taxi Affiliation Services
2280024,06/19/2019 12:30:00 PM,385,1.42,28,28,Chicago Carriage Cab Corp
2280025,06/19/2019 12:30:00 PM,300,0.9,32,8,Star North Management LLC
2280026,06/19/2019 12:30:00 PM,516,1.22,8,32,Chicago Carriage Cab Corp
2280027,06/19/2019 12:30:00 PM,540,1.1,28,8,Medallion Leasin
2280028,06/19/2019 12:30:00 PM,416,1.28,32,32,Sun Taxi
2280029,06/19/2019 12:30:00 PM,480,1.2,32,32,Taxi Affiliation Services
2280030,06/19/2019 12:30:00 PM,360,1.2,28,32,Taxi Affiliation Services
